,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1935571,137133,154020,https://product.koovs.com/154020_a3d34f71a9094e44960718f3d94c0243_image1_super_zoom.jpg,https://product.koovs.com/width/height/154020_a3d34f71a9094e44960718f3d94c0243_image1_super_zoom.jpg,Contrast Tape Trim Mesh Baseball Shorts,KOOVS,699,209,70,Price After Sale,"[{'href': '/mesh-basketball-shorts-137133-154020.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/mesh-basketball-shorts-137133-154020.html,www.koovs.com/mesh-basketball-shorts-137133-154020.html
2,1936572,137285,154213,https://product.koovs.com/154213_70820308d59a4dd9870e15450b1436f7_image1_super_zoom.jpg,https://product.koovs.com/width/height/154213_70820308d59a4dd9870e15450b1436f7_image1_super_zoom.jpg,Tiger Print Regular Shorts,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-aop-shorts-137285-154213.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-aop-shorts-137285-154213.html,www.koovs.com/koovs-aop-shorts-137285-154213.html
3,1935564,137132,154018,https://product.koovs.com/154018_2631f072550c49288f2229741a17ea60_image1_super_zoom.jpg,https://product.koovs.com/width/height/154018_2631f072550c49288f2229741a17ea60_image1_super_zoom.jpg,Regular Knee-Length Shorts,KOOVS,599,209,65,Price After Sale,"[{'href': '/koovs-shorts-137132-154018.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-shorts-137132-154018.html,www.koovs.com/koovs-shorts-137132-154018.html
4,1917118,133254,149528,https://product.koovs.com/149528_64b5b952ce0041079a079fd5bcda1d0f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149528_64b5b952ce0041079a079fd5bcda1d0f_image1_super_zoom.jpg,Contrast Side Panel Shorts,CHELSEA KING,1299,259,80,Price After Sale,"[{'href': '/chelsea-king-panlled-shorts-464-133254-149528.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-panlled-shorts-464-133254-149528.html,www.koovs.com/chelsea-king-panlled-shorts-464-133254-149528.html
5,1917078,133246,149520,https://product.koovs.com/149520_bf3e7b06d8414c28b9edcd88e3ca6952_image1_super_zoom.jpg,https://product.koovs.com/width/height/149520_bf3e7b06d8414c28b9edcd88e3ca6952_image1_super_zoom.jpg,Contrast Side Panel Shorts,CHELSEA KING,1299,259,80,Price After Sale,"[{'href': '/chelsea-king-panelled-twill-shorts-133246-149520.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-panelled-twill-shorts-133246-149520.html,www.koovs.com/chelsea-king-panelled-twill-shorts-133246-149520.html
6,1917085,133248,149522,https://product.koovs.com/149522_b7e06e905cb74f02a19b8413f495e02a_image1_super_zoom.jpg,https://product.koovs.com/width/height/149522_b7e06e905cb74f02a19b8413f495e02a_image1_super_zoom.jpg,Frayed Hem Washed Denim Shorts,CHELSEA KING,1699,339,80,Price After Sale,"[{'href': '/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html,www.koovs.com/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html
7,1844687,118233,132365,https://product.koovs.com/118233_1f0e42d42584c97a0d1c7132ec2d38ff.jpg,https://product.koovs.com/width/height/118233_1f0e42d42584c97a0d1c7132ec2d38ff.jpg,Grid Check Shorts,KOOVS,1099,1099,0,Price After Sale,"[{'href': '/koovs-grid-check-short-118233-132365.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-grid-check-short-118233-132365.html,www.koovs.com/koovs-grid-check-short-118233-132365.html
8,1915968,133010,149276,https://product.koovs.com/149276_2c55909cdd9b44f392e381bf98c0ba4f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149276_2c55909cdd9b44f392e381bf98c0ba4f_image1_super_zoom.jpg,Sportswear Logo Shorts,Nike,2895,2895,0,Price After Sale,"[{'href': '/nike-drawstring-logo-shorts-426-133010-149276.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/nike-drawstring-logo-shorts-426-133010-149276.html,www.koovs.com/nike-drawstring-logo-shorts-426-133010-149276.html
9,1904165,130683,146481,https://product.koovs.com/130683_143590732bd3751618aaea704b62da0e.jpg,https://product.koovs.com/width/height/130683_143590732bd3751618aaea704b62da0e.jpg,Oriental Floral Print Panelled Shorts,Shivan & Narresh X KOOVS,1499,1499,0,Price After Sale,"[{'href': '/shivan--narresh-x-koovs-satin-all-over-print-shorts-130683-146481.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],True,False,False,False,False,Koovs Exclusive,/shivan--narresh-x-koovs-satin-all-over-print-shorts-130683-146481.html,www.koovs.com/shivan--narresh-x-koovs-satin-all-over-print-shorts-130683-146481.html
10,1895426,128871,144379,https://product.koovs.com/128871_0cb710532cd46b6a8abf6ffef35bd381.jpg,https://product.koovs.com/width/height/128871_0cb710532cd46b6a8abf6ffef35bd381.jpg,Belted Washed Slim Shorts,Alcott,1799,1799,0,Price After Sale,"[{'href': '/alcott-shorts-230-128871-144379.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/alcott-shorts-230-128871-144379.html,www.koovs.com/alcott-shorts-230-128871-144379.html
