,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1913281,132483,148612,https://product.koovs.com/148612_a322af5ae61448179b02ab6097a92454_image1_super_zoom.jpg,https://product.koovs.com/width/height/148612_a322af5ae61448179b02ab6097a92454_image1_super_zoom.jpg,Polka Dot Print Jumpsuit,KOOVS,1699,169,90,Price After Sale,"[{'href': '/koovs-front-split-polka-dot-jumpsuit-132483-148612.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,True,,/koovs-front-split-polka-dot-jumpsuit-132483-148612.html,www.koovs.com/koovs-front-split-polka-dot-jumpsuit-132483-148612.html
1,1929528,135927,152582,https://product.koovs.com/152582_d44906f58e2d43e59955bb0456c71d8d_image1_super_zoom.jpg,https://product.koovs.com/width/height/152582_d44906f58e2d43e59955bb0456c71d8d_image1_super_zoom.jpg,Sequin Slash Neck Jumpsuit,KOOVS,1999,1999,0,Price After Sale,"[{'href': '/koovs-asymmetric-sequin-jumpsuit-135927-152582.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-asymmetric-sequin-jumpsuit-135927-152582.html,www.koovs.com/koovs-asymmetric-sequin-jumpsuit-135927-152582.html
2,1916432,133104,149378,https://product.koovs.com/149378_e400a91ad5b54791883703ccaa94272f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149378_e400a91ad5b54791883703ccaa94272f_image1_super_zoom.jpg,Sequinned One Shoulder Cape Jumpsuit,KOOVS,3999,3999,0,Price After Sale,"[{'href': '/koovs-one-shoulder-cape-sequin-jumpsuit-133104-149378.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-one-shoulder-cape-sequin-jumpsuit-133104-149378.html,www.koovs.com/koovs-one-shoulder-cape-sequin-jumpsuit-133104-149378.html
3,1831407,115585,129333,https://product.koovs.com/115585_0ebff39ec64012f0350787eb6622e034.jpg,https://product.koovs.com/width/height/115585_0ebff39ec64012f0350787eb6622e034.jpg,Leopard Print Sleeveless Jumpsuit,KOOVS,1799,1799,0,Price After Sale,"[{'href': '/koovs-leopard-jumpsuit-115585-129333.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-leopard-jumpsuit-115585-129333.html,www.koovs.com/koovs-leopard-jumpsuit-115585-129333.html
4,1916414,131872,149374,https://product.koovs.com/149374_4d6ca4cecdc04e58989ab72cc6b32e3e_image1_super_zoom.jpg,https://product.koovs.com/width/height/149374_4d6ca4cecdc04e58989ab72cc6b32e3e_image1_super_zoom.jpg,Cold Shoulder Sequin Embellished Playsuit,KOOVS,1999,1999,0,Price After Sale,"[{'href': '/koovs-cord-wide-leg-pants-131872-149374.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Playsuits'],False,False,False,False,False,,/koovs-cord-wide-leg-pants-131872-149374.html,www.koovs.com/koovs-cord-wide-leg-pants-131872-149374.html
5,1834457,116213,130090,https://product.koovs.com/116213_8da520d0bac69f3ceee3489c1231ea08.jpg,https://product.koovs.com/width/height/116213_8da520d0bac69f3ceee3489c1231ea08.jpg,All Over Glitter Halter Jumpsuit,KOOVS,2899,2899,0,Price After Sale,"[{'href': '/jumpsuit-116213-130090.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/jumpsuit-116213-130090.html,www.koovs.com/jumpsuit-116213-130090.html
6,1802137,109657,122485,https://product.koovs.com/109657_8351e14b7927dbada556241f889d689a.jpg,https://product.koovs.com/width/height/109657_8351e14b7927dbada556241f889d689a.jpg,Basic Strappy Back Jumpsuit,Glamorous,2899,2899,0,Price After Sale,"[{'href': '/glamorous-racer-back-jumpsuit-109657-122485.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/glamorous-racer-back-jumpsuit-109657-122485.html,www.koovs.com/glamorous-racer-back-jumpsuit-109657-122485.html
7,1913651,132550,148694,https://product.koovs.com/148694_d6d7d88fb39e402d8c0434112af60d60_image1_super_zoom.jpg,https://product.koovs.com/width/height/148694_d6d7d88fb39e402d8c0434112af60d60_image1_super_zoom.jpg,Vertical Stripe Belted Waist Jumpsuit,Closet Drama,1699,849,50,Price After Sale,"[{'href': '/belted-jumpsuit-with-neon-accents-132550-148694.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],True,False,False,False,False,Koovs Exclusive,/belted-jumpsuit-with-neon-accents-132550-148694.html,www.koovs.com/belted-jumpsuit-with-neon-accents-132550-148694.html
8,1860846,121594,136199,https://product.koovs.com/121594_e93a6f0e470ce043107d7baa6a3fece6.jpg,https://product.koovs.com/width/height/121594_e93a6f0e470ce043107d7baa6a3fece6.jpg,Mixed Animal Print Jumpsuit,KOOVS,1699,1699,0,Price After Sale,"[{'href': '/koovs-neon-animal-print-culottes-jumpsuit-121594-136199.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-neon-animal-print-culottes-jumpsuit-121594-136199.html,www.koovs.com/koovs-neon-animal-print-culottes-jumpsuit-121594-136199.html
9,1869077,123380,138188,https://product.koovs.com/123380_585c1a8e2a01259eecd4e263db8f991c.jpg,https://product.koovs.com/width/height/123380_585c1a8e2a01259eecd4e263db8f991c.jpg,Sea Ya Print Dungarees,Spring Break,1299,389,70,Price After Sale,"[{'href': '/see-ya-dungarees-in-red-123380-138188.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Jumpsuits & Playsuits'],['Dungarees'],True,False,False,False,False,Koovs Exclusive,/see-ya-dungarees-in-red-123380-138188.html,www.koovs.com/see-ya-dungarees-in-red-123380-138188.html
