,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,355651,86195,95881,https://product.koovs.com/86195_9c5fec78dc7fef62b5a622fadb0ae797.jpg,https://product.koovs.com/width/height/86195_9c5fec78dc7fef62b5a622fadb0ae797.jpg,Elasticated Off Shoulder Top,KOOVS,895,179,80,Price After Sale,"[{'href': '/koovs-elastic-cold-shoulder-top-86195-95881.html', 'rel': 'self', 'method': 'GET'}]",['Orange'],['Tops'],['Bandeau Tops'],False,False,False,False,True,,/koovs-elastic-cold-shoulder-top-86195-95881.html,www.koovs.com/koovs-elastic-cold-shoulder-top-86195-95881.html
2,334798,81832,90883,https://product.koovs.com/81832_dcf2570ee71c9b64be7aa22ae7799171.jpg,https://product.koovs.com/width/height/81832_dcf2570ee71c9b64be7aa22ae7799171.jpg,Button Tab  Pleated Top,KOOVS,1295,129,90,Price After Sale,"[{'href': '/koovs-button-tab--pleated-top-81832-90883.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Tops'],['Blouses'],False,False,False,False,True,,/koovs-button-tab--pleated-top-81832-90883.html,www.koovs.com/koovs-button-tab--pleated-top-81832-90883.html
3,1920490,133995,150407,https://product.koovs.com/150407_d3c3e02510614cf086f21a066a463a79_image1_super_zoom.jpg,https://product.koovs.com/width/height/150407_d3c3e02510614cf086f21a066a463a79_image1_super_zoom.jpg,Checked Badge Applique Boxy Sweatshirt,KOOVS,1899,1899,0,Price After Sale,"[{'href': '/koovs-coral-check-top-with-embroidery-badges-133995-150407.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Sweatshirts'],False,False,False,False,False,,/koovs-coral-check-top-with-embroidery-badges-133995-150407.html,www.koovs.com/koovs-coral-check-top-with-embroidery-badges-133995-150407.html
4,1811512,111457,124689,https://product.koovs.com/111457_01318bde13aa5406287b224d267bc873.jpg,https://product.koovs.com/width/height/111457_01318bde13aa5406287b224d267bc873.jpg,Contrast Border Crop Top,KOOVS,799,799,0,Price After Sale,"[{'href': '/color-block-crop-top-111457-124689.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Tops'],['Crop Tops'],False,False,False,False,False,,/color-block-crop-top-111457-124689.html,www.koovs.com/color-block-crop-top-111457-124689.html
5,355971,86235,95945,https://product.koovs.com/86235_c23f3b615180dae789f733f4cb8aa454.jpg,https://product.koovs.com/width/height/86235_c23f3b615180dae789f733f4cb8aa454.jpg,Ruffle Front Top,KOOVS,895,895,0,Price After Sale,"[{'href': '/koovs-ruffle-front-top-144-86235-95945.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,True,,/koovs-ruffle-front-top-144-86235-95945.html,www.koovs.com/koovs-ruffle-front-top-144-86235-95945.html
8,1919135,133725,150032,https://product.koovs.com/150032_1737bfe9fc37454ba7143e28a0640b87_image1_super_zoom.jpg,https://product.koovs.com/width/height/150032_1737bfe9fc37454ba7143e28a0640b87_image1_super_zoom.jpg,Heart Breaker Patch Woven Check Shirt,KOOVS,1499,299,80,Price After Sale,"[{'href': '/koovs-heart-breaker-back-print-shirt-133725-150032.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Shirts'],False,False,False,False,False,,/koovs-heart-breaker-back-print-shirt-133725-150032.html,www.koovs.com/koovs-heart-breaker-back-print-shirt-133725-150032.html
9,1913288,132484,148613,https://product.koovs.com/148613_c70c6462708242b19fdb955e2407594b_image1_super_zoom.jpg,https://product.koovs.com/width/height/148613_c70c6462708242b19fdb955e2407594b_image1_super_zoom.jpg,Printed Front Tie-Knot Bodysuit,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-sequin-print-bodysuit-132484-148613.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Body Suits'],False,False,False,False,False,,/koovs-sequin-print-bodysuit-132484-148613.html,www.koovs.com/koovs-sequin-print-bodysuit-132484-148613.html
10,355886,86224,95928,https://product.koovs.com/86224_336e01efe755a79d1a2860f60904566d.jpg,https://product.koovs.com/width/height/86224_336e01efe755a79d1a2860f60904566d.jpg,Printed Tie Neck Blouse,KOOVS,1295,189,85,Price After Sale,"[{'href': '/koovs-printed-tie-neck-blouse-86224-95928.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Blouses'],False,False,False,False,False,,/koovs-printed-tie-neck-blouse-86224-95928.html,www.koovs.com/koovs-printed-tie-neck-blouse-86224-95928.html
11,335651,81981,91053,https://product.koovs.com/81981_57e16385de0cd38cefb03dd4604310e5.jpg,https://product.koovs.com/width/height/81981_57e16385de0cd38cefb03dd4604310e5.jpg,Tie-Up Off Shoulder Top,KOOVS,1295,129,90,Price After Sale,"[{'href': '/koovs-fluted-sleeve-bandeau-cold-shoulder-top-81981-91053.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Tops'],['Bandeau Tops'],False,False,False,False,True,,/koovs-fluted-sleeve-bandeau-cold-shoulder-top-81981-91053.html,www.koovs.com/koovs-fluted-sleeve-bandeau-cold-shoulder-top-81981-91053.html
12,335214,81900,90966,https://product.koovs.com/81900_4191da0039e3a62b747ed76b0988906c.jpg,https://product.koovs.com/width/height/81900_4191da0039e3a62b747ed76b0988906c.jpg,Flower Embellished Cami Top,KOOVS,1695,1695,0,Price After Sale,"[{'href': '/koovs-flower-embellished-cami-top-81900-90966.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Vests & Camis'],False,False,False,False,False,,/koovs-flower-embellished-cami-top-81900-90966.html,www.koovs.com/koovs-flower-embellished-cami-top-81900-90966.html
