,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1938772,137710,154692,https://product.koovs.com/154692_b97df7ea0bb84c47bb108aca44f2f4a8_image1_super_zoom.jpg,https://product.koovs.com/width/height/154692_b97df7ea0bb84c47bb108aca44f2f4a8_image1_super_zoom.jpg,Vertical Stripe Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-vertical-stripe-cuban-shirt-137710-154692.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-vertical-stripe-cuban-shirt-137710-154692.html,www.koovs.com/koovs-vertical-stripe-cuban-shirt-137710-154692.html
1,1937251,137411,154378,https://product.koovs.com/154378_a00ba979d98848e6a87ec72f6feb66b1_image1_super_zoom.jpg,https://product.koovs.com/width/height/154378_a00ba979d98848e6a87ec72f6feb66b1_image1_super_zoom.jpg,Scribble Print Long Sleeve Shirt,KOOVS,1499,1499,0,Price After Sale,"[{'href': '/koovs-scribble-print-shirt-137411-154378.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-scribble-print-shirt-137411-154378.html,www.koovs.com/koovs-scribble-print-shirt-137411-154378.html
2,1937232,137407,154374,https://product.koovs.com/154374_caf2c0acd53d450ba6f2b34c6b2392cb_image1_super_zoom.jpg,https://product.koovs.com/width/height/154374_caf2c0acd53d450ba6f2b34c6b2392cb_image1_super_zoom.jpg,Island Print Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137407-154374.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-all-over-print-shirt-137407-154374.html,www.koovs.com/koovs-all-over-print-shirt-137407-154374.html
3,1936532,137277,154205,https://product.koovs.com/154205_8f760cce786a4a9481168c30b6077a80_image1_super_zoom.jpg,https://product.koovs.com/width/height/154205_8f760cce786a4a9481168c30b6077a80_image1_super_zoom.jpg,Cut & Sew Graffiti Sticker Print Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-cut-and-sew-shirt-137277-154205.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-cut-and-sew-shirt-137277-154205.html,www.koovs.com/koovs-cut-and-sew-shirt-137277-154205.html
4,1935760,137153,154057,https://product.koovs.com/154057_a0caa55a9b4f4f46b9fdaf09023fd197_image1_super_zoom.jpg,https://product.koovs.com/width/height/154057_a0caa55a9b4f4f46b9fdaf09023fd197_image1_super_zoom.jpg,Muscle Fit Short Sleeve Shirt,KOOVS,899,899,0,Price After Sale,"[{'href': '/koovs-muscle-fit-short-sleeve-shirt-137153-154057.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Shirts'],['Casual Shirts'],False,False,False,False,True,,/koovs-muscle-fit-short-sleeve-shirt-137153-154057.html,www.koovs.com/koovs-muscle-fit-short-sleeve-shirt-137153-154057.html
7,1936562,137283,154211,https://product.koovs.com/154211_91ec6fee21ca468995644359ae6818af_image1_super_zoom.jpg,https://product.koovs.com/width/height/154211_91ec6fee21ca468995644359ae6818af_image1_super_zoom.jpg,Palm Print Cuban Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137283-154211.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-all-over-print-shirt-137283-154211.html,www.koovs.com/koovs-all-over-print-shirt-137283-154211.html
8,1937405,137445,154412,https://product.koovs.com/154412_1c7190a11b6c4af3bb9ca6b62305b2bc_image1_super_zoom.jpg,https://product.koovs.com/width/height/154412_1c7190a11b6c4af3bb9ca6b62305b2bc_image1_super_zoom.jpg,Vertical Stripe Cuban Collar Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-vertical-stripe-shirt-137445-154412.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-vertical-stripe-shirt-137445-154412.html,www.koovs.com/koovs-vertical-stripe-shirt-137445-154412.html
9,1936670,137298,154237,https://product.koovs.com/154237_a94d62c012dd4fac891d29ec544d0724_image1_super_zoom.jpg,https://product.koovs.com/width/height/154237_a94d62c012dd4fac891d29ec544d0724_image1_super_zoom.jpg,Yarn-Dyed Vertical Stripe Shirt,Garcon,1299,1299,0,Price After Sale,"[{'href': '/garcon-cotton-jrsy-yarn-dyed-vertical-stripe-tee-137298-154237.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Shirts'],['Casual Shirts'],True,False,False,False,False,Koovs Exclusive,/garcon-cotton-jrsy-yarn-dyed-vertical-stripe-tee-137298-154237.html,www.koovs.com/garcon-cotton-jrsy-yarn-dyed-vertical-stripe-tee-137298-154237.html
10,1936525,137276,154204,https://product.koovs.com/154204_538ae4b21e284dc9a9fd67914d71efea_image1_super_zoom.jpg,https://product.koovs.com/width/height/154204_538ae4b21e284dc9a9fd67914d71efea_image1_super_zoom.jpg,Glowing Leaf Print Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-all-over-print-shirt-137276-154204.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-all-over-print-shirt-137276-154204.html,www.koovs.com/koovs-all-over-print-shirt-137276-154204.html
11,1935681,137148,154042,https://product.koovs.com/154042_b1fbd47a2cd647cb923fafedf5022ee2_image1_super_zoom.jpg,https://product.koovs.com/width/height/154042_b1fbd47a2cd647cb923fafedf5022ee2_image1_super_zoom.jpg,Long Sleeve Regular Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-classic-fit-long--sleeve-shirt-137148-154042.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Shirts'],['Casual Shirts'],False,False,False,False,False,,/koovs-classic-fit-long--sleeve-shirt-137148-154042.html,www.koovs.com/koovs-classic-fit-long--sleeve-shirt-137148-154042.html
