,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1935168,137103,153950,https://product.koovs.com/153950_b9e9c0beba8340dc94aaca82ddd0b2d2_image1_super_zoom.jpg,https://product.koovs.com/width/height/153950_b9e9c0beba8340dc94aaca82ddd0b2d2_image1_super_zoom.jpg,Muscle Fit Crew Neck T-Shirt,KOOVS,399,199,50,Price After Sale,"[{'href': '/koovs-muscle-crew-neck-tshirt-137103-153950.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-muscle-crew-neck-tshirt-137103-153950.html,www.koovs.com/koovs-muscle-crew-neck-tshirt-137103-153950.html
1,1936254,137229,154152,https://product.koovs.com/154152_b19bec5ff57a4eeda7c6938bccf62d70_image1_super_zoom.jpg,https://product.koovs.com/width/height/154152_b19bec5ff57a4eeda7c6938bccf62d70_image1_super_zoom.jpg,Funnel Neck Muscle Fit T-Shirt,KOOVS,799,799,0,Price After Sale,"[{'href': '/koovs-fushia-taped-muscle-high-collar-te-137229-154152.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-fushia-taped-muscle-high-collar-te-137229-154152.html,www.koovs.com/koovs-fushia-taped-muscle-high-collar-te-137229-154152.html
2,1936225,137223,154146,https://product.koovs.com/154146_739be19110ea41cc9a6b11b55b10e20a_image1_super_zoom.jpg,https://product.koovs.com/width/height/154146_739be19110ea41cc9a6b11b55b10e20a_image1_super_zoom.jpg,Scoop Neck Vertical Stripe T-Shirt,KOOVS,799,159,80,Price After Sale,"[{'href': '/koovs-scoop-neck-tee-137223-154146.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-scoop-neck-tee-137223-154146.html,www.koovs.com/koovs-scoop-neck-tee-137223-154146.html
3,1936117,137201,154124,https://product.koovs.com/154124_2ac93bc25eaf4bfbb558dcefc418d4e1_image1_super_zoom.jpg,https://product.koovs.com/width/height/154124_2ac93bc25eaf4bfbb558dcefc418d4e1_image1_super_zoom.jpg,Cray Tie-Dye Print Oversized T-Shirt,KOOVS,999,499,50,Price After Sale,"[{'href': '/koovs-cray-oversized-tie-dye-tee-137201-154124.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-cray-oversized-tie-dye-tee-137201-154124.html,www.koovs.com/koovs-cray-oversized-tie-dye-tee-137201-154124.html
4,1935142,137101,153944,https://product.koovs.com/153944_8b2cab207d304ca4a1651c9e700cc66f_image1_super_zoom.jpg,https://product.koovs.com/width/height/153944_8b2cab207d304ca4a1651c9e700cc66f_image1_super_zoom.jpg,Muscle Fit Long Sleeve T-Shirt,KOOVS,599,269,55,Price After Sale,"[{'href': '/koovs-basic-muscle-fit-ls-tee-137101-153944.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-basic-muscle-fit-ls-tee-137101-153944.html,www.koovs.com/koovs-basic-muscle-fit-ls-tee-137101-153944.html
5,1934762,137081,153868,https://product.koovs.com/153868_1a20c405ebb94405951c5e1ea493f782_image1_super_zoom.jpg,https://product.koovs.com/width/height/153868_1a20c405ebb94405951c5e1ea493f782_image1_super_zoom.jpg,V-Neck Muscle Fit T-Shirt,KOOVS,399,179,55,Price After Sale,"[{'href': '/koovs-basic-vneck-muscle-fit-tshirt-137081-153868.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-basic-vneck-muscle-fit-tshirt-137081-153868.html,www.koovs.com/koovs-basic-vneck-muscle-fit-tshirt-137081-153868.html
7,1936122,137202,154125,https://product.koovs.com/154125_4d0c0e40f6e4467d8e0419dc09ca99b5_image1_super_zoom.jpg,https://product.koovs.com/width/height/154125_4d0c0e40f6e4467d8e0419dc09ca99b5_image1_super_zoom.jpg,Lit Tie-Dye Print Oversized T-Shirt,KOOVS,999,499,50,Price After Sale,"[{'href': '/koovs-lit-oversized-tie-dye-tee-137202-154125.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-lit-oversized-tie-dye-tee-137202-154125.html,www.koovs.com/koovs-lit-oversized-tie-dye-tee-137202-154125.html
8,1934842,137085,153884,https://product.koovs.com/153884_7b6057582267433fbd1ee5f445e2b82a_image1_super_zoom.jpg,https://product.koovs.com/width/height/153884_7b6057582267433fbd1ee5f445e2b82a_image1_super_zoom.jpg,Cap Sleeve Crew Neck T-Shirt,KOOVS,399,399,0,Price After Sale,"[{'href': '/koovs-basic-cap-sleeve-tshirt-137085-153884.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-basic-cap-sleeve-tshirt-137085-153884.html,www.koovs.com/koovs-basic-cap-sleeve-tshirt-137085-153884.html
10,1936201,137218,154141,https://product.koovs.com/154141_b9e25cc9a3654a7fba2a92fb104d9486_image1_super_zoom.jpg,https://product.koovs.com/width/height/154141_b9e25cc9a3654a7fba2a92fb104d9486_image1_super_zoom.jpg,Abstract Tile Print Polo Shirt,KOOVS,999,199,80,Price After Sale,"[{'href': '/koovs-lime-abstract-tile-polo-137218-154141.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/koovs-lime-abstract-tile-polo-137218-154141.html,www.koovs.com/koovs-lime-abstract-tile-polo-137218-154141.html
11,1913891,132614,148786,https://product.koovs.com/148786_ee068a6b15e04464923aaf3f2679f624_image1_super_zoom.jpg,https://product.koovs.com/width/height/148786_ee068a6b15e04464923aaf3f2679f624_image1_super_zoom.jpg,Slogan Placement Print T-Shirt,KOOVS,799,799,0,Price After Sale,"[{'href': '/koovs-rythym-unites-us-print-tee-132614-148786.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-rythym-unites-us-print-tee-132614-148786.html,www.koovs.com/koovs-rythym-unites-us-print-tee-132614-148786.html
