,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1913281,132483,148612,https://product.koovs.com/148612_a322af5ae61448179b02ab6097a92454_image1_super_zoom.jpg,https://product.koovs.com/width/height/148612_a322af5ae61448179b02ab6097a92454_image1_super_zoom.jpg,Polka Dot Print Jumpsuit,KOOVS,1699,169,90,Price After Sale,"[{'href': '/koovs-front-split-polka-dot-jumpsuit-132483-148612.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,True,,/koovs-front-split-polka-dot-jumpsuit-132483-148612.html,www.koovs.com/koovs-front-split-polka-dot-jumpsuit-132483-148612.html
1,1872088,124030,138895,https://product.koovs.com/124030_b2653b3b014d15dc0d5b4e0584cb8023.jpg,https://product.koovs.com/width/height/124030_b2653b3b014d15dc0d5b4e0584cb8023.jpg,Basic Zip-Up Sleeveless Jumpsuit,LC Waikiki,3499,3499,0,Price After Sale,"[{'href': '/new-black-jumpsuit-327-124030-138895.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/new-black-jumpsuit-327-124030-138895.html,www.koovs.com/new-black-jumpsuit-327-124030-138895.html
2,1872076,124028,138893,https://product.koovs.com/124028_0324e66c6294dc38e35c13a4e9ccfebc.jpg,https://product.koovs.com/width/height/124028_0324e66c6294dc38e35c13a4e9ccfebc.jpg,Moroccan Print Sleeveless Jumpsuit,LC Waikiki,3499,3499,0,Price After Sale,"[{'href': '/navy-printed-jumpsuit-124028-138893.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/navy-printed-jumpsuit-124028-138893.html,www.koovs.com/navy-printed-jumpsuit-124028-138893.html
3,1929528,135927,152582,https://product.koovs.com/152582_d44906f58e2d43e59955bb0456c71d8d_image1_super_zoom.jpg,https://product.koovs.com/width/height/152582_d44906f58e2d43e59955bb0456c71d8d_image1_super_zoom.jpg,Sequin Slash Neck Jumpsuit,KOOVS,1999,1999,0,Price After Sale,"[{'href': '/koovs-asymmetric-sequin-jumpsuit-135927-152582.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-asymmetric-sequin-jumpsuit-135927-152582.html,www.koovs.com/koovs-asymmetric-sequin-jumpsuit-135927-152582.html
4,1896066,129018,144558,https://product.koovs.com/144558_5a3ea570a57845e0880ea729189f8db3_image1_super_zoom.jpg,https://product.koovs.com/width/height/144558_5a3ea570a57845e0880ea729189f8db3_image1_super_zoom.jpg,Stud Embellished Tie-Knot Jumpsuit,KOOVS,2499,2499,0,Price After Sale,"[{'href': '/koovs-embellished-jumpsuits-129018-144558.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-embellished-jumpsuits-129018-144558.html,www.koovs.com/koovs-embellished-jumpsuits-129018-144558.html
5,1916432,133104,149378,https://product.koovs.com/149378_e400a91ad5b54791883703ccaa94272f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149378_e400a91ad5b54791883703ccaa94272f_image1_super_zoom.jpg,Sequinned One Shoulder Cape Jumpsuit,KOOVS,3999,1000,75,Price After Sale,"[{'href': '/koovs-one-shoulder-cape-sequin-jumpsuit-133104-149378.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-one-shoulder-cape-sequin-jumpsuit-133104-149378.html,www.koovs.com/koovs-one-shoulder-cape-sequin-jumpsuit-133104-149378.html
6,1916225,133064,149337,https://product.koovs.com/133064_be4670fe80bd5d07e626d376b3d93648.jpg,https://product.koovs.com/width/height/133064_be4670fe80bd5d07e626d376b3d93648.jpg,Floral Print Sleeveless Cropped Jumpsuit,Cover Story,4490,4490,0,Price After Sale,"[{'href': '/sleeveless-print-jumpsuits-133064-149337.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/sleeveless-print-jumpsuits-133064-149337.html,www.koovs.com/sleeveless-print-jumpsuits-133064-149337.html
7,1882951,126251,141434,https://product.koovs.com/126251_8b0983da55cb8fd6ce36cb682946239c.jpg,https://product.koovs.com/width/height/126251_8b0983da55cb8fd6ce36cb682946239c.jpg,Halter Neck Wide-Leg Jumpsuit,KOOVS,1599,400,75,Price After Sale,"[{'href': '/koovs-halter-neck-jumpsuit-167-126251-141434.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-halter-neck-jumpsuit-167-126251-141434.html,www.koovs.com/koovs-halter-neck-jumpsuit-167-126251-141434.html
8,1910236,131886,147918,https://product.koovs.com/131886_a2db4199d20ff56a4e3fe8d60ebe3b40.jpg,https://product.koovs.com/width/height/131886_a2db4199d20ff56a4e3fe8d60ebe3b40.jpg,Tie-Knot Back Strappy Jumpsuit,Ri-Dress,1795,1795,0,Price After Sale,"[{'href': '/moss-crepe-jumpsuit-with-open-back-131886-147918.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jumpsuits & Playsuits'],['Jumpsuits'],True,False,False,False,False,Koovs Exclusive,/moss-crepe-jumpsuit-with-open-back-131886-147918.html,www.koovs.com/moss-crepe-jumpsuit-with-open-back-131886-147918.html
9,1908947,131624,147595,https://product.koovs.com/131624_684e26097dea0d876b1ed1935dba5ac9.jpg,https://product.koovs.com/width/height/131624_684e26097dea0d876b1ed1935dba5ac9.jpg,Tiger Print Tie-Front Jumpsuit,KOOVS,1699,1699,0,Price After Sale,"[{'href': '/koovs-tie-front-jumpsuit-131624-147595.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jumpsuits & Playsuits'],['Jumpsuits'],False,False,False,False,False,,/koovs-tie-front-jumpsuit-131624-147595.html,www.koovs.com/koovs-tie-front-jumpsuit-131624-147595.html
