,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1920018,133925,150316,https://product.koovs.com/150316_ffe1f350f2a94477b6ec05804e91724f_image1_super_zoom.jpg,https://product.koovs.com/width/height/150316_ffe1f350f2a94477b6ec05804e91724f_image1_super_zoom.jpg,Bustier Scuba Bodycon Dress,KOOVS,1499,750,50,"[{'href': '/koovs-bustier-scuba-dress-133925-150316.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-bustier-scuba-dress-133925-150316.html,www.koovs.com/koovs-bustier-scuba-dress-133925-150316.html
1,1907720,131424,147354,https://product.koovs.com/147354_e0a95568af1e4ffea1e19c3b9c7d960c_image1_super_zoom.jpg,https://product.koovs.com/width/height/147354_e0a95568af1e4ffea1e19c3b9c7d960c_image1_super_zoom.jpg,Trefoil Logo Mini T-Shirt Dress,Adidas,3999,3999,0,"[{'href': '/dress---------------black-131424-147354.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/dress---------------black-131424-147354.html,www.koovs.com/dress---------------black-131424-147354.html
2,1914567,132745,148940,https://product.koovs.com/148940_0326e5174f2b49efa3bfe91d3dd0f863_image1_super_zoom.jpg,https://product.koovs.com/width/height/148940_0326e5174f2b49efa3bfe91d3dd0f863_image1_super_zoom.jpg,Twin Pocket Mini Shift Dress,Trendyol,1999,800,60,"[{'href': '/shift-dress-with-pockets-132745-148940.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/shift-dress-with-pockets-132745-148940.html,www.koovs.com/shift-dress-with-pockets-132745-148940.html
3,1914233,132695,148872,https://product.koovs.com/148872_005e74205fb94240921c5b61ed952c84_image1_super_zoom.jpg,https://product.koovs.com/width/height/148872_005e74205fb94240921c5b61ed952c84_image1_super_zoom.jpg,Asymmetric Neck Mini Skater Dress,Trendyol,1999,800,60,"[{'href': '/skater-dress-with-cut-out-neck-detail-132695-148872.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/skater-dress-with-cut-out-neck-detail-132695-148872.html,www.koovs.com/skater-dress-with-cut-out-neck-detail-132695-148872.html
4,1914227,132693,148870,https://product.koovs.com/148870_26e291ba35da4ceabc853294f35cb02f_image1_super_zoom.jpg,https://product.koovs.com/width/height/148870_26e291ba35da4ceabc853294f35cb02f_image1_super_zoom.jpg,Abstract Print Shirred Waist Skater Dress,Trendyol,1999,800,60,"[{'href': '/printed-dress-with-waist-detail-132693-148870.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/printed-dress-with-waist-detail-132693-148870.html,www.koovs.com/printed-dress-with-waist-detail-132693-148870.html
5,1914220,132691,148868,https://product.koovs.com/148868_82edec280a9e4a8a91f536a3bc35ed55_image1_super_zoom.jpg,https://product.koovs.com/width/height/148868_82edec280a9e4a8a91f536a3bc35ed55_image1_super_zoom.jpg,Tropical Print Mini Off-Shoulder Dress,Trendyol,1999,800,60,"[{'href': '/tropical-print-off-shoulder-dress-132691-148868.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Off-shoulder & Bandeau Dresses'],False,False,False,False,False,,/tropical-print-off-shoulder-dress-132691-148868.html,www.koovs.com/tropical-print-off-shoulder-dress-132691-148868.html
6,1914209,132688,148865,https://product.koovs.com/148865_3897de51f52f477089d0af0210ca9e9c_image1_super_zoom.jpg,https://product.koovs.com/width/height/148865_3897de51f52f477089d0af0210ca9e9c_image1_super_zoom.jpg,Check Print High-Low Hem Shift Dress,Trendyol,1999,800,60,"[{'href': '/shift-dress-with-checks-132688-148865.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/shift-dress-with-checks-132688-148865.html,www.koovs.com/shift-dress-with-checks-132688-148865.html
7,1914203,132687,148863,https://product.koovs.com/148863_4e931d14b76f4826b8fa2db92a326301_image1_super_zoom.jpg,https://product.koovs.com/width/height/148863_4e931d14b76f4826b8fa2db92a326301_image1_super_zoom.jpg,Printed Strappy Shift Dress,Trendyol,1999,800,60,"[{'href': '/animal-print-midi-dress-132687-148863.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/animal-print-midi-dress-132687-148863.html,www.koovs.com/animal-print-midi-dress-132687-148863.html
9,1914195,132686,148861,https://product.koovs.com/148861_841c38079fbf441f8ad9fa6e402c1e44_image1_super_zoom.jpg,https://product.koovs.com/width/height/148861_841c38079fbf441f8ad9fa6e402c1e44_image1_super_zoom.jpg,Floral Print Mini Skater Dress,Trendyol,1999,800,60,"[{'href': '/floral-print-skater-dress-132686-148861.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/floral-print-skater-dress-132686-148861.html,www.koovs.com/floral-print-skater-dress-132686-148861.html
10,1914105,132664,148837,https://product.koovs.com/148837_6012170c4ba945cba1c67eb27c251891_image1_super_zoom.jpg,https://product.koovs.com/width/height/148837_6012170c4ba945cba1c67eb27c251891_image1_super_zoom.jpg,Front-Slit Belted Midi Dress,Trendyol,1999,800,60,"[{'href': '/solid-midi-dress-with-belt-132664-148837.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Dresses'],['Midi Dresses'],False,False,False,False,False,,/solid-midi-dress-with-belt-132664-148837.html,www.koovs.com/solid-midi-dress-with-belt-132664-148837.html
11,1914092,132660,148833,https://product.koovs.com/148833_7ef39a1d0fb6484ebd5991ece9d5d855_image1_super_zoom.jpg,https://product.koovs.com/width/height/148833_7ef39a1d0fb6484ebd5991ece9d5d855_image1_super_zoom.jpg,Floral Leaf Print Off-Shoulder Skater Dress,Trendyol,1999,800,60,"[{'href': '/printed-off-shoulder-dress-132660-148833.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/printed-off-shoulder-dress-132660-148833.html,www.koovs.com/printed-off-shoulder-dress-132660-148833.html
12,1919155,133728,150036,https://product.koovs.com/150036_613d95d0a7ee445493dcbc9a30011ce1_image1_super_zoom.jpg,https://product.koovs.com/width/height/150036_613d95d0a7ee445493dcbc9a30011ce1_image1_super_zoom.jpg,Floral Print Blouson Asymmetric Dress,KOOVS,1699,680,60,"[{'href': '/koovs-printed-high-low-midi-dress-133728-150036.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Asymmetric Dresses'],False,False,False,False,False,,/koovs-printed-high-low-midi-dress-133728-150036.html,www.koovs.com/koovs-printed-high-low-midi-dress-133728-150036.html
13,1913663,132554,148698,https://product.koovs.com/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,https://product.koovs.com/width/height/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,High Neck Frill Shift Dress,KOOVS,1299,520,60,"[{'href': '/koovs-high-neck-frill-sleeve-dress-132554-148698.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/koovs-high-neck-frill-sleeve-dress-132554-148698.html,www.koovs.com/koovs-high-neck-frill-sleeve-dress-132554-148698.html
14,1916442,133106,149380,https://product.koovs.com/149380_85cad0973f4a4571b630690ab3271e17_image1_super_zoom.jpg,https://product.koovs.com/width/height/149380_85cad0973f4a4571b630690ab3271e17_image1_super_zoom.jpg,Cut-Out Back Sequinned Bodycon Dress,KOOVS,3499,1400,60,"[{'href': '/koovs-sequin-and-tassel-dress-133106-149380.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-sequin-and-tassel-dress-133106-149380.html,www.koovs.com/koovs-sequin-and-tassel-dress-133106-149380.html
15,1906814,131261,147120,https://product.koovs.com/147120_deea63d178ba4dc2898a0c0e78717533_image1_super_zoom.jpg,https://product.koovs.com/width/height/147120_deea63d178ba4dc2898a0c0e78717533_image1_super_zoom.jpg,Cross-Back Strappy Midi Denim Dress,Sbuys,1499,600,60,"[{'href': '/strappy-denim-dress-with-cross-back-detail-131261-147120.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Dresses'],['Denim Dresses'],True,False,False,True,False,Koovs Exclusive,/strappy-denim-dress-with-cross-back-detail-131261-147120.html,www.koovs.com/strappy-denim-dress-with-cross-back-detail-131261-147120.html
16,356141,86257,95979,https://product.koovs.com/86257_5a195cdb4ad67320ebebf17c92f0eee9.jpg,https://product.koovs.com/width/height/86257_5a195cdb4ad67320ebebf17c92f0eee9.jpg,Twin Pocket Denim Shirt Dress,KOOVS,1695,678,60,"[{'href': '/koovs-pocket-detail-denim-shirt-dress-86257-95979.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Shirt Dresses'],False,False,False,False,False,,/koovs-pocket-detail-denim-shirt-dress-86257-95979.html,www.koovs.com/koovs-pocket-detail-denim-shirt-dress-86257-95979.html
17,239453,60416,66436,https://product.koovs.com/60416_cdbb1159eb422219d6723c196f84e325.jpg,https://product.koovs.com/width/height/60416_cdbb1159eb422219d6723c196f84e325.jpg,Pleated Side-Slit Maxi Dress,KOOVS,1495,299,80,"[{'href': '/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html', 'rel': 'self', 'method': 'GET'}]",['Orange'],['Dresses'],['Maxi Dresses'],False,False,False,False,False,,/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html,www.koovs.com/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html
18,1933640,136886,153623,https://product.koovs.com/153623_7b295caa9fb34dd3b5239aa425b10886_image1_super_zoom.jpg,https://product.koovs.com/width/height/153623_7b295caa9fb34dd3b5239aa425b10886_image1_super_zoom.jpg,Satin Floral Print Midi Dress,Closet Drama,1699,680,60,"[{'href': '/brown-floral-midi-with-square-neck-136886-153623.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Midi Dresses'],True,False,False,False,False,Koovs Exclusive,/brown-floral-midi-with-square-neck-136886-153623.html,www.koovs.com/brown-floral-midi-with-square-neck-136886-153623.html
19,1873275,124215,139128,https://product.koovs.com/124215_0986f4bd97a06ac183c0a2f0075002f7.jpg,https://product.koovs.com/width/height/124215_0986f4bd97a06ac183c0a2f0075002f7.jpg,Button Detail Tunic Dress,LC Waikiki,2999,1200,60,"[{'href': '/yellow-tunics-124215-139128.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Dresses'],['Tunic Dresses'],False,False,False,False,False,,/yellow-tunics-124215-139128.html,www.koovs.com/yellow-tunics-124215-139128.html
