,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,452754,106004,118364,https://product.koovs.com/118364_0e48fbeb80dc41a9b966d8edfea8ffce_image1_super_zoom.jpg,https://product.koovs.com/width/height/118364_0e48fbeb80dc41a9b966d8edfea8ffce_image1_super_zoom.jpg,KOOVS Skinny Fit Jeans,K Denim,999,449,55,"[{'href': '/k-denim-basic-skinny-jeans-274-106004-118364.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/k-denim-basic-skinny-jeans-274-106004-118364.html,www.koovs.com/k-denim-basic-skinny-jeans-274-106004-118364.html
1,447690,104951,117200,https://product.koovs.com/117200_d0f015be8a664e2dbc232fbb6f9a7507_image1_super_zoom.jpg,https://product.koovs.com/width/height/117200_d0f015be8a664e2dbc232fbb6f9a7507_image1_super_zoom.jpg,KOOVS  Basic Skinny Fit Jeans,K Denim,999,449,55,"[{'href': '/k-denim-basic-skinny-jeans-104951-117200.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Skinny Jeans'],False,False,False,True,False,,/k-denim-basic-skinny-jeans-104951-117200.html,www.koovs.com/k-denim-basic-skinny-jeans-104951-117200.html
2,1935622,137142,154030,https://product.koovs.com/154030_51700a592b2a40cc91190f2ff5df06e1_image1_super_zoom.jpg,https://product.koovs.com/width/height/154030_51700a592b2a40cc91190f2ff5df06e1_image1_super_zoom.jpg,KOOVS Tie & Dye Skinny Jeans,K Denim,1899,1899,0,"[{'href': '/koovs-tie-dye-skinny-fit-jeans-137142-154030.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/koovs-tie-dye-skinny-fit-jeans-137142-154030.html,www.koovs.com/koovs-tie-dye-skinny-fit-jeans-137142-154030.html
3,1934646,137059,153844,https://product.koovs.com/153844_1a904c2d841742d38494098a4c3c22b2_image1_super_zoom.jpg,https://product.koovs.com/width/height/153844_1a904c2d841742d38494098a4c3c22b2_image1_super_zoom.jpg,Distressed Patch Dark Wash Skinny Jeans,Kultprit,2199,2199,0,"[{'href': '/kultprit-skninny-denim-with-zipsmultiple-pockts-and-patchs-137059-153844.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/kultprit-skninny-denim-with-zipsmultiple-pockts-and-patchs-137059-153844.html,www.koovs.com/kultprit-skninny-denim-with-zipsmultiple-pockts-and-patchs-137059-153844.html
4,1930953,136268,152957,https://product.koovs.com/152957_98289cd850944d4abb0072f6ec2f84ee_image1_super_zoom.jpg,https://product.koovs.com/width/height/152957_98289cd850944d4abb0072f6ec2f84ee_image1_super_zoom.jpg,Reflective Side Tape Slim Jeans,Blue Saint,1999,1999,0,"[{'href': '/blue-saint-black-cargo-jeans-with-side-pockets-with-snap-buttons--flap-reflectice-side-tape-136268-152957.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/blue-saint-black-cargo-jeans-with-side-pockets-with-snap-buttons--flap-reflectice-side-tape-136268-152957.html,www.koovs.com/blue-saint-black-cargo-jeans-with-side-pockets-with-snap-buttons--flap-reflectice-side-tape-136268-152957.html
5,1930806,136231,152920,https://product.koovs.com/152920_3221688bd1984bd095a3270a75d661d0_image1_super_zoom.jpg,https://product.koovs.com/width/height/152920_3221688bd1984bd095a3270a75d661d0_image1_super_zoom.jpg,Check Patch Distressed Skinny Jeans,Blue Saint,1999,1999,0,"[{'href': '/blue-saint-ripped-jeans-with-yd-checkscontrast-patches-136231-152920.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/blue-saint-ripped-jeans-with-yd-checkscontrast-patches-136231-152920.html,www.koovs.com/blue-saint-ripped-jeans-with-yd-checkscontrast-patches-136231-152920.html
6,1905790,131053,146887,https://product.koovs.com/131053_dce2f0a36d0cace072bde7324c1598b9.jpg,https://product.koovs.com/width/height/131053_dce2f0a36d0cace072bde7324c1598b9.jpg,KOOVS Text Side Tape Slim Jeans,K Denim,1699,1699,0,"[{'href': '/k-denim-side-tape-jeans-73-131053-146887.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/k-denim-side-tape-jeans-73-131053-146887.html,www.koovs.com/k-denim-side-tape-jeans-73-131053-146887.html
7,1930859,136244,152933,https://product.koovs.com/152933_ec375e96bc7b4776a80ee627088ce5aa_image1_super_zoom.jpg,https://product.koovs.com/width/height/152933_ec375e96bc7b4776a80ee627088ce5aa_image1_super_zoom.jpg,Printed Patch Slim Jeans,Blue Saint,1899,1899,0,"[{'href': '/blue-saint-basic-5-pkt-jeans-with-printed-patch-at-right-knee-136244-152933.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/blue-saint-basic-5-pkt-jeans-with-printed-patch-at-right-knee-136244-152933.html,www.koovs.com/blue-saint-basic-5-pkt-jeans-with-printed-patch-at-right-knee-136244-152933.html
8,1916913,133209,149483,https://product.koovs.com/149483_011f5940829849be995751db32f79db6_image1_super_zoom.jpg,https://product.koovs.com/width/height/149483_011f5940829849be995751db32f79db6_image1_super_zoom.jpg,Colour Block Washed Slim Jeans,CHELSEA KING,2699,539,80,"[{'href': '/chelsea-king-heavy-washed-skinny-fit-jeans-133209-149483.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/chelsea-king-heavy-washed-skinny-fit-jeans-133209-149483.html,www.koovs.com/chelsea-king-heavy-washed-skinny-fit-jeans-133209-149483.html
9,1916768,133180,149454,https://product.koovs.com/149454_8b08caa0d71c413f8fb5e98ecc6038f6_image1_super_zoom.jpg,https://product.koovs.com/width/height/149454_8b08caa0d71c413f8fb5e98ecc6038f6_image1_super_zoom.jpg,Contrast Tape Washed Regular Jeans,CHELSEA KING,2299,459,80,"[{'href': '/chelsea-king-taped-slim-fit-jeans-133180-149454.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Regular Jeans'],False,False,False,False,False,,/chelsea-king-taped-slim-fit-jeans-133180-149454.html,www.koovs.com/chelsea-king-taped-slim-fit-jeans-133180-149454.html
10,1852852,119860,134314,https://product.koovs.com/119860_e2e2ca93dd8fb34e8c500d04b990614f.jpg,https://product.koovs.com/width/height/119860_e2e2ca93dd8fb34e8c500d04b990614f.jpg,KOOVS Contrast Tape Cropped Slim Jeans,K Denim,1699,1699,0,"[{'href': '/koovs-zip-knee-jeans-119860-134314.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-zip-knee-jeans-119860-134314.html,www.koovs.com/koovs-zip-knee-jeans-119860-134314.html
