,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1917084,133248,149522,https://product.koovs.com/149522_b7e06e905cb74f02a19b8413f495e02a_image1_super_zoom.jpg,https://product.koovs.com/width/height/149522_b7e06e905cb74f02a19b8413f495e02a_image1_super_zoom.jpg,Frayed Hem Washed Denim Shorts,CHELSEA KING,1699,339,80,Price After Sale,"[{'href': '/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html,www.koovs.com/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html
1,1863776,122209,136898,https://product.koovs.com/122209_31050f531c0a0522dd3466d448f4bf9c.jpg,https://product.koovs.com/width/height/122209_31050f531c0a0522dd3466d448f4bf9c.jpg,Slim Fit Denim Shorts,Blue Saint,899,899,0,Price After Sale,"[{'href': '/slim-fit-basic-denim-shorts-299-122209-136898.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/slim-fit-basic-denim-shorts-299-122209-136898.html,www.koovs.com/slim-fit-basic-denim-shorts-299-122209-136898.html
2,1936572,137285,154213,https://product.koovs.com/154213_70820308d59a4dd9870e15450b1436f7_image1_super_zoom.jpg,https://product.koovs.com/width/height/154213_70820308d59a4dd9870e15450b1436f7_image1_super_zoom.jpg,Tiger Print Regular Shorts,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-aop-shorts-137285-154213.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-aop-shorts-137285-154213.html,www.koovs.com/koovs-aop-shorts-137285-154213.html
3,1886503,127036,142308,https://product.koovs.com/127036_b6585a51f66061240c6399c08818af1e.jpg,https://product.koovs.com/width/height/127036_b6585a51f66061240c6399c08818af1e.jpg,All Over Floral Print Shorts,Brave Soul,1699,509,70,Price After Sale,"[{'href': '/all-over-print-shorts-170-127036-142308.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/all-over-print-shorts-170-127036-142308.html,www.koovs.com/all-over-print-shorts-170-127036-142308.html
4,1895426,128871,144379,https://product.koovs.com/128871_0cb710532cd46b6a8abf6ffef35bd381.jpg,https://product.koovs.com/width/height/128871_0cb710532cd46b6a8abf6ffef35bd381.jpg,Belted Washed Slim Shorts,Alcott,1799,1799,0,Price After Sale,"[{'href': '/alcott-shorts-230-128871-144379.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/alcott-shorts-230-128871-144379.html,www.koovs.com/alcott-shorts-230-128871-144379.html
5,1935576,137133,154021,https://product.koovs.com/154021_f7d50b5b61a44f3da3d653700d5dbd2c_image1_super_zoom.jpg,https://product.koovs.com/width/height/154021_f7d50b5b61a44f3da3d653700d5dbd2c_image1_super_zoom.jpg,Contrast Tape Trim Mesh Baseball Shorts,KOOVS,699,349,50,Price After Sale,"[{'href': '/mesh-basketball-shorts-137133-154021.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/mesh-basketball-shorts-137133-154021.html,www.koovs.com/mesh-basketball-shorts-137133-154021.html
6,1917074,133246,149520,https://product.koovs.com/149520_bf3e7b06d8414c28b9edcd88e3ca6952_image1_super_zoom.jpg,https://product.koovs.com/width/height/149520_bf3e7b06d8414c28b9edcd88e3ca6952_image1_super_zoom.jpg,Contrast Side Panel Shorts,CHELSEA KING,1299,260,80,Price After Sale,"[{'href': '/chelsea-king-panelled-twill-shorts-133246-149520.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-panelled-twill-shorts-133246-149520.html,www.koovs.com/chelsea-king-panelled-twill-shorts-133246-149520.html
7,1917102,133251,149525,https://product.koovs.com/149525_4d0b570777bd427fac032ccfe063484f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149525_4d0b570777bd427fac032ccfe063484f_image1_super_zoom.jpg,Cut & Sew Panel Shorts,CHELSEA KING,1499,299,80,Price After Sale,"[{'href': '/chelsea-king-cut--sew-panel-shorts-133251-149525.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-cut--sew-panel-shorts-133251-149525.html,www.koovs.com/chelsea-king-cut--sew-panel-shorts-133251-149525.html
8,447548,104917,117166,https://product.koovs.com/104917_d2229a0c5b2838dc977dbddd4cc45836.jpg,https://product.koovs.com/width/height/104917_d2229a0c5b2838dc977dbddd4cc45836.jpg,Swoosh Logo Shorts,Nike,1895,1895,0,Price After Sale,"[{'href': '/as-m-nk-short-hbr-104917-117166.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/as-m-nk-short-hbr-104917-117166.html,www.koovs.com/as-m-nk-short-hbr-104917-117166.html
9,1915968,133010,149276,https://product.koovs.com/149276_2c55909cdd9b44f392e381bf98c0ba4f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149276_2c55909cdd9b44f392e381bf98c0ba4f_image1_super_zoom.jpg,Sportswear Logo Shorts,Nike,2895,2895,0,Price After Sale,"[{'href': '/nike-drawstring-logo-shorts-426-133010-149276.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/nike-drawstring-logo-shorts-426-133010-149276.html,www.koovs.com/nike-drawstring-logo-shorts-426-133010-149276.html
