,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shorts/Blackberrys/Blackberrys-Men-Sea-Green-Solid-Slim-Fit-Chinos-Shorts/11192230/buy,False,,False,11192230,Blackberrys Men Sea Green Solid Slim Fit Chinos Shorts,Blackberrys Men Sea Green Solid Slim Fit Chinos Shorts,0.0,0,False,0,,810,Blackberrys,http://assets.myntassets.com/assets/images/11192230/2020/7/28/246ba33c-027f-41b8-a37b-4b1052ef2e331595925157558BlackberrysMenSeaGreenSolidSlimFitChinosShorts1.jpg,0,0,38677374,4214,0,,[],"[{'skuId': 41993022, 'label': '28', 'inventory': 0, 'available': False}, {'skuId': 38677372, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 38677374, 'label': '32', 'inventory': 1, 'available': True}, {'skuId': 38677376, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 38677378, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 38677380, 'label': '38', 'inventory': 0, 'available': False}]",32,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/246ba33c-027f-41b8-a37b-4b1052ef2e331595925157558BlackberrysMenSeaGreenSolidSlimFitChinosShorts1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/246ba33c-027f-41b8-a37b-4b1052ef2e331595925157558BlackberrysMenSeaGreenSolidSlimFitChinosShorts1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/ef7653e8-af8e-4298-a425-9ecc3ca0f1df1595925158125BlackberrysMenSeaGreenSolidSlimFitChinosShorts6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/e3ae40fb-6eab-4b4a-a987-f6af644844a01595925158005BlackberrysMenSeaGreenSolidSlimFitChinosShorts5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/a27b3126-6309-4052-9543-1c9fe1a7bcdd1595925158239BlackberrysMenSeaGreenSolidSlimFitChinosShorts7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/44081be3-9866-4a31-99d5-ed21403188ea1595925157766BlackberrysMenSeaGreenSolidSlimFitChinosShorts3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/6442f9a5-872c-440f-8fda-143a14da5fc51595925157658BlackberrysMenSeaGreenSolidSlimFitChinosShorts2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11192230/2020/7/28/296d61e0-881e-40bd-874d-1872d19b11bf1595925157902BlackberrysMenSeaGreenSolidSlimFitChinosShorts4.jpg'}]",Men,Sea Green,Flat_Search_Percent,(45% OFF),Men Slim Fit Chinos Shorts,Shorts,1799,989,,False,,0,1,,1595462400000,Spring,2019,False,,,0,,[],www.myntra.com/Shorts/Blackberrys/Blackberrys-Men-Sea-Green-Solid-Slim-Fit-Chinos-Shorts/11192230/buy
1,Shorts/t-base/t-base-Men-Khaki-Solid-Slim-Fit-Chino-Shorts/12152362/buy,False,,False,12152362,t-base Men Khaki Solid Slim Fit Chino Shorts,t-base Men Khaki Solid Slim Fit Chino Shorts,0.0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/a102dcd6-ef42-41d5-85e0-eda10b9ad6f11595717188377-1.jpg,0,0,42339248,4030,0,,[],"[{'skuId': 42339248, 'label': '30', 'inventory': 11, 'available': True}, {'skuId': 42339256, 'label': '32', 'inventory': 22, 'available': True}, {'skuId': 42339262, 'label': '34', 'inventory': 23, 'available': True}, {'skuId': 42339268, 'label': '36', 'inventory': 23, 'available': True}, {'skuId': 42339272, 'label': '38', 'inventory': 14, 'available': True}, {'skuId': 42339276, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339280, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/a102dcd6-ef42-41d5-85e0-eda10b9ad6f11595717188377-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/a102dcd6-ef42-41d5-85e0-eda10b9ad6f11595717188377-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/a3d21686-2163-45fb-9353-ddf570e007691595717188694-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/ca11c7b8-63f4-4dea-aa70-8d834d0059861595717188639-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/82010382-839a-4ad0-b3fd-837e6ffc7a221595717188509-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/c6b2ab37-8ad6-40f7-9e92-08c3b01c275b1595717188434-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/2c028b49-3879-434c-9c84-8e92110cde051595717188570-4.jpg'}]",Men,Khaki,,,Men Slim Fit Chino Shorts,Shorts,1499,1499,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Khaki-Solid-Slim-Fit-Chino-Shorts/12152362/buy
2,Shorts/t-base/t-base-Men-White-Solid-Slim-Fit-Chino-Shorts/12140578/buy,False,,False,12140578,t-base Men White Solid Slim Fit Chino Shorts,t-base Men White Solid Slim Fit Chino Shorts,0.0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/23/61bd8ace-b576-4aa7-8d34-7f385cdb63381595482725841-1.jpg,0,0,42293932,4030,0,,[],"[{'skuId': 42293932, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 42293940, 'label': '32', 'inventory': 14, 'available': True}, {'skuId': 42293944, 'label': '34', 'inventory': 20, 'available': True}, {'skuId': 42293948, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 42293952, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42293954, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 42293956, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,40","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/61bd8ace-b576-4aa7-8d34-7f385cdb63381595482725841-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/61bd8ace-b576-4aa7-8d34-7f385cdb63381595482725841-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/4e405f1e-4b19-4c87-9805-d6995b3eacd31595482726146-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/16424c04-1407-499f-9e1a-7e8468be4e101595482726082-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/3dcd4267-459b-470c-b666-2766ff21132f1595482725950-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/4ba1edba-19d3-4e88-bfdc-68cac2ed0eef1595482725897-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/0c19224a-9393-405e-95ff-c44fa02988171595482726018-4.jpg'}]",Men,White,,,Men Slim Fit Chino Shorts,Shorts,1299,1299,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-White-Solid-Slim-Fit-Chino-Shorts/12140578/buy
3,Shorts/SG/SG-Men-Navy-Blue-Printed-Regular-Fit-Sports-Knitted-Shorts/12145012/buy,False,,False,12145012,SG Men Navy Blue Printed Regular Fit Sports Knitted Shorts,SG Men Navy Blue Printed Regular Fit Sports Knitted Shorts,0.0,0,False,0,,40,SG,http://assets.myntassets.com/assets/images/productimage/2020/7/25/0287464e-dbb9-4a6d-803a-e87a5ba0fea31595627766839-1.jpg,0,0,42311668,4209,0,,[],"[{'skuId': 42311674, 'label': '28', 'inventory': 4, 'available': True}, {'skuId': 42311672, 'label': '30', 'inventory': 12, 'available': True}, {'skuId': 42311668, 'label': '32', 'inventory': 9, 'available': True}, {'skuId': 42311676, 'label': '34', 'inventory': 10, 'available': True}, {'skuId': 42311682, 'label': '36', 'inventory': 6, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0287464e-dbb9-4a6d-803a-e87a5ba0fea31595627766839-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0287464e-dbb9-4a6d-803a-e87a5ba0fea31595627766839-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/73000c13-5a27-480c-945f-57a800b7ceef1595627767100-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0ab46f7a-2140-44ee-a0b1-abbc4abc4b191595627766975-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/434b5bd4-f732-4b09-9474-d47d8d8f05201595627766916-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/5dd84fde-d3ec-4970-be68-67383333ea9a1595627767041-4.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(5% OFF),Men Knitted Sports Shorts,Shorts,799,759,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/SG/SG-Men-Navy-Blue-Printed-Regular-Fit-Sports-Knitted-Shorts/12145012/buy
4,Shorts/SG/SG-Men-Blue-Solid-Regular-Fit-Sports-Shorts/12144994/buy,False,,False,12144994,SG Men Blue Solid Regular Fit Sports Shorts,SG Men Blue Solid Regular Fit Sports Shorts,0.0,0,False,0,,25,SG,http://assets.myntassets.com/assets/images/productimage/2020/7/25/0ec577d9-1dfd-4ea5-b613-55d68032dfde1595628972634-1.jpg,0,0,42311586,4209,0,,[],"[{'skuId': 42311586, 'label': '28', 'inventory': 4, 'available': True}, {'skuId': 42311582, 'label': '30', 'inventory': 6, 'available': True}, {'skuId': 42311578, 'label': '32', 'inventory': 0, 'available': False}, {'skuId': 42311590, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 42311594, 'label': '36', 'inventory': 0, 'available': False}]","28,30","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0ec577d9-1dfd-4ea5-b613-55d68032dfde1595628972634-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0ec577d9-1dfd-4ea5-b613-55d68032dfde1595628972634-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/62f4e988-92cc-43c8-85e0-5ef630ef0b101595628972880-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/6b721d8a-9ed0-4f22-ac77-44b1324c7d261595628972775-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/91725207-5e34-4cab-af6d-d38bb21b8d211595628972704-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/b86b82ad-7d4d-4ebe-81ef-abcc9bb41c3c1595628972834-4.jpg'}]",Men,Blue,Flat_Search_Percent,(5% OFF),Men Regular Fit Sports Shorts,Shorts,499,474,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/SG/SG-Men-Blue-Solid-Regular-Fit-Sports-Shorts/12144994/buy
5,Shorts/t-base/t-base-Men-Burgundy-Solid-Regular-Fit-Cargo-Shorts/12152380/buy,False,,False,12152380,t-base Men Burgundy Solid Regular Fit Cargo Shorts,t-base Men Burgundy Solid Regular Fit Cargo Shorts,0.0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/13fcd166-ff3d-46f4-be36-2d4aaa1d71501595718758336-1.jpg,0,0,42339378,4030,0,,[],"[{'skuId': 42339378, 'label': '30', 'inventory': 11, 'available': True}, {'skuId': 42339392, 'label': '32', 'inventory': 9, 'available': True}, {'skuId': 42339396, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 42339400, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 42339402, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42339404, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339406, 'label': '42', 'inventory': 0, 'available': False}]","30,32","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/13fcd166-ff3d-46f4-be36-2d4aaa1d71501595718758336-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/13fcd166-ff3d-46f4-be36-2d4aaa1d71501595718758336-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/9f0f2f25-93b3-4769-a67b-0c6ab9cd832f1595718758667-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/7642b0a0-5fc4-4308-8dc2-470c3fb5d99e1595718758607-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/9ff0266c-6ccb-4dfb-97e0-683e71f8e5c21595718758486-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/b9cea7e6-2343-4514-8564-0920f6549b381595718758421-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/2f835c9b-8756-4e6e-903f-44f22ab5cf1d1595718758548-4.jpg'}]",Men,Burgundy,,,Men Regular Fit Cargo Shorts,Shorts,1799,1799,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Burgundy-Solid-Regular-Fit-Cargo-Shorts/12152380/buy
6,Shorts/Blackberrys/Blackberrys-Men-Blue-Solid-Sharp-Fit-Regular-Shorts/11192352/buy,False,,False,11192352,Blackberrys Men Blue Solid Sharp Fit Regular Shorts,Blackberrys Men Blue Solid Sharp Fit Regular Shorts,0.0,0,False,0,,673,Blackberrys,http://assets.myntassets.com/assets/images/11192352/2020/7/23/691fa146-0ef9-4867-9cec-70812da5da2c1595488247824BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg,0,0,38678082,4214,0,,[],"[{'skuId': 41993038, 'label': '28', 'inventory': 0, 'available': False}, {'skuId': 38678078, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 38678082, 'label': '32', 'inventory': 1, 'available': True}, {'skuId': 38678084, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 38678086, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 38678090, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 38678092, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 41993040, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 41993042, 'label': '44', 'inventory': 0, 'available': False}]",32,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/691fa146-0ef9-4867-9cec-70812da5da2c1595488247824BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/691fa146-0ef9-4867-9cec-70812da5da2c1595488247824BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/5faf9c22-575e-40bb-8e44-45465f0d288a1595488248496BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/e3680220-a6ea-4def-a83c-310f6b27a64f1595488248333BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/48560801-63e9-49ae-b1f8-a85299bae9ff1595488248629BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/219af22f-4256-4704-a234-bac775153f1d1595488248088BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/b1ba82a0-79bd-433e-86d8-f3e888155a121595488248208BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/c4275474-8004-4896-99f7-f773cdc7a1ae1595488247954BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans2.jpg'}]",Men,Blue,Flat_Search_Percent,(45% OFF),Men Sharp Fit Regular Shorts,Shorts,1495,822,,False,,0,1,,1595462400000,Spring,2019,False,,,0,,[],www.myntra.com/Shorts/Blackberrys/Blackberrys-Men-Blue-Solid-Sharp-Fit-Regular-Shorts/11192352/buy
7,Shorts/t-base/t-base-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts/12152356/buy,False,,False,12152356,t-base Men Navy Blue Solid Slim Fit Chino Shorts,t-base Men Navy Blue Solid Slim Fit Chino Shorts,0.0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/8b08edda-063b-4fa6-a84a-10adb7d728821595718239299-1.jpg,0,0,42339202,4030,0,,[],"[{'skuId': 42339202, 'label': '30', 'inventory': 19, 'available': True}, {'skuId': 42339212, 'label': '32', 'inventory': 31, 'available': True}, {'skuId': 42339218, 'label': '34', 'inventory': 20, 'available': True}, {'skuId': 42339224, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 42339228, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 42339234, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339238, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/8b08edda-063b-4fa6-a84a-10adb7d728821595718239299-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/8b08edda-063b-4fa6-a84a-10adb7d728821595718239299-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/ffc76601-e528-4c47-ac7d-0b32a412b3cb1595718239585-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/92116ac9-7465-4d93-b847-f9650e33267b1595718239516-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/cd7ba6f7-0176-4286-ae73-1b28fe3febba1595718239397-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/b49f90fb-508d-43b3-9ec1-39d70d6d87f81595718239452-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/3510c044-25c1-44d6-a674-6f0977a8aa451595718239348-2.jpg'}]",Men,Navy Blue,,,Men Slim Fit Chino Shorts,Shorts,1299,1299,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts/12152356/buy
8,Shorts/t-base/t-base-Men-Green-Solid-Regular-Fit-Cargo-Shorts/12152368/buy,False,,False,12152368,t-base Men Green Solid Regular Fit Cargo Shorts,t-base Men Green Solid Regular Fit Cargo Shorts,0.0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/1aab4029-455e-47cc-8902-d59330a1bd801595716491795-1.jpg,0,0,42339292,4030,0,,[],"[{'skuId': 42339286, 'label': '30', 'inventory': 18, 'available': True}, {'skuId': 42339292, 'label': '32', 'inventory': 13, 'available': True}, {'skuId': 42339298, 'label': '34', 'inventory': 2, 'available': True}, {'skuId': 42339304, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 42339310, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42339314, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339318, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/1aab4029-455e-47cc-8902-d59330a1bd801595716491795-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/1aab4029-455e-47cc-8902-d59330a1bd801595716491795-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/cbbd4d2b-276f-4005-9f72-f160a4eb79ab1595716492146-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/786cb988-976b-4cef-a229-97907ac642961595716492077-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/278ce8c9-5a0f-486a-8214-984765c3c0011595716491928-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/440ef41d-e3a2-4993-91f3-230d7f3a74891595716492004-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/06577026-12b3-4671-9c64-cf1bb44631901595716491859-2.jpg'}]",Men,Green,,,Men Regular Fit Cargo Shorts,Shorts,1799,1799,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Green-Solid-Regular-Fit-Cargo-Shorts/12152368/buy
9,Shorts/t-base/t-base-Men-Blue-Printed-Regular-Fit-Cargo-Shorts/12140570/buy,False,,False,12140570,t-base Men Blue Printed Regular Fit Cargo Shorts,t-base Men Blue Printed Regular Fit Cargo Shorts,0.0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/24/d329b6a8-6efa-4e01-90ef-cd0b7b9c39101595540270230-1.jpg,0,0,42293890,4030,0,,[],"[{'skuId': 42293888, 'label': '30', 'inventory': 5, 'available': True}, {'skuId': 42293890, 'label': '32', 'inventory': 12, 'available': True}, {'skuId': 42293892, 'label': '34', 'inventory': 29, 'available': True}, {'skuId': 42293894, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 42293896, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 42293898, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 42293900, 'label': '42', 'inventory': 3, 'available': True}]","30,32,34,36,38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/d329b6a8-6efa-4e01-90ef-cd0b7b9c39101595540270230-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/d329b6a8-6efa-4e01-90ef-cd0b7b9c39101595540270230-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/51784fb8-97e1-46da-bd9a-fd51fd7f183c1595540270512-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/8ce921f1-b3f6-439a-a004-efbc029e8e641595540270444-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/aefa3b36-61b7-447f-874e-791b45a2f0851595540270340-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/712fd54e-aab9-46d2-b749-5a361b3b9e7c1595540270285-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/601a4adb-bb30-4b77-bb08-e97cadd8f7fb1595540270391-4.jpg'}]",Men,Blue,,,Men Regular Fit Cargo Shorts,Shorts,1999,1999,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Blue-Printed-Regular-Fit-Cargo-Shorts/12140570/buy
