,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-Navy-Blue-Solid-Boat-Neck-T-shirt/12145606/buy,False,,False,12145606,Beverly Hills Polo Club Women Navy Blue Solid Boat Neck T-shirt,Beverly Hills Polo Club Women Navy Blue Solid Boat Neck T-shirt,0,0,False,0,,0,Beverly Hills Polo Club,http://assets.myntassets.com/assets/images/productimage/2020/7/25/2995ed94-ae4c-4188-b63a-5433ace69ea01595633038450-1.jpg,0,0,42314650,8428,0,,[],"[{'skuId': 42314650, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 42314654, 'label': 'M', 'inventory': 4, 'available': True}, {'skuId': 42314658, 'label': 'L', 'inventory': 1, 'available': True}]","M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/2995ed94-ae4c-4188-b63a-5433ace69ea01595633038450-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/2995ed94-ae4c-4188-b63a-5433ace69ea01595633038450-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/34c909d8-62c3-4d33-b7ce-bbd7a9519f5c1595633038560-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/fd576c49-ec2f-4cc9-ae28-ba49140cfb591595633038501-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/acefefef-2517-4505-8ae2-e966d00162bd1595633038605-4.jpg'}]",Women,Navy Blue,,,Solid Boat Neck T-shirt,Tshirts,2299,2299,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-Navy-Blue-Solid-Boat-Neck-T-shirt/12145606/buy
1,Tops/Revolution/Revolution-Women-Black-Solid-Semi-Sheer-Accordian-Pleat-Layered-A-Line-Top/11985400/buy,False,,False,11985400,Revolution Women Black Solid Semi-Sheer Accordian Pleat Layered A-Line Top,Revolution Women Black Solid Semi-Sheer Accordian Pleat Layered A-Line Top,0,0,False,0,,1225,Revolution,http://assets.myntassets.com/assets/images/11985400/2020/7/24/97827c14-c5ec-4951-b862-a5f4dd3fc9851595564095128-Revolution-Women-Black-Solid-Top-5721595564093296-1.jpg,0,0,41722076,7346,0,,[],"[{'skuId': 41722074, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41722076, 'label': 'XXL', 'inventory': 2, 'available': True}, {'skuId': 41722078, 'label': '3XL', 'inventory': 4, 'available': True}, {'skuId': 41722080, 'label': '4XL', 'inventory': 4, 'available': True}, {'skuId': 41722082, 'label': '5XL', 'inventory': 1, 'available': True}, {'skuId': 41722084, 'label': '6XL', 'inventory': 1, 'available': True}]","XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/97827c14-c5ec-4951-b862-a5f4dd3fc9851595564095128-Revolution-Women-Black-Solid-Top-5721595564093296-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/97827c14-c5ec-4951-b862-a5f4dd3fc9851595564095128-Revolution-Women-Black-Solid-Top-5721595564093296-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/fffefcc1-5b1a-4132-855f-29554569783f1595564094824-Revolution-Women-Black-Solid-Top-5721595564093296-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/29376d55-c318-4701-89d8-4982a9c6ba561595564094889-Revolution-Women-Black-Solid-Top-5721595564093296-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/4e31c33d-6343-45eb-8fc4-22ba0a179a891595564094739-Revolution-Women-Black-Solid-Top-5721595564093296-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/4c9daf87-1eec-45f3-92e1-18d600002a651595564095008-Revolution-Women-Black-Solid-Top-5721595564093296-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/21c42105-a039-4394-aae0-c82da78b46e21595564094953-Revolution-Women-Black-Solid-Top-5721595564093296-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/c319b34d-5d14-4e7a-b41c-3a29b84808f61595564095064-Revolution-Women-Black-Solid-Top-5721595564093296-2.jpg'}]",Women,Black,Flat_Search_Percent,(35% OFF),Solid Layered A-Line Top,Tops,3500,2275,,False,,0,1,,1595462400000,Winter,2019,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Black-Solid-Semi-Sheer-Accordian-Pleat-Layered-A-Line-Top/11985400/buy
2,Tshirts/HM/HM-Women-White-Solid-Wide-Cotton-T-shirt/12125392/buy,False,,False,12125392,H&M Women White Solid Wide Cotton T-shirt,H&M Women White Solid Wide Cotton T-shirt,0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/1727e5a6-d4c5-4ddb-9003-627bf9ef42141595367002709-1.jpg,0,0,42234242,6771,0,,[],"[{'skuId': 42234242, 'label': 'XS', 'inventory': 300, 'available': True}, {'skuId': 42234244, 'label': 'S', 'inventory': 319, 'available': True}, {'skuId': 42234238, 'label': 'M', 'inventory': 252, 'available': True}, {'skuId': 42234240, 'label': 'L', 'inventory': 280, 'available': True}, {'skuId': 42234246, 'label': 'XL', 'inventory': 56, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/1727e5a6-d4c5-4ddb-9003-627bf9ef42141595367002709-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/1727e5a6-d4c5-4ddb-9003-627bf9ef42141595367002709-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/be4c51b9-c36c-4bcb-adf3-9712646a3ee21595367002935-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/84510787-1a9a-4510-a8ae-fdfcba48bb021595367002809-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/0e1b6110-06e2-438d-860e-8f51242c57a61595367002764-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/97f96bb2-3ef1-4de2-b3da-350971fdcc351595367002867-4.jpg'}]",Women,White,,,Solid Wide Cotton T-shirt,Tshirts,699,699,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/HM/HM-Women-White-Solid-Wide-Cotton-T-shirt/12125392/buy
3,Tops/Revolution/Revolution-Women-Navy-Blue-Linen-Solid-Top/11985390/buy,False,,False,11985390,Revolution Women Navy Blue Linen Solid Top,Revolution Women Navy Blue Linen Solid Top,0,0,False,0,,630,Revolution,http://assets.myntassets.com/assets/images/11985390/2020/7/23/2f779fd5-df94-40fc-9702-0286a80ad0341595504474024-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-1.jpg,0,0,41722016,7346,0,,[],"[{'skuId': 41722014, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41722016, 'label': 'XXL', 'inventory': 7, 'available': True}, {'skuId': 41722018, 'label': '3XL', 'inventory': 9, 'available': True}, {'skuId': 41722020, 'label': '4XL', 'inventory': 7, 'available': True}, {'skuId': 41722022, 'label': '5XL', 'inventory': 7, 'available': True}, {'skuId': 41722024, 'label': '6XL', 'inventory': 4, 'available': True}]","XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985390/2020/7/23/2f779fd5-df94-40fc-9702-0286a80ad0341595504474024-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985390/2020/7/23/2f779fd5-df94-40fc-9702-0286a80ad0341595504474024-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985390/2020/7/23/a3804803-0bd0-45ea-9278-e121a152dd4e1595504473763-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985390/2020/7/23/9ea1dba3-0cff-48d4-91b7-e146c24e478a1595504473890-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985390/2020/7/23/1867af06-761e-4c1b-8c17-f682d0a7307b1595504473953-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985390/2020/7/23/64bed97f-2955-4b5b-a38f-0e59bb0b983a1595504473827-Revolution-Women-Navy-Blue-Solid-Top-9401595504472268-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(35% OFF),Women Linen Solid Top,Tops,1800,1170,,False,,0,1,,1595462400000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Navy-Blue-Linen-Solid-Top/11985390/buy
4,Tshirts/UF/UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts/12060450/buy,False,,False,12060450,U&F Women Pack Of 2 Printed Round Neck T-shirts,U&F Women Pack Of 2 Printed Round Neck T-shirts,0,0,False,0,,1008,U&F,http://assets.myntassets.com/assets/images/12060450/2020/7/26/01e1d1d5-0829-4592-b83e-a96804a31b281595769736104-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-1.jpg,0,0,41990308,1770,0,,[],"[{'skuId': 41990308, 'label': 'S', 'inventory': 99, 'available': True}, {'skuId': 41990314, 'label': 'M', 'inventory': 98, 'available': True}, {'skuId': 41990316, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 41990320, 'label': 'XL', 'inventory': 100, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12060450/2020/7/26/01e1d1d5-0829-4592-b83e-a96804a31b281595769736104-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12060450/2020/7/26/01e1d1d5-0829-4592-b83e-a96804a31b281595769736104-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12060450/2020/7/26/aaec5751-db7c-47dd-bca6-436b01a3eac61595769735881-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12060450/2020/7/26/2e59677d-320c-4753-a5ad-a9eea4157ac21595769735987-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12060450/2020/7/26/9681c6cd-7de4-4d99-b285-99b67353b10f1595769736042-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12060450/2020/7/26/cb3fc5d2-feee-41c1-9a73-cd51ded74f221595769735931-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-5915957697347-4.jpg'}]",Women,Green,Flat_Search_Percent,(63% OFF),Pack Of 2 Round Neck T-shirts,Tshirts,1599,591,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/UF/UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts/12060450/buy
5,Tops/Prakrti/Prakrti-Women-Black--White-Floral-Printed-Top/12047130/buy,False,,False,12047130,Prakrti Women Black & White Floral Printed Top,Prakrti Women Black & White Floral Printed Top,0,0,False,0,,330,Prakrti,http://assets.myntassets.com/assets/images/12047130/2020/7/24/0e38a2d9-2977-411e-8b81-d81964b2c6fa1595567143744KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt1.jpg,0,0,41945592,7108,0,,[],"[{'skuId': 41945580, 'label': 'S', 'inventory': 13, 'available': True}, {'skuId': 41945584, 'label': 'M', 'inventory': 12, 'available': True}, {'skuId': 41945588, 'label': 'L', 'inventory': 13, 'available': True}, {'skuId': 41945592, 'label': 'XL', 'inventory': 13, 'available': True}, {'skuId': 41945596, 'label': 'XXL', 'inventory': 13, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12047130/2020/7/24/0e38a2d9-2977-411e-8b81-d81964b2c6fa1595567143744KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12047130/2020/7/24/0e38a2d9-2977-411e-8b81-d81964b2c6fa1595567143744KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12047130/2020/7/24/8b6c7fed-5369-4956-a0d6-b7167b5d0ce01595567144059KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12047130/2020/7/24/e345e6bb-92d0-42d4-90ea-fd42b380d9631595567143896KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12047130/2020/7/24/b2953213-b34c-4d5c-88d9-003a19b872c11595567143826KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12047130/2020/7/24/ef7f1652-a0a3-46e4-91e9-66178641f1e61595567143975KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt4.jpg'}]",Women,Black,Flat_Search_Percent,(30% OFF),Floral Printed Top,Tops,1100,770,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Prakrti/Prakrti-Women-Black--White-Floral-Printed-Top/12047130/buy
6,Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-Black-Solid-Polo-Collar-T-shirt/12150002/buy,False,,False,12150002,Beverly Hills Polo Club Women Black Solid Polo Collar T-shirt,Beverly Hills Polo Club Women Black Solid Polo Collar T-shirt,0,0,False,0,,0,Beverly Hills Polo Club,http://assets.myntassets.com/assets/images/productimage/2020/7/25/cdd50b38-ec9c-4831-bbe5-a67295d42efc1595637252510-1.jpg,0,0,42331600,8428,0,,[],"[{'skuId': 42331600, 'label': 'XS', 'inventory': 4, 'available': True}, {'skuId': 42331602, 'label': 'S', 'inventory': 7, 'available': True}, {'skuId': 42331604, 'label': 'M', 'inventory': 8, 'available': True}, {'skuId': 42331606, 'label': 'L', 'inventory': 4, 'available': True}, {'skuId': 42331608, 'label': 'XL', 'inventory': 0, 'available': False}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/cdd50b38-ec9c-4831-bbe5-a67295d42efc1595637252510-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/cdd50b38-ec9c-4831-bbe5-a67295d42efc1595637252510-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/aed2ce08-e048-4ea1-8513-0554603933e81595637252784-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/ce83ecf3-074e-4323-9108-41fde891c1741595637252644-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/f7391284-4411-4331-9387-85447ea89e4a1595637252573-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/e625d037-6d40-4da7-9ed3-3294b28c91b81595637252716-4.jpg'}]",Women,Black,,,Solid Polo Collar T-shirt,Tshirts,1399,1399,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-Black-Solid-Polo-Collar-T-shirt/12150002/buy
7,Tops/Revolution/Revolution-Women-Olive-Green-Satin-Finish-Solid-A-Line-Top/11985342/buy,False,,False,11985342,Revolution Women Olive Green Satin Finish Solid A-Line Top,Revolution Women Olive Green Satin Finish Solid A-Line Top,0,0,False,0,,1225,Revolution,http://assets.myntassets.com/assets/images/11985342/2020/7/23/86d75a32-8480-4a12-a3bb-29396f39b4b21595504532383-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-1.jpg,0,0,41721738,7346,0,,[],"[{'skuId': 41721736, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41721738, 'label': 'XXL', 'inventory': 5, 'available': True}, {'skuId': 41721740, 'label': '3XL', 'inventory': 7, 'available': True}, {'skuId': 41721742, 'label': '4XL', 'inventory': 6, 'available': True}, {'skuId': 41721744, 'label': '5XL', 'inventory': 2, 'available': True}, {'skuId': 41721746, 'label': '6XL', 'inventory': 1, 'available': True}]","XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985342/2020/7/23/86d75a32-8480-4a12-a3bb-29396f39b4b21595504532383-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985342/2020/7/23/86d75a32-8480-4a12-a3bb-29396f39b4b21595504532383-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985342/2020/7/23/a437d4ad-5956-42fc-9265-ec0d451282831595504532075-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985342/2020/7/23/4a7e4825-79d5-440b-87e2-bf01132b15f21595504532235-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985342/2020/7/23/fae6d88d-3607-46e9-a5e2-2ac8ae413f4b1595504532324-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985342/2020/7/23/381f2346-7b4a-4ca6-a123-0f341f0e69121595504532144-Revolution-Women-Olive-Green-Solid-A-Line-Top-54315955045312-4.jpg'}]",Women,Olive,Flat_Search_Percent,(35% OFF),Satin Finish A-Line Top,Tops,3500,2275,,False,,0,1,,1595462400000,Winter,2019,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Olive-Green-Satin-Finish-Solid-A-Line-Top/11985342/buy
8,Tshirts/Roadster/Roadster-Women-Grey-Melange--Navy-Blue-Solid-V-Neck-T-shirt/11296140/buy,False,,False,11296140,Roadster Women Grey Melange & Navy Blue Solid V-Neck T-shirt,Roadster Women Grey Melange & Navy Blue Solid V-Neck T-shirt,0,0,False,0,,240,Roadster,http://assets.myntassets.com/assets/images/11296140/2020/7/22/154bcf40-be0f-417b-97ec-0dce91e479ac1595417488729-Roadster-Women-Tshirts-351595417486723-1.jpg,0,0,39120428,4118,0,,[],"[{'skuId': 39120428, 'label': 'S', 'inventory': 78, 'available': True}, {'skuId': 39120430, 'label': 'M', 'inventory': 85, 'available': True}, {'skuId': 39120432, 'label': 'L', 'inventory': 65, 'available': True}, {'skuId': 39120434, 'label': 'XL', 'inventory': 85, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11296140/2020/7/22/154bcf40-be0f-417b-97ec-0dce91e479ac1595417488729-Roadster-Women-Tshirts-351595417486723-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11296140/2020/7/22/154bcf40-be0f-417b-97ec-0dce91e479ac1595417488729-Roadster-Women-Tshirts-351595417486723-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11296140/2020/7/22/c7396104-7a8d-4c21-9fbd-086fe67f67601595417488381-Roadster-Women-Tshirts-351595417486723-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11296140/2020/7/22/856dfbf3-ea19-48d1-bdb6-72b0acbd776c1595417488541-Roadster-Women-Tshirts-351595417486723-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11296140/2020/7/22/48c77378-bb75-4312-a8a8-ce6e2db536df1595417488466-Roadster-Women-Tshirts-351595417486723-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11296140/2020/7/22/ff4f6ff3-5336-4c5c-b41c-12ab98036b9c1595417488621-Roadster-Women-Tshirts-351595417486723-2.jpg'}]",Women,Grey Melange,Flat_Search_Percent,(30% OFF),Solid V-Neck T-shirt,Tshirts,799,559,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-Grey-Melange--Navy-Blue-Solid-V-Neck-T-shirt/11296140/buy
9,Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-White-Self-Design-Polo-Collar-T-shirt/12145582/buy,False,,False,12145582,Beverly Hills Polo Club Women White Self Design Polo Collar T-shirt,Beverly Hills Polo Club Women White Self Design Polo Collar T-shirt,0,0,False,0,,0,Beverly Hills Polo Club,http://assets.myntassets.com/assets/images/productimage/2020/7/25/bd10de8b-0be1-4a82-9c41-d66d1b4750471595627482155-1.jpg,0,0,42314548,8428,0,,[],"[{'skuId': 42314548, 'label': 'XS', 'inventory': 4, 'available': True}, {'skuId': 42314552, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 42314556, 'label': 'M', 'inventory': 8, 'available': True}, {'skuId': 42314560, 'label': 'L', 'inventory': 5, 'available': True}, {'skuId': 42314564, 'label': 'XL', 'inventory': 0, 'available': False}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/bd10de8b-0be1-4a82-9c41-d66d1b4750471595627482155-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/bd10de8b-0be1-4a82-9c41-d66d1b4750471595627482155-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/6729e2f2-3f80-4f50-a385-49daa8b6029c1595627482427-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/91ff75f6-dc7b-471a-b0e5-3a40d2d575b31595627482364-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e420ad7-84d0-4f18-b6c9-35365754f01e1595627482259-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/340d01f2-81f1-4e00-adf9-fbb7ab7fa9ab1595627482201-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/143f49a2-7377-468c-bec0-9d128f9553a61595627482309-4.jpg'}]",Women,White,,,Self Design Polo Collar T-shirt,Tshirts,2899,2899,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-White-Self-Design-Polo-Collar-T-shirt/12145582/buy
