,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos/2290040/buy,False,,False,2290040,HIGHLANDER Men Grey Tapered Fit Solid Chinos,HIGHLANDER Men Grey Tapered Fit Solid Chinos,3.8532512,1138,True,0,,775,HIGHLANDER,http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926396-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-1.jpg,0,0,14880509,4214,0,,[],"[{'skuId': 14880509, 'label': '30', 'inventory': 588, 'available': True}, {'skuId': 14880510, 'label': '32', 'inventory': 936, 'available': True}, {'skuId': 14880511, 'label': '34', 'inventory': 632, 'available': True}, {'skuId': 14880512, 'label': '36', 'inventory': 221, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926396-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926396-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926307-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926355-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926331-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926379-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-2.jpg'}]",Men,Grey,Flat_Search_Percent,(50% OFF),Men Tapered Fit Chinos,Trousers,1549,774,,False,,0,1,,1511395200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos/2290040/buy
1,Trousers/HM/HM-Men-Beige-Cotton-Chinos/12083910/buy,False,,False,12083910,H&M Men Beige Cotton Chinos,H&M Men Beige Cotton Chinos,4.75,4,True,0,,650,H&M,http://assets.myntassets.com/assets/images/12083910/2020/7/14/63068e4b-2896-4073-ae6f-c8aaef1698ae1594724508753Cottonchinos1.jpg,0,0,42073614,6771,0,,[],"[{'skuId': 42073594, 'label': '28', 'inventory': 13, 'available': True}, {'skuId': 42073604, 'label': '31', 'inventory': 17, 'available': True}, {'skuId': 42073600, 'label': '34', 'inventory': 19, 'available': True}, {'skuId': 42073614, 'label': '38', 'inventory': 40, 'available': True}, {'skuId': 42073590, 'label': '41', 'inventory': 14, 'available': True}, {'skuId': 42073610, 'label': '44', 'inventory': 2, 'available': True}]","28,31,34,38,41,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/63068e4b-2896-4073-ae6f-c8aaef1698ae1594724508753Cottonchinos1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/63068e4b-2896-4073-ae6f-c8aaef1698ae1594724508753Cottonchinos1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/5e781730-b2c5-47ea-a109-a1454dba0fa31594724513605Cottonchinos5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/0fbb5743-bfe4-49a3-9440-fd65f1aa79bd1594724511309Cottonchinos3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/9f541a20-2442-4247-ba84-596b1b1f68d91594724509994Cottonchinos2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/7e85ac38-7290-443a-b817-66d4ab1ddc901594724512401Cottonchinos4.jpg'}]",Men,Beige,Flat_Search_Percent,(50% OFF),Cotton Chinos,Trousers,1299,649,,False,,0,1,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Trousers/HM/HM-Men-Beige-Cotton-Chinos/12083910/buy
2,Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos/3881067/buy,False,,False,3881067,HIGHLANDER Men Grey Tapered Fit Solid Cropped Chinos,HIGHLANDER Men Grey Tapered Fit Solid Cropped Chinos,4.0039473,760,True,0,,868,HIGHLANDER,http://assets.myntassets.com/assets/images/3881067/2019/8/22/49ab3004-c048-48d0-ba20-167118df26141566479254643-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-1.jpg,0,0,21005856,4214,0,,[],"[{'skuId': 21005856, 'label': '30', 'inventory': 83, 'available': True}, {'skuId': 21005862, 'label': '32', 'inventory': 248, 'available': True}, {'skuId': 21005869, 'label': '34', 'inventory': 183, 'available': True}, {'skuId': 21005875, 'label': '36', 'inventory': 120, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/49ab3004-c048-48d0-ba20-167118df26141566479254643-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/49ab3004-c048-48d0-ba20-167118df26141566479254643-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/707f323e-ec65-4df5-b815-2f5d15b260a91566479254540-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/8fe7bfe9-aa3e-4042-8d52-c80c8e4cfe881566479254590-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/c24f7a4e-406e-484e-9c6e-af4d857e5dc81566479254618-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/cf3154d7-8f3c-46c0-924f-f899debcea181566479254565-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-4.jpg'}]",Men,Grey,Flat_Search_Percent,(56% OFF),Men Tapered Fit Chinos,Trousers,1549,681,,False,,0,1,,1521072000000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos/3881067/buy
3,Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos/3881074/buy,False,,False,3881074,HIGHLANDER Men Olive Green Tapered Fit Solid Chinos,HIGHLANDER Men Olive Green Tapered Fit Solid Chinos,4.0616198,568,True,0,,868,HIGHLANDER,http://assets.myntassets.com/assets/images/3881074/2019/8/22/988836a1-a96e-40b8-b1a0-d63c45e168ce1566479264535-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-1.jpg,0,0,21005882,4214,0,,[],"[{'skuId': 21005882, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 21005888, 'label': '32', 'inventory': 37, 'available': True}, {'skuId': 21005906, 'label': '34', 'inventory': 1, 'available': True}, {'skuId': 21005919, 'label': '36', 'inventory': 27, 'available': True}]","32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/988836a1-a96e-40b8-b1a0-d63c45e168ce1566479264535-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/988836a1-a96e-40b8-b1a0-d63c45e168ce1566479264535-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/52b0280e-789b-49fa-8f4d-9bd171870f011566479264437-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/4c6c79f0-c35e-467c-a99e-7b9bb0be47a71566479264483-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/7ef03131-289a-4f70-b9d6-7469270eb0a71566479264508-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/7786e57b-90fc-4e8d-a0de-cb2359ef7d7d1566479264459-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-4.jpg'}]",Men,Olive,Flat_Search_Percent,(56% OFF),Men Tapered Fit Chinos,Trousers,1549,681,,False,,0,1,,1521676800000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos/3881074/buy
4,Trousers/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Joggers/1923646/buy,False,,False,1923646,Roadster Men Green Regular Fit Solid Joggers,Roadster Men Green Regular Fit Solid Joggers,3.6742857,175,True,0,,380,Roadster,http://assets.myntassets.com/assets/images/1923646/2018/10/9/4047301c-1394-4f63-8110-4db695b893e71539082423667-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-1.jpg,0,0,13516337,4118,0,,[],"[{'skuId': 13516337, 'label': '28', 'inventory': 264, 'available': True}, {'skuId': 13516338, 'label': '30', 'inventory': 540, 'available': True}, {'skuId': 13516339, 'label': '32', 'inventory': 814, 'available': True}, {'skuId': 13516340, 'label': '34', 'inventory': 586, 'available': True}, {'skuId': 13516341, 'label': '36', 'inventory': 315, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/4047301c-1394-4f63-8110-4db695b893e71539082423667-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/4047301c-1394-4f63-8110-4db695b893e71539082423667-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/73485234-1956-44ac-8e5a-cefa564084f21539082423605-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/5aad459e-c57e-4aa8-86a1-6f94e856a4ba1539082423633-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/0cc706a3-ad21-422c-811a-e67f93e2fec11539082423650-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/d431522a-56b0-4df9-99ac-41d41cd700131539082423616-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-4.jpg'}]",Men,Green,Flat_Search_Percent,(20% OFF),Men Regular Fit Joggers,Trousers,1899,1519,,False,,0,1,,1503532800000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Joggers/1923646/buy
5,Trousers/HIGHLANDER/HIGHLANDER-Men-Black-Slim-Fit-Solid-Cargos/8158623/buy,False,,False,8158623,HIGHLANDER Men Black Slim Fit Solid Cargos,HIGHLANDER Men Black Slim Fit Solid Cargos,4.1369047,168,True,0,,1036,HIGHLANDER,http://assets.myntassets.com/assets/images/8158623/2018/12/10/652871ab-5fea-4a9b-9612-ec0b012b95871544435868678-HIGHLANDER-Black-4011544435865519-1.jpg,0,0,32674374,4214,0,,[],"[{'skuId': 32674357, 'label': '30', 'inventory': 115, 'available': True}, {'skuId': 32674361, 'label': '32', 'inventory': 207, 'available': True}, {'skuId': 32674372, 'label': '34', 'inventory': 123, 'available': True}, {'skuId': 32674374, 'label': '36', 'inventory': 28, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/652871ab-5fea-4a9b-9612-ec0b012b95871544435868678-HIGHLANDER-Black-4011544435865519-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/652871ab-5fea-4a9b-9612-ec0b012b95871544435868678-HIGHLANDER-Black-4011544435865519-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/869f18bc-c4f7-4ff1-b652-7df42aa6e2d41544435868565-HIGHLANDER-Black-4011544435865519-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/20750e7c-a4c5-4213-92a7-1676d63e60e01544435868624-HIGHLANDER-Black-4011544435865519-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/a6e1a398-19b0-4124-92ae-dc903d1b34ed1544435868654-HIGHLANDER-Black-4011544435865519-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/ed07e95c-812f-4cb5-a366-5c1018229f531544435868594-HIGHLANDER-Black-4011544435865519-4.jpg'}]",Men,Black,Flat_Search_Percent,(56% OFF),Men Slim Fit Cargos,Trousers,1849,813,,False,,0,1,,1544054400000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Black-Slim-Fit-Solid-Cargos/8158623/buy
6,Trousers/Roadster/Roadster-Men-Brown-Slim-Fit-Solid-Chinos/2119007/buy,False,,False,2119007,Roadster Men Brown Slim Fit Solid Chinos,Roadster Men Brown Slim Fit Solid Chinos,4.08125,320,True,0,,480,Roadster,http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061131-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-1.jpg,0,0,14228306,4118,0,,[],"[{'skuId': 14228305, 'label': '28', 'inventory': 358, 'available': True}, {'skuId': 14228306, 'label': '30', 'inventory': 682, 'available': True}, {'skuId': 14228307, 'label': '32', 'inventory': 460, 'available': True}, {'skuId': 14228308, 'label': '34', 'inventory': 296, 'available': True}, {'skuId': 14228309, 'label': '36', 'inventory': 138, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061131-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061131-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061015-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061076-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061104-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2119007/2017/11/27/11511776061046-Roadster-Men-Brown-Regular-Fit-Solid-Chinos-3941511776060943-4.jpg'}]",Men,Brown,Flat_Search_Percent,(30% OFF),Men Slim Fit Chinos,Trousers,1599,1119,,False,,0,1,,1511395200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/Roadster/Roadster-Men-Brown-Slim-Fit-Solid-Chinos/2119007/buy
7,Trousers/HIGHLANDER/HIGHLANDER-Men-Blue-Tapered-Fit-Solid-Chinos/2290041/buy,False,,False,2290041,HIGHLANDER Men Blue Tapered Fit Solid Chinos,HIGHLANDER Men Blue Tapered Fit Solid Chinos,4.031722,1324,True,0,,868,HIGHLANDER,http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239716-na-2251511950239581-1.jpg,0,0,14880516,4214,0,,[],"[{'skuId': 14880513, 'label': '30', 'inventory': 4, 'available': True}, {'skuId': 14880514, 'label': '32', 'inventory': 31, 'available': True}, {'skuId': 14880515, 'label': '34', 'inventory': 9, 'available': True}, {'skuId': 14880516, 'label': '36', 'inventory': 10, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239716-na-2251511950239581-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239716-na-2251511950239581-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239652-na-2251511950239581-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239684-na-2251511950239581-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239668-na-2251511950239581-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2290041/2017/11/29/11511950239700-na-2251511950239581-2.jpg'}]",Men,Blue,Flat_Search_Percent,(56% OFF),Men Tapered Fit Chinos,Trousers,1549,681,,False,,0,1,,1511395200000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Blue-Tapered-Fit-Solid-Chinos/2290041/buy
8,Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos/8209401/buy,False,,False,8209401,HIGHLANDER Men Olive Green Slim Fit Printed Cargos,HIGHLANDER Men Olive Green Slim Fit Printed Cargos,4.2181816,165,True,0,,1007,HIGHLANDER,http://assets.myntassets.com/assets/images/8209401/2019/8/22/2dd9dff7-4c7d-4e6b-9f38-4db30f277a351566479490088-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-1.jpg,0,0,32736473,4214,0,,[],"[{'skuId': 32736471, 'label': '30', 'inventory': 2, 'available': True}, {'skuId': 32736473, 'label': '32', 'inventory': 15, 'available': True}, {'skuId': 32736474, 'label': '34', 'inventory': 15, 'available': True}, {'skuId': 32736475, 'label': '36', 'inventory': 0, 'available': False}]","30,32,34","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8209401/2019/8/22/2dd9dff7-4c7d-4e6b-9f38-4db30f277a351566479490088-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8209401/2019/8/22/2dd9dff7-4c7d-4e6b-9f38-4db30f277a351566479490088-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8209401/2019/8/22/bfb5ca24-39df-48a5-9ca1-961232078d361566479489988-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8209401/2019/8/22/bb4e60c3-989e-4887-bbab-9481411cfdba1566479490035-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8209401/2019/8/22/56e258a7-cece-4c7b-934a-6118763aa9cb1566479490010-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8209401/2019/8/22/94021b1e-294a-4a57-818c-68f831915bbd1566479490063-HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos-621566479-2.jpg'}]",Men,Olive,Flat_Search_Percent,(53% OFF),Men Slim Fit Cargos,Trousers,1899,892,,False,,0,1,,1544659200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Slim-Fit-Printed-Cargos/8209401/buy
9,Trousers/HIGHLANDER/HIGHLANDER-Men-Blue-Slim-Fit-Solid-Chinos/5387860/buy,False,,False,5387860,HIGHLANDER Men Blue Slim Fit Solid Chinos,HIGHLANDER Men Blue Slim Fit Solid Chinos,3.8302753,436,True,0,,810,HIGHLANDER,http://assets.myntassets.com/assets/images/5387860/2019/12/4/5da10a2f-8120-488e-acc3-fd353940ec201575437800181-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-1.jpg,0,0,26239714,4214,0,,[],"[{'skuId': 26239712, 'label': '30', 'inventory': 380, 'available': True}, {'skuId': 26239713, 'label': '32', 'inventory': 461, 'available': True}, {'skuId': 26239714, 'label': '34', 'inventory': 150, 'available': True}, {'skuId': 26239715, 'label': '36', 'inventory': 44, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/5da10a2f-8120-488e-acc3-fd353940ec201575437800181-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/5da10a2f-8120-488e-acc3-fd353940ec201575437800181-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/729737d0-f822-4e8a-9df4-5e344eeb5d261575437799970-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/59628f8f-413b-4936-bd64-981f73f045451575437800009-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/5fdb0976-b658-4694-9604-f0d5ff786c991575437799930-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/fdbc5f74-f743-4b85-8585-5cab04766fd51575437800092-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/04f108fe-fef3-4914-bc7e-281503b8d7e21575437800054-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/5387860/2019/12/4/5d5330c3-0300-4f8b-800d-936f3fa9c0d21575437800134-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Regular-Trousers-93715754-2.jpg'}]",Men,Blue,Flat_Search_Percent,(54% OFF),Men Slim Fit Chinos,Trousers,1499,689,,False,,0,1,,1524096000000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Blue-Slim-Fit-Solid-Chinos/5387860/buy
