,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tunics/Vishudh/Vishudh-Maroon-Printed-Tunic/9971481/buy,False,,False,9971481,Vishudh Maroon Printed Tunic,Vishudh Maroon Printed Tunic,4.095238,105,True,0,,660,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/6/10/930ac966-5c02-48e0-a8e4-48401dbecbfc1560150442437-1.jpg,0,0,34639735,4214,0,,[],"[{'skuId': 34639732, 'label': 'S', 'inventory': 29, 'available': True}, {'skuId': 34639733, 'label': 'M', 'inventory': 80, 'available': True}, {'skuId': 34639734, 'label': 'L', 'inventory': 64, 'available': True}, {'skuId': 34639735, 'label': 'XL', 'inventory': 24, 'available': True}, {'skuId': 34639736, 'label': 'XXL', 'inventory': 25, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/930ac966-5c02-48e0-a8e4-48401dbecbfc1560150442437-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/930ac966-5c02-48e0-a8e4-48401dbecbfc1560150442437-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/f819d6ec-639e-45e2-b439-2e01294450171560150442538-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/8c261a3b-d678-48d4-bcf0-1d4be8e452e41560150442487-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/385ef6e5-33bf-410b-80ed-04fe035340d61560150442459-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/35a35ebc-0021-4c44-99aa-150fbcbdbe031560150442512-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(55% OFF),Printed Tunic,Tunics,1199,539,,False,,0,1,,1559779200000,Summer,2019,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Maroon-Printed-Tunic/9971481/buy
1,Kurtis/Anouk/Anouk-Grey-Printed-Kurti/6613293/buy,False,,False,6613293,Anouk Grey Printed Kurti,Anouk Grey Printed Kurti,4.1585364,82,True,0,,240,Anouk,http://assets.myntassets.com/assets/images/6613293/2018/7/26/e70658cb-6c1e-4096-9c05-afb21146c1b01532606223561-Anouk-Grey-Printed-Kurti-9161532606222162-1.jpg,0,0,30196848,4216,0,,[],"[{'skuId': 30196844, 'label': 'XS', 'inventory': 2, 'available': True}, {'skuId': 30196846, 'label': 'S', 'inventory': 39, 'available': True}, {'skuId': 30196848, 'label': 'M', 'inventory': 9, 'available': True}, {'skuId': 30196850, 'label': 'L', 'inventory': 8, 'available': True}, {'skuId': 30196852, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 30196854, 'label': 'XXL', 'inventory': 2, 'available': True}]","XS,S,M,L,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/6613293/2018/7/26/e70658cb-6c1e-4096-9c05-afb21146c1b01532606223561-Anouk-Grey-Printed-Kurti-9161532606222162-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/6613293/2018/7/26/e70658cb-6c1e-4096-9c05-afb21146c1b01532606223561-Anouk-Grey-Printed-Kurti-9161532606222162-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/6613293/2018/7/26/1e66ecb4-a8a1-49a3-98af-ee3588dd6d531532606223453-Anouk-Grey-Printed-Kurti-9161532606222162-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/6613293/2018/7/26/e4dc5f2e-f827-43e2-844b-5c86c1bd56c91532606223508-Anouk-Grey-Printed-Kurti-9161532606222162-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/6613293/2018/7/26/05fabb41-3db0-4716-b9ce-f7924635c9271532606223532-Anouk-Grey-Printed-Kurti-9161532606222162-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/6613293/2018/7/26/21a850f6-5d8d-4869-8d73-1593e3c1b5251532606223484-Anouk-Grey-Printed-Kurti-9161532606222162-4.jpg'}]",Women,Grey,Flat_Search_Percent,(30% OFF),Printed Kurti,Kurtis,799,559,,False,,0,1,,1532563200000,Winter,2018,False,,,0,,[],www.myntra.com/Kurtis/Anouk/Anouk-Grey-Printed-Kurti/6613293/buy
2,Kurtis/Ira-Soleil/Ira-Soleil-Women-Black-Printed-Kurti/110269/buy,False,,False,110269,Ira Soleil Women Black Printed Kurti,Ira Soleil Women Black Printed Kurti,3.386076,158,True,0,,324,Ira Soleil,http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg,0,0,501527,3395,0,,[],"[{'skuId': 501524, 'label': 'XS', 'inventory': 248, 'available': True}, {'skuId': 377107, 'label': 'S', 'inventory': 237, 'available': True}, {'skuId': 377109, 'label': 'M', 'inventory': 174, 'available': True}, {'skuId': 377110, 'label': 'L', 'inventory': 300, 'available': True}, {'skuId': 501526, 'label': 'XL', 'inventory': 265, 'available': True}, {'skuId': 501527, 'label': 'XXL', 'inventory': 100, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410925-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410945-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410978-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410960-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410996-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-2.jpg'}]",Women,Black,Flat_Search_Percent,(35% OFF),Printed Kurti,Kurtis,925,601,,False,,0,1,,1362614400000,Spring,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Ira-Soleil/Ira-Soleil-Women-Black-Printed-Kurti/110269/buy
3,Kurtis/Anubhutee/Anubhutee-Women-Black--Golden-Printed-Straight-Kurti/11535124/buy,False,,False,11535124,Anubhutee Women Black & Golden Printed Straight Kurti,Anubhutee Women Black & Golden Printed Straight Kurti,4.1595745,94,True,0,,320,Anubhutee,http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg,0,0,40120546,6872,0,,[],"[{'skuId': 40120544, 'label': 'S', 'inventory': 28, 'available': True}, {'skuId': 40120546, 'label': 'M', 'inventory': 62, 'available': True}, {'skuId': 40120548, 'label': 'L', 'inventory': 95, 'available': True}, {'skuId': 40120550, 'label': 'XL', 'inventory': 142, 'available': True}, {'skuId': 40120552, 'label': 'XXL', 'inventory': 153, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/9b0fea60-d3bb-4ace-b4d8-6d18f5e508601582796416648-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/d31ddfb2-dc12-4f62-af75-7cb09a6006881582796416737-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/4af51f8a-c27e-4016-9361-682be5f305851582796416778-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a72b3c6b-a097-49be-a326-ddb5eafa3f7c1582796416696-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-4.jpg'}]",Women,Black,Flat_Search_Percent,(32% OFF),Women Printed Straight Kurti,Kurtis,999,679,,False,,0,1,,1582761600000,Summer,2020,False,,,0,,[],www.myntra.com/Kurtis/Anubhutee/Anubhutee-Women-Black--Golden-Printed-Straight-Kurti/11535124/buy
4,Tunics/Rain--Rainbow/Rain--Rainbow-Blue--Orange-Printed-A-Line-Tunic/9035869/buy,False,,False,9035869,Rain & Rainbow Blue & Orange Printed A-Line Tunic,Rain & Rainbow Blue & Orange Printed A-Line Tunic,4.0107527,93,True,0,,239,Rain & Rainbow,http://assets.myntassets.com/assets/images/9035869/2019/3/22/a837344d-9e4f-4e41-9b5b-b1d4761608541553231052357-Rain--Rainbow-Women-Tunics-7381553231050679-1.jpg,0,0,33708291,646,0,,[],"[{'skuId': 33708291, 'label': 'S', 'inventory': 28, 'available': True}, {'skuId': 33708292, 'label': 'M', 'inventory': 48, 'available': True}, {'skuId': 33708293, 'label': 'L', 'inventory': 26, 'available': True}, {'skuId': 33708294, 'label': 'XL', 'inventory': 9, 'available': True}, {'skuId': 33708295, 'label': 'XXL', 'inventory': 94, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/a837344d-9e4f-4e41-9b5b-b1d4761608541553231052357-Rain--Rainbow-Women-Tunics-7381553231050679-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/a837344d-9e4f-4e41-9b5b-b1d4761608541553231052357-Rain--Rainbow-Women-Tunics-7381553231050679-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/06f10b44-2277-4e83-a4ef-5c4f4ce68d821553231052196-Rain--Rainbow-Women-Tunics-7381553231050679-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/88074179-f77a-4cb8-a886-5b60ec0d9d571553231052279-Rain--Rainbow-Women-Tunics-7381553231050679-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/c79d3ee6-b3d8-4ff7-bfb9-8de3166a71561553231052236-Rain--Rainbow-Women-Tunics-7381553231050679-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/d2aa0048-1cc8-4861-92af-93b246d782481553238627004-Rain--Rainbow-Blue--Orange-Printed-A-Line-Tunic-122155323862-2.jpg'}]",Women,Blue,Flat_Search_Percent,(20% OFF),Printed A-Line Tunic,Tunics,1195,956,,True,,0,1,,1553126400000,Spring,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tunics/Rain--Rainbow/Rain--Rainbow-Blue--Orange-Printed-A-Line-Tunic/9035869/buy
5,Tunics/Vishudh/Vishudh-Blue--Red-Striped-Tunic/9971487/buy,False,,False,9971487,Vishudh Blue & Red Striped Tunic,Vishudh Blue & Red Striped Tunic,4.0,168,True,0,,660,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/6/10/9d03156b-21c8-4ca3-9454-30b12d3fcde21560150066586-1.jpg,0,0,34639748,4214,0,,[],"[{'skuId': 34639747, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 34639748, 'label': 'M', 'inventory': 32, 'available': True}, {'skuId': 34639749, 'label': 'L', 'inventory': 237, 'available': True}, {'skuId': 34639750, 'label': 'XL', 'inventory': 175, 'available': True}, {'skuId': 34639751, 'label': 'XXL', 'inventory': 185, 'available': True}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/9d03156b-21c8-4ca3-9454-30b12d3fcde21560150066586-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/9d03156b-21c8-4ca3-9454-30b12d3fcde21560150066586-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/3cf89557-2011-44c3-8774-7a2c33fafbdc1560150066721-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/4e348923-b307-4699-8422-2407bfdaa3621560150066662-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/9cb8def1-f0b6-4f46-88db-0fc001e93b4b1560150066693-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/73383592-4a94-4464-99fe-f6d4f12832ff1560150066618-2.jpg'}]",Women,Blue,Flat_Search_Percent,(55% OFF),Striped Tunic,Tunics,1199,539,,False,,0,1,,1559779200000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tunics/Vishudh/Vishudh-Blue--Red-Striped-Tunic/9971487/buy
6,Tunics/Vishudh/Vishudh-Blue-Solid-Tunic/11425212/buy,False,,False,11425212,Vishudh Blue Solid Tunic,Vishudh Blue Solid Tunic,3.0,7,True,0,,825,Vishudh,http://assets.myntassets.com/assets/images/productimage/2020/1/29/5fd0885b-1dd5-4e60-bbdc-726be36a4f8f1580259261714-1.jpg,0,0,39671896,4214,0,,[],"[{'skuId': 39671896, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 39671902, 'label': 'M', 'inventory': 16, 'available': True}, {'skuId': 39671906, 'label': 'L', 'inventory': 36, 'available': True}, {'skuId': 39671912, 'label': 'XL', 'inventory': 3, 'available': True}, {'skuId': 39671914, 'label': 'XXL', 'inventory': 7, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/5fd0885b-1dd5-4e60-bbdc-726be36a4f8f1580259261714-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/5fd0885b-1dd5-4e60-bbdc-726be36a4f8f1580259261714-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/d62889cd-2c07-4a41-8fc4-e612c3d490a11580259261890-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/7f8d65b8-bbaf-4aa5-8398-51eec829701f1580259261800-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/950651a4-4fbb-4d9a-a65b-35368d71fe001580259261760-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/a3d2a7f9-d293-4096-bc6a-64dd0b7e74f71580259261849-4.jpg'}]",Women,Blue,Flat_Search_Percent,(50% OFF),Solid Tunic,Tunics,1649,824,,False,,0,1,,1579737600000,Summer,2020,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tunics/Vishudh/Vishudh-Blue-Solid-Tunic/11425212/buy
7,Kurtis/Kvsfab/Kvsfab-Women-Brown-Solid-A-Line-Kurti/10980042/buy,False,,False,10980042,Kvsfab Women Brown Solid A-Line Kurti,Kvsfab Women Brown Solid A-Line Kurti,4.1034484,29,True,0,,1044,Kvsfab,http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg,0,0,37849054,2054,0,,[],"[{'skuId': 37849054, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 37849058, 'label': 'M', 'inventory': 18, 'available': True}, {'skuId': 37849060, 'label': 'L', 'inventory': 13, 'available': True}, {'skuId': 37849062, 'label': 'XL', 'inventory': 28, 'available': True}, {'skuId': 37849064, 'label': 'XXL', 'inventory': 57, 'available': True}, {'skuId': 37849066, 'label': '3XL', 'inventory': 87, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/519e7c43-c22a-4265-9317-6292468487c61578650844962-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/04c45fc0-011c-41cf-9e08-63e2df84fabe1578650845013-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/d4c56eb5-9728-45bd-af62-53a4bc1d57641578650845119-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/a5bc25ca-16dd-4941-8dec-e925e0c12d6e1578650845171-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/2d15a713-e85a-4bd0-84bc-59ca8e9d82771578650845073-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-4.jpg'}]",Women,Brown,Flat_Search_Percent,(58% OFF),Women Solid A-Line Kurti,Kurtis,1799,755,,False,,0,1,,1573689600000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Kvsfab/Kvsfab-Women-Brown-Solid-A-Line-Kurti/10980042/buy
8,Kurtis/Libas/Libas-Women-Teal-Blue--White-Yoke-Design-Kurti/11568372/buy,False,,False,11568372,Libas Women Teal Blue & White Yoke Design Kurti,Libas Women Teal Blue & White Yoke Design Kurti,4.3,10,True,0,,350,Libas,http://assets.myntassets.com/assets/images/11568372/2020/3/4/84926e2c-0143-43de-a99e-f3080bfc6dc81583317965915-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-1.jpg,0,0,40253026,3422,0,,[],"[{'skuId': 40253024, 'label': 'XS', 'inventory': 22, 'available': True}, {'skuId': 40253026, 'label': 'S', 'inventory': 108, 'available': True}, {'skuId': 40253028, 'label': 'M', 'inventory': 168, 'available': True}, {'skuId': 40253030, 'label': 'L', 'inventory': 107, 'available': True}, {'skuId': 40253032, 'label': 'XL', 'inventory': 110, 'available': True}, {'skuId': 40253034, 'label': 'XXL', 'inventory': 33, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/84926e2c-0143-43de-a99e-f3080bfc6dc81583317965915-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/84926e2c-0143-43de-a99e-f3080bfc6dc81583317965915-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/5c285b5a-9d05-4cfc-8622-7fda565f6f7a1583317965706-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/c7dc3ae9-5d1f-4bdf-b0c0-8a8b964cca271583317965812-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/53caa38e-688f-4c4a-8466-8642ee3c1efe1583317965759-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/ac52ceca-93f1-433a-8ef6-a0a8b68dc4eb1583317965864-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-2.jpg'}]",Women,Teal,Flat_Search_Percent,(35% OFF),Women Yoke Design Kurti,Kurtis,999,649,,False,,0,1,,1582761600000,Spring,2020,False,,,0,,[],www.myntra.com/Kurtis/Libas/Libas-Women-Teal-Blue--White-Yoke-Design-Kurti/11568372/buy
9,Kurtis/Anubhutee/Anubhutee-Women-Charcoal-Grey--Red-Printed-Straight-Kurti/10513934/buy,False,,False,10513934,Anubhutee Women Charcoal Grey & Red Printed Straight Kurti,Anubhutee Women Charcoal Grey & Red Printed Straight Kurti,4.354839,62,True,0,,506,Anubhutee,http://assets.myntassets.com/assets/images/10513934/2019/9/4/fafd74a5-b443-4328-a60f-2f34ba73b20d1567581164719-Anubhutee-Women-Kurtis-3671567581163603-1.jpg,0,0,35991008,6872,0,,[],"[{'skuId': 35991006, 'label': 'S', 'inventory': 160, 'available': True}, {'skuId': 35991008, 'label': 'M', 'inventory': 157, 'available': True}, {'skuId': 35991010, 'label': 'L', 'inventory': 167, 'available': True}, {'skuId': 35991012, 'label': 'XL', 'inventory': 176, 'available': True}, {'skuId': 35991014, 'label': 'XXL', 'inventory': 190, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/fafd74a5-b443-4328-a60f-2f34ba73b20d1567581164719-Anubhutee-Women-Kurtis-3671567581163603-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/fafd74a5-b443-4328-a60f-2f34ba73b20d1567581164719-Anubhutee-Women-Kurtis-3671567581163603-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/a73601a0-9944-43f4-b031-d7e7014d0d691567581164652-Anubhutee-Women-Kurtis-3671567581163603-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/5017e395-cd24-49c9-8f4f-1fa4093f88091567581164686-Anubhutee-Women-Kurtis-3671567581163603-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/c805751b-3f0f-48d6-a931-b07042a9183d1567582222051-Anubhutee-Women-Kurtis-4741567582221723-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/c48c1ae7-5220-4e21-88e0-c6595a963ebb1567581164670-Anubhutee-Women-Kurtis-3671567581163603-4.jpg'}]",Women,Charcoal,Flat_Search_Percent,(46% OFF),Women Printed Straight Kurti,Kurtis,1099,593,,False,,0,1,,1567641600000,Winter,2019,False,,,0,,[],www.myntra.com/Kurtis/Anubhutee/Anubhutee-Women-Charcoal-Grey--Red-Printed-Straight-Kurti/10513934/buy
