,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/John-Players/John-Players-Men-Red--Black-Slim-Fit-Checked-Casual-Shirt/12016426/buy,False,,False,12016426,John Players Men Red & Black Slim Fit Checked Casual Shirt,John Players Men Red & Black Slim Fit Checked Casual Shirt,0,0,False,0,,650,John Players,http://assets.myntassets.com/assets/images/12016426/2020/7/27/f51f101c-1344-4a5c-9c14-0a00f84af0f41595835457493-John-Players-Men-Shirts-5871595835455977-1.jpg,0,0,41844352,4028,0,,[],"[{'skuId': 41844346, 'label': '39', 'inventory': 10, 'available': True}, {'skuId': 41844350, 'label': '40', 'inventory': 6, 'available': True}, {'skuId': 41844352, 'label': '44', 'inventory': 2, 'available': True}]","39,40,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/f51f101c-1344-4a5c-9c14-0a00f84af0f41595835457493-John-Players-Men-Shirts-5871595835455977-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/f51f101c-1344-4a5c-9c14-0a00f84af0f41595835457493-John-Players-Men-Shirts-5871595835455977-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/71444e9b-cc42-4184-adc3-e5aae59cbdba1595835457238-John-Players-Men-Shirts-5871595835455977-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/6704eff1-07a2-4639-80a5-eea52d4575621595835457284-John-Players-Men-Shirts-5871595835455977-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/27e7ad90-0e17-4695-b5e5-e614cc2f84981595835457381-John-Players-Men-Shirts-5871595835455977-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/49c86188-320a-4914-979c-43d6f3dcc7761595835457442-John-Players-Men-Shirts-5871595835455977-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016426/2020/7/27/60dacfb9-3b94-4f6c-afb7-4c9a4fa9e6961595835457330-John-Players-Men-Shirts-5871595835455977-4.jpg'}]",Men,Red,Flat_Search_Percent,(50% OFF),Slim Fit Checked Shirt,Shirts,1299,649,,False,,0,1,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Red--Black-Slim-Fit-Checked-Casual-Shirt/12016426/buy
1,Shirts/British-Club/British-Club-Men-Rust-Orange--Navy-Blue-Slim-Fit-Checked-Casual-Shirt/11977140/buy,False,,False,11977140,British Club Men Rust Orange & Navy Blue Slim Fit Checked Casual Shirt,British Club Men Rust Orange & Navy Blue Slim Fit Checked Casual Shirt,0,0,False,0,,1622,British Club,http://assets.myntassets.com/assets/images/11977140/2020/7/23/d3c8c07f-d4e8-48fd-b454-bda14ab483601595485170409-British-Club-Men-Shirts-6141595485168702-1.jpg,0,0,41692090,1671,0,,[],"[{'skuId': 41692088, 'label': '38', 'inventory': 9, 'available': True}, {'skuId': 41692090, 'label': '40', 'inventory': 15, 'available': True}, {'skuId': 41692092, 'label': '42', 'inventory': 14, 'available': True}, {'skuId': 41692094, 'label': '44', 'inventory': 5, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/d3c8c07f-d4e8-48fd-b454-bda14ab483601595485170409-British-Club-Men-Shirts-6141595485168702-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/d3c8c07f-d4e8-48fd-b454-bda14ab483601595485170409-British-Club-Men-Shirts-6141595485168702-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/aa29a7ef-b0f8-4334-9d8c-3f1a7d269a8c1595485170152-British-Club-Men-Shirts-6141595485168702-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/8a48fe63-98ed-47e5-88ec-17e4c918c30c1595485170198-British-Club-Men-Shirts-6141595485168702-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/9dec056d-48f7-4d97-8fd0-3c9abd35c2241595485170310-British-Club-Men-Shirts-6141595485168702-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/0ccce710-2dba-4a32-965e-149c250545301595485170364-British-Club-Men-Shirts-6141595485168702-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11977140/2020/7/23/82eac9c6-8435-4272-abf4-31053be3ac781595485170248-British-Club-Men-Shirts-6141595485168702-4.jpg'}]",Men,Rust,Flat_Search_Percent,(65% OFF),Slim Fit Checked Casual Shirt,Shirts,2495,873,,False,,0,1,,1595462400000,Winter,2020,False,,,0,,[],www.myntra.com/Shirts/British-Club/British-Club-Men-Rust-Orange--Navy-Blue-Slim-Fit-Checked-Casual-Shirt/11977140/buy
2,Shirts/British-Club/British-Club-Men-White--Blue-Slim-Fit-Floral-Printed-Casual-Shirt/11977114/buy,False,,False,11977114,British Club Men White & Blue Slim Fit Floral Printed Casual Shirt,British Club Men White & Blue Slim Fit Floral Printed Casual Shirt,0,0,False,0,,1557,British Club,http://assets.myntassets.com/assets/images/11977114/2020/7/10/c674b9c1-da03-4e60-ae65-6d55b305e2a91594383659230-British-Club-Men-Shirts-5151594383657174-1.jpg,0,0,41691990,1671,0,,[],"[{'skuId': 41691984, 'label': '38', 'inventory': 17, 'available': True}, {'skuId': 41691986, 'label': '40', 'inventory': 15, 'available': True}, {'skuId': 41691988, 'label': '42', 'inventory': 18, 'available': True}, {'skuId': 41691990, 'label': '44', 'inventory': 8, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/c674b9c1-da03-4e60-ae65-6d55b305e2a91594383659230-British-Club-Men-Shirts-5151594383657174-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/c674b9c1-da03-4e60-ae65-6d55b305e2a91594383659230-British-Club-Men-Shirts-5151594383657174-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/11260b7f-fa9a-48d9-a5f6-53695e2b06211594383658773-British-Club-Men-Shirts-5151594383657174-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/674640f3-06df-4ed8-a3e5-f90ceac509411594383658890-British-Club-Men-Shirts-5151594383657174-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/58a0f766-eae8-4ec0-a304-69796dc0c1e61594383659069-British-Club-Men-Shirts-5151594383657174-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/aeb9f537-ec2a-4347-8d10-cd17d71ebc2e1594383658972-British-Club-Men-Shirts-5151594383657174-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11977114/2020/7/10/20430ea2-c536-4740-bddd-d64226d57c0b1594383659159-British-Club-Men-Shirts-5151594383657174-2.jpg'}]",Men,White,Flat_Search_Percent,(65% OFF),Slim Fit Floral Casual Shirt,Shirts,2395,838,,False,,0,1,,1595462400000,Winter,2020,False,,,0,,[],www.myntra.com/Shirts/British-Club/British-Club-Men-White--Blue-Slim-Fit-Floral-Printed-Casual-Shirt/11977114/buy
3,Shirts/Van-Heusen-Sport/Van-Heusen-Sport-Men-Pink--Navy-Blue-Slim-Fit-Printed-Casual-Shirt/12014824/buy,False,,False,12014824,Van Heusen Sport Men Pink & Navy Blue Slim Fit Printed Casual Shirt,Van Heusen Sport Men Pink & Navy Blue Slim Fit Printed Casual Shirt,0,0,False,0,,0,Van Heusen Sport,http://assets.myntassets.com/assets/images/12014824/2020/7/23/063ac847-1d24-4404-a53b-056082ee9e2c1595498882147-Van-Heusen-Sport-Men-Shirts-5721595498880276-1.jpg,0,0,41838716,4027,0,,[],"[{'skuId': 41838706, 'label': '38', 'inventory': 1, 'available': True}, {'skuId': 41838710, 'label': '39', 'inventory': 7, 'available': True}, {'skuId': 41838712, 'label': '40', 'inventory': 12, 'available': True}, {'skuId': 41838716, 'label': '42', 'inventory': 14, 'available': True}]","38,39,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/063ac847-1d24-4404-a53b-056082ee9e2c1595498882147-Van-Heusen-Sport-Men-Shirts-5721595498880276-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/063ac847-1d24-4404-a53b-056082ee9e2c1595498882147-Van-Heusen-Sport-Men-Shirts-5721595498880276-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/7889aa63-7bb5-4390-bf0a-40333cea6e2c1595498881779-Van-Heusen-Sport-Men-Shirts-5721595498880276-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/ab2989ac-9f9a-423e-bdc3-7ca0b4ba29121595498881853-Van-Heusen-Sport-Men-Shirts-5721595498880276-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/b23d10ac-4efa-476e-998b-690ce6ace8841595498882003-Van-Heusen-Sport-Men-Shirts-5721595498880276-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/833b76fb-8d92-4bdf-87e9-ab81e51882b01595498881936-Van-Heusen-Sport-Men-Shirts-5721595498880276-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12014824/2020/7/23/f8196220-1e3f-4334-a5dc-8e2585221dec1595498882083-Van-Heusen-Sport-Men-Shirts-5721595498880276-2.jpg'}]",Men,Pink,,,Slim Fit Casual Shirt,Shirts,1699,1699,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shirts/Van-Heusen-Sport/Van-Heusen-Sport-Men-Pink--Navy-Blue-Slim-Fit-Printed-Casual-Shirt/12014824/buy
4,Shirts/Indian-Terrain/Indian-Terrain-Men-Blue--White-Slim-Fit-Floral-Printed-Casual-Shirt/8472749/buy,False,,False,8472749,Indian Terrain Men Blue & White Slim Fit Floral Printed Casual Shirt,Indian Terrain Men Blue & White Slim Fit Floral Printed Casual Shirt,0,0,False,0,,0,Indian Terrain,http://assets.myntassets.com/assets/images/8472749/2020/7/22/db253f44-7717-4db5-856e-48f66908bb921595422444182-Indian-Terrain-Men-Shirts-6131595422442673-1.jpg,0,0,33035130,4024,0,,[],"[{'skuId': 33035126, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 33035130, 'label': '40', 'inventory': 1, 'available': True}, {'skuId': 33035131, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 33035132, 'label': '44', 'inventory': 2, 'available': True}]","40,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8472749/2020/7/22/db253f44-7717-4db5-856e-48f66908bb921595422444182-Indian-Terrain-Men-Shirts-6131595422442673-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8472749/2020/7/22/db253f44-7717-4db5-856e-48f66908bb921595422444182-Indian-Terrain-Men-Shirts-6131595422442673-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8472749/2020/7/22/50de1cb9-bbc3-4ade-a666-880a8af3a1bf1595422443899-Indian-Terrain-Men-Shirts-6131595422442673-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8472749/2020/7/22/3ace1c70-2ff8-4f45-a58e-b418029716ca1595422444056-Indian-Terrain-Men-Shirts-6131595422442673-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8472749/2020/7/22/318df2bc-54ce-413c-8a40-3867df71f01a1595422443975-Indian-Terrain-Men-Shirts-6131595422442673-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8472749/2020/7/22/afc82d01-16fa-4e77-8124-4228ee0f21fe1595422444127-Indian-Terrain-Men-Shirts-6131595422442673-2.jpg'}]",Men,Blue,,,Slim Fit Printed Casual Shirt,Shirts,2199,2199,,False,,0,,,1595462400000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Indian-Terrain/Indian-Terrain-Men-Blue--White-Slim-Fit-Floral-Printed-Casual-Shirt/8472749/buy
5,Shirts/John-Players/John-Players-Men-Blue--Black-Trim-Fit-Checked-Casual-Shirt/12016446/buy,False,,False,12016446,John Players Men Blue & Black Trim Fit Checked Casual Shirt,John Players Men Blue & Black Trim Fit Checked Casual Shirt,0,0,False,0,,500,John Players,http://assets.myntassets.com/assets/images/12016446/2020/7/24/024d9699-9214-467e-9ebf-4c407a0f751b1595592976917-John-Players-Men-Shirts-751595592975078-1.jpg,0,0,41844420,4028,0,,[],"[{'skuId': 41844420, 'label': '40', 'inventory': 7, 'available': True}, {'skuId': 41844422, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 41844424, 'label': '44', 'inventory': 0, 'available': False}, {'skuId': 41844426, 'label': '46', 'inventory': 0, 'available': False}]",40,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/024d9699-9214-467e-9ebf-4c407a0f751b1595592976917-John-Players-Men-Shirts-751595592975078-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/024d9699-9214-467e-9ebf-4c407a0f751b1595592976917-John-Players-Men-Shirts-751595592975078-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/a9b0efea-876d-4f8e-9207-418376176dc71595592976562-John-Players-Men-Shirts-751595592975078-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/99f3b71d-b563-4e48-a219-2d5bf61136c41595592976634-John-Players-Men-Shirts-751595592975078-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/7e8c89ca-a870-478c-b11c-bd6f2eed138b1595592976761-John-Players-Men-Shirts-751595592975078-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/c32c180f-a17d-40dd-8dfe-fb990a50d6771595592976850-John-Players-Men-Shirts-751595592975078-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016446/2020/7/24/dbd34389-9e92-49a0-a578-eb370c3cde151595592976693-John-Players-Men-Shirts-751595592975078-4.jpg'}]",Men,Blue,Flat_Search_Percent,(50% OFF),Trim Fit Checked Casual Shirt,Shirts,999,499,,False,,0,1,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Blue--Black-Trim-Fit-Checked-Casual-Shirt/12016446/buy
6,Shirts/HM/-HM-Men-Brown-Solid-Linen-Blend-Shirt-Slim-Fit/12128104/buy,False,,False,12128104,H&M Men Brown Solid Linen-Blend Shirt Slim Fit,H&M Men Brown Solid Linen-Blend Shirt Slim Fit,0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/23/5e3caa84-3652-4b3c-a1b3-395fdb596c191595454117132-1.jpg,0,0,42247514,6771,0,,[],"[{'skuId': 42247514, 'label': '36', 'inventory': 32, 'available': True}, {'skuId': 42247516, 'label': '38', 'inventory': 68, 'available': True}, {'skuId': 42247518, 'label': '40', 'inventory': 87, 'available': True}, {'skuId': 42247520, 'label': '42', 'inventory': 48, 'available': True}, {'skuId': 42247512, 'label': '44', 'inventory': 32, 'available': True}]","36,38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/5e3caa84-3652-4b3c-a1b3-395fdb596c191595454117132-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/5e3caa84-3652-4b3c-a1b3-395fdb596c191595454117132-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/b53a0e8f-8a0a-410d-9de9-62b2ca4a400e1595454117337-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/4513dbca-352c-4679-83e8-b2a578749c7d1595454117230-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/36fe19b2-72a7-4e2d-bc64-7caff27d85961595454117281-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/2e56dd14-b23b-46e9-89bb-9e923727c38d1595454117176-2.jpg'}]",Men,Brown,,,Linen-Blend Shirt Slim Fit,Shirts,1499,1499,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/HM/-HM-Men-Brown-Solid-Linen-Blend-Shirt-Slim-Fit/12128104/buy
7,Shirts/HM/HM-Men-Black-Solid-Coolmax-Shirt-Slim-Fit/12125430/buy,False,,False,12125430,H&M Men Black Solid Coolmax Shirt Slim Fit,H&M Men Black Solid Coolmax Shirt Slim Fit,0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/28427782-9f46-452a-9fdc-6ee30b9db9a41595368533374-1.jpg,0,0,42234458,6771,0,,[],"[{'skuId': 42234460, 'label': '36', 'inventory': 7, 'available': True}, {'skuId': 42234462, 'label': '38', 'inventory': 24, 'available': True}, {'skuId': 42234456, 'label': '40', 'inventory': 30, 'available': True}, {'skuId': 42234458, 'label': '42', 'inventory': 27, 'available': True}, {'skuId': 42234454, 'label': '44', 'inventory': 12, 'available': True}]","36,38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/28427782-9f46-452a-9fdc-6ee30b9db9a41595368533374-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/28427782-9f46-452a-9fdc-6ee30b9db9a41595368533374-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/02f10d0c-4b8f-4627-ad12-3fc7165115441595368533458-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/8b8419b6-9bb1-4fd9-b513-c7739eb2cd781595368533418-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/bcc8da5c-699e-49f5-a293-371d6c57e7dd1595368533499-4.jpg'}]",Men,Black,,,Men Coolmax Shirt Slim Fit,Shirts,1499,1499,,False,,0,,,1595462400000,Winter,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shirts/HM/HM-Men-Black-Solid-Coolmax-Shirt-Slim-Fit/12125430/buy
8,Shirts/British-Club/British-Club-Men-Brown--Black-Slim-Fit-Printed-Casual-Shirt/11977130/buy,False,,False,11977130,British Club Men Brown & Black Slim Fit Printed Casual Shirt,British Club Men Brown & Black Slim Fit Printed Casual Shirt,0,0,False,0,,1622,British Club,http://assets.myntassets.com/assets/images/11977130/2020/7/10/7610b672-1984-4a77-9381-3704c8a4e2681594383668339-British-Club-Men-Shirts-7461594383666077-1.jpg,0,0,41692046,1671,0,,[],"[{'skuId': 41692046, 'label': '38', 'inventory': 14, 'available': True}, {'skuId': 41692050, 'label': '40', 'inventory': 12, 'available': True}, {'skuId': 41692052, 'label': '42', 'inventory': 14, 'available': True}, {'skuId': 41692054, 'label': '44', 'inventory': 6, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/7610b672-1984-4a77-9381-3704c8a4e2681594383668339-British-Club-Men-Shirts-7461594383666077-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/7610b672-1984-4a77-9381-3704c8a4e2681594383668339-British-Club-Men-Shirts-7461594383666077-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/b2c64584-adf5-4ea7-9ef1-41c7506ad7f81594383667862-British-Club-Men-Shirts-7461594383666077-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/f03c1f24-12a9-4dc0-a014-613489ae7ec71594383667966-British-Club-Men-Shirts-7461594383666077-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/367f8837-bbff-4263-9cd2-bc28b5cf6dd81594383668132-British-Club-Men-Shirts-7461594383666077-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/a32600b7-e8d2-45fd-a672-08f1b5fb4e8e1594383668225-British-Club-Men-Shirts-7461594383666077-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11977130/2020/7/10/2170f51a-9633-4856-922c-f382cd1473a61594383668039-British-Club-Men-Shirts-7461594383666077-4.jpg'}]",Men,Brown,Flat_Search_Percent,(65% OFF),Slim Fit Casual Shirt,Shirts,2495,873,,False,,0,1,,1595462400000,Winter,2020,False,,,0,,[],www.myntra.com/Shirts/British-Club/British-Club-Men-Brown--Black-Slim-Fit-Printed-Casual-Shirt/11977130/buy
9,Shirts/HERENOW/HERENOW-Men-Green-Slim-Fit-Tropical-Printed-Casual-Shirt/12051694/buy,False,,False,12051694,HERE&NOW Men Green Slim Fit Tropical Printed Casual Shirt,HERE&NOW Men Green Slim Fit Tropical Printed Casual Shirt,0,0,False,0,,0,HERE&NOW,http://assets.myntassets.com/assets/images/12051694/2020/7/27/6e7a1d96-df08-4e1e-af7c-44a4da2871101595833204207RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ1.jpg,0,0,41960068,4027,0,,[],"[{'skuId': 41960066, 'label': '38', 'inventory': 65, 'available': True}, {'skuId': 41960068, 'label': '40', 'inventory': 93, 'available': True}, {'skuId': 41960070, 'label': '42', 'inventory': 64, 'available': True}, {'skuId': 41960072, 'label': '44', 'inventory': 20, 'available': True}, {'skuId': 41960074, 'label': '46', 'inventory': 28, 'available': True}]","38,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/6e7a1d96-df08-4e1e-af7c-44a4da2871101595833204207RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/6e7a1d96-df08-4e1e-af7c-44a4da2871101595833204207RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/89619526-5ca7-4e77-a564-1d13f51031be1595833204519RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/db8fcac6-5060-4255-bed3-6d9ce55df80d1595833204457RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/d4a39b6c-7286-4e50-af62-36ea58a61a0e1595833204340RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/19b4cd23-06b9-416c-a0a3-25b457f87cff1595833204401RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12051694/2020/7/27/25ca239e-88a7-4572-84d3-768226d9e92a1595833204276RoadsterWomenMaroonSolidTopJeansWranglerMenJeansWranglerMenJ2.jpg'}]",Men,Green,,,Slim Fit Tropical Print Shirt,Shirts,1699,1699,,False,,0,,,1595462400000,Fall,2020,False,,,0,,[],www.myntra.com/Shirts/HERENOW/HERENOW-Men-Green-Slim-Fit-Tropical-Printed-Casual-Shirt/12051694/buy
