,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Trousers/TURMS/TURMS-Men-Charcoal-Grey-Regular-Fit-Solid-Chinos/12141778/buy,False,,False,12141778,TURMS Men Charcoal Grey Regular Fit Solid Chinos,TURMS Men Charcoal Grey Regular Fit Solid Chinos,0,0,False,0,,0,TURMS,http://assets.myntassets.com/assets/images/productimage/2020/7/24/68d9f4e1-6954-49b2-90ce-6671aec018f51595542775617-1.jpg,0,0,42298768,6020,0,,[],"[{'skuId': 42298764, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 42298766, 'label': '32', 'inventory': 0, 'available': False}, {'skuId': 42298768, 'label': '34', 'inventory': 9, 'available': True}, {'skuId': 42298770, 'label': '36', 'inventory': 9, 'available': True}, {'skuId': 42298772, 'label': '38', 'inventory': 4, 'available': True}]","34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/68d9f4e1-6954-49b2-90ce-6671aec018f51595542775617-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/68d9f4e1-6954-49b2-90ce-6671aec018f51595542775617-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/9c273737-03b9-4a31-8942-d0795b0cd5d41595542775933-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/060d564e-a378-4c48-b3a9-4cea7109f7b01595542775868-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/e6f83f35-9eae-4fd6-a0cc-6caf9f503f6a1595542775746-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/bdde7840-1657-497d-83ad-fb440d7af9131595542775807-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/a0279c57-bd91-4f23-9eb3-04a40609f5731595542775683-2.jpg'}]",Men,Charcoal,,,Men Regular Fit Chinos,Trousers,1999,1999,,False,,0,,,1595462400000,Spring,2020,False,,,0,,[],www.myntra.com/Trousers/TURMS/TURMS-Men-Charcoal-Grey-Regular-Fit-Solid-Chinos/12141778/buy
1,Trousers/John-Players/John-Players-Men-Beige-Slim-Fit-Printed-Regular-Trousers/12016490/buy,False,,False,12016490,John Players Men Beige Slim Fit Printed Regular Trousers,John Players Men Beige Slim Fit Printed Regular Trousers,0,0,False,0,,900,John Players,http://assets.myntassets.com/assets/images/12016490/2020/7/27/e937c269-0487-4af3-bce4-c128d51c98361595835356077-John-Players-Men-Trousers-3741595835354120-1.jpg,0,0,41844596,4028,0,,[],"[{'skuId': 41844596, 'label': '30', 'inventory': 8, 'available': True}, {'skuId': 41844602, 'label': '32', 'inventory': 9, 'available': True}, {'skuId': 41844604, 'label': '34', 'inventory': 12, 'available': True}, {'skuId': 41844606, 'label': '36', 'inventory': 6, 'available': True}, {'skuId': 41844608, 'label': '38', 'inventory': 4, 'available': True}]","30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/e937c269-0487-4af3-bce4-c128d51c98361595835356077-John-Players-Men-Trousers-3741595835354120-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/e937c269-0487-4af3-bce4-c128d51c98361595835356077-John-Players-Men-Trousers-3741595835354120-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/3fc1b798-a487-44c4-9349-14cd9064491b1595835355861-John-Players-Men-Trousers-3741595835354120-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/f97d2c15-9211-435c-911b-4b7b73cd01991595835355905-John-Players-Men-Trousers-3741595835354120-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/ba1a72a3-a8c3-45fd-bb10-9b865fe8abf01595835355812-John-Players-Men-Trousers-3741595835354120-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/300dcbc7-4e41-4e3e-830f-aefa59fe70c41595835355990-John-Players-Men-Trousers-3741595835354120-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/4e046efc-56c3-411c-8f89-7c49836057e01595835355948-John-Players-Men-Trousers-3741595835354120-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016490/2020/7/27/58548b70-7038-4811-b750-a62da96b80ec1595835356034-John-Players-Men-Trousers-3741595835354120-2.jpg'}]",Men,Beige,Flat_Search_Percent,(50% OFF),Men Slim Fit Regular Trousers,Trousers,1799,899,,False,,0,1,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Trousers/John-Players/John-Players-Men-Beige-Slim-Fit-Printed-Regular-Trousers/12016490/buy
2,Trousers/Indian-Terrain/Indian-Terrain-Men-Olive-Green-Kansas-Regular-Fit-Solid-Regular-Trousers/8535029/buy,False,,False,8535029,Indian Terrain Men Olive Green Kansas Regular Fit Solid Regular Trousers,Indian Terrain Men Olive Green Kansas Regular Fit Solid Regular Trousers,0,0,False,0,,0,Indian Terrain,http://assets.myntassets.com/assets/images/8535029/2020/7/22/e864c8d0-92fa-4e60-b3fb-aeff41a9f0641595427615714BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen1.jpg,0,0,33132386,4024,0,,[],"[{'skuId': 33132384, 'label': '28', 'inventory': 1, 'available': True}, {'skuId': 33132385, 'label': '30', 'inventory': 2, 'available': True}, {'skuId': 33132386, 'label': '32', 'inventory': 3, 'available': True}, {'skuId': 33132387, 'label': '34', 'inventory': 3, 'available': True}, {'skuId': 33132388, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 33132389, 'label': '38', 'inventory': 3, 'available': True}]","28,30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/e864c8d0-92fa-4e60-b3fb-aeff41a9f0641595427615714BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/e864c8d0-92fa-4e60-b3fb-aeff41a9f0641595427615714BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/dfc4c42e-a3b8-4646-a96c-1434188a68ac1595427616164BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/e1494d85-674c-4894-b6b7-ca2060252ce51595427616073BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/fee26647-cc08-4190-95e2-4d00cf44d5e41595427616246BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/03c32092-a663-4f5b-8869-37ff5cfe457d1595427615885BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/1f95b796-7847-4caf-92ef-c9b8527fd8db1595427615971BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8535029/2020/7/22/1e2ec06c-d0b5-4575-ade1-5d08c50bb4f01595427615792BlackSolidSlimFitPoloT-ShirtJeansWranglerMenJeansWranglerMen2.jpg'}]",Men,Olive,,,Men Kansas Regular Trousers,Trousers,1999,1999,,False,,0,,,1595462400000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/Indian-Terrain/Indian-Terrain-Men-Olive-Green-Kansas-Regular-Fit-Solid-Regular-Trousers/8535029/buy
3,Trousers/Indian-Terrain/Indian-Terrain-Men-Charcoal-Grey-Brooklyn-Slim-Fit-Solid-Regular-Trousers/10149151/buy,False,,False,10149151,Indian Terrain Men Charcoal Grey Brooklyn Slim Fit Solid Regular Trousers,Indian Terrain Men Charcoal Grey Brooklyn Slim Fit Solid Regular Trousers,0,0,False,0,,0,Indian Terrain,http://assets.myntassets.com/assets/images/10149151/2020/7/22/2d19b919-7169-4c30-ae04-30c5daac183f1595422501551-Indian-Terrain-Men-Trousers-4331595422499796-1.jpg,0,0,34889688,4024,0,,[],"[{'skuId': 34889686, 'label': '28', 'inventory': 1, 'available': True}, {'skuId': 34889688, 'label': '30', 'inventory': 8, 'available': True}, {'skuId': 34889690, 'label': '32', 'inventory': 6, 'available': True}, {'skuId': 34889691, 'label': '34', 'inventory': 8, 'available': True}, {'skuId': 34889692, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 34889693, 'label': '38', 'inventory': 0, 'available': False}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/2d19b919-7169-4c30-ae04-30c5daac183f1595422501551-Indian-Terrain-Men-Trousers-4331595422499796-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/2d19b919-7169-4c30-ae04-30c5daac183f1595422501551-Indian-Terrain-Men-Trousers-4331595422499796-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/f96a93fe-b0e5-49ef-b000-558cd4f15d9b1595422501217-Indian-Terrain-Men-Trousers-4331595422499796-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/8d730245-54fe-4e40-9da5-c2db86d7837d1595422501268-Indian-Terrain-Men-Trousers-4331595422499796-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/d2879afa-360a-4c7a-adcf-a2be1bb5473a1595422501158-Indian-Terrain-Men-Trousers-4331595422499796-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/bbd9b887-07e2-4870-b7c7-0d23081235f31595422501397-Indian-Terrain-Men-Trousers-4331595422499796-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/90feda6f-9eda-4c9c-83fe-2145b2b26c471595422501331-Indian-Terrain-Men-Trousers-4331595422499796-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10149151/2020/7/22/18c4cc44-04b6-4cbc-8e87-5384bef685061595422501461-Indian-Terrain-Men-Trousers-4331595422499796-2.jpg'}]",Men,Charcoal,,,Men Brooklyn Slim Fit Trousers,Trousers,2999,2999,,False,,0,,,1595462400000,Winter,2019,False,,,0,,[],www.myntra.com/Trousers/Indian-Terrain/Indian-Terrain-Men-Charcoal-Grey-Brooklyn-Slim-Fit-Solid-Regular-Trousers/10149151/buy
4,Trousers/John-Players/John-Players-Men-Brown-Skinny-Fit-Solid-Regular-Trousers/12016508/buy,False,,False,12016508,John Players Men Brown Skinny Fit Solid Regular Trousers,John Players Men Brown Skinny Fit Solid Regular Trousers,0,0,False,0,,900,John Players,http://assets.myntassets.com/assets/images/12016508/2020/7/24/e13c6097-8dda-4a91-b68e-96fd9ecc2abe1595595986939-John-Players-Men-Trousers-6451595595984478-1.jpg,0,0,41844688,4028,0,,[],"[{'skuId': 41844688, 'label': '30', 'inventory': 6, 'available': True}, {'skuId': 41844690, 'label': '32', 'inventory': 10, 'available': True}, {'skuId': 41844692, 'label': '34', 'inventory': 14, 'available': True}]","30,32,34","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/e13c6097-8dda-4a91-b68e-96fd9ecc2abe1595595986939-John-Players-Men-Trousers-6451595595984478-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/e13c6097-8dda-4a91-b68e-96fd9ecc2abe1595595986939-John-Players-Men-Trousers-6451595595984478-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/87c42770-8c38-44e5-9ddd-9dcc1c3f34fd1595595986293-John-Players-Men-Trousers-6451595595984478-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/17905ef7-8767-4a8b-ae7e-194ea2a7713b1595595986414-John-Players-Men-Trousers-6451595595984478-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/fbbb8282-ca93-42fd-9085-97ad52a254c21595595986192-John-Players-Men-Trousers-6451595595984478-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/52dad07a-67a4-4fc8-9932-0e09c3c7b2751595595986692-John-Players-Men-Trousers-6451595595984478-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/cc713feb-8e52-4c9b-a4f6-b5d81109a8e81595595986817-John-Players-Men-Trousers-6451595595984478-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016508/2020/7/24/55135eb7-e047-4de3-877a-4112bfcc105e1595595986526-John-Players-Men-Trousers-6451595595984478-4.jpg'}]",Men,Brown,Flat_Search_Percent,(50% OFF),Men Skinny Fit Regular Trousers,Trousers,1799,899,,False,,0,1,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Trousers/John-Players/John-Players-Men-Brown-Skinny-Fit-Solid-Regular-Trousers/12016508/buy
5,Trousers/John-Players/John-Players-Men-Black-Original-Slim-Fit-Solid-Regular-Trousers/12016484/buy,False,,False,12016484,John Players Men Black Original Slim Fit Solid Regular Trousers,John Players Men Black Original Slim Fit Solid Regular Trousers,0,0,False,0,,550,John Players,http://assets.myntassets.com/assets/images/12016484/2020/7/27/387b88e2-c58b-4a5a-a3b9-aa1cdbe960551595832316451-John-Players-Men-Trousers-7021595832313281-1.jpg,0,0,41844566,4028,0,,[],"[{'skuId': 41844566, 'label': '30', 'inventory': 15, 'available': True}, {'skuId': 41844568, 'label': '32', 'inventory': 20, 'available': True}, {'skuId': 41844570, 'label': '34', 'inventory': 16, 'available': True}, {'skuId': 41844572, 'label': '36', 'inventory': 10, 'available': True}, {'skuId': 41844576, 'label': '40', 'inventory': 3, 'available': True}]","30,32,34,36,40","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/387b88e2-c58b-4a5a-a3b9-aa1cdbe960551595832316451-John-Players-Men-Trousers-7021595832313281-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/387b88e2-c58b-4a5a-a3b9-aa1cdbe960551595832316451-John-Players-Men-Trousers-7021595832313281-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/5adb21c6-323b-4dbb-ade9-9cbf5784dc7d1595832316164-John-Players-Men-Trousers-7021595832313281-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/a6a1219a-2299-4574-aac9-f9865f505b801595832316224-John-Players-Men-Trousers-7021595832313281-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/b836343f-f806-4ce4-a792-901953248bff1595832316104-John-Players-Men-Trousers-7021595832313281-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/1c226730-dddb-4724-96aa-6f004bac62971595832316345-John-Players-Men-Trousers-7021595832313281-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/28dcb84f-895e-4f4b-a172-fbfaf33c3efe1595832316398-John-Players-Men-Trousers-7021595832313281-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016484/2020/7/27/17502fa7-4f81-475f-81be-10e6131e9bfd1595832316291-John-Players-Men-Trousers-7021595832313281-4.jpg'}]",Men,Black,Flat_Search_Percent,(50% OFF),Men Slim Fit Regular Trousers,Trousers,1099,549,,False,,0,1,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Trousers/John-Players/John-Players-Men-Black-Original-Slim-Fit-Solid-Regular-Trousers/12016484/buy
6,Trousers/British-Club/British-Club-Men-Khaki-Slim-Fit-Solid-Chinos/11984138/buy,False,,False,11984138,British Club Men Khaki Slim Fit Solid Chinos,British Club Men Khaki Slim Fit Solid Chinos,0,0,False,0,,1437,British Club,http://assets.myntassets.com/assets/images/11984138/2020/7/7/b4af235b-e3cb-40c7-a86e-dbfd739d0ab51594113971620SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT1.jpg,0,0,41717282,1671,0,,[],"[{'skuId': 41717282, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 41717284, 'label': '32', 'inventory': 15, 'available': True}, {'skuId': 41717286, 'label': '34', 'inventory': 26, 'available': True}, {'skuId': 41717288, 'label': '36', 'inventory': 25, 'available': True}, {'skuId': 41717290, 'label': '38', 'inventory': 17, 'available': True}, {'skuId': 41717292, 'label': '40', 'inventory': 4, 'available': True}]","30,32,34,36,38,40","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/b4af235b-e3cb-40c7-a86e-dbfd739d0ab51594113971620SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/b4af235b-e3cb-40c7-a86e-dbfd739d0ab51594113971620SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/f7e596bc-b41d-4cc8-bd71-f2d8487d1c201594113971978SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/f47fd9c7-d7ba-468e-a5d2-931a62b3d3bc1594113971897SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/76da18e3-80bc-4ea6-9056-7c276662241b1594113972065SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/786d043c-9a2c-45a7-8407-db96398d18161594113971771SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/6010cbbc-52f1-45e1-852c-c34121066f4f1594113971700SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11984138/2020/7/7/1a73fef4-1140-4fc6-bf94-804ef36ae1b41594113971838SvanikWineMensChuridarTopsRoadsterWomenDressesRoadsterWomenT4.jpg'}]",Men,Khaki,Flat_Search_Percent,(60% OFF),Men Slim Fit Chinos,Trousers,2395,958,,False,,0,1,,1595462400000,Winter,2020,False,,,0,,[],www.myntra.com/Trousers/British-Club/British-Club-Men-Khaki-Slim-Fit-Solid-Chinos/11984138/buy
7,Trousers/Ajile-by-Pantaloons/Ajile-by-Pantaloons-Men-Black-Regular-Fit-Solid-Joggers/12146492/buy,False,,False,12146492,Ajile by Pantaloons Men Black Regular Fit Solid Joggers,Ajile by Pantaloons Men Black Regular Fit Solid Joggers,0,0,False,0,,0,Ajile by Pantaloons,http://assets.myntassets.com/assets/images/productimage/2020/7/26/a9325024-42b1-4ccd-8b2d-07c939f960be1595716174144-1.jpg,0,0,42318014,4028,0,,[],"[{'skuId': 42318008, 'label': '28', 'inventory': 0, 'available': False}, {'skuId': 42318014, 'label': '30', 'inventory': 16, 'available': True}, {'skuId': 42318016, 'label': '32', 'inventory': 11, 'available': True}, {'skuId': 42318018, 'label': '34', 'inventory': 7, 'available': True}, {'skuId': 42318020, 'label': '36', 'inventory': 0, 'available': False}]","30,32,34","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/a9325024-42b1-4ccd-8b2d-07c939f960be1595716174144-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/a9325024-42b1-4ccd-8b2d-07c939f960be1595716174144-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/9895c6b1-b8c4-450a-99e8-65a4d36af22b1595716174380-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/8e7bc10e-831b-4e2f-914e-3a4c3f0ed3121595716174259-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/84beb5fc-9502-46a2-a3ce-cc0c87d895f81595716174207-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/274b2a28-53e3-4f49-b78c-f57d19099bad1595716174320-4.jpg'}]",Men,Black,,,Men Regular Fit Joggers,Trousers,1299,1299,,False,,0,,,1595462400000,Spring,2020,False,,,0,,[],www.myntra.com/Trousers/Ajile-by-Pantaloons/Ajile-by-Pantaloons-Men-Black-Regular-Fit-Solid-Joggers/12146492/buy
8,Trousers/John-Players/John-Players-Men-Navy-Blue-Skinny-Fit-Solid-Regular-Trousers/12016568/buy,False,,False,12016568,John Players Men Navy Blue Skinny Fit Solid Regular Trousers,John Players Men Navy Blue Skinny Fit Solid Regular Trousers,0,0,False,0,,900,John Players,http://assets.myntassets.com/assets/images/12016568/2020/7/27/fc30a872-63bf-4741-a792-5c95167dd2411595832458444-John-Players-Men-Trousers-8641595832456474-1.jpg,0,0,41844930,4028,0,,[],"[{'skuId': 41844930, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 41844932, 'label': '32', 'inventory': 6, 'available': True}, {'skuId': 41844934, 'label': '34', 'inventory': 5, 'available': True}, {'skuId': 41844936, 'label': '36', 'inventory': 1, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/fc30a872-63bf-4741-a792-5c95167dd2411595832458444-John-Players-Men-Trousers-8641595832456474-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/fc30a872-63bf-4741-a792-5c95167dd2411595832458444-John-Players-Men-Trousers-8641595832456474-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/12594327-9d50-4dfb-9060-e0783d29f0bb1595832458158-John-Players-Men-Trousers-8641595832456474-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/025bf70f-f2dd-466e-b27c-3dcadff7ad7d1595832458214-John-Players-Men-Trousers-8641595832456474-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/97330634-68c2-4ee6-8caf-d6a4b893ae8d1595832458098-John-Players-Men-Trousers-8641595832456474-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/8cb13629-5898-42be-a859-9f6ca7e13b3c1595832458340-John-Players-Men-Trousers-8641595832456474-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/544ad8a2-1d68-499b-a317-68f57b40e2b01595832458393-John-Players-Men-Trousers-8641595832456474-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016568/2020/7/27/b5c9a9c7-154c-4af7-854f-980f6df73e2a1595832458285-John-Players-Men-Trousers-8641595832456474-4.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(50% OFF),Men Skinny Fit Regular Trousers,Trousers,1799,899,,False,,0,1,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Trousers/John-Players/John-Players-Men-Navy-Blue-Skinny-Fit-Solid-Regular-Trousers/12016568/buy
9,Trousers/LINDBERGH/LINDBERGH-Men-Navy-Blue-Slim-Fit-Solid-Regular-Trousers/12026786/buy,False,,False,12026786,LINDBERGH Men Navy Blue Slim Fit Solid Regular Trousers,LINDBERGH Men Navy Blue Slim Fit Solid Regular Trousers,0,0,False,0,,1750,LINDBERGH,http://assets.myntassets.com/assets/images/12026786/2020/7/24/8c381283-a105-4127-ab74-ddb8a45affd41595586317135LINDBERGHblue1.jpg,0,0,41873052,4081,0,,[],"[{'skuId': 41873048, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 41873050, 'label': '32', 'inventory': 2, 'available': True}, {'skuId': 41873052, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 41873054, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 41873056, 'label': '38', 'inventory': 0, 'available': False}]",32,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/8c381283-a105-4127-ab74-ddb8a45affd41595586317135LINDBERGHblue1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/8c381283-a105-4127-ab74-ddb8a45affd41595586317135LINDBERGHblue1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/aaa6e2a0-2f3a-4c7d-9437-06ffcc2e255f1595586317540LINDBERGHblue6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/f8c0f262-bbc2-4f84-bfa0-b024ee9a16011595586317464LINDBERGHblue5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/a601b826-8fef-4e90-8900-9a47fddf24ba1595586317312LINDBERGHblue3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/1f34448a-f48f-4861-8659-e42ce10690031595586317212LINDBERGHblue2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12026786/2020/7/24/b3540821-4516-4e2b-ba45-6442cc09f3791595586317375LINDBERGHblue4.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(50% OFF),Men Slim Fit Regular Trousers,Trousers,3499,1749,,False,,0,1,,1595462400000,Winter,2018,False,,,0,,[],www.myntra.com/Trousers/LINDBERGH/LINDBERGH-Men-Navy-Blue-Slim-Fit-Solid-Regular-Trousers/12026786/buy
