,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shorts/SG/SG-Men-Red-Solid-Regular-Fit-Sports-Shorts/12145000/buy,False,,False,12145000,SG Men Red Solid Regular Fit Sports Shorts,SG Men Red Solid Regular Fit Sports Shorts,0,0,False,0,,25,SG,http://assets.myntassets.com/assets/images/productimage/2020/7/25/3d44ea7e-de9e-4fd1-8b95-e3c8a795c4371595632533460-1.jpg,0,0,42311620,4209,0,,[],"[{'skuId': 42311620, 'label': '28', 'inventory': 10, 'available': True}, {'skuId': 42311614, 'label': '30', 'inventory': 12, 'available': True}, {'skuId': 42311608, 'label': '32', 'inventory': 18, 'available': True}, {'skuId': 42311626, 'label': '34', 'inventory': 5, 'available': True}, {'skuId': 42311632, 'label': '36', 'inventory': 2, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/3d44ea7e-de9e-4fd1-8b95-e3c8a795c4371595632533460-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/3d44ea7e-de9e-4fd1-8b95-e3c8a795c4371595632533460-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/df928ea5-9488-4365-bee8-58e25d7b01c91595632533686-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/7b616ebb-c678-40e0-a5e2-f26a382e4add1595632533582-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/7fbb6d33-bb11-46f0-bfaa-7901502e4a4f1595632533633-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/c2bc85c4-7782-4745-bb45-05d199cdc8101595632533524-2.jpg'}]",Men,Red,Flat_Search_Percent,(5% OFF),Men Regular Fit Sports Shorts,Shorts,499,474,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/SG/SG-Men-Red-Solid-Regular-Fit-Sports-Shorts/12145000/buy
1,Shorts/Blackberrys/Blackberrys-Men-Blue-Solid-Sharp-Fit-Regular-Shorts/11192352/buy,False,,False,11192352,Blackberrys Men Blue Solid Sharp Fit Regular Shorts,Blackberrys Men Blue Solid Sharp Fit Regular Shorts,0,0,False,0,,673,Blackberrys,http://assets.myntassets.com/assets/images/11192352/2020/7/23/691fa146-0ef9-4867-9cec-70812da5da2c1595488247824BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg,0,0,38678082,4214,0,,[],"[{'skuId': 41993038, 'label': '28', 'inventory': 0, 'available': False}, {'skuId': 38678078, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 38678082, 'label': '32', 'inventory': 1, 'available': True}, {'skuId': 38678084, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 38678086, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 38678090, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 38678092, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 41993040, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 41993042, 'label': '44', 'inventory': 0, 'available': False}]",32,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/691fa146-0ef9-4867-9cec-70812da5da2c1595488247824BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/691fa146-0ef9-4867-9cec-70812da5da2c1595488247824BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/5faf9c22-575e-40bb-8e44-45465f0d288a1595488248496BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/e3680220-a6ea-4def-a83c-310f6b27a64f1595488248333BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/48560801-63e9-49ae-b1f8-a85299bae9ff1595488248629BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/219af22f-4256-4704-a234-bac775153f1d1595488248088BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/c4275474-8004-4896-99f7-f773cdc7a1ae1595488247954BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11192352/2020/7/23/b1ba82a0-79bd-433e-86d8-f3e888155a121595488248208BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans4.jpg'}]",Men,Blue,Flat_Search_Percent,(45% OFF),Men Sharp Fit Regular Shorts,Shorts,1495,822,,False,,0,1,,1595462400000,Spring,2019,False,,,0,,[],www.myntra.com/Shorts/Blackberrys/Blackberrys-Men-Blue-Solid-Sharp-Fit-Regular-Shorts/11192352/buy
2,Shorts/SG/SG-Men-Blue-Solid-Regular-Fit-Sports-Shorts/12145042/buy,False,,False,12145042,SG Men Blue Solid Regular Fit Sports Shorts,SG Men Blue Solid Regular Fit Sports Shorts,0,0,False,0,,25,SG,http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e32046b-63d3-4001-8641-fafc1ed29ca61595632959954-1.jpg,0,0,42311834,4209,0,,[],"[{'skuId': 42311824, 'label': '28', 'inventory': 7, 'available': True}, {'skuId': 42311822, 'label': '30', 'inventory': 3, 'available': True}, {'skuId': 42311818, 'label': '32', 'inventory': 0, 'available': False}, {'skuId': 42311834, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 42311836, 'label': '36', 'inventory': 0, 'available': False}]","28,30","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e32046b-63d3-4001-8641-fafc1ed29ca61595632959954-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e32046b-63d3-4001-8641-fafc1ed29ca61595632959954-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/913bd899-b889-4cd7-9a16-c460e8b12ce71595632960152-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/c06ec1e2-c0cc-4634-9221-4db5cbbeafb91595632960054-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/8a6640d0-53eb-444e-b02e-ae47fada7b2d1595632960003-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/da5c6ced-ec5e-48cf-acf8-6cc99bbda5a91595632960101-4.jpg'}]",Men,Blue,Flat_Search_Percent,(5% OFF),Men Regular Fit Sports Shorts,Shorts,499,474,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/SG/SG-Men-Blue-Solid-Regular-Fit-Sports-Shorts/12145042/buy
3,Shorts/SG/SG-Men-Blue-Solid-Regular-Fit-Sports-Shorts/12145014/buy,False,,False,12145014,SG Men Blue Solid Regular Fit Sports Shorts,SG Men Blue Solid Regular Fit Sports Shorts,0,0,False,0,,25,SG,http://assets.myntassets.com/assets/images/productimage/2020/7/25/e161fad0-c344-43df-98c1-7fa8db03abc81595630987959-1.jpg,0,0,42311670,4209,0,,[],"[{'skuId': 42311684, 'label': '28', 'inventory': 6, 'available': True}, {'skuId': 42311680, 'label': '30', 'inventory': 16, 'available': True}, {'skuId': 42311670, 'label': '32', 'inventory': 4, 'available': True}, {'skuId': 42311686, 'label': '34', 'inventory': 13, 'available': True}, {'skuId': 42311690, 'label': '36', 'inventory': 3, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/e161fad0-c344-43df-98c1-7fa8db03abc81595630987959-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/e161fad0-c344-43df-98c1-7fa8db03abc81595630987959-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/8f420f61-c516-4506-a7b5-199d097bb6811595630988193-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/2aa44f50-497d-43f6-89ad-64305eb805c21595630988083-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/583d6e72-1575-4dab-a92e-458fb5d586dc1595630988139-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e9817a1-1063-49f3-9a60-1402e2f9cf931595630988022-2.jpg'}]",Men,Blue,Flat_Search_Percent,(5% OFF),Men Regular Fit Sports Shorts,Shorts,499,474,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/SG/SG-Men-Blue-Solid-Regular-Fit-Sports-Shorts/12145014/buy
4,Shorts/t-base/t-base-Men-Olive-Green-Solid-Slim-Fit-Chino-Shorts/12152360/buy,False,,False,12152360,t-base Men Olive Green Solid Slim Fit Chino Shorts,t-base Men Olive Green Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/48b32ed8-e49e-43a7-b477-40b7c33fa0131595718197329-1.jpg,0,0,42339270,4030,0,,[],"[{'skuId': 42339246, 'label': '30', 'inventory': 14, 'available': True}, {'skuId': 42339252, 'label': '32', 'inventory': 21, 'available': True}, {'skuId': 42339258, 'label': '34', 'inventory': 20, 'available': True}, {'skuId': 42339266, 'label': '36', 'inventory': 14, 'available': True}, {'skuId': 42339270, 'label': '38', 'inventory': 6, 'available': True}, {'skuId': 42339274, 'label': '40', 'inventory': 1, 'available': True}, {'skuId': 42339278, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,38,40","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/48b32ed8-e49e-43a7-b477-40b7c33fa0131595718197329-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/48b32ed8-e49e-43a7-b477-40b7c33fa0131595718197329-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/9b0c0017-5932-4794-85e2-2b1d1f7588911595718197650-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/4de5e5a2-9593-4349-8643-aa4ddde8d0741595718197589-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/d03303ec-4ed1-4511-a5f6-e6d4e5e8b14c1595718197464-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/dc32b13a-73b3-425e-aeaa-4aaaa4c591e61595718197537-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/e60b1843-d324-42f4-a066-a0d31a101f461595718197394-2.jpg'}]",Men,Olive,,,Men Slim Fit Chino Shorts,Shorts,1499,1499,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Olive-Green-Solid-Slim-Fit-Chino-Shorts/12152360/buy
5,Shorts/t-base/t-base-Men-Burgundy-Solid-Regular-Fit-Cargo-Shorts/12152380/buy,False,,False,12152380,t-base Men Burgundy Solid Regular Fit Cargo Shorts,t-base Men Burgundy Solid Regular Fit Cargo Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/13fcd166-ff3d-46f4-be36-2d4aaa1d71501595718758336-1.jpg,0,0,42339378,4030,0,,[],"[{'skuId': 42339378, 'label': '30', 'inventory': 11, 'available': True}, {'skuId': 42339392, 'label': '32', 'inventory': 9, 'available': True}, {'skuId': 42339396, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 42339400, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 42339402, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42339404, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339406, 'label': '42', 'inventory': 0, 'available': False}]","30,32","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/13fcd166-ff3d-46f4-be36-2d4aaa1d71501595718758336-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/13fcd166-ff3d-46f4-be36-2d4aaa1d71501595718758336-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/9f0f2f25-93b3-4769-a67b-0c6ab9cd832f1595718758667-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/7642b0a0-5fc4-4308-8dc2-470c3fb5d99e1595718758607-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/9ff0266c-6ccb-4dfb-97e0-683e71f8e5c21595718758486-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/b9cea7e6-2343-4514-8564-0920f6549b381595718758421-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/2f835c9b-8756-4e6e-903f-44f22ab5cf1d1595718758548-4.jpg'}]",Men,Burgundy,,,Men Regular Fit Cargo Shorts,Shorts,1799,1799,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Burgundy-Solid-Regular-Fit-Cargo-Shorts/12152380/buy
6,Shorts/t-base/t-base-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts/12152356/buy,False,,False,12152356,t-base Men Navy Blue Solid Slim Fit Chino Shorts,t-base Men Navy Blue Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/8b08edda-063b-4fa6-a84a-10adb7d728821595718239299-1.jpg,0,0,42339202,4030,0,,[],"[{'skuId': 42339202, 'label': '30', 'inventory': 19, 'available': True}, {'skuId': 42339212, 'label': '32', 'inventory': 31, 'available': True}, {'skuId': 42339218, 'label': '34', 'inventory': 20, 'available': True}, {'skuId': 42339224, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 42339228, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 42339234, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339238, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/8b08edda-063b-4fa6-a84a-10adb7d728821595718239299-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/8b08edda-063b-4fa6-a84a-10adb7d728821595718239299-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/ffc76601-e528-4c47-ac7d-0b32a412b3cb1595718239585-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/92116ac9-7465-4d93-b847-f9650e33267b1595718239516-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/cd7ba6f7-0176-4286-ae73-1b28fe3febba1595718239397-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/3510c044-25c1-44d6-a674-6f0977a8aa451595718239348-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/b49f90fb-508d-43b3-9ec1-39d70d6d87f81595718239452-4.jpg'}]",Men,Navy Blue,,,Men Slim Fit Chino Shorts,Shorts,1299,1299,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts/12152356/buy
7,Shorts/t-base/t-base-Men-Beige-Solid-Slim-Fit-Chino-Shorts/12140566/buy,False,,False,12140566,t-base Men Beige Solid Slim Fit Chino Shorts,t-base Men Beige Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/24/6d02f24a-42da-44c4-ba68-056e50f49a671595545365185-1.jpg,0,0,42293854,4030,0,,[],"[{'skuId': 42293854, 'label': '30', 'inventory': 24, 'available': True}, {'skuId': 42293862, 'label': '32', 'inventory': 66, 'available': True}, {'skuId': 42293864, 'label': '34', 'inventory': 98, 'available': True}, {'skuId': 42293866, 'label': '36', 'inventory': 47, 'available': True}, {'skuId': 42293868, 'label': '38', 'inventory': 27, 'available': True}, {'skuId': 42293870, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42293872, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/6d02f24a-42da-44c4-ba68-056e50f49a671595545365185-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/6d02f24a-42da-44c4-ba68-056e50f49a671595545365185-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/9693fc54-f9f5-476e-a73e-f24eb60a9d441595545365541-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/2a60df63-8f8d-45d9-9eeb-1f1fab8da1b61595545365467-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/b7c75d59-56b0-470d-8688-1bcb4f10dca01595545365327-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/eefb68b7-919e-4925-9950-bcf033915b3c1595545365399-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/6c11127e-0b3c-4e8c-9bbb-481d5201137a1595545365260-2.jpg'}]",Men,Beige,,,Men Slim Fit Chino Shorts,Shorts,1499,1499,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Beige-Solid-Slim-Fit-Chino-Shorts/12140566/buy
8,Shorts/t-base/t-base-Men-Khaki-Solid-Regular-Fit-Cargo-Shorts/12152370/buy,False,,False,12152370,t-base Men Khaki Solid Regular Fit Cargo Shorts,t-base Men Khaki Solid Regular Fit Cargo Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/45c6dc3d-a48d-4584-83cc-a9759e53ec3d1595717195784-1.jpg,0,0,42339332,4030,0,,[],"[{'skuId': 42339324, 'label': '30', 'inventory': 22, 'available': True}, {'skuId': 42339326, 'label': '32', 'inventory': 21, 'available': True}, {'skuId': 42339328, 'label': '34', 'inventory': 66, 'available': True}, {'skuId': 42339332, 'label': '36', 'inventory': 17, 'available': True}, {'skuId': 42339336, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42339338, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339342, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/45c6dc3d-a48d-4584-83cc-a9759e53ec3d1595717195784-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/45c6dc3d-a48d-4584-83cc-a9759e53ec3d1595717195784-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/a5a21a2c-1fa9-447b-9a61-f9c0dbc37f8e1595717196107-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/076db8d0-bf17-49cb-8ad7-256d3a8a1cc91595717196018-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/f2dafa91-cc05-4a34-a8bf-76f78a54ef3d1595717195904-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/4c279bae-734f-4d9c-aad9-bc000ff3c68d1595717195847-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/352f0032-0221-4912-9486-6fa0bc4780fe1595717195960-4.jpg'}]",Men,Khaki,,,Men Regular Fit Cargo Shorts,Shorts,1799,1799,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Khaki-Solid-Regular-Fit-Cargo-Shorts/12152370/buy
9,Shorts/t-base/t-base-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts/12152354/buy,False,,False,12152354,t-base Men Navy Blue Solid Slim Fit Chino Shorts,t-base Men Navy Blue Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/26/62454639-1fbc-4da6-b65f-c9b77190ed491595718735317-1.jpg,0,0,42339198,4030,0,,[],"[{'skuId': 42339198, 'label': '30', 'inventory': 9, 'available': True}, {'skuId': 42339206, 'label': '32', 'inventory': 18, 'available': True}, {'skuId': 42339210, 'label': '34', 'inventory': 33, 'available': True}, {'skuId': 42339216, 'label': '36', 'inventory': 34, 'available': True}, {'skuId': 42339222, 'label': '38', 'inventory': 17, 'available': True}, {'skuId': 42339230, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42339236, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,36,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/62454639-1fbc-4da6-b65f-c9b77190ed491595718735317-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/62454639-1fbc-4da6-b65f-c9b77190ed491595718735317-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/6fbb9766-8258-44ce-954e-6b0e90840fdd1595718735589-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/f205aeed-7f9a-4677-9501-b677a847132b1595718735542-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/4d9cf171-679a-4bae-aeea-91ac8cbcd0d91595718735431-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/c8d6dd00-dfd1-41c8-bdc3-f2079f081e061595718735378-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/e8a7022a-ec07-4566-b85a-68a5e651497b1595718735485-4.jpg'}]",Men,Navy Blue,,,Men Slim Fit Chino Shorts,Shorts,1499,1499,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/t-base/t-base-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts/12152354/buy
