,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/sOliver/sOliver-Men-Black-Printed-Round-Neck-T-shirt/7992345/buy,False,,False,7992345,s.Oliver Men Black Printed Round Neck T-shirt,s.Oliver Men Black Printed Round Neck T-shirt,0,0,False,0,,0,s.Oliver,http://assets.myntassets.com/assets/images/7992345/2020/8/3/0aca4871-41ce-448d-9d4d-83b61f57df4b1596447951754-sOliver-Men-Tshirts-4151596447950016-1.jpg,0,0,32519078,4024,0,,[],"[{'skuId': 32519073, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 32519078, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 32519080, 'label': 'L', 'inventory': 1, 'available': True}, {'skuId': 32519081, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 32519082, 'label': 'XXL', 'inventory': 0, 'available': False}]","M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7992345/2020/8/3/0aca4871-41ce-448d-9d4d-83b61f57df4b1596447951754-sOliver-Men-Tshirts-4151596447950016-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7992345/2020/8/3/0aca4871-41ce-448d-9d4d-83b61f57df4b1596447951754-sOliver-Men-Tshirts-4151596447950016-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7992345/2020/8/3/94d798d1-0c16-4162-87e6-8c1ce3c882fe1596447951484-sOliver-Men-Tshirts-4151596447950016-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7992345/2020/8/3/7507f6f9-0c31-491b-af3d-841ffd8aa9441596447951631-sOliver-Men-Tshirts-4151596447950016-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7992345/2020/8/3/da7fabb6-86f4-45f3-91e6-2af35a529eb21596447951544-sOliver-Men-Tshirts-4151596447950016-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7992345/2020/8/3/74abc2d6-fe45-4e58-b373-dd8a320c9a761596447951699-sOliver-Men-Tshirts-4151596447950016-2.jpg'}]",Men,Black,Get upto 20% off,Get upto 20% off,Printed Round Neck T-shirt,Tshirts,1999,1999,,False,,0,256,,1596672000000,Fall,2018,False,,,0,,[],www.myntra.com/Tshirts/sOliver/sOliver-Men-Black-Printed-Round-Neck-T-shirt/7992345/buy
1,Tshirts/John-Players/John-Players-Men-Orange-Solid-Slim-Fit-Polo-Collar-T-shirt/12016138/buy,False,,False,12016138,John Players Men Orange Solid Slim Fit Polo Collar T-shirt,John Players Men Orange Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,550,John Players,http://assets.myntassets.com/assets/images/12016138/2020/7/24/45673734-5934-4d24-9a11-560b6f83f4011595584011192-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-1.jpg,0,0,41843224,4028,0,,[],"[{'skuId': 41843222, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 41843224, 'label': 'M', 'inventory': 19, 'available': True}, {'skuId': 41843226, 'label': 'L', 'inventory': 18, 'available': True}, {'skuId': 41843228, 'label': 'XL', 'inventory': 8, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/45673734-5934-4d24-9a11-560b6f83f4011595584011192-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/45673734-5934-4d24-9a11-560b6f83f4011595584011192-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/0230cf29-84dc-4bbf-8335-a9fd54c4bff21595584010868-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/08bcfa8e-d332-4a4e-9330-c4ab2844bc341595584010945-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/afce21be-a5fc-4d61-958a-0fb2bd3b41ce1595584011070-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/3016d8bb-6d1f-4b29-bd10-71275a1d6d0e1595584011123-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016138/2020/7/24/028bfe80-e02b-493e-b8c7-e7829d54666e1595584011013-John-Players-Men-Orange-Solid-Polo-Collar-T-shirt-6261595584-4.jpg'}]",Men,Orange,Flat_Search_Percent,(50% OFF),Slim Solid Polo Collar T-shirt,Tshirts,1099,549,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Orange-Solid-Slim-Fit-Polo-Collar-T-shirt/12016138/buy
2,Tshirts/Calvin-Klein-Jeans/Calvin-Klein-Jeans-Men-Maroon-Solid-Polo-Collar-T-shirt/10268493/buy,False,,False,10268493,Calvin Klein Jeans Men Maroon Solid Polo Collar T-shirt,Calvin Klein Jeans Men Maroon Solid Polo Collar T-shirt,0,0,False,0,,0,Calvin Klein Jeans,http://assets.myntassets.com/assets/images/10268493/2020/8/3/4f74f66b-ec72-4d70-9263-e748f44ac0d81596448038933-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-1.jpg,0,0,35083550,4024,0,,[],"[{'skuId': 35083548, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 35083546, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 35083545, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 35083549, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 35083550, 'label': 'XXL', 'inventory': 0, 'available': False}]",M,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10268493/2020/8/3/4f74f66b-ec72-4d70-9263-e748f44ac0d81596448038933-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10268493/2020/8/3/4f74f66b-ec72-4d70-9263-e748f44ac0d81596448038933-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10268493/2020/8/3/f910e102-daa5-487e-a022-98d86a00d1a91596448038699-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10268493/2020/8/3/ca222c74-4a64-44c3-aa49-ae9781cf9f271596448038817-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10268493/2020/8/3/a41f5934-172d-48dc-9f91-27bd9febc0cf1596448038877-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10268493/2020/8/3/0c3bd446-fb68-4489-a9a4-92f4eb13bf941596448038755-Calvin-Klein-Jeans-Men-Tshirts-9391596448037306-4.jpg'}]",Men,Maroon,Get upto 20% off,Get upto 20% off,Solid Polo Collar T-shirt,Tshirts,3999,3999,,False,,0,256,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/Calvin-Klein-Jeans/Calvin-Klein-Jeans-Men-Maroon-Solid-Polo-Collar-T-shirt/10268493/buy
3,Tshirts/John-Players/John-Players-Men-Beige-Solid-Slim-Fit-Polo-Collar-T-shirt/12016170/buy,False,,False,12016170,John Players Men Beige Solid Slim Fit Polo Collar T-shirt,John Players Men Beige Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,550,John Players,http://assets.myntassets.com/assets/images/12016170/2020/7/24/47ecbfb5-689a-4d5c-a06f-092eefd622701595577419986-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-1.jpg,0,0,41843316,4028,0,,[],"[{'skuId': 41843316, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 41843320, 'label': 'M', 'inventory': 20, 'available': True}, {'skuId': 41843324, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 41843328, 'label': 'XL', 'inventory': 10, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/47ecbfb5-689a-4d5c-a06f-092eefd622701595577419986-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/47ecbfb5-689a-4d5c-a06f-092eefd622701595577419986-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/9016e564-b18b-4313-ac99-2212f37b881c1595577419670-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/ea0d6a0c-7c69-4ccb-b4d3-59daed2193301595577419732-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/e369cc3f-ba95-405b-a50c-b076aa29dd301595577419843-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/edca87c1-1b0a-4d7b-91fa-3504bb36723a1595577419790-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016170/2020/7/24/5cd14691-c8a7-4be8-96da-2cfa2aea05f21595577419890-John-Players-Men-Beige-Solid-Polo-Collar-T-shirt-64515955774-2.jpg'}]",Men,Beige,Flat_Search_Percent,(50% OFF),Solid Slim Polo Collar T-shirt,Tshirts,1099,549,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Beige-Solid-Slim-Fit-Polo-Collar-T-shirt/12016170/buy
4,Tshirts/John-Players/John-Players-Men-Navy-Blue-Solid-Slim-Fit-Polo-Collar-T-shirt/12016166/buy,False,,False,12016166,John Players Men Navy Blue Solid Slim Fit Polo Collar T-shirt,John Players Men Navy Blue Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,500,John Players,http://assets.myntassets.com/assets/images/12016166/2020/7/24/ae474ec2-559f-4d69-97d4-6d4c85bda1171595584080320-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-1.jpg,0,0,41843308,4028,0,,[],"[{'skuId': 41843306, 'label': 'S', 'inventory': 17, 'available': True}, {'skuId': 41843308, 'label': 'M', 'inventory': 23, 'available': True}, {'skuId': 41843310, 'label': 'L', 'inventory': 24, 'available': True}, {'skuId': 41843312, 'label': 'XL', 'inventory': 11, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016166/2020/7/24/ae474ec2-559f-4d69-97d4-6d4c85bda1171595584080320-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016166/2020/7/24/ae474ec2-559f-4d69-97d4-6d4c85bda1171595584080320-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016166/2020/7/24/f18f7cad-bb7b-4e9d-b661-a7be09701cdd1595584080016-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016166/2020/7/24/0e55f2ac-892a-434f-98e1-ec030b2114771595584080178-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016166/2020/7/24/e5d400d2-4106-43b0-a0eb-1f9bb0e74b341595584080257-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016166/2020/7/24/1f8f5785-ab82-45dc-92e7-6bba4b919e891595584080105-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-7215955-4.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(50% OFF),Slim Fit Polo Collar T-shirt,Tshirts,999,499,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Navy-Blue-Solid-Slim-Fit-Polo-Collar-T-shirt/12016166/buy
5,Tshirts/John-Players/John-Players-Men-Black-Solid-Slim-Fit-Polo-Collar-T-shirt/12016158/buy,False,,False,12016158,John Players Men Black Solid Slim Fit Polo Collar T-shirt,John Players Men Black Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,500,John Players,http://assets.myntassets.com/assets/images/12016158/2020/7/24/3584d02d-0d8a-463a-a8cb-af1cc6d8203b1595584062433-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-1.jpg,0,0,41843280,4028,0,,[],"[{'skuId': 41843278, 'label': 'S', 'inventory': 18, 'available': True}, {'skuId': 41843280, 'label': 'M', 'inventory': 25, 'available': True}, {'skuId': 41843282, 'label': 'L', 'inventory': 23, 'available': True}, {'skuId': 41843284, 'label': 'XL', 'inventory': 11, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016158/2020/7/24/3584d02d-0d8a-463a-a8cb-af1cc6d8203b1595584062433-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016158/2020/7/24/3584d02d-0d8a-463a-a8cb-af1cc6d8203b1595584062433-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016158/2020/7/24/da802524-ae30-417a-8ccd-02bffe89e2601595584061917-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016158/2020/7/24/2f8587cc-b702-45cb-bb71-d1401d5ae4011595584062177-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016158/2020/7/24/5324dfd4-d28b-4c8a-8d83-79ca1ac5cbdb1595584062050-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016158/2020/7/24/0f205091-bba5-42c2-8653-927bb15fe0a21595584062319-John-Players-Men-Black-Solid-Polo-Collar-T-shirt-41515955840-2.jpg'}]",Men,Black,Flat_Search_Percent,(50% OFF),Slim Fit Polo Collar T-shirt,Tshirts,999,499,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Black-Solid-Slim-Fit-Polo-Collar-T-shirt/12016158/buy
6,Tshirts/John-Players/John-Players-Men-Blue-Solid-Slim-Fit-Polo-Collar-T-shirt/12016172/buy,False,,False,12016172,John Players Men Blue Solid Slim Fit Polo Collar T-shirt,John Players Men Blue Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,550,John Players,http://assets.myntassets.com/assets/images/12016172/2020/7/24/1a96dbab-4c54-4f1e-acf9-23af807ea6c91595577469109-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-1.jpg,0,0,41843330,4028,0,,[],"[{'skuId': 41843330, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 41843332, 'label': 'M', 'inventory': 21, 'available': True}, {'skuId': 41843334, 'label': 'L', 'inventory': 19, 'available': True}, {'skuId': 41843336, 'label': 'XL', 'inventory': 10, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/1a96dbab-4c54-4f1e-acf9-23af807ea6c91595577469109-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/1a96dbab-4c54-4f1e-acf9-23af807ea6c91595577469109-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/d3e4a767-8c6c-4b95-992b-57008f1a10e51595577468756-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/f72ffe1b-992c-4a0b-afbe-cd05b75289a31595577468833-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/d50df4a1-e6ce-4b68-b8b0-91c8a45bc5eb1595577468975-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/0a73d41b-7836-408a-a1bf-61b650f61d231595577468917-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016172/2020/7/24/a8710ca7-14ae-4347-b774-ab63d8b5d4e81595577469041-John-Players-Men-Blue-Solid-Polo-Collar-T-shirt-484159557746-2.jpg'}]",Men,Blue,Flat_Search_Percent,(50% OFF),Slim Fit Polo Collar T-shirt,Tshirts,1099,549,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Blue-Solid-Slim-Fit-Polo-Collar-T-shirt/12016172/buy
7,Tshirts/John-Players/John-Players-Men-Charcoal-Grey-Solid-Slim-Fit-Polo-Collar-T-shirt/12016160/buy,False,,False,12016160,John Players Men Charcoal Grey Solid Slim Fit Polo Collar T-shirt,John Players Men Charcoal Grey Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,550,John Players,http://assets.myntassets.com/assets/images/12016160/2020/7/24/1a6a65e5-f55e-48db-bc39-5d4f0fd2173b1595580390808-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-1.jpg,0,0,41843288,4028,0,,[],"[{'skuId': 41843286, 'label': 'S', 'inventory': 16, 'available': True}, {'skuId': 41843288, 'label': 'M', 'inventory': 22, 'available': True}, {'skuId': 41843290, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 41843292, 'label': 'XL', 'inventory': 9, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/1a6a65e5-f55e-48db-bc39-5d4f0fd2173b1595580390808-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/1a6a65e5-f55e-48db-bc39-5d4f0fd2173b1595580390808-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/5841f525-fa37-4ed2-a456-d6f10a7a66eb1595580390312-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/ad0e0dbf-6c53-43d7-b829-0425eb4aa3601595580390413-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/a86537b2-dba7-40d3-8ae2-9ca726c471801595580390640-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/145ca7c7-42c6-4614-ab23-0bdb7411c9781595580390732-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016160/2020/7/24/12721061-7008-4d3a-a488-53f5336cad061595580390520-John-Players-Men-Charcoal-Solid-Polo-Collar-T-shirt-10615955-4.jpg'}]",Men,Charcoal,Flat_Search_Percent,(50% OFF),Slim Fit Polo Collar T-shirt,Tshirts,1099,549,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Charcoal-Grey-Solid-Slim-Fit-Polo-Collar-T-shirt/12016160/buy
8,Tshirts/Polo-Ralph-Lauren/Polo-Ralph-Lauren-Men-White-Custom-Slim-Fit-Mesh-Polo/11747396/buy,False,,False,11747396,Polo Ralph Lauren Men White Custom Slim Fit Mesh Polo,Polo Ralph Lauren Men White Custom Slim Fit Mesh Polo,0,0,False,0,,0,Polo Ralph Lauren,http://assets.myntassets.com/assets/images/11747396/2020/5/28/b7b73e4b-34e3-461d-b92e-0599c4ea32381590667747637TshirtsPoloRalphLaurenMenTshirtsPoloRalphLaurenMenTshirtsPol1.jpg,0,0,40872572,4036,0,,[],"[{'skuId': 40872572, 'label': 'XXL', 'inventory': 1, 'available': True}]",XXL,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11747396/2020/5/28/b7b73e4b-34e3-461d-b92e-0599c4ea32381590667747637TshirtsPoloRalphLaurenMenTshirtsPoloRalphLaurenMenTshirtsPol1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11747396/2020/5/28/b7b73e4b-34e3-461d-b92e-0599c4ea32381590667747637TshirtsPoloRalphLaurenMenTshirtsPoloRalphLaurenMenTshirtsPol1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11747396/2020/5/28/67285f6c-4950-4db0-9a85-f972468d062a1590667747792TshirtsPoloRalphLaurenMenTshirtsPoloRalphLaurenMenTshirtsPol3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11747396/2020/5/28/db4c542e-21c4-47c8-8bb6-c7e9b24d0ca31590667747860TshirtsPoloRalphLaurenMenTshirtsPoloRalphLaurenMenTshirtsPol4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11747396/2020/5/28/3a77abb2-89d5-48be-8780-ecf682d798881590667747705TshirtsPoloRalphLaurenMenTshirtsPoloRalphLaurenMenTshirtsPol2.jpg'}]",Men,White,,,Custom Slim Fit Mesh Polo,Tshirts,12990,12990,,False,,0,,,1596672000000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Polo-Ralph-Lauren/Polo-Ralph-Lauren-Men-White-Custom-Slim-Fit-Mesh-Polo/11747396/buy
9,Tshirts/John-Players/John-Players-Men-Navy-Blue-Solid-Slim-Fit-Polo-Collar-T-shirt/12016162/buy,False,,False,12016162,John Players Men Navy Blue Solid Slim Fit Polo Collar T-shirt,John Players Men Navy Blue Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,550,John Players,http://assets.myntassets.com/assets/images/12016162/2020/7/24/c70d995f-138f-4a02-a547-d43d360114d51595577407762-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-1.jpg,0,0,41843300,4028,0,,[],"[{'skuId': 41843294, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 41843296, 'label': 'M', 'inventory': 21, 'available': True}, {'skuId': 41843298, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 41843300, 'label': 'XL', 'inventory': 9, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/c70d995f-138f-4a02-a547-d43d360114d51595577407762-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/c70d995f-138f-4a02-a547-d43d360114d51595577407762-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/024118c5-a088-4b8f-98e2-3beff759edb31595577407452-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/0979e2db-8818-4a1b-b16f-6189252911a31595577407515-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/b0a55ddf-a548-468d-a3f8-8548dedbf1191595577407637-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/8fdbe684-1b33-4f7b-8817-23f77d9b261f1595577407574-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016162/2020/7/24/3e51f4ec-ad02-4f2c-a1c7-4c59415f2d951595577407701-John-Players-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-4411595-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(50% OFF),Slim Fit  Polo Collar T-shirt,Tshirts,1099,549,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Tshirts/John-Players/John-Players-Men-Navy-Blue-Solid-Slim-Fit-Polo-Collar-T-shirt/12016162/buy
