,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/Juniper/Juniper-Women-Olive-Green-Embroidered-A-Line-Dress/12187396/buy,False,,False,12187396,Juniper Women Olive Green Embroidered A-Line Dress,Juniper Women Olive Green Embroidered A-Line Dress,0.0,0,False,0,,777,Juniper,http://assets.myntassets.com/assets/images/productimage/2020/7/31/b5f7f28d-edd0-49d3-87ba-221415a88fe71596154398830-1.jpg,0,0,42459138,6938,0,,[],"[{'skuId': 42459136, 'label': 'S', 'inventory': 49, 'available': True}, {'skuId': 42459138, 'label': 'M', 'inventory': 40, 'available': True}, {'skuId': 42459140, 'label': 'L', 'inventory': 39, 'available': True}, {'skuId': 42459142, 'label': 'XL', 'inventory': 60, 'available': True}, {'skuId': 42459144, 'label': 'XXL', 'inventory': 60, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/b5f7f28d-edd0-49d3-87ba-221415a88fe71596154398830-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/b5f7f28d-edd0-49d3-87ba-221415a88fe71596154398830-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/613eca77-b765-47ef-8f98-a63714a5f5e71596154399109-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/ab8feba3-4a2e-4a40-9658-7e265bee3a281596154399053-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/aa139f3c-aba9-4653-bc06-d6c204210e7b1596154398930-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/72569f56-8802-445c-9ef7-1a3b43bbd19e1596154398989-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/31/00aa0298-8877-4bee-bfbf-eba59803577a1596154398877-2.jpg'}]",Women,Olive,Flat_Search_Percent,(37% OFF),Embroidered A-Line Dress,Dresses,2098,1321,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Olive-Green-Embroidered-A-Line-Dress/12187396/buy
1,Dresses/Globus/Globus-Women-Pink--Mustard-Yellow-Printed-Maxi-Dress/12187328/buy,False,,False,12187328,Globus Women Pink & Mustard Yellow Printed Maxi Dress,Globus Women Pink & Mustard Yellow Printed Maxi Dress,0.0,0,False,0,,850,Globus,http://assets.myntassets.com/assets/images/productimage/2020/8/2/26021d9a-70ae-4a6a-b747-16bf9c9559f71596318955065-1.jpg,0,0,42458850,4614,0,,[],"[{'skuId': 42458850, 'label': 'S', 'inventory': 12, 'available': True}, {'skuId': 42458856, 'label': 'M', 'inventory': 13, 'available': True}, {'skuId': 42458860, 'label': 'L', 'inventory': 7, 'available': True}, {'skuId': 42458862, 'label': 'XL', 'inventory': 13, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/2/26021d9a-70ae-4a6a-b747-16bf9c9559f71596318955065-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/2/26021d9a-70ae-4a6a-b747-16bf9c9559f71596318955065-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/2/2629a816-e627-4b22-a8b7-8ba9f2eb0cc61596318955297-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/2/590d2cc5-54a8-4128-a3ae-433f3a7cbce51596318955189-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/2/7bb2be33-4667-4825-b4c0-838a69643c161596318955244-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/2/1ecc777b-8fff-428b-95b5-afb154af67681596318955126-2.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Printed Maxi Dress,Dresses,1699,849,,False,,0,1,,1596067200000,Winter,2019,False,,,0,,[],www.myntra.com/Dresses/Globus/Globus-Women-Pink--Mustard-Yellow-Printed-Maxi-Dress/12187328/buy
2,Dresses/Juniper/Juniper-Women-Navy-Blue--Red-Printed-Fit-and-Flare-Dress/12179952/buy,False,,False,12179952,Juniper Women Navy Blue & Red Printed Fit and Flare Dress,Juniper Women Navy Blue & Red Printed Fit and Flare Dress,0.0,0,False,0,,1800,Juniper,http://assets.myntassets.com/assets/images/productimage/2020/7/30/90245334-f45f-45cb-afd6-fd63d0e6c5a41596069660153-1.jpg,0,0,42428630,6938,0,,[],"[{'skuId': 42428626, 'label': 'S', 'inventory': 53, 'available': True}, {'skuId': 42428628, 'label': 'M', 'inventory': 101, 'available': True}, {'skuId': 42428630, 'label': 'L', 'inventory': 101, 'available': True}, {'skuId': 42428632, 'label': 'XL', 'inventory': 108, 'available': True}, {'skuId': 42428634, 'label': 'XXL', 'inventory': 53, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/90245334-f45f-45cb-afd6-fd63d0e6c5a41596069660153-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/90245334-f45f-45cb-afd6-fd63d0e6c5a41596069660153-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/6914ad64-9334-4f53-9365-1c80a05007471596069660380-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/95b92fc6-2973-4e31-adeb-a171c23a0f791596069660334-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/ce18e2b5-c980-488d-8c4c-49472ef38cb41596069660249-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/90a24e9c-f7b5-4d29-91b4-0ceebb9cd0761596069660292-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/30/48353235-ac7d-4717-a1be-7f859f3b7a801596069660205-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(50% OFF),Printed Fit and Flare Dress,Dresses,3599,1799,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Navy-Blue--Red-Printed-Fit-and-Flare-Dress/12179952/buy
3,Dresses/Taavi/Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Flare-Dress-With-Pockets/11430988/buy,False,,False,11430988,Taavi Women Beige & Black Bagru Hand Block Printed Fit and Flare Dress With Pockets,Taavi Women Beige & Black Bagru Hand Block Printed Fit and Flare Dress With Pockets,0.0,0,False,0,,720,Taavi,http://assets.myntassets.com/assets/images/11430988/2020/8/5/84bc8e7d-fc24-4bd7-99d6-8abaa80486421596607589195-Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Fl-1.jpg,0,0,39695456,4036,0,,[],"[{'skuId': 39695456, 'label': 'XS', 'inventory': 16, 'available': True}, {'skuId': 39695464, 'label': 'S', 'inventory': 48, 'available': True}, {'skuId': 39695468, 'label': 'M', 'inventory': 54, 'available': True}, {'skuId': 39695474, 'label': 'L', 'inventory': 44, 'available': True}, {'skuId': 39695478, 'label': 'XL', 'inventory': 20, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11430988/2020/8/5/84bc8e7d-fc24-4bd7-99d6-8abaa80486421596607589195-Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Fl-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11430988/2020/8/5/84bc8e7d-fc24-4bd7-99d6-8abaa80486421596607589195-Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Fl-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11430988/2020/8/5/68ed85c5-8aab-4e50-87ac-602a2a81a5571596607589115-Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Fl-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11430988/2020/8/5/9684f755-5c3f-46be-8ead-8b211120e44b1596607589064-Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Fl-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11430988/2020/8/5/f35dae14-2b99-4e7d-97a4-a23b237daeab1596607589154-Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Fl-2.jpg'}]",Women,Beige,Flat_Search_Percent,( 40 % OFF),Bagru Hand Block Print Dress,Dresses,1799,1079,,False,,0,1024,"Or Buy 1 @MRP, get 1 Free*",1596067200000,Spring,2020,False,,,0,,[],www.myntra.com/Dresses/Taavi/Taavi-Women-Beige--Black-Bagru-Hand-Block-Printed-Fit-and-Flare-Dress-With-Pockets/11430988/buy
4,Dresses/Juniper/Juniper-Women-Pink-Embroidered-Ethnic-Fit-and-Flare-Dress/12187394/buy,False,,False,12187394,Juniper Women Pink Embroidered Ethnic Fit and Flare Dress,Juniper Women Pink Embroidered Ethnic Fit and Flare Dress,0.0,0,False,0,,777,Juniper,http://assets.myntassets.com/assets/images/productimage/2020/8/1/d827f136-0bdb-46bd-887c-6642ee250c761596255854446-1.jpg,0,0,42459126,6938,0,,[],"[{'skuId': 42459126, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 42459128, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 42459130, 'label': 'L', 'inventory': 9, 'available': True}, {'skuId': 42459132, 'label': 'XL', 'inventory': 24, 'available': True}, {'skuId': 42459134, 'label': 'XXL', 'inventory': 13, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/d827f136-0bdb-46bd-887c-6642ee250c761596255854446-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/d827f136-0bdb-46bd-887c-6642ee250c761596255854446-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/cd96ec9a-6e2c-4014-9937-dc0167e260d51596255854687-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/36adcfd1-7cd8-4413-902a-936b4b5787f71596255854637-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/cdf0805a-c3fd-4aa7-95a3-68fdf44cef541596255854546-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/096c5246-bd08-44ec-9436-438de4ad0a6a1596255854593-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/0536b032-62cf-47f1-9a02-acab7c485b8f1596255854496-2.jpg'}]",Women,Pink,Flat_Search_Percent,(37% OFF),Embroidered Ethnic Dress,Dresses,2098,1321,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Pink-Embroidered-Ethnic-Fit-and-Flare-Dress/12187394/buy
5,Dresses/Juniper/Juniper-Women-Maroon--Golden-Printed-Asymmetric-Hem-A-Line-Dress/12094360/buy,False,,False,12094360,Juniper Women Maroon & Golden Printed Asymmetric Hem A-Line Dress,Juniper Women Maroon & Golden Printed Asymmetric Hem A-Line Dress,0.0,0,False,0,,630,Juniper,http://assets.myntassets.com/assets/images/12094360/2020/8/5/5086e9b5-6ffc-4467-9c49-28202b5ab8cb1596605023578JuniperMaroonRayonPrintedAsymmetricDresswithBelt1.jpg,0,0,42109052,6938,0,,[],"[{'skuId': 42109034, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 42109040, 'label': 'S', 'inventory': 6, 'available': True}, {'skuId': 42109046, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42109052, 'label': 'L', 'inventory': 24, 'available': True}, {'skuId': 42109058, 'label': 'XL', 'inventory': 29, 'available': True}, {'skuId': 42109060, 'label': 'XXL', 'inventory': 56, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12094360/2020/8/5/5086e9b5-6ffc-4467-9c49-28202b5ab8cb1596605023578JuniperMaroonRayonPrintedAsymmetricDresswithBelt1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12094360/2020/8/5/5086e9b5-6ffc-4467-9c49-28202b5ab8cb1596605023578JuniperMaroonRayonPrintedAsymmetricDresswithBelt1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12094360/2020/8/5/6150e1d0-23a2-4630-92cc-7beaa46b47101596605023876JuniperMaroonRayonPrintedAsymmetricDresswithBelt5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12094360/2020/8/5/b7d9e33b-080e-4612-946d-6b9209d39d291596605023730JuniperMaroonRayonPrintedAsymmetricDresswithBelt3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12094360/2020/8/5/0386e465-2dc6-4440-a6a4-7ed7df5f160f1596605023802JuniperMaroonRayonPrintedAsymmetricDresswithBelt4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12094360/2020/8/5/3c00ee10-19c9-42c1-93c1-e16ce91e466a1596605023659JuniperMaroonRayonPrintedAsymmetricDresswithBelt2.jpg'}]",Women,Maroon,Flat_Search_Percent,(30% OFF),Asymmetric Hem A-Line Dress,Dresses,2098,1468,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Maroon--Golden-Printed-Asymmetric-Hem-A-Line-Dress/12094360/buy
6,Dresses/Juniper/Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dress/12094408/buy,False,,False,12094408,Juniper Women Coral Pink and Golden Cambric Printed Maxi Dress,Juniper Women Coral Pink and Golden Cambric Printed Maxi Dress,0.0,0,False,0,,1500,Juniper,http://assets.myntassets.com/assets/images/12094408/2020/8/6/cccde772-830d-465c-b5b1-1f631b7dfb481596713656511-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-1.jpg,0,0,42109294,6938,0,,[],"[{'skuId': 42109294, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 42109298, 'label': 'M', 'inventory': 68, 'available': True}, {'skuId': 42109302, 'label': 'L', 'inventory': 68, 'available': True}, {'skuId': 42109306, 'label': 'XL', 'inventory': 88, 'available': True}, {'skuId': 42109310, 'label': 'XXL', 'inventory': 29, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12094408/2020/8/6/cccde772-830d-465c-b5b1-1f631b7dfb481596713656511-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12094408/2020/8/6/cccde772-830d-465c-b5b1-1f631b7dfb481596713656511-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12094408/2020/8/6/2b14be31-ba50-4632-82d8-0353f8babefe1596713656140-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12094408/2020/8/6/1b255ba0-80f0-4976-9c43-be0f958c14601596713656315-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12094408/2020/8/6/e49f3c78-4ef1-431b-a3ca-55579f0f01e61596713656431-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12094408/2020/8/6/b18d3b46-c8f3-47a1-9c31-fc49b95b82cc1596713656224-Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dre-4.jpg'}]",Women,Coral,Flat_Search_Percent,(50% OFF),Printed Maxi Dress,Dresses,2999,1499,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Coral-Pink-and-Golden-Cambric-Printed-Maxi-Dress/12094408/buy
7,Dresses/Juniper/Juniper-Women-Black-and-Golden-Cambric-Printed-Tiered-A-Line-Dress/12094356/buy,False,,False,12094356,Juniper Women Black and Golden Cambric Printed Tiered A-Line Dress,Juniper Women Black and Golden Cambric Printed Tiered A-Line Dress,0.0,0,False,0,,1700,Juniper,http://assets.myntassets.com/assets/images/12094356/2020/8/5/c36837c2-c605-4932-ac11-4f8c6868c6951596605044259JuniperBlackCambricEmbroideredTieredKurtaDress1.jpg,0,0,42109030,6938,0,,[],"[{'skuId': 42109030, 'label': 'S', 'inventory': 38, 'available': True}, {'skuId': 42109036, 'label': 'M', 'inventory': 101, 'available': True}, {'skuId': 42109042, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 42109050, 'label': 'XL', 'inventory': 105, 'available': True}, {'skuId': 42109056, 'label': 'XXL', 'inventory': 46, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12094356/2020/8/5/c36837c2-c605-4932-ac11-4f8c6868c6951596605044259JuniperBlackCambricEmbroideredTieredKurtaDress1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12094356/2020/8/5/c36837c2-c605-4932-ac11-4f8c6868c6951596605044259JuniperBlackCambricEmbroideredTieredKurtaDress1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12094356/2020/8/5/01871bd9-1806-4cc2-bd5d-48e2904bd8b81596605044522JuniperBlackCambricEmbroideredTieredKurtaDress5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12094356/2020/8/5/6a8ddb80-a9d7-4677-b3d0-22a6a5466c621596605044389JuniperBlackCambricEmbroideredTieredKurtaDress3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12094356/2020/8/5/908dffd6-80ba-4d9c-8b18-0c744439e5d61596605044450JuniperBlackCambricEmbroideredTieredKurtaDress4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12094356/2020/8/5/6d8f28c0-70ac-4057-9de2-94c5e3af88f51596605044323JuniperBlackCambricEmbroideredTieredKurtaDress2.jpg'}]",Women,Black,Flat_Search_Percent,(68% OFF),Printed Tiered A-Line Dress,Dresses,2499,799,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Black-and-Golden-Cambric-Printed-Tiered-A-Line-Dress/12094356/buy
8,Dresses/Juniper/Juniper-Women-Mustard-Yellow--Red-Foil-Printed-Asymmetric-Maxi-Dress-With-Belt/12094418/buy,False,,False,12094418,Juniper Women Mustard Yellow & Red Foil Printed Asymmetric Maxi Dress With Belt,Juniper Women Mustard Yellow & Red Foil Printed Asymmetric Maxi Dress With Belt,0.0,0,False,0,,735,Juniper,http://assets.myntassets.com/assets/images/12094418/2020/8/5/1b597c79-a156-425c-803c-887e88508b9f1596605027307JuniperMustardRayonPrintedAsymmetricDresswithBelt1.jpg,0,0,42109358,6938,0,,[],"[{'skuId': 42109358, 'label': 'XS', 'inventory': 1, 'available': True}, {'skuId': 42109360, 'label': 'S', 'inventory': 38, 'available': True}, {'skuId': 42109362, 'label': 'M', 'inventory': 37, 'available': True}, {'skuId': 42109364, 'label': 'L', 'inventory': 42, 'available': True}, {'skuId': 42109368, 'label': 'XL', 'inventory': 50, 'available': True}, {'skuId': 42109370, 'label': 'XXL', 'inventory': 52, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12094418/2020/8/5/1b597c79-a156-425c-803c-887e88508b9f1596605027307JuniperMustardRayonPrintedAsymmetricDresswithBelt1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12094418/2020/8/5/1b597c79-a156-425c-803c-887e88508b9f1596605027307JuniperMustardRayonPrintedAsymmetricDresswithBelt1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12094418/2020/8/5/f2bc67ce-919c-4348-81c9-66b18505ce441596605027610JuniperMustardRayonPrintedAsymmetricDresswithBelt5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12094418/2020/8/5/aad06af7-a94a-4886-a112-d870ce2961ea1596605027454JuniperMustardRayonPrintedAsymmetricDresswithBelt3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12094418/2020/8/5/42ca1ff5-cfa3-4b69-be47-45882a804d141596605027386JuniperMustardRayonPrintedAsymmetricDresswithBelt2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12094418/2020/8/5/15e5a67a-d267-40bd-9a44-9a8d07c5810a1596605027533JuniperMustardRayonPrintedAsymmetricDresswithBelt4.jpg'}]",Women,Mustard,Flat_Search_Percent,(35% OFF),Foil Asymmetric Maxi Dress,Dresses,2098,1363,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Juniper/Juniper-Women-Mustard-Yellow--Red-Foil-Printed-Asymmetric-Maxi-Dress-With-Belt/12094418/buy
9,Dresses/Vedic/Vedic-Women-Blue-Yoke-Design-Fit-and-Flare-Dress/12172234/buy,False,,False,12172234,Vedic Women Blue Yoke Design Fit and Flare Dress,Vedic Women Blue Yoke Design Fit and Flare Dress,0.0,0,False,0,,500,Vedic,http://assets.myntassets.com/assets/images/productimage/2020/8/1/fbb3860c-9fd8-426a-a9e7-c96281fe299f1596232365897-1.jpg,0,0,42405048,5300,0,,[],"[{'skuId': 42405040, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 42405048, 'label': 'M', 'inventory': 15, 'available': True}, {'skuId': 42405052, 'label': 'L', 'inventory': 15, 'available': True}, {'skuId': 42405056, 'label': 'XL', 'inventory': 15, 'available': True}, {'skuId': 42405060, 'label': 'XXL', 'inventory': 15, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/fbb3860c-9fd8-426a-a9e7-c96281fe299f1596232365897-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/fbb3860c-9fd8-426a-a9e7-c96281fe299f1596232365897-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/2deb2aee-7ea4-49ba-baa2-5bd8ca437fa41596232366230-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/ea5e60c0-bbd0-451a-b2da-f777709c59051596232366167-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/b57efe1f-7568-4f30-acc3-82715fcca5fb1596232366300-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/51c42d02-6526-4c48-967d-3d6c8f7f27c51596232366019-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/4d94036a-4aae-47d0-9cd8-b24619504bc81596232366092-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/1/37925fff-a5e7-441e-a74f-88814996bd331596232365963-2.jpg'}]",Women,Blue,Flat_Search_Percent,(20% OFF),Yoke Design Dress,Dresses,2499,1999,,False,,0,1,,1596067200000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Vedic/Vedic-Women-Blue-Yoke-Design-Fit-and-Flare-Dress/12172234/buy
