,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Jumpsuit/HM/HM-Women-White--Green-Floral-Printed-Puff-Sleeved-Playsuit/12125442/buy,False,,False,12125442,H&M Women White & Green Floral Printed Puff-Sleeved Playsuit,H&M Women White & Green Floral Printed Puff-Sleeved Playsuit,0.0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/43f45a61-c63b-4b2e-ba7a-0e85ff6392a61595368246904-1.jpg,0,0,42234526,6771,0,,[],"[{'skuId': 42234526, 'label': '4', 'inventory': 30, 'available': True}, {'skuId': 42234518, 'label': '6', 'inventory': 36, 'available': True}, {'skuId': 42234516, 'label': '8', 'inventory': 40, 'available': True}, {'skuId': 42234520, 'label': '10', 'inventory': 51, 'available': True}, {'skuId': 42234528, 'label': '14', 'inventory': 40, 'available': True}, {'skuId': 42234524, 'label': '12', 'inventory': 43, 'available': True}, {'skuId': 42234522, 'label': '16', 'inventory': 33, 'available': True}]","4,6,8,10,14,12,16","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/43f45a61-c63b-4b2e-ba7a-0e85ff6392a61595368246904-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/43f45a61-c63b-4b2e-ba7a-0e85ff6392a61595368246904-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/4b012426-c3ad-4823-b276-aa53d0d9c53a1595368247002-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/23731f86-d5f5-403d-9b76-34db8104f1b81595368247048-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/c5fd0894-d355-4e80-b3d8-a31cf0c9509c1595368246956-2.jpg'}]",Women,White,,,Women Puff-Sleeved Playsuit,Jumpsuit,2699,2699,,False,,0,,,1595462400000,Winter,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Jumpsuit/HM/HM-Women-White--Green-Floral-Printed-Puff-Sleeved-Playsuit/12125442/buy
1,Jumpsuit/HM/HM-Women-Green-Printed-Jersey-Playsuit/12128234/buy,False,,False,12128234,H&M Women Green Printed Jersey Playsuit,H&M Women Green Printed Jersey Playsuit,0.0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/6bf26a48-58b3-407c-8ff3-bc0b8e1dd9831595373776760-1.jpg,0,0,42248248,6771,0,,[],"[{'skuId': 42248246, 'label': 'XS', 'inventory': 18, 'available': True}, {'skuId': 42248248, 'label': 'S', 'inventory': 23, 'available': True}, {'skuId': 42248250, 'label': 'M', 'inventory': 16, 'available': True}, {'skuId': 42248242, 'label': 'L', 'inventory': 12, 'available': True}, {'skuId': 42248244, 'label': 'XL', 'inventory': 8, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/6bf26a48-58b3-407c-8ff3-bc0b8e1dd9831595373776760-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/6bf26a48-58b3-407c-8ff3-bc0b8e1dd9831595373776760-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/68aef34e-d8e9-46af-b1c9-2eff7156f3f91595373776934-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/d01a8d99-94cd-44b0-b887-94f5e658b20c1595373776848-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/dabca387-d2bb-4a0a-9304-8b92478f116a1595373776893-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/717ece4f-aaf6-4695-ac43-5de9e26418551595373776806-2.jpg'}]",Women,Green,,,Jersey Playsuit,Jumpsuit,1299,1299,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/HM/HM-Women-Green-Printed-Jersey-Playsuit/12128234/buy
2,Jumpsuit/Miss-Chase/Miss-Chase-Women-Navy-Blue-Solid-Culotte-Jumpsuit/12141784/buy,False,,False,12141784,Miss Chase Women Navy Blue Solid Culotte Jumpsuit,Miss Chase Women Navy Blue Solid Culotte Jumpsuit,0.0,0,False,0,,0,Miss Chase,http://assets.myntassets.com/assets/images/productimage/2020/7/24/efbedeca-b90a-4071-b90a-86d0d140bb4c1595546302819-1.jpg,0,0,42298802,4216,0,,[],"[{'skuId': 42298786, 'label': 'XS', 'inventory': 7, 'available': True}, {'skuId': 42298792, 'label': 'S', 'inventory': 85, 'available': True}, {'skuId': 42298796, 'label': 'M', 'inventory': 93, 'available': True}, {'skuId': 42298798, 'label': 'L', 'inventory': 104, 'available': True}, {'skuId': 42298802, 'label': 'XL', 'inventory': 5, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/efbedeca-b90a-4071-b90a-86d0d140bb4c1595546302819-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/efbedeca-b90a-4071-b90a-86d0d140bb4c1595546302819-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/5899946f-fd55-4f97-93c4-64084e9e24581595546303110-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/e5a3a6c7-8d14-4aa4-9288-23cd28c6334f1595546303051-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/a564a800-beaf-493c-a86c-a15f164bf4991595546302948-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/073b1529-d308-4da4-ba69-49af5c6b7d711595546303002-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/f50b68c1-3ef3-49e9-b463-575364e175d71595546302887-2.jpg'}]",Women,Navy Blue,,,Solid Culotte Jumpsuit,Jumpsuit,2099,2099,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Miss-Chase/Miss-Chase-Women-Navy-Blue-Solid-Culotte-Jumpsuit/12141784/buy
3,Jumpsuit/HM/HM-Beige-Satin-And-Lace-Playsuit/12128236/buy,False,,False,12128236,H&M Beige Satin And Lace Playsuit,H&M Beige Satin And Lace Playsuit,0.0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/f5cc5c2b-f941-4e87-88bc-d9ce401c88d81595372680909-1.jpg,0,0,42248258,6771,0,,[],"[{'skuId': 42248252, 'label': 'XS', 'inventory': 4, 'available': True}, {'skuId': 42248254, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 42248256, 'label': 'M', 'inventory': 7, 'available': True}, {'skuId': 42248258, 'label': 'L', 'inventory': 3, 'available': True}, {'skuId': 42248260, 'label': 'XL', 'inventory': 0, 'available': False}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/f5cc5c2b-f941-4e87-88bc-d9ce401c88d81595372680909-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/f5cc5c2b-f941-4e87-88bc-d9ce401c88d81595372680909-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/ac0a0d41-d73c-4923-8821-a658656688dc1595372681103-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/09a31658-b260-48b4-881d-bc0e6e0969541595372681013-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/668c347a-c642-4348-b416-6901106922c41595372680962-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/8036ad18-68c3-4415-9eda-bdbc4a429b5d1595372681062-4.jpg'}]",Women,Beige,,,Satin And Lace Playsuit,Jumpsuit,1999,1999,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/HM/HM-Beige-Satin-And-Lace-Playsuit/12128236/buy
4,Jumpsuit/FabAlley/FabAlley-Women-Maroon-Striped-Basic-Jumpsuit/12148614/buy,False,,False,12148614,FabAlley Women Maroon Striped Basic Jumpsuit,FabAlley Women Maroon Striped Basic Jumpsuit,0.0,0,False,0,,0,FabAlley,http://assets.myntassets.com/assets/images/productimage/2020/7/26/e4bc7cea-45b5-4c3a-98d1-daf18389b5b51595719736322-1.jpg,0,0,42326148,959,0,,[],"[{'skuId': 42326154, 'label': 'XS', 'inventory': 2, 'available': True}, {'skuId': 42326146, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 42326148, 'label': 'M', 'inventory': 7, 'available': True}, {'skuId': 42326150, 'label': 'L', 'inventory': 5, 'available': True}, {'skuId': 42326152, 'label': 'XL', 'inventory': 1, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/e4bc7cea-45b5-4c3a-98d1-daf18389b5b51595719736322-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/e4bc7cea-45b5-4c3a-98d1-daf18389b5b51595719736322-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/861cc66c-7a5b-4777-919f-1fed21b4b6881595719736551-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/1110a29e-2c9e-449e-b0ea-5c00a9241b8c1595719736445-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/265ef02b-dab8-4c41-a2f0-428acc285b4d1595719736495-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/7c6e8b0d-405c-478e-8f32-cf2649de1fa81595719736399-2.jpg'}]",Women,Maroon,,,Striped Basic Jumpsuit,Jumpsuit,2400,2400,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/FabAlley/FabAlley-Women-Maroon-Striped-Basic-Jumpsuit/12148614/buy
5,Jumpsuit/HM/-HM-Women-Peach-Flounce-Trimmed-Playsuit/12128228/buy,False,,False,12128228,H&M Women Peach Flounce-Trimmed Playsuit,H&M Women Peach Flounce-Trimmed Playsuit,0.0,0,False,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/141aad4f-8272-4ec5-87c1-305c861630b21595373261444-1.jpg,0,0,42248210,6771,0,,[],"[{'skuId': 42248208, 'label': '4', 'inventory': 3, 'available': True}, {'skuId': 42248210, 'label': '6', 'inventory': 5, 'available': True}, {'skuId': 42248212, 'label': '8', 'inventory': 6, 'available': True}, {'skuId': 42248214, 'label': '10', 'inventory': 5, 'available': True}, {'skuId': 42248220, 'label': '14', 'inventory': 3, 'available': True}, {'skuId': 42248216, 'label': '12', 'inventory': 3, 'available': True}, {'skuId': 42248218, 'label': '16', 'inventory': 2, 'available': True}]","4,6,8,10,14,12,16","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/141aad4f-8272-4ec5-87c1-305c861630b21595373261444-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/141aad4f-8272-4ec5-87c1-305c861630b21595373261444-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/d3f9cac5-d2d5-4ae1-8af6-430c6344e6cc1595373261624-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/c1e98ed8-6e2a-4e9f-ba57-5d442ab4923d1595373261533-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/868fddaa-1248-4261-aeb3-3350403693481595373261575-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/64406278-ef46-4d82-a4b1-218b299af9041595373261492-2.jpg'}]",Women,Peach,,,Women Flounce-Trimmed Playsuit,Jumpsuit,2299,2299,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/HM/-HM-Women-Peach-Flounce-Trimmed-Playsuit/12128228/buy
6,Jumpsuit/Bossini/Bossini-Women-White--Black-Striped-Basic-Jumpsuit/12151296/buy,False,,False,12151296,Bossini Women White & Black Striped Basic Jumpsuit,Bossini Women White & Black Striped Basic Jumpsuit,0.0,0,False,0,,0,Bossini,http://assets.myntassets.com/assets/images/productimage/2020/7/26/2722cf43-136f-4671-ae25-9be045ecc39b1595716042443-1.jpg,0,0,42336180,4214,0,,[],"[{'skuId': 42336174, 'label': 'XS', 'inventory': 1, 'available': True}, {'skuId': 42336178, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 42336180, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 42336182, 'label': 'L', 'inventory': 7, 'available': True}, {'skuId': 42336176, 'label': 'XL', 'inventory': 0, 'available': False}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/2722cf43-136f-4671-ae25-9be045ecc39b1595716042443-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/2722cf43-136f-4671-ae25-9be045ecc39b1595716042443-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/dc280082-c30a-4ec9-a639-7743140fc8cc1595716042667-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/e7eeb169-837e-4a1e-a783-06284934bccf1595716042545-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/95df4e00-2911-4f05-91cb-acec86b7f3881595716042493-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/26/24e236b8-3777-416a-9d62-8261a9dc97641595716042610-4.jpg'}]",Women,White,,,Striped Basic Jumpsuit,Jumpsuit,1899,1899,,False,,0,,,1595462400000,Fall,2019,False,,,0,,[],www.myntra.com/Jumpsuit/Bossini/Bossini-Women-White--Black-Striped-Basic-Jumpsuit/12151296/buy
7,Jumpsuit/Oxolloxo/Oxolloxo-Women-Blue--White-Printed-Basic-Jumpsuit/12159020/buy,False,,False,12159020,Oxolloxo Women Blue & White Printed Basic Jumpsuit,Oxolloxo Women Blue & White Printed Basic Jumpsuit,0.0,0,False,0,,0,Oxolloxo,http://assets.myntassets.com/assets/images/productimage/2020/7/29/4656e0b1-d4a0-448f-b180-7608765e60b41595975367436-1.jpg,0,0,42369190,1124,0,,[],"[{'skuId': 42369190, 'label': 'S', 'inventory': 6, 'available': True}, {'skuId': 42369188, 'label': 'M', 'inventory': 7, 'available': True}, {'skuId': 42369186, 'label': 'L', 'inventory': 7, 'available': True}, {'skuId': 42369192, 'label': 'XL', 'inventory': 2, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/4656e0b1-d4a0-448f-b180-7608765e60b41595975367436-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/4656e0b1-d4a0-448f-b180-7608765e60b41595975367436-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/7586ec77-b45d-4f5c-b61f-faf90e56fe1a1595975367724-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/1d50ccf9-08c9-4656-a48a-fa20105b8cea1595975367674-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/c8f617da-92df-4c70-8f73-3223e3033ca71595975367555-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/83933bab-987b-4118-bf1d-4dc897bea5851595975367498-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/29/6037d15e-93a0-43b6-a531-82cb204debe61595975367617-4.jpg'}]",Women,Blue,,,Printed Basic Jumpsuit,Jumpsuit,1549,1549,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Oxolloxo/Oxolloxo-Women-Blue--White-Printed-Basic-Jumpsuit/12159020/buy
8,Jumpsuit/Miss-Chase/Miss-Chase-Women-Maroon-Solid-Basic-Jumpsuit/12099962/buy,False,,False,12099962,Miss Chase Women Maroon Solid Basic Jumpsuit,Miss Chase Women Maroon Solid Basic Jumpsuit,0.0,0,False,0,,0,Miss Chase,http://assets.myntassets.com/assets/images/productimage/2020/7/17/bcd41364-a542-4915-af02-6af9b2ca24821594947401242-1.jpg,0,0,42129680,4216,0,,[],"[{'skuId': 42129672, 'label': 'XS', 'inventory': 71, 'available': True}, {'skuId': 42129676, 'label': 'S', 'inventory': 70, 'available': True}, {'skuId': 42129680, 'label': 'M', 'inventory': 26, 'available': True}, {'skuId': 42129684, 'label': 'L', 'inventory': 56, 'available': True}, {'skuId': 42129690, 'label': 'XL', 'inventory': 39, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/bcd41364-a542-4915-af02-6af9b2ca24821594947401242-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/bcd41364-a542-4915-af02-6af9b2ca24821594947401242-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/f0d6728f-339e-485a-bc1b-376440d2ae0f1594947401504-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/5079c2ce-834f-4ddb-aa5d-95889b1df7261594947401461-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/a843b829-f1d7-4387-a367-68db094f36491594947401357-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/edf683ef-1b37-416d-8dd2-a81b229855af1594947401413-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/ff09cb81-141c-43bf-b9b6-a12d50e07e1d1594947401303-2.jpg'}]",Women,Maroon,,,Solid Basic Jumpsuit,Jumpsuit,2549,2549,,False,,0,,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Miss-Chase/Miss-Chase-Women-Maroon-Solid-Basic-Jumpsuit/12099962/buy
9,Jumpsuit/Miss-Chase/Miss-Chase-Women-Green-Solid-Basic-Jumpsuit/12099968/buy,False,,False,12099968,Miss Chase Women Green Solid Basic Jumpsuit,Miss Chase Women Green Solid Basic Jumpsuit,0.0,0,False,0,,0,Miss Chase,http://assets.myntassets.com/assets/images/productimage/2020/7/17/6418dc55-5d63-44e6-8ee0-3d628c3f0edf1594937376997-1.jpg,0,0,42129704,4216,0,,[],"[{'skuId': 42129702, 'label': 'XS', 'inventory': 56, 'available': True}, {'skuId': 42129704, 'label': 'S', 'inventory': 53, 'available': True}, {'skuId': 42129706, 'label': 'M', 'inventory': 54, 'available': True}, {'skuId': 42129708, 'label': 'L', 'inventory': 63, 'available': True}, {'skuId': 42129710, 'label': 'XL', 'inventory': 60, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6418dc55-5d63-44e6-8ee0-3d628c3f0edf1594937376997-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6418dc55-5d63-44e6-8ee0-3d628c3f0edf1594937376997-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/5d87cf1e-bdbc-4645-ab63-e437bbfcbbc81594937377203-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/75a2743b-63f7-414f-9b2d-05cadda9fddc1594937377102-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/14683315-765c-454d-925d-713b64a6321f1594937377050-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/39e43989-d30e-46d8-b0d4-39ca0f5902c41594937377152-4.jpg'}]",Women,Green,,,Solid Basic Jumpsuit,Jumpsuit,2549,2549,,False,,0,,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Miss-Chase/Miss-Chase-Women-Green-Solid-Basic-Jumpsuit/12099968/buy
