,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/Globus/Globus-Women-Gold-Toned-Printed-Top/12211526/buy,False,,False,12211526,Globus Women Gold-Toned Printed Top,Globus Women Gold-Toned Printed Top,0.0,0,False,0,,650,Globus,http://assets.myntassets.com/assets/images/productimage/2020/8/7/f402996a-1bf5-42e0-a706-b166ceace48b1596749894663-1.jpg,0,0,42534244,4614,0,,[],"[{'skuId': 42534242, 'label': 'S', 'inventory': 11, 'available': True}, {'skuId': 42534244, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42534246, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 42534248, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/f402996a-1bf5-42e0-a706-b166ceace48b1596749894663-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/f402996a-1bf5-42e0-a706-b166ceace48b1596749894663-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/10110f4c-448b-482f-a455-b5b42f9f8ed41596749894900-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/27c269f4-5e87-41e1-9d43-745407cc948f1596749894789-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/9aee548c-450c-45cf-91f3-05a7084df3c01596749894715-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/3b3c2b92-7da8-40cd-b4ef-526c95beb89c1596749894842-4.jpg'}]",Women,Gold,Flat_Search_Percent,(50% OFF),Printed Top,Tops,1299,649,,False,,0,1,,1596672000000,Winter,2019,False,,,0,,[],www.myntra.com/Tops/Globus/Globus-Women-Gold-Toned-Printed-Top/12211526/buy
1,Tops/Inddus/Inddus-Women-Green--Yellow-Dyed-One-Shoulder-Cropped-Top-with-Sequins/12130768/buy,False,,False,12130768,Inddus Women Green & Yellow Dyed One Shoulder Cropped Top with Sequins,Inddus Women Green & Yellow Dyed One Shoulder Cropped Top with Sequins,0.0,0,False,0,,1352,Inddus,http://assets.myntassets.com/assets/images/12130768/2020/8/4/d49e3e16-d27b-4c41-8d44-866d82c1e9d71596546118487-Inddus-Women-Tops-171596546116720-1.jpg,0,0,42255900,1672,0,,[],"[{'skuId': 42255898, 'label': 'S', 'inventory': 9, 'available': True}, {'skuId': 42255900, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42255902, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 42255904, 'label': 'XL', 'inventory': 8, 'available': True}, {'skuId': 42255906, 'label': 'XXL', 'inventory': 10, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12130768/2020/8/4/d49e3e16-d27b-4c41-8d44-866d82c1e9d71596546118487-Inddus-Women-Tops-171596546116720-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12130768/2020/8/4/d49e3e16-d27b-4c41-8d44-866d82c1e9d71596546118487-Inddus-Women-Tops-171596546116720-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12130768/2020/8/4/01fa1387-e3af-4cd4-a2e1-88b02b9eb1621596546118272-Inddus-Women-Tops-171596546116720-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12130768/2020/8/4/b83cbd2a-b47b-4681-a67d-464c766e65a31596546118389-Inddus-Women-Tops-171596546116720-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12130768/2020/8/4/7cff098f-25c5-4099-8aae-c96a31f3057f1596546118337-Inddus-Women-Tops-171596546116720-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12130768/2020/8/4/3788a29b-1e53-4354-89ca-f752de620bd11596546118435-Inddus-Women-Tops-171596546116720-2.jpg'}]",Women,Green,Flat_Search_Percent,(52% OFF),Dyed Crop Top with Sequins,Tops,2599,1247,,False,,0,1,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/Inddus/Inddus-Women-Green--Yellow-Dyed-One-Shoulder-Cropped-Top-with-Sequins/12130768/buy
2,Kurtis/Desi-Weavess/Desi-Weavess-Women-Mustard-Yellow-Woven-Design-Straight-Kurti/12179244/buy,False,,False,12179244,Desi Weavess Women Mustard Yellow Woven Design Straight Kurti,Desi Weavess Women Mustard Yellow Woven Design Straight Kurti,0.0,0,False,0,,298,Desi Weavess,http://assets.myntassets.com/assets/images/productimage/2020/8/4/674fd2d4-63d1-417a-a167-ef23337813ee1596500258678-1.jpg,0,0,42424974,6423,0,,[],"[{'skuId': 42424974, 'label': 'S', 'inventory': 100, 'available': True}, {'skuId': 42424978, 'label': 'M', 'inventory': 100, 'available': True}, {'skuId': 42424980, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 42424986, 'label': 'XL', 'inventory': 100, 'available': True}, {'skuId': 42424988, 'label': 'XXL', 'inventory': 100, 'available': True}, {'skuId': 42424992, 'label': '3XL', 'inventory': 100, 'available': True}, {'skuId': 42424998, 'label': '4XL', 'inventory': 100, 'available': True}, {'skuId': 42425002, 'label': '5XL', 'inventory': 100, 'available': True}, {'skuId': 42425006, 'label': '6XL', 'inventory': 100, 'available': True}]","S,M,L,XL,XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/4/674fd2d4-63d1-417a-a167-ef23337813ee1596500258678-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/4/674fd2d4-63d1-417a-a167-ef23337813ee1596500258678-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/4/00f58ffa-9ce3-479c-9d82-5ea534eb557b1596500258895-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/4/f5e98824-9d9d-49da-acb5-1284df4016a41596500258790-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/4/ea763430-abfc-4ae9-b52d-1058703b1b201596500258839-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/4/f8ea657b-ddaa-45e4-9556-1060a78c8bb51596500258735-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(20% OFF),Women Woven Design Straight Kurti,Kurtis,1490,1192,,False,,0,1,,1596672000000,Spring,2020,False,,,0,,[],www.myntra.com/Kurtis/Desi-Weavess/Desi-Weavess-Women-Mustard-Yellow-Woven-Design-Straight-Kurti/12179244/buy
3,Tunics/FABNEST/FABNEST-Women-Pink--Navy-Blue-Checked-Tunic/12213262/buy,False,,False,12213262,FABNEST Women Pink & Navy Blue Checked Tunic,FABNEST Women Pink & Navy Blue Checked Tunic,0.0,0,False,0,,401,FABNEST,http://assets.myntassets.com/assets/images/productimage/2020/8/7/48edd1ba-0df4-48d3-9e91-4f69f31acf691596757738880-1.jpg,0,0,42541652,4392,0,,[],"[{'skuId': 42541652, 'label': 'XS', 'inventory': 15, 'available': True}, {'skuId': 42541654, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 42541656, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 42541658, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 42541660, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 42541662, 'label': 'XXL', 'inventory': 1, 'available': True}, {'skuId': 42541664, 'label': '3XL', 'inventory': 2, 'available': True}]","XS,S,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/48edd1ba-0df4-48d3-9e91-4f69f31acf691596757738880-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/48edd1ba-0df4-48d3-9e91-4f69f31acf691596757738880-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/71983e86-b744-40f4-9d46-d289827fbc531596757739197-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/29474fa5-7ebe-4e88-8994-adbeafae6d571596757739142-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/79822aa9-22b3-475a-bc6d-26261791cf741596757739010-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/b597622c-2d44-4cca-99c8-cfc7f0b6c3d71596757738948-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/7808c7b7-643c-43fb-be0e-1f32e9e9cb601596757739074-4.jpg'}]",Women,Pink,Flat_Search_Amount,(Rs. 401 OFF),Checked Tunic,Tunics,1100,699,,False,,0,1,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tunics/FABNEST/FABNEST-Women-Pink--Navy-Blue-Checked-Tunic/12213262/buy
4,Tops/Inddus/Inddus-Women-Grey--Blue-Dyed-One-Shoulder-Cropped-Top-with-Sequins/12130782/buy,False,,False,12130782,Inddus Women Grey & Blue Dyed One Shoulder Cropped Top with Sequins,Inddus Women Grey & Blue Dyed One Shoulder Cropped Top with Sequins,0.0,0,False,0,,1352,Inddus,http://assets.myntassets.com/assets/images/12130782/2020/8/5/b4178ec5-efab-4b98-aa2a-5044f9f3c7501596603798897-Inddus-Women-Tops-3161596603796909-1.jpg,0,0,42255960,1672,0,,[],"[{'skuId': 42255960, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 42255970, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42255972, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 42255974, 'label': 'XL', 'inventory': 10, 'available': True}, {'skuId': 42255976, 'label': 'XXL', 'inventory': 10, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12130782/2020/8/5/b4178ec5-efab-4b98-aa2a-5044f9f3c7501596603798897-Inddus-Women-Tops-3161596603796909-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12130782/2020/8/5/b4178ec5-efab-4b98-aa2a-5044f9f3c7501596603798897-Inddus-Women-Tops-3161596603796909-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12130782/2020/8/5/dcb0f469-ecfd-4336-a335-a37e56944edd1596603798678-Inddus-Women-Tops-3161596603796909-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12130782/2020/8/5/7e3dcf1f-4f77-462b-a35b-ebf1b1d182b01596603798794-Inddus-Women-Tops-3161596603796909-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12130782/2020/8/5/bc25a3cc-5d63-4aab-bb2c-e5c587f45ec91596603798840-Inddus-Women-Tops-3161596603796909-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12130782/2020/8/5/03b41791-c558-49b2-928a-94f673c355211596603798737-Inddus-Women-Tops-3161596603796909-4.jpg'}]",Women,Grey,Flat_Search_Percent,(52% OFF),Dyed Crop Top with Sequins,Tops,2599,1247,,False,,0,1,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/Inddus/Inddus-Women-Grey--Blue-Dyed-One-Shoulder-Cropped-Top-with-Sequins/12130782/buy
5,Tops/Inddus/Inddus-Women-Blue--Golden-Woven-Design-Ethnic-One-Shoulder-Crop-Top-/12130794/buy,False,,False,12130794,Inddus Women Blue & Golden Woven Design Ethnic One Shoulder Crop Top,Inddus Women Blue & Golden Woven Design Ethnic One Shoulder Crop Top,0.0,0,False,0,,1120,Inddus,http://assets.myntassets.com/assets/images/12130794/2020/8/4/541dd67f-c7dc-4631-95f4-846b505ec12e1596546245015-Inddus-Women-Tops-1851596546243251-1.jpg,0,0,42256022,1672,0,,[],"[{'skuId': 42256022, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 42256030, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42256032, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 42256034, 'label': 'XL', 'inventory': 10, 'available': True}, {'skuId': 42256036, 'label': 'XXL', 'inventory': 10, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12130794/2020/8/4/541dd67f-c7dc-4631-95f4-846b505ec12e1596546245015-Inddus-Women-Tops-1851596546243251-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12130794/2020/8/4/541dd67f-c7dc-4631-95f4-846b505ec12e1596546245015-Inddus-Women-Tops-1851596546243251-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12130794/2020/8/4/31848921-c8a1-4db4-9ecf-dd14a58d648b1596546244799-Inddus-Women-Tops-1851596546243251-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12130794/2020/8/4/e98bc966-42bd-4b89-866c-bb2d179d204e1596546244911-Inddus-Women-Tops-1851596546243251-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12130794/2020/8/4/28075d8e-ff44-4d31-b5e4-f72dd0c9fc011596546244962-Inddus-Women-Tops-1851596546243251-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12130794/2020/8/4/2128f3bd-5676-4363-adbb-bb38036969461596546244857-Inddus-Women-Tops-1851596546243251-4.jpg'}]",Women,Blue,Flat_Search_Percent,(56% OFF),Woven Design Ethnic Crop Top,Tops,1999,879,,False,,0,1,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/Inddus/Inddus-Women-Blue--Golden-Woven-Design-Ethnic-One-Shoulder-Crop-Top-/12130794/buy
6,Kurtis/Nayo/Nayo-Women-Grey--Pink-Floral-Print-A-Line-Kurti/11900458/buy,False,,False,11900458,Nayo Women Grey & Pink Floral Print A-Line Kurti,Nayo Women Grey & Pink Floral Print A-Line Kurti,0.0,0,False,0,,559,Nayo,http://assets.myntassets.com/assets/images/11900458/2020/8/5/64349692-3ad8-4ba7-915c-c0e258d0c7371596615467311WomenGreyPrintedFlaredFloralPureCottonKurti1.jpg,0,0,41426704,6153,0,,[],"[{'skuId': 41426700, 'label': 'XS', 'inventory': 21, 'available': True}, {'skuId': 41426702, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 41426704, 'label': 'M', 'inventory': 21, 'available': True}, {'skuId': 41426706, 'label': 'L', 'inventory': 19, 'available': True}, {'skuId': 41426708, 'label': 'XL', 'inventory': 20, 'available': True}, {'skuId': 41426710, 'label': 'XXL', 'inventory': 21, 'available': True}, {'skuId': 41426712, 'label': '3XL', 'inventory': 20, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11900458/2020/8/5/64349692-3ad8-4ba7-915c-c0e258d0c7371596615467311WomenGreyPrintedFlaredFloralPureCottonKurti1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11900458/2020/8/5/64349692-3ad8-4ba7-915c-c0e258d0c7371596615467311WomenGreyPrintedFlaredFloralPureCottonKurti1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11900458/2020/8/5/ea766549-6f79-4eae-bb36-cdd107d0985c1596615467587WomenGreyPrintedFlaredFloralPureCottonKurti5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11900458/2020/8/5/a3bccc26-2643-435f-97e9-1a5fac46f3cc1596615467457WomenGreyPrintedFlaredFloralPureCottonKurti3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11900458/2020/8/5/2a82a39f-3dc7-4665-87fd-ef5e0bdc89501596615467524WomenGreyPrintedFlaredFloralPureCottonKurti4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11900458/2020/8/5/22e2101f-4117-4780-878d-bd14145819af1596615467392WomenGreyPrintedFlaredFloralPureCottonKurti2.jpg'}]",Women,Grey,Flat_Search_Percent,(43% OFF),Women Floral Print Kurti,Kurtis,1299,740,,False,,0,1,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Kurtis/Nayo/Nayo-Women-Grey--Pink-Floral-Print-A-Line-Kurti/11900458/buy
7,Tops/Inddus/Inddus-Women-Turquoise-Blue-Embroidered-Ethnic-Cropped-Top-with-Sequins/12130770/buy,False,,False,12130770,Inddus Women Turquoise Blue Embroidered Ethnic Cropped Top with Sequins,Inddus Women Turquoise Blue Embroidered Ethnic Cropped Top with Sequins,0.0,0,False,0,,1120,Inddus,http://assets.myntassets.com/assets/images/12130770/2020/8/4/7d2e4146-000a-4f78-adb1-5e161bed57571596546143176-Inddus-Women-Tops-1131596546141115-1.jpg,0,0,42255912,1672,0,,[],"[{'skuId': 42255908, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 42255910, 'label': 'M', 'inventory': 5, 'available': True}, {'skuId': 42255912, 'label': 'L', 'inventory': 5, 'available': True}, {'skuId': 42255914, 'label': 'XL', 'inventory': 3, 'available': True}, {'skuId': 42255916, 'label': 'XXL', 'inventory': 5, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12130770/2020/8/4/7d2e4146-000a-4f78-adb1-5e161bed57571596546143176-Inddus-Women-Tops-1131596546141115-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12130770/2020/8/4/7d2e4146-000a-4f78-adb1-5e161bed57571596546143176-Inddus-Women-Tops-1131596546141115-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12130770/2020/8/4/3a7b8944-59aa-4f57-8c19-6dff835a47221596546142974-Inddus-Women-Tops-1131596546141115-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12130770/2020/8/4/c85fe29d-4396-43d9-875f-1f78ce55629a1596546143082-Inddus-Women-Tops-1131596546141115-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12130770/2020/8/4/94633098-b73b-436e-8b06-e376fc03e6881596546143030-Inddus-Women-Tops-1131596546141115-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12130770/2020/8/4/ac9c3ab6-7e56-4d2f-80b8-5fe78bfa5eeb1596546143131-Inddus-Women-Tops-1131596546141115-2.jpg'}]",Women,Turquoise Blue,Flat_Search_Percent,(56% OFF),Embroidered Ethnic Crop Top,Tops,1999,879,,False,,0,1,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/Inddus/Inddus-Women-Turquoise-Blue-Embroidered-Ethnic-Cropped-Top-with-Sequins/12130770/buy
8,Tops/Inddus/Inddus-Women-Green-Embroidered-Peplum-Ethnic-Top-with-Bell-Sleeves/12130780/buy,False,,False,12130780,Inddus Women Green Embroidered Peplum Ethnic Top with Bell Sleeves,Inddus Women Green Embroidered Peplum Ethnic Top with Bell Sleeves,0.0,0,False,0,,1767,Inddus,http://assets.myntassets.com/assets/images/12130780/2020/8/5/fe750dd7-0787-43dc-b0a1-dfab1288a4b51596603652638-Inddus-Women-Tops-9551596603650942-1.jpg,0,0,42255958,1672,0,,[],"[{'skuId': 42255958, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 42255962, 'label': 'M', 'inventory': 9, 'available': True}, {'skuId': 42255964, 'label': 'L', 'inventory': 9, 'available': True}, {'skuId': 42255966, 'label': 'XL', 'inventory': 10, 'available': True}, {'skuId': 42255968, 'label': 'XXL', 'inventory': 10, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/fe750dd7-0787-43dc-b0a1-dfab1288a4b51596603652638-Inddus-Women-Tops-9551596603650942-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/fe750dd7-0787-43dc-b0a1-dfab1288a4b51596603652638-Inddus-Women-Tops-9551596603650942-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/f34f0a62-8080-4517-be7c-188887c026d71596603652401-Inddus-Women-Tops-9551596603650942-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/f10ee549-47fa-4027-b1fd-1a79e59f16021596603652454-Inddus-Women-Tops-9551596603650942-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/13c00dc4-9550-47d6-a9a0-68901c1c7c631596603652544-Inddus-Women-Tops-9551596603650942-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/671f6b8a-3497-4d5d-80a5-bbc4d51c37c81596603652498-Inddus-Women-Tops-9551596603650942-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12130780/2020/8/5/aa69dea0-a70c-4176-ad03-e54cc45cace21596603652591-Inddus-Women-Tops-9551596603650942-2.jpg'}]",Women,Green,Flat_Search_Percent,(57% OFF),Embroidered Peplum Ethnic Top,Tops,3099,1332,,False,,0,1,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/Inddus/Inddus-Women-Green-Embroidered-Peplum-Ethnic-Top-with-Bell-Sleeves/12130780/buy
9,Kurtis/Nayo/Nayo-Women-Grey-Floral-Print-A-Line-Kurti/11900536/buy,False,,False,11900536,Nayo Women Grey Floral Print A-Line Kurti,Nayo Women Grey Floral Print A-Line Kurti,0.0,0,False,0,,559,Nayo,http://assets.myntassets.com/assets/images/11900536/2020/8/5/b46f2422-08c9-4974-8a76-f35156fa787d1596615452021WomenGreyPrintedFlaredFloralPureCottonKurti1.jpg,0,0,41427178,6153,0,,[],"[{'skuId': 41427178, 'label': 'XS', 'inventory': 20, 'available': True}, {'skuId': 41427180, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 41427182, 'label': 'M', 'inventory': 20, 'available': True}, {'skuId': 41427184, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 41427186, 'label': 'XL', 'inventory': 21, 'available': True}, {'skuId': 41427188, 'label': 'XXL', 'inventory': 21, 'available': True}, {'skuId': 41427190, 'label': '3XL', 'inventory': 19, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11900536/2020/8/5/b46f2422-08c9-4974-8a76-f35156fa787d1596615452021WomenGreyPrintedFlaredFloralPureCottonKurti1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11900536/2020/8/5/b46f2422-08c9-4974-8a76-f35156fa787d1596615452021WomenGreyPrintedFlaredFloralPureCottonKurti1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11900536/2020/8/5/6e2eaeb2-11e7-466d-ad59-dda436d971b01596615452313WomenGreyPrintedFlaredFloralPureCottonKurti5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11900536/2020/8/5/e62f661d-d12b-484e-8e25-83752398968c1596615452184WomenGreyPrintedFlaredFloralPureCottonKurti3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11900536/2020/8/5/609b9a4e-83b3-4cd4-a3ff-ae64e1590e121596615452096WomenGreyPrintedFlaredFloralPureCottonKurti2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11900536/2020/8/5/f53a29b4-3509-4332-949f-b954a1acef551596615452251WomenGreyPrintedFlaredFloralPureCottonKurti4.jpg'}]",Women,Grey,Flat_Search_Percent,(43% OFF),Women Floral Print Kurti,Kurtis,1299,740,,False,,0,1,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Kurtis/Nayo/Nayo-Women-Grey-Floral-Print-A-Line-Kurti/11900536/buy
