,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Sarees/KALINI/KALINI-Yellow-Polycotton-Solid-Mysore-Silk-Saree/11647442/buy,False,,False,11647442,KALINI Yellow Polycotton Solid Mysore Silk Saree,KALINI Yellow Polycotton Solid Mysore Silk Saree,0,0,False,0,,0,KALINI,http://assets.myntassets.com/assets/images/11647442/2020/6/24/aff1d39c-4320-43c0-9b45-5a3c25410fa11592977991567-Kalini-Saree-9491592977990493-1.jpg,0,0,40494582.0,8232.0,0,,[],"[{'skuId': 40494582, 'label': 'Onesize', 'inventory': 14, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647442/2020/6/24/aff1d39c-4320-43c0-9b45-5a3c25410fa11592977991567-Kalini-Saree-9491592977990493-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647442/2020/6/24/aff1d39c-4320-43c0-9b45-5a3c25410fa11592977991567-Kalini-Saree-9491592977990493-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647442/2020/6/24/857ae3f3-2706-4dbd-94f9-a5629d3d51431592977991393-Kalini-Saree-9491592977990493-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647442/2020/6/24/1c873e50-7429-4afb-8195-adf388f561171592977991484-Kalini-Saree-9491592977990493-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647442/2020/6/24/557e726a-941c-4c19-8c61-cadd6221358a1592977991441-Kalini-Saree-9491592977990493-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647442/2020/6/24/a20f1b90-45d0-445f-9383-47f9b8307caa1592977991521-Kalini-Saree-9491592977990493-2.jpg'}]",Women,Yellow,,,Solid Mysore Silk Saree,Sarees,1399,1399,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Yellow-Polycotton-Solid-Mysore-Silk-Saree/11647442/buy
1,Sarees/Mitera/Mitera-Peach-Coloured--Mustard-Yellow-Printed-Saree/11753660/buy,False,,False,11753660,Mitera Peach-Coloured & Mustard Yellow Printed Saree,Mitera Peach-Coloured & Mustard Yellow Printed Saree,0,0,False,0,,0,Mitera,http://assets.myntassets.com/assets/images/11753660/2020/7/22/0cbe26f0-d7ae-4dd6-a621-186f63f3a20e1595399677458ShailyWomensNavyBlueGeorgettePrintedSaree1.jpg,0,0,40899626.0,3766.0,0,,[],"[{'skuId': 40899626, 'label': 'Onesize', 'inventory': 201, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/0cbe26f0-d7ae-4dd6-a621-186f63f3a20e1595399677458ShailyWomensNavyBlueGeorgettePrintedSaree1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/0cbe26f0-d7ae-4dd6-a621-186f63f3a20e1595399677458ShailyWomensNavyBlueGeorgettePrintedSaree1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/40ebe1ba-36d1-431f-904d-d6a47a72613f1595399677881ShailyWomensNavyBlueGeorgettePrintedSaree6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/ddd5b12f-fae3-4371-8a7f-9604783932541595399677803ShailyWomensNavyBlueGeorgettePrintedSaree5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/00c34a53-c59a-48a6-8bda-082bc73385851595399677616ShailyWomensNavyBlueGeorgettePrintedSaree3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/e8bbfaa8-ea8c-4920-9fc2-98a09cdf0da21595399677705ShailyWomensNavyBlueGeorgettePrintedSaree4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11753660/2020/7/22/a66cc9c6-bdc5-45f5-aa14-24d6daf0b7121595399677536ShailyWomensNavyBlueGeorgettePrintedSaree2.jpg'}]",Women,Peach,,,Printed Saree,Sarees,4020,4020,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Peach-Coloured--Mustard-Yellow-Printed-Saree/11753660/buy
2,Sarees/Unnati-Silks/Unnati-Silks-Pink--Yellow-Pure-Cotton-Woven-Design-Mysore-Silk-Saree/12136454/buy,False,,False,12136454,Unnati Silks Pink & Yellow Pure Cotton Woven Design Mysore Silk Saree,Unnati Silks Pink & Yellow Pure Cotton Woven Design Mysore Silk Saree,0,0,False,0,,0,Unnati Silks,http://assets.myntassets.com/assets/images/productimage/2020/7/23/8235f110-3cc6-4348-a7dc-55b1ce51f3d91595458488777-1.jpg,0,0,42276198.0,7420.0,0,,[],"[{'skuId': 42276198, 'label': 'Onesize', 'inventory': 1, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/8235f110-3cc6-4348-a7dc-55b1ce51f3d91595458488777-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/8235f110-3cc6-4348-a7dc-55b1ce51f3d91595458488777-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/ec9d3b35-1e58-497a-b91a-cdadf1a5a1371595458488876-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/b8fe8e12-6607-4285-947a-9676bc3735961595458488827-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/f829295d-a954-4299-a8bb-d568419585061595458488923-4.jpg'}]",Women,Pink,,,Woven Design Mysore Silk Saree,Sarees,7298,7298,,False,,0,,,1595462400000,Spring,2020,False,,,0,,[],www.myntra.com/Sarees/Unnati-Silks/Unnati-Silks-Pink--Yellow-Pure-Cotton-Woven-Design-Mysore-Silk-Saree/12136454/buy
3,Sarees/KALINI/KALINI-Mustard-Yellow--Orange-Polycotton-Woven-Design-Kota-Saree/11648742/buy,False,,False,11648742,KALINI Mustard Yellow & Orange Polycotton Woven Design Kota Saree,KALINI Mustard Yellow & Orange Polycotton Woven Design Kota Saree,0,0,False,0,,0,KALINI,http://assets.myntassets.com/assets/images/11648742/2020/6/24/b6e45629-9d86-40f4-9bd6-db80bc3fcad01593003818358-Kalini-Saree-8021593003815799-1.jpg,0,0,40500164.0,8232.0,0,,[],"[{'skuId': 40500164, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/b6e45629-9d86-40f4-9bd6-db80bc3fcad01593003818358-Kalini-Saree-8021593003815799-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/b6e45629-9d86-40f4-9bd6-db80bc3fcad01593003818358-Kalini-Saree-8021593003815799-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/02ae15ed-f440-44a3-9e4a-fadab60d7d9b1593003817808-Kalini-Saree-8021593003815799-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/75e51127-c5bf-469c-b78f-4593cfbe88141593003817916-Kalini-Saree-8021593003815799-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/5d32fadd-469d-4796-9f40-3a1baf11af2a1593003818147-Kalini-Saree-8021593003815799-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/de479a97-2b6e-4599-8e47-d515950216361593003818255-Kalini-Saree-8021593003815799-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/a4f4970e-9a4f-4d02-a660-2b23d8f3706c1593003818054-Kalini-Saree-8021593003815799-4.jpg'}]",Women,Mustard,,,Woven Design Kota Saree,Sarees,1699,1699,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Mustard-Yellow--Orange-Polycotton-Woven-Design-Kota-Saree/11648742/buy
4,Sarees/Mitera/Mitera-Blue-Floral-Printed-Saree/11753672/buy,False,,False,11753672,Mitera Blue Floral Printed Saree,Mitera Blue Floral Printed Saree,0,0,False,0,,0,Mitera,http://assets.myntassets.com/assets/images/11753672/2020/7/24/adf6ead7-b0a8-4518-9048-4fa1cf2934121595585553479-Mitera-Blue-Floral-Printed-Saree-6171595585551508-1.jpg,0,0,40899638.0,3766.0,0,,[],"[{'skuId': 40899638, 'label': 'Onesize', 'inventory': 437, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/adf6ead7-b0a8-4518-9048-4fa1cf2934121595585553479-Mitera-Blue-Floral-Printed-Saree-6171595585551508-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/adf6ead7-b0a8-4518-9048-4fa1cf2934121595585553479-Mitera-Blue-Floral-Printed-Saree-6171595585551508-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/1e7e05a9-9988-4eaa-a4ac-cea1f6821bdb1595585553009-Mitera-Blue-Floral-Printed-Saree-6171595585551508-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/122bccaa-60f2-40b7-90a2-8ad49242430e1595585553079-Mitera-Blue-Floral-Printed-Saree-6171595585551508-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/55794818-1d32-4af8-a1e2-cd5fbd9330101595585553283-Mitera-Blue-Floral-Printed-Saree-6171595585551508-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/08318911-5109-4c34-9cfa-9c62a6f48a5d1595585553396-Mitera-Blue-Floral-Printed-Saree-6171595585551508-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11753672/2020/7/24/d70ecb95-d6a5-488c-b7f5-085097a13be71595585553174-Mitera-Blue-Floral-Printed-Saree-6171595585551508-4.jpg'}]",Women,Blue,,,Floral Printed Saree,Sarees,3030,3030,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Blue-Floral-Printed-Saree/11753672/buy
5,Sarees/Mitera/Mitera-Red--Golden-Solid-Paithani-Saree/11568160/buy,False,,False,11568160,Mitera Red & Golden Solid Paithani Saree,Mitera Red & Golden Solid Paithani Saree,0,0,False,0,,0,Mitera,http://assets.myntassets.com/assets/images/11568160/2020/7/25/bbebe785-222a-4dc3-a743-5e30105b91791595674561762-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-1.jpg,0,0,40252162.0,3766.0,0,,[],"[{'skuId': 40252162, 'label': 'Onesize', 'inventory': 14, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/bbebe785-222a-4dc3-a743-5e30105b91791595674561762-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/bbebe785-222a-4dc3-a743-5e30105b91791595674561762-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/273f8e20-c735-4ec1-8400-4feae36bffbf1595674561460-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/aa36adfe-39f5-49ef-aab4-230daff5df881595674561524-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/ed73e6a4-2bae-4d13-a4bc-0a91ba81b1001595674561641-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/dae2131c-5b1a-4dc9-8eba-83295cc6653a1595674561704-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11568160/2020/7/25/ef07fc5d-317e-41d7-90cd-d1e6968eb1821595674561591-Mitera-Red--Golden-Solid-Paithani-Saree-1511595674559905-4.jpg'}]",Women,Red,,,Solid Paithani Saree,Sarees,2260,2260,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Red--Golden-Solid-Paithani-Saree/11568160/buy
6,Sarees/KALINI/KALINI-Green--Navy-Blue-Polycotton-Checked-Mysore-Silk-Saree/11647396/buy,False,,False,11647396,KALINI Green & Navy Blue Polycotton Checked Mysore Silk Saree,KALINI Green & Navy Blue Polycotton Checked Mysore Silk Saree,0,0,False,0,,0,KALINI,http://assets.myntassets.com/assets/images/11647396/2020/6/23/11b342f2-d61d-4abe-97d6-0b6bdaeade6c1592913141735KaliniSaree1.jpg,0,0,40494536.0,8232.0,0,,[],"[{'skuId': 40494536, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647396/2020/6/23/11b342f2-d61d-4abe-97d6-0b6bdaeade6c1592913141735KaliniSaree1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647396/2020/6/23/11b342f2-d61d-4abe-97d6-0b6bdaeade6c1592913141735KaliniSaree1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647396/2020/6/23/e309e8db-3611-4499-bc98-74515d7a6fd51592913141998KaliniSaree5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647396/2020/6/23/065fb7e8-7b4d-48ce-9222-a5ee4dfc22fc1592913141882KaliniSaree3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647396/2020/6/23/c873c9f2-4272-4389-9f33-a0fd5498b8f21592913141932KaliniSaree4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647396/2020/6/23/c54af191-697f-4bb5-812f-8114f5ae31bd1592913141813KaliniSaree2.jpg'}]",Women,Green,,,Checked Mysore Silk Saree,Sarees,1399,1399,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Green--Navy-Blue-Polycotton-Checked-Mysore-Silk-Saree/11647396/buy
7,Sarees/Unnati-Silks/Unnati-Silks-Turquoise-Blue--Green-Pure-Cotton-Woven-Design-Handloom-Mysore-Silk-Saree/12136456/buy,False,,False,12136456,Unnati Silks Turquoise Blue & Green Pure Cotton Woven Design Handloom Mysore Silk Saree,Unnati Silks Turquoise Blue & Green Pure Cotton Woven Design Handloom Mysore Silk Saree,0,0,False,0,,0,Unnati Silks,http://assets.myntassets.com/assets/images/productimage/2020/7/23/a5bcd298-303f-4f76-9c82-2878ac504b0c1595454449152-1.jpg,0,0,42276200.0,7420.0,0,,[],"[{'skuId': 42276200, 'label': 'Onesize', 'inventory': 1, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/a5bcd298-303f-4f76-9c82-2878ac504b0c1595454449152-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/a5bcd298-303f-4f76-9c82-2878ac504b0c1595454449152-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/816d4e30-c859-48a9-8d4b-74712247288a1595454449263-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/3997e083-b075-4685-8888-2f44d3d51bd31595454449208-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/3ac05f77-03ab-4519-9419-b8e95647dc141595454449321-4.jpg'}]",Women,Turquoise Blue,,,Woven Design Mysore Silk Saree,Sarees,5298,5298,,False,,0,,,1595462400000,Winter,2020,False,,,0,,[],www.myntra.com/Sarees/Unnati-Silks/Unnati-Silks-Turquoise-Blue--Green-Pure-Cotton-Woven-Design-Handloom-Mysore-Silk-Saree/12136456/buy
8,Sarees/KALINI/KALINI-Lime-Green--Yellow-Polycotton-Woven-Design-Kota-Saree/11648786/buy,False,,False,11648786,KALINI Lime Green & Yellow Polycotton Woven Design Kota Saree,KALINI Lime Green & Yellow Polycotton Woven Design Kota Saree,0,0,False,0,,0,KALINI,http://assets.myntassets.com/assets/images/11648786/2020/6/24/3b1c2794-d5b8-4e9e-a9af-39e07adce9b41592994659036-Kalini-Saree-4361592994656284-1.jpg,0,0,40500208.0,8232.0,0,,[],"[{'skuId': 40500208, 'label': 'Onesize', 'inventory': 14, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/3b1c2794-d5b8-4e9e-a9af-39e07adce9b41592994659036-Kalini-Saree-4361592994656284-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/3b1c2794-d5b8-4e9e-a9af-39e07adce9b41592994659036-Kalini-Saree-4361592994656284-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/4b1392f2-adef-442b-8faa-2db2a1368e3f1592994658758-Kalini-Saree-4361592994656284-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/161110cb-fc0b-4c0f-b34a-0cbced957b4c1592994658815-Kalini-Saree-4361592994656284-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/9a625094-e327-4c6b-80e9-9f8b58ce7c071592994658930-Kalini-Saree-4361592994656284-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/d88124aa-18c8-4f10-ba1f-e8e835531c641592994658984-Kalini-Saree-4361592994656284-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648786/2020/6/24/b8637f94-738a-475a-95b7-ebbfb2ec5c731592994658877-Kalini-Saree-4361592994656284-4.jpg'}]",Women,Lime Green,,,Woven Design Kota Saree,Sarees,1699,1699,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Lime-Green--Yellow-Polycotton-Woven-Design-Kota-Saree/11648786/buy
9,Sarees/KALINI/KALINI-Pink-Silk-Cotton-Printed-Patola-Saree/11648826/buy,False,,False,11648826,KALINI Pink Silk Cotton Printed Patola Saree,KALINI Pink Silk Cotton Printed Patola Saree,0,0,False,0,,0,KALINI,http://assets.myntassets.com/assets/images/11648826/2020/6/24/3db82fb2-59aa-4fbe-b116-549f22ef70fb1593003896746-Kalini-Saree-9571593003894497-1.jpg,0,0,40500248.0,8232.0,0,,[],"[{'skuId': 40500248, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/3db82fb2-59aa-4fbe-b116-549f22ef70fb1593003896746-Kalini-Saree-9571593003894497-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/3db82fb2-59aa-4fbe-b116-549f22ef70fb1593003896746-Kalini-Saree-9571593003894497-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/af61ed57-af89-427b-b783-06fbcd5f7b791593003896302-Kalini-Saree-9571593003894497-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/39db0a4b-7f9c-42df-b944-da09e80872381593003896421-Kalini-Saree-9571593003894497-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/d97b5e00-d131-423b-b0c9-ca18d0b428cc1593003896570-Kalini-Saree-9571593003894497-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/1c3ecc23-9d57-48bc-b816-7c29425dba0f1593003896509-Kalini-Saree-9571593003894497-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648826/2020/6/24/114bff7b-93a2-4bc3-a637-258d8ec2b7491593003896655-Kalini-Saree-9571593003894497-2.jpg'}]",Women,Pink,,,Printed Patola Saree,Sarees,1899,1899,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Pink-Silk-Cotton-Printed-Patola-Saree/11648826/buy
