,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/Sangria/Sangria-Women-White--Pink-Printed-A-Line-Top/11754410/buy,False,,False,11754410,Sangria Women White & Pink Printed A-Line Top,Sangria Women White & Pink Printed A-Line Top,0,0,False,0,,0,Sangria,http://assets.myntassets.com/assets/images/11754410/2020/8/5/686e53d6-4a54-4f60-ba73-1b5dfb78120b1596607876136-Sangria-Women-Tops-4431596607874620-1.jpg,0,0,40902852,4036,0,,[],"[{'skuId': 40902848, 'label': 'XS', 'inventory': 28, 'available': True}, {'skuId': 40902850, 'label': 'S', 'inventory': 34, 'available': True}, {'skuId': 40902852, 'label': 'M', 'inventory': 37, 'available': True}, {'skuId': 40902854, 'label': 'L', 'inventory': 27, 'available': True}, {'skuId': 40902856, 'label': 'XL', 'inventory': 19, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11754410/2020/8/5/686e53d6-4a54-4f60-ba73-1b5dfb78120b1596607876136-Sangria-Women-Tops-4431596607874620-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11754410/2020/8/5/686e53d6-4a54-4f60-ba73-1b5dfb78120b1596607876136-Sangria-Women-Tops-4431596607874620-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11754410/2020/8/5/990ba1ea-a38c-42cf-ad58-353555a45a1a1596607875922-Sangria-Women-Tops-4431596607874620-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11754410/2020/8/5/ea755c10-3ef5-415d-85d6-086318ed52861596607876026-Sangria-Women-Tops-4431596607874620-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11754410/2020/8/5/27ce5f50-c00c-4708-99ba-f10c66e078ce1596607876082-Sangria-Women-Tops-4431596607874620-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11754410/2020/8/5/b814c748-aa44-4b33-bd85-ed73da29c2071596607875976-Sangria-Women-Tops-4431596607874620-4.jpg'}]",Women,White,Get upto 20% off,Get upto 20% off,Printed A-Line Top,Tops,1699,1699,,False,,0,256,,1596672000000,Spring,2020,False,,,0,,[],www.myntra.com/Tops/Sangria/Sangria-Women-White--Pink-Printed-A-Line-Top/11754410/buy
1,Tshirts/Nike/Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Standard-Fit-Styled-Back-Training-Top/12020690/buy,False,,False,12020690,Nike Black & White Printed Dry Elevated Ssjdigxnfs Standard Fit Styled Back Training Top,Nike Black & White Printed Dry Elevated Ssjdigxnfs Standard Fit Styled Back Training Top,0,0,False,0,,170,Nike,http://assets.myntassets.com/assets/images/12020690/2020/8/6/36f7e93a-fd1a-42d0-8dbf-a4da7f3cb9061596709095959-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-1.jpg,0,0,41858444,4024,0,,[],"[{'skuId': 41858444, 'label': 'XS', 'inventory': 9, 'available': True}, {'skuId': 41858446, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 41858448, 'label': 'M', 'inventory': 44, 'available': True}, {'skuId': 41858450, 'label': 'L', 'inventory': 40, 'available': True}, {'skuId': 41858452, 'label': 'XL', 'inventory': 24, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12020690/2020/8/6/36f7e93a-fd1a-42d0-8dbf-a4da7f3cb9061596709095959-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12020690/2020/8/6/36f7e93a-fd1a-42d0-8dbf-a4da7f3cb9061596709095959-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12020690/2020/8/6/7506e34d-6b25-4a87-8d41-1a14333b17c41596709095672-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12020690/2020/8/6/82f74f71-ffe9-487d-9026-53dc11e958c91596709095795-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12020690/2020/8/6/6dde4d86-2b95-4f59-b4c9-19f1ec16fba01596709095732-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12020690/2020/8/6/2baf33d9-67b6-4299-8c5c-5b0db857851d1596709095875-Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Styled-Bac-2.jpg'}]",Women,Black,Flat_Search_Percent,(10% OFF),Styled Back Training T-Shirt,Tshirts,1695,1525,,False,,0,1,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Nike/Nike-Black--White-Printed-Dry-Elevated-Ssjdigxnfs-Standard-Fit-Styled-Back-Training-Top/12020690/buy
2,Tshirts/Nike/Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit-Logo-Print-Training-T-Shirt/11895676/buy,False,,False,11895676,Nike Women Black & White Dfct Tee Scoop Logo Xd Standard Fit Logo Print Training T-Shirt,Nike Women Black & White Dfct Tee Scoop Logo Xd Standard Fit Logo Print Training T-Shirt,0,0,False,0,,0,Nike,http://assets.myntassets.com/assets/images/11895676/2020/8/6/fd57f28a-661f-44e8-a79f-903849e9b0161596708988610-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--1.jpg,0,0,41408892,4024,0,,[],"[{'skuId': 41408888, 'label': 'XS', 'inventory': 11, 'available': True}, {'skuId': 41408890, 'label': 'S', 'inventory': 33, 'available': True}, {'skuId': 41408892, 'label': 'M', 'inventory': 50, 'available': True}, {'skuId': 41408894, 'label': 'L', 'inventory': 38, 'available': True}, {'skuId': 41408896, 'label': 'XL', 'inventory': 19, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11895676/2020/8/6/fd57f28a-661f-44e8-a79f-903849e9b0161596708988610-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11895676/2020/8/6/fd57f28a-661f-44e8-a79f-903849e9b0161596708988610-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11895676/2020/8/6/9c411715-9145-4bbb-8357-ec35169faf851596708988212-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11895676/2020/8/6/05cf5541-49ec-4e45-a5b6-bbe8bd2d3b731596708988441-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11895676/2020/8/6/6b389d9a-cba5-468b-8bfe-26fe5d07f4741596708988320-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11895676/2020/8/6/b854934e-6d99-4461-8c35-126fac94ee6e1596708988524-Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit--2.jpg'}]",Women,Black,,,Logo Print Training T-Shirt,Tshirts,1695,1695,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Nike/Nike-Women-Black--White-Dfct-Tee-Scoop-Logo-Xd-Standard-Fit-Logo-Print-Training-T-Shirt/11895676/buy
3,Tops/ether/ether-Women-Black-Solid-Wrap-Top/11110668/buy,False,,False,11110668,ether Women Black Solid Wrap Top,ether Women Black Solid Wrap Top,0,0,False,0,,0,ether,http://assets.myntassets.com/assets/images/11110668/2020/8/5/0e24f8bd-e5e4-40bc-bf4f-4367209bb1781596610761089-ether-Women-Tops-4911596610759092-1.jpg,0,0,38339482,4027,0,,[],"[{'skuId': 38339482, 'label': 'S', 'inventory': 34, 'available': True}, {'skuId': 38339484, 'label': 'M', 'inventory': 37, 'available': True}, {'skuId': 38339486, 'label': 'L', 'inventory': 18, 'available': True}, {'skuId': 38339488, 'label': 'XL', 'inventory': 23, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/0e24f8bd-e5e4-40bc-bf4f-4367209bb1781596610761089-ether-Women-Tops-4911596610759092-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/0e24f8bd-e5e4-40bc-bf4f-4367209bb1781596610761089-ether-Women-Tops-4911596610759092-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/57f296d5-1549-448a-812a-0ccded25cbce1596610760837-ether-Women-Tops-4911596610759092-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/5bde860d-aabc-4906-a605-9f36c72aa0bb1596610760894-ether-Women-Tops-4911596610759092-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/9827f01c-db0d-4b43-923b-96344b6487cd1596610760990-ether-Women-Tops-4911596610759092-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/138c76f4-58f4-4af4-b9b5-072a14aaf2061596610760943-ether-Women-Tops-4911596610759092-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11110668/2020/8/5/87d9e553-19c6-40d2-9371-22aabf5bbfb41596610761043-ether-Women-Tops-4911596610759092-2.jpg'}]",Women,Black,Get upto 20% off,Get upto 20% off,Solid Wrap Top,Tops,999,999,,False,,0,256,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/ether/ether-Women-Black-Solid-Wrap-Top/11110668/buy
4,Tops/Nike/Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard-Fit-Blouson-Top/11751434/buy,False,,False,11751434,Nike Women Blue & Yellow Colourblocked Nsw Icn Clsh Standard Fit Blouson Top,Nike Women Blue & Yellow Colourblocked Nsw Icn Clsh Standard Fit Blouson Top,0,0,False,0,,0,Nike,http://assets.myntassets.com/assets/images/11751434/2020/8/6/b2944235-e0a5-488e-8a75-7b956c5fc6ac1596708931485-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--1.jpg,0,0,40892680,4024,0,,[],"[{'skuId': 40892678, 'label': 'XS', 'inventory': 2, 'available': True}, {'skuId': 40892680, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 40892682, 'label': 'M', 'inventory': 14, 'available': True}, {'skuId': 40892684, 'label': 'L', 'inventory': 13, 'available': True}, {'skuId': 40892686, 'label': 'XL', 'inventory': 8, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11751434/2020/8/6/b2944235-e0a5-488e-8a75-7b956c5fc6ac1596708931485-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11751434/2020/8/6/b2944235-e0a5-488e-8a75-7b956c5fc6ac1596708931485-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11751434/2020/8/6/73ecef65-9a2c-478f-b07a-496c81fb8f911596708931214-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11751434/2020/8/6/436b3b96-7ca8-46ba-a111-6e7b7a930af01596708931347-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11751434/2020/8/6/c9d45bec-5215-4cc2-871a-f7c007bb440e1596708931291-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11751434/2020/8/6/29dde14e-84c2-4bad-81e0-aab954c07d331596708931425-Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard--2.jpg'}]",Women,Blue,,,Colourblocked Nsw Icn Clsh Top,Tops,2195,2195,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Nike/Nike-Women-Blue--Yellow-Colourblocked-Nsw-Icn-Clsh-Standard-Fit-Blouson-Top/11751434/buy
5,Tshirts/Nike/Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Standard-Fit-Printed-T-Shirt/11751472/buy,False,,False,11751472,Nike Women Blue & White Nsw Tee Ringer Retro Fem Standard Fit Printed T-Shirt,Nike Women Blue & White Nsw Tee Ringer Retro Fem Standard Fit Printed T-Shirt,0,0,False,0,,0,Nike,http://assets.myntassets.com/assets/images/11751472/2020/8/6/079777f2-ce78-4141-9bc4-a24838c1386b1596708955670-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-1.jpg,0,0,40892864,4024,0,,[],"[{'skuId': 40892862, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 40892864, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 40892866, 'label': 'M', 'inventory': 32, 'available': True}, {'skuId': 40892868, 'label': 'L', 'inventory': 24, 'available': True}, {'skuId': 40892870, 'label': 'XL', 'inventory': 13, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11751472/2020/8/6/079777f2-ce78-4141-9bc4-a24838c1386b1596708955670-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11751472/2020/8/6/079777f2-ce78-4141-9bc4-a24838c1386b1596708955670-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11751472/2020/8/6/c353da41-d6ed-4f0d-9ba3-6357b1aff5e01596708955322-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11751472/2020/8/6/cfa5a2de-40bd-4c08-8480-c03af696e0361596708955518-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11751472/2020/8/6/ea786950-69ec-4708-9569-4318dcccc3c91596708955410-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11751472/2020/8/6/a4b1f154-9fe5-4fbc-8f9b-f1e18bd5a1741596708955610-Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Printed-Stan-2.jpg'}]",Women,Blue,,,Women Printed T-Shirt,Tshirts,1695,1695,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Nike/Nike-Women-Blue--White-Nsw-Tee-Ringer-Retro-Fem-Standard-Fit-Printed-T-Shirt/11751472/buy
6,Tshirts/Nike/Nike-Women-White--Orange-Nsw-Tee-Core-Hbr-Print-Standard-Fit-Printed-Round-Neck-T-shirt/11895694/buy,False,,False,11895694,Nike Women White & Orange Nsw Tee Core Hbr Print Standard Fit Printed Round Neck T-shirt,Nike Women White & Orange Nsw Tee Core Hbr Print Standard Fit Printed Round Neck T-shirt,0,0,False,0,,0,Nike,http://assets.myntassets.com/assets/images/11895694/2020/8/6/f8d9ea3b-b0b8-4300-81ff-a964db1d83891596709052109-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-1.jpg,0,0,41408980,4024,0,,[],"[{'skuId': 41408978, 'label': 'XS', 'inventory': 8, 'available': True}, {'skuId': 41408980, 'label': 'S', 'inventory': 27, 'available': True}, {'skuId': 41408982, 'label': 'M', 'inventory': 38, 'available': True}, {'skuId': 41408984, 'label': 'L', 'inventory': 30, 'available': True}, {'skuId': 41408986, 'label': 'XL', 'inventory': 16, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11895694/2020/8/6/f8d9ea3b-b0b8-4300-81ff-a964db1d83891596709052109-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11895694/2020/8/6/f8d9ea3b-b0b8-4300-81ff-a964db1d83891596709052109-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11895694/2020/8/6/6e4fe043-22ff-41ef-8ad5-3ad1fa956acc1596709051848-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11895694/2020/8/6/af3eb895-1305-446d-b9cf-93916342ea8c1596709051970-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11895694/2020/8/6/a80a32d3-7660-4374-8239-35977d5eac2b1596709051909-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11895694/2020/8/6/b2888385-4df3-4b8a-b497-199c56cc85691596709052031-Nike-Women-White-Printed-Round-Neck-T-shirt-3101596709050792-2.jpg'}]",Women,White,,,Printed Round Neck T-shirt,Tshirts,1495,1495,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Nike/Nike-Women-White--Orange-Nsw-Tee-Core-Hbr-Print-Standard-Fit-Printed-Round-Neck-T-shirt/11895694/buy
7,Tshirts/Harvard/Harvard-Women-Maroon-Solid-Round-Neck-T-shirt/11109856/buy,False,,False,11109856,Harvard Women Maroon Solid Round Neck T-shirt,Harvard Women Maroon Solid Round Neck T-shirt,0,0,False,0,,0,Harvard,http://assets.myntassets.com/assets/images/11109856/2020/8/5/c043cd4b-1106-4ac8-b3be-38f9e30036a81596627313605-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-1.jpg,0,0,38335888,4024,0,,[],"[{'skuId': 38335888, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 38335890, 'label': 'M', 'inventory': 77, 'available': True}, {'skuId': 38335892, 'label': 'L', 'inventory': 52, 'available': True}, {'skuId': 38335894, 'label': 'XL', 'inventory': 30, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11109856/2020/8/5/c043cd4b-1106-4ac8-b3be-38f9e30036a81596627313605-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11109856/2020/8/5/c043cd4b-1106-4ac8-b3be-38f9e30036a81596627313605-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11109856/2020/8/5/4d67c373-39dc-45fc-bee3-8d8eea89ed201596627313303-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11109856/2020/8/5/e5688814-a5a1-433c-981b-88766c5b53151596627313451-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11109856/2020/8/5/8b4ac8ae-b100-4bac-830a-4ea6ebe21a301596627313536-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11109856/2020/8/5/92c3c2cd-2cd0-4d8f-912e-ffcfb3ac4b971596627313376-Harvard-Women-Maroon-Solid-Round-Neck-T-shirt-47615966273119-4.jpg'}]",Women,Maroon,,,Solid Round Neck T-shirt,Tshirts,799,799,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Harvard/Harvard-Women-Maroon-Solid-Round-Neck-T-shirt/11109856/buy
8,Tshirts/Nike/Nike-Women-Blue-Miler-Standard-Fit-Solid-Running-T-Shirt/11751428/buy,False,,False,11751428,Nike Women Blue Miler Standard Fit Solid Running T-Shirt,Nike Women Blue Miler Standard Fit Solid Running T-Shirt,0,0,False,0,,0,Nike,http://assets.myntassets.com/assets/images/11751428/2020/8/6/74dbc3ee-c791-4987-b7b5-8020141519e51596708914807-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-1.jpg,0,0,40892640,4024,0,,[],"[{'skuId': 40892640, 'label': 'XS', 'inventory': 6, 'available': True}, {'skuId': 40892644, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 40892648, 'label': 'M', 'inventory': 28, 'available': True}, {'skuId': 40892652, 'label': 'L', 'inventory': 26, 'available': True}, {'skuId': 40892656, 'label': 'XL', 'inventory': 16, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11751428/2020/8/6/74dbc3ee-c791-4987-b7b5-8020141519e51596708914807-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11751428/2020/8/6/74dbc3ee-c791-4987-b7b5-8020141519e51596708914807-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11751428/2020/8/6/9b51a130-2773-4d1b-a47c-43ee47b2fd401596708914558-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11751428/2020/8/6/2d089856-9833-45fa-a92b-64955d9f7e481596708914687-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11751428/2020/8/6/929b2b90-9d8d-471a-8177-0eab1c8cc11e1596708914616-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11751428/2020/8/6/da8296de-7c4e-47b4-9dd2-e2d77ff52baf1596708914743-Nike-Women-Blue-Miler-Solid-Standard-Fit-Running-T-Shirt-213-2.jpg'}]",Women,Blue,,,Miler Solid Running T-Shirt,Tshirts,1695,1695,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Nike/Nike-Women-Blue-Miler-Standard-Fit-Solid-Running-T-Shirt/11751428/buy
9,Tops/Nike/Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Standard-Fit-Printed-Running-Top/11751470/buy,False,,False,11751470,Nike Women Charcoal Grey & White Icnclsh Tank Better Standard Fit Printed Running Top,Nike Women Charcoal Grey & White Icnclsh Tank Better Standard Fit Printed Running Top,0,0,False,0,,0,Nike,http://assets.myntassets.com/assets/images/11751470/2020/8/6/e968a05f-ecb8-450b-8b36-12efb6a9f2f31596708942491-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--1.jpg,0,0,40892860,4024,0,,[],"[{'skuId': 40892852, 'label': 'XS', 'inventory': 3, 'available': True}, {'skuId': 40892854, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 40892856, 'label': 'M', 'inventory': 29, 'available': True}, {'skuId': 40892858, 'label': 'L', 'inventory': 25, 'available': True}, {'skuId': 40892860, 'label': 'XL', 'inventory': 16, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11751470/2020/8/6/e968a05f-ecb8-450b-8b36-12efb6a9f2f31596708942491-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11751470/2020/8/6/e968a05f-ecb8-450b-8b36-12efb6a9f2f31596708942491-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11751470/2020/8/6/b2ffa0e8-0781-4964-bf06-6a086f50bcaa1596708942138-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11751470/2020/8/6/c1500415-acdd-4d3a-8c93-7cb0ba4113261596708942307-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11751470/2020/8/6/7fb1ca87-55f4-48f4-bcf3-b22bd518bdd81596708942227-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11751470/2020/8/6/08e88ec6-2aff-4a02-94f3-6062f208cca21596708942387-Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Printed--2.jpg'}]",Women,Charcoal,,,Printed Running Top,Tops,1995,1995,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Nike/Nike-Women-Charcoal-Grey--White-Icnclsh-Tank-Better-Standard-Fit-Printed-Running-Top/11751470/buy
