,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/Revolution/Revolution-Women-Off-White--Pink-Floral-Print-Cold-Shoulder-Top/11985292/buy,False,,False,11985292,Revolution Women Off-White & Pink Floral Print Cold-Shoulder Top,Revolution Women Off-White & Pink Floral Print Cold-Shoulder Top,0,0,False,0,,700,Revolution,http://assets.myntassets.com/assets/images/11985292/2020/7/24/71082064-0d32-45cd-afd6-b27bf87146be1595564054284-Revolution-Women-Off-White-Printed-Top-3071595564052908-1.jpg,0,0,41721440,7346,0,,[],"[{'skuId': 41721436, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41721438, 'label': 'XXL', 'inventory': 9, 'available': True}, {'skuId': 41721440, 'label': '3XL', 'inventory': 10, 'available': True}, {'skuId': 41721442, 'label': '4XL', 'inventory': 9, 'available': True}, {'skuId': 41721444, 'label': '5XL', 'inventory': 9, 'available': True}, {'skuId': 41721446, 'label': '6XL', 'inventory': 5, 'available': True}]","XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985292/2020/7/24/71082064-0d32-45cd-afd6-b27bf87146be1595564054284-Revolution-Women-Off-White-Printed-Top-3071595564052908-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985292/2020/7/24/71082064-0d32-45cd-afd6-b27bf87146be1595564054284-Revolution-Women-Off-White-Printed-Top-3071595564052908-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985292/2020/7/24/f96cb7f2-0c9e-4b2d-8b59-f3e8592a4ae91595564054020-Revolution-Women-Off-White-Printed-Top-3071595564052908-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985292/2020/7/24/c1d96371-d7f3-4d0f-ba28-269e52ce442f1595564054164-Revolution-Women-Off-White-Printed-Top-3071595564052908-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985292/2020/7/24/33085e4f-973d-4702-9f34-1078e0d44e261595564054230-Revolution-Women-Off-White-Printed-Top-3071595564052908-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985292/2020/7/24/861fe493-d8d8-4fe6-b93f-4a6fc5065b7b1595564054102-Revolution-Women-Off-White-Printed-Top-3071595564052908-4.jpg'}]",Women,Off White,Flat_Search_Percent,(35% OFF),Floral Print Cold-Shoulder Top,Tops,2000,1300,,False,,0,1,,1595462400000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Off-White--Pink-Floral-Print-Cold-Shoulder-Top/11985292/buy
1,Tops/Prakrti/Prakrti-Women-Grey--Black-Buddha-Print-Top/12047142/buy,False,,False,12047142,Prakrti Women Grey & Black Buddha Print Top,Prakrti Women Grey & Black Buddha Print Top,0,0,False,0,,330,Prakrti,http://assets.myntassets.com/assets/images/12047142/2020/7/24/347ba0fc-7014-4c24-801d-f63d819d826e1595567130486KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt1.jpg,0,0,41945640,7108,0,,[],"[{'skuId': 41945640, 'label': 'S', 'inventory': 13, 'available': True}, {'skuId': 41945642, 'label': 'M', 'inventory': 13, 'available': True}, {'skuId': 41945644, 'label': 'L', 'inventory': 12, 'available': True}, {'skuId': 41945646, 'label': 'XL', 'inventory': 13, 'available': True}, {'skuId': 41945648, 'label': 'XXL', 'inventory': 13, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12047142/2020/7/24/347ba0fc-7014-4c24-801d-f63d819d826e1595567130486KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12047142/2020/7/24/347ba0fc-7014-4c24-801d-f63d819d826e1595567130486KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12047142/2020/7/24/e7ec43be-ec22-4c39-95ec-6fcb190f13041595567130744KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12047142/2020/7/24/011b2c10-cba1-4dc4-8746-684cec6cdc8d1595567130623KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12047142/2020/7/24/b7c58d90-2a4d-4dc8-9d08-ad4ec74f89f41595567130686KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12047142/2020/7/24/d8728ff9-5f09-4850-af3f-dcd630e27cc91595567130558KVLWomenPinkPrintedRoundNeckT-shirtKurtaSetsPrakrtiWomenKurt2.jpg'}]",Women,Grey,Flat_Search_Percent,(30% OFF),Buddha Print Top,Tops,1100,770,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Prakrti/Prakrti-Women-Grey--Black-Buddha-Print-Top/12047142/buy
2,Tshirts/UF/UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts/12060436/buy,False,,False,12060436,U&F Women Pack Of 2 Printed Round Neck T-shirts,U&F Women Pack Of 2 Printed Round Neck T-shirts,0,0,False,0,,1008,U&F,http://assets.myntassets.com/assets/images/12060436/2020/7/26/052a1f93-2419-4201-a439-1955e147f1931595769652937-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-1.jpg,0,0,41990252,1770,0,,[],"[{'skuId': 41990250, 'label': 'S', 'inventory': 100, 'available': True}, {'skuId': 41990252, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 41990254, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 41990256, 'label': 'XL', 'inventory': 0, 'available': False}]","S,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12060436/2020/7/26/052a1f93-2419-4201-a439-1955e147f1931595769652937-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12060436/2020/7/26/052a1f93-2419-4201-a439-1955e147f1931595769652937-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12060436/2020/7/26/aa6fc165-39d5-4c87-a7df-d8c0b9401a761595769652735-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12060436/2020/7/26/f314cb35-29c7-4cbf-9521-056055b5002b1595769652836-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12060436/2020/7/26/62f64d3a-0cf1-4807-b6dd-a55cdc04207c1595769652888-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12060436/2020/7/26/361dafd3-a647-4dbc-8a16-370e1b619c811595769652788-UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts-8431595769651-4.jpg'}]",Women,Yellow,Flat_Search_Percent,(63% OFF),Pack Of 2 Round Neck T-shirts,Tshirts,1599,591,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/UF/UF-Women-Pack-Of-2-Printed-Round-Neck-T-shirts/12060436/buy
3,Tops/Revolution/Revolution-Women-Black-Solid-Semi-Sheer-Accordian-Pleat-Layered-A-Line-Top/11985400/buy,False,,False,11985400,Revolution Women Black Solid Semi-Sheer Accordian Pleat Layered A-Line Top,Revolution Women Black Solid Semi-Sheer Accordian Pleat Layered A-Line Top,0,0,False,0,,1225,Revolution,http://assets.myntassets.com/assets/images/11985400/2020/7/24/97827c14-c5ec-4951-b862-a5f4dd3fc9851595564095128-Revolution-Women-Black-Solid-Top-5721595564093296-1.jpg,0,0,41722076,7346,0,,[],"[{'skuId': 41722074, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41722076, 'label': 'XXL', 'inventory': 2, 'available': True}, {'skuId': 41722078, 'label': '3XL', 'inventory': 4, 'available': True}, {'skuId': 41722080, 'label': '4XL', 'inventory': 4, 'available': True}, {'skuId': 41722082, 'label': '5XL', 'inventory': 1, 'available': True}, {'skuId': 41722084, 'label': '6XL', 'inventory': 1, 'available': True}]","XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/97827c14-c5ec-4951-b862-a5f4dd3fc9851595564095128-Revolution-Women-Black-Solid-Top-5721595564093296-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/97827c14-c5ec-4951-b862-a5f4dd3fc9851595564095128-Revolution-Women-Black-Solid-Top-5721595564093296-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/fffefcc1-5b1a-4132-855f-29554569783f1595564094824-Revolution-Women-Black-Solid-Top-5721595564093296-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/29376d55-c318-4701-89d8-4982a9c6ba561595564094889-Revolution-Women-Black-Solid-Top-5721595564093296-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/4e31c33d-6343-45eb-8fc4-22ba0a179a891595564094739-Revolution-Women-Black-Solid-Top-5721595564093296-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/4c9daf87-1eec-45f3-92e1-18d600002a651595564095008-Revolution-Women-Black-Solid-Top-5721595564093296-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/c319b34d-5d14-4e7a-b41c-3a29b84808f61595564095064-Revolution-Women-Black-Solid-Top-5721595564093296-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985400/2020/7/24/21c42105-a039-4394-aae0-c82da78b46e21595564094953-Revolution-Women-Black-Solid-Top-5721595564093296-4.jpg'}]",Women,Black,Flat_Search_Percent,(35% OFF),Solid Layered A-Line Top,Tops,3500,2275,,False,,0,1,,1595462400000,Winter,2019,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Black-Solid-Semi-Sheer-Accordian-Pleat-Layered-A-Line-Top/11985400/buy
4,Tops/SCORPIUS/SCORPIUS-Women-Yellow-Solid-Cropped-Top/12147010/buy,False,,False,12147010,SCORPIUS Women Yellow Solid Cropped Top,SCORPIUS Women Yellow Solid Cropped Top,0,0,False,0,,780,SCORPIUS,http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e9b8e9a-fc7a-4af3-a16b-becc8f8da64f1595629819099-1.jpg,0,0,42320238,4131,0,,[],"[{'skuId': 42320236, 'label': 'S', 'inventory': 99, 'available': True}, {'skuId': 42320238, 'label': 'M', 'inventory': 100, 'available': True}, {'skuId': 42320240, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 42320242, 'label': 'XL', 'inventory': 100, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e9b8e9a-fc7a-4af3-a16b-becc8f8da64f1595629819099-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/9e9b8e9a-fc7a-4af3-a16b-becc8f8da64f1595629819099-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/8b2c1d15-2975-4654-97c8-1f8dd8bdf14d1595629819377-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/d93fad14-bf10-4fb5-a066-0738697f25821595629819322-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/a370bf16-753f-4b7d-aa1e-e1d556d6879a1595629819210-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/81d74da7-8a25-4643-ba4f-530b36e9ab311595629819151-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/f175e145-4106-4438-b241-1b984040621d1595629819265-4.jpg'}]",Women,Yellow,Flat_Search_Percent,(60% OFF),Solid Cropped Top,Tops,1299,519,,False,,0,1,,1595462400000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/SCORPIUS/SCORPIUS-Women-Yellow-Solid-Cropped-Top/12147010/buy
5,Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-Navy-Blue-Solid-Round-Neck-T-shirt/12145606/buy,False,,False,12145606,Beverly Hills Polo Club Women Navy Blue Solid Round Neck T-shirt,Beverly Hills Polo Club Women Navy Blue Solid Round Neck T-shirt,0,0,False,0,,0,Beverly Hills Polo Club,http://assets.myntassets.com/assets/images/productimage/2020/7/25/2995ed94-ae4c-4188-b63a-5433ace69ea01595633038450-1.jpg,0,0,42314650,8428,0,,[],"[{'skuId': 42314650, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 42314654, 'label': 'M', 'inventory': 3, 'available': True}, {'skuId': 42314658, 'label': 'L', 'inventory': 1, 'available': True}]","M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/2995ed94-ae4c-4188-b63a-5433ace69ea01595633038450-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/2995ed94-ae4c-4188-b63a-5433ace69ea01595633038450-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/34c909d8-62c3-4d33-b7ce-bbd7a9519f5c1595633038560-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/fd576c49-ec2f-4cc9-ae28-ba49140cfb591595633038501-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/acefefef-2517-4505-8ae2-e966d00162bd1595633038605-4.jpg'}]",Women,Navy Blue,,,Solid Round Neck T-shirt,Tshirts,2299,2299,,False,,0,,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Beverly-Hills-Polo-Club/Beverly-Hills-Polo-Club-Women-Navy-Blue-Solid-Round-Neck-T-shirt/12145606/buy
6,Tshirts/Bossini/Bossini-Women-Mustard-Yellow-Solid-Polo-Collar-T-shirt/12137390/buy,False,,False,12137390,Bossini Women Mustard Yellow Solid Polo Collar T-shirt,Bossini Women Mustard Yellow Solid Polo Collar T-shirt,0,0,False,0,,0,Bossini,http://assets.myntassets.com/assets/images/productimage/2020/7/23/95b648d2-b0b8-435c-b758-df60f49273351595481240515-1.jpg,0,0,42278460,4214,0,,[],"[{'skuId': 42278460, 'label': 'XS', 'inventory': 7, 'available': True}, {'skuId': 42278464, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 42278468, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 42278462, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 42278466, 'label': 'XL', 'inventory': 0, 'available': False}]","XS,S","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/95b648d2-b0b8-435c-b758-df60f49273351595481240515-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/95b648d2-b0b8-435c-b758-df60f49273351595481240515-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/ed23b555-dca9-454b-8d02-a6e716c4e9d61595481240725-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/9998d939-26a0-437c-af5a-0befea0912c41595481240625-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/59cfd929-757c-43ea-8d48-ddef88614c2e1595481240573-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/cf85d832-768d-47f9-96d7-2fbdb76619321595481240672-4.jpg'}]",Women,Mustard,,,Solid Polo Collar T-shirt,Tshirts,699,699,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Tshirts/Bossini/Bossini-Women-Mustard-Yellow-Solid-Polo-Collar-T-shirt/12137390/buy
7,Tops/Revolution/Revolution-Women-Black-Beaded-Top/11985324/buy,False,,False,11985324,Revolution Women Black Beaded Top,Revolution Women Black Beaded Top,0,0,False,0,,1050,Revolution,http://assets.myntassets.com/assets/images/11985324/2020/7/23/24725c48-e965-47ef-8c99-2bf391bf0fa51595504514489-Revolution-Women-Black-Solid-Top-3881595504512967-1.jpg,0,0,41721630,7346,0,,[],"[{'skuId': 41721628, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41721630, 'label': 'XXL', 'inventory': 8, 'available': True}, {'skuId': 41721632, 'label': '3XL', 'inventory': 12, 'available': True}, {'skuId': 41721634, 'label': '4XL', 'inventory': 10, 'available': True}, {'skuId': 41721636, 'label': '5XL', 'inventory': 9, 'available': True}, {'skuId': 41721640, 'label': '6XL', 'inventory': 2, 'available': True}]","XXL,3XL,4XL,5XL,6XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985324/2020/7/23/24725c48-e965-47ef-8c99-2bf391bf0fa51595504514489-Revolution-Women-Black-Solid-Top-3881595504512967-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985324/2020/7/23/24725c48-e965-47ef-8c99-2bf391bf0fa51595504514489-Revolution-Women-Black-Solid-Top-3881595504512967-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985324/2020/7/23/4fcd17d4-2253-4d4e-898d-2edbbbf431d41595504514186-Revolution-Women-Black-Solid-Top-3881595504512967-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985324/2020/7/23/f040e9e3-6dd5-4296-b4c3-b426f2447d6b1595504514337-Revolution-Women-Black-Solid-Top-3881595504512967-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985324/2020/7/23/3f691435-7fb4-4e34-8fdb-f51f566cb0b91595504514406-Revolution-Women-Black-Solid-Top-3881595504512967-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985324/2020/7/23/284d8ecd-7cad-477f-9357-9ffca357d4781595504514269-Revolution-Women-Black-Solid-Top-3881595504512967-4.jpg'}]",Women,Black,Flat_Search_Percent,(35% OFF),Beaded Top,Tops,3000,1950,,False,,0,1,,1595462400000,Winter,2018,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Black-Beaded-Top/11985324/buy
8,Tops/Revolution/Revolution-Women-Navy-Blue--Red-Paisley-Printed-Cape-Top/11985278/buy,False,,False,11985278,Revolution Women Navy Blue & Red Paisley Printed Cape Top,Revolution Women Navy Blue & Red Paisley Printed Cape Top,0,0,False,0,,700,Revolution,http://assets.myntassets.com/assets/images/11985278/2020/7/23/d11368e4-44a9-45e1-8dc9-d4c77a04ffaa1595496931829-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-1.jpg,0,0,41721354,7346,0,,[],"[{'skuId': 41721352, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41721354, 'label': 'XXL', 'inventory': 2, 'available': True}, {'skuId': 41721356, 'label': '3XL', 'inventory': 3, 'available': True}, {'skuId': 41721358, 'label': '4XL', 'inventory': 0, 'available': False}, {'skuId': 41721360, 'label': '5XL', 'inventory': 0, 'available': False}, {'skuId': 41721362, 'label': '6XL', 'inventory': 0, 'available': False}]","XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985278/2020/7/23/d11368e4-44a9-45e1-8dc9-d4c77a04ffaa1595496931829-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985278/2020/7/23/d11368e4-44a9-45e1-8dc9-d4c77a04ffaa1595496931829-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985278/2020/7/23/0d2d11de-d0c3-4240-b77c-0804c5ee47a41595496931526-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985278/2020/7/23/db9612db-3d04-4016-b08c-60b6483bdd281595496931702-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985278/2020/7/23/25382fb5-f892-4c60-a6c9-655a1ea11fd51595496931638-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985278/2020/7/23/a37fb49f-1a28-4082-a46e-a29c7faff1de1595496931769-Revolution-Women-Navy-Blue-Printed-Top-681595496929869-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(35% OFF),Paisley Printed Cape Top,Tops,2000,1300,,False,,0,1,,1595462400000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Navy-Blue--Red-Paisley-Printed-Cape-Top/11985278/buy
9,Tops/Revolution/Revolution-Women-Sea-Green-Solid-Top/11985392/buy,False,,False,11985392,Revolution Women Sea Green Solid Top,Revolution Women Sea Green Solid Top,0,0,False,0,,875,Revolution,http://assets.myntassets.com/assets/images/11985392/2020/7/23/3a11676b-bf15-437e-b51d-13977966a0ac1595493116524-Revolution-Women-Green-Solid-Top-2451595493114152-1.jpg,0,0,41722032,7346,0,,[],"[{'skuId': 41722026, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41722028, 'label': 'XXL', 'inventory': 1, 'available': True}, {'skuId': 41722030, 'label': '3XL', 'inventory': 5, 'available': True}, {'skuId': 41722032, 'label': '4XL', 'inventory': 1, 'available': True}, {'skuId': 41722034, 'label': '5XL', 'inventory': 1, 'available': True}, {'skuId': 41722036, 'label': '6XL', 'inventory': 0, 'available': False}]","XXL,3XL,4XL,5XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/3a11676b-bf15-437e-b51d-13977966a0ac1595493116524-Revolution-Women-Green-Solid-Top-2451595493114152-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/3a11676b-bf15-437e-b51d-13977966a0ac1595493116524-Revolution-Women-Green-Solid-Top-2451595493114152-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/a1cad68b-6fe5-44ac-9d46-80182df1c3981595494742935-Revolution-Women-Green-Solid-Top-5601595494742580-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/57fc04ac-8539-4346-bcfb-30e191a587d41595493116219-Revolution-Women-Green-Solid-Top-2451595493114152-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/7f6321d2-4af4-4890-9977-caa5373d8a381595493116371-Revolution-Women-Green-Solid-Top-2451595493114152-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/056e14e6-f353-4b8a-8f3c-a3a1371159ad1595493192088-Revolution-Women-Green-Solid-Top-3451595493191167-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11985392/2020/7/23/f2ac83ec-fca4-42ad-8e01-e52e575fab761595493192010-Revolution-Women-Green-Solid-Top-3451595493191167-4.jpg'}]",Women,Sea Green,Flat_Search_Percent,(35% OFF),Solid Top,Tops,2500,1625,,False,,0,1,,1595462400000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Revolution/Revolution-Women-Sea-Green-Solid-Top/11985392/buy
