,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/MANGO/MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress/12088552/buy,False,,False,12088552,MANGO Women Blue & White Striped Cuban Collar Shirt Dress,MANGO Women Blue & White Striped Cuban Collar Shirt Dress,0,0,False,0,,0,MANGO,http://assets.myntassets.com/assets/images/12088552/2020/8/6/dac73769-7dd3-484c-9e60-84663d356a5e1596712544325-MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress-851-1.jpg,0,0,42088812,4118,0,,[],"[{'skuId': 42088808, 'label': 'XS', 'inventory': 10, 'available': True}, {'skuId': 42088810, 'label': 'S', 'inventory': 25, 'available': True}, {'skuId': 42088812, 'label': 'M', 'inventory': 31, 'available': True}, {'skuId': 42088814, 'label': 'L', 'inventory': 21, 'available': True}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12088552/2020/8/6/dac73769-7dd3-484c-9e60-84663d356a5e1596712544325-MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress-851-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12088552/2020/8/6/dac73769-7dd3-484c-9e60-84663d356a5e1596712544325-MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress-851-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12088552/2020/8/6/c2ce934e-f0fc-4c4d-893b-5c5565c6ca481596712544196-MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress-851-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12088552/2020/8/6/335ac197-a33e-431e-8cc1-fd4841df1f6a1596712544262-MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress-851-2.jpg'}]",Women,Blue,,,Cuban Collar Shirt Dress,Dresses,4590,4590,,False,,0,,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/MANGO/MANGO-Women-Blue--White-Striped-Cuban-Collar-Shirt-Dress/12088552/buy
1,Dresses/MANGO/MANGO-Women-Red-Solid-A-Line-Dress/12088516/buy,False,,False,12088516,MANGO Women Red Solid A-Line Dress,MANGO Women Red Solid A-Line Dress,0,0,False,0,,0,MANGO,http://assets.myntassets.com/assets/images/12088516/2020/8/6/770eeca5-85bc-4193-b806-941f1ebddd231596709730538-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-1.jpg,0,0,42088664,4118,0,,[],"[{'skuId': 42088664, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 42088672, 'label': 'L', 'inventory': 30, 'available': True}]",L,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12088516/2020/8/6/770eeca5-85bc-4193-b806-941f1ebddd231596709730538-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12088516/2020/8/6/770eeca5-85bc-4193-b806-941f1ebddd231596709730538-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12088516/2020/8/6/08da4c0e-b331-4f19-925b-7f52ce70b9fa1596709730255-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12088516/2020/8/6/02683ff7-f15c-47be-b2df-deda5884af9f1596709730403-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12088516/2020/8/6/9e6be388-4df7-4f84-8336-5c5e773c210c1596709730335-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12088516/2020/8/6/16c8a346-2f41-456d-a923-7c7498fc82331596709730460-MANGO-Women-Red-Solid-A-Line-Dress-7291596709729058-2.jpg'}]",Women,Red,,,Solid A-Line Dress,Dresses,4590,4590,,False,,0,,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/MANGO/MANGO-Women-Red-Solid-A-Line-Dress/12088516/buy
2,Dresses/MANGO/MANGO-Women-Mustard-Yellow--White-Printed-Wrap-Dress/12088614/buy,False,,False,12088614,MANGO Women Mustard Yellow & White Printed Wrap Dress,MANGO Women Mustard Yellow & White Printed Wrap Dress,0,0,False,0,,0,MANGO,http://assets.myntassets.com/assets/images/12088614/2020/8/6/b14b4b97-c241-474d-8f8a-ad9e20b280501596703094147-MANGO-Women-Mustard-Printed-Wrap-Dress-7861596703092420-1.jpg,0,0,42089034,4118,0,,[],"[{'skuId': 42089032, 'label': 'XS', 'inventory': 12, 'available': True}, {'skuId': 42089034, 'label': 'S', 'inventory': 26, 'available': True}, {'skuId': 42089036, 'label': 'M', 'inventory': 34, 'available': True}, {'skuId': 42089028, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 42089030, 'label': 'XL', 'inventory': 9, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12088614/2020/8/6/b14b4b97-c241-474d-8f8a-ad9e20b280501596703094147-MANGO-Women-Mustard-Printed-Wrap-Dress-7861596703092420-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12088614/2020/8/6/b14b4b97-c241-474d-8f8a-ad9e20b280501596703094147-MANGO-Women-Mustard-Printed-Wrap-Dress-7861596703092420-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12088614/2020/8/6/605828a0-8807-45a4-9bf7-c5e0fe0a0ef91596703094013-MANGO-Women-Mustard-Printed-Wrap-Dress-7861596703092420-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12088614/2020/8/6/909d4006-b5f6-4619-ad48-347474ce79be1596703094089-MANGO-Women-Mustard-Printed-Wrap-Dress-7861596703092420-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12088614/2020/8/6/6c220d6e-7d1f-4bc5-8c1c-5a2ccaa46baa1596703093921-MANGO-Women-Mustard-Printed-Wrap-Dress-7861596703092420-4.jpg'}]",Women,Mustard,,,Printed Wrap Dress,Dresses,2590,2590,,False,,0,,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/MANGO/MANGO-Women-Mustard-Yellow--White-Printed-Wrap-Dress/12088614/buy
3,Dresses/The-Kaftan-Company/The-Kaftan-Company-Women-Grey-Checked-Kaftan-Dress/12219168/buy,False,,False,12219168,The Kaftan Company Women Grey Checked Kaftan Dress,The Kaftan Company Women Grey Checked Kaftan Dress,0,0,False,0,,0,The Kaftan Company,http://assets.myntassets.com/assets/images/productimage/2020/8/7/1511f7ae-983d-47de-8f0d-79e0a8104d5f1596750119473-1.jpg,0,0,42556430,8240,0,,[],"[{'skuId': 42556430, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 42556436, 'label': 'M', 'inventory': 5, 'available': True}, {'skuId': 42556440, 'label': 'L', 'inventory': 5, 'available': True}, {'skuId': 42556444, 'label': 'XL', 'inventory': 5, 'available': True}, {'skuId': 42556448, 'label': 'XXL', 'inventory': 5, 'available': True}, {'skuId': 42556452, 'label': '3XL', 'inventory': 5, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/1511f7ae-983d-47de-8f0d-79e0a8104d5f1596750119473-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/1511f7ae-983d-47de-8f0d-79e0a8104d5f1596750119473-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/3a86e972-ca31-4f08-aacf-a53f92d8c9011596750119753-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/91ad67db-55b8-4b32-9145-7f65173595a81596750119700-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/d5d68289-550b-41e5-b3d1-cecf56f5e5e61596750119579-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/f4b0cf88-7c84-494f-a0f6-1107af310eee1596750119532-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/0923bdb5-b585-4374-ae92-fc413b11a16f1596750119641-4.jpg'}]",Women,Grey,,,Checked Kaftan Dress,Dresses,1899,1899,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/The-Kaftan-Company/The-Kaftan-Company-Women-Grey-Checked-Kaftan-Dress/12219168/buy
4,Dresses/Capybara/Capybara-Women-Olive-Green-Embroidered-Two-Piece-Dress/12220350/buy,False,,False,12220350,Capybara Women Olive Green Embroidered Two-Piece Dress,Capybara Women Olive Green Embroidered Two-Piece Dress,0,0,False,0,,3300,Capybara,http://assets.myntassets.com/assets/images/productimage/2020/8/7/a798d24c-671b-4e0d-8d4a-02d967ed2d4f1596756562738-1.jpg,0,0,42560692,8054,0,,[],"[{'skuId': 42560688, 'label': 'XS/S', 'inventory': 1, 'available': True}, {'skuId': 42560690, 'label': 'S/M', 'inventory': 1, 'available': True}, {'skuId': 42560692, 'label': 'M/L', 'inventory': 1, 'available': True}]","XS/S,S/M,M/L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/a798d24c-671b-4e0d-8d4a-02d967ed2d4f1596756562738-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/a798d24c-671b-4e0d-8d4a-02d967ed2d4f1596756562738-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/c2fbcf89-d6f0-4ecd-8a2b-2084f9d3ba5f1596756563013-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/0fed664e-4463-4fbd-bf22-778a2157a5be1596756562877-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/8dd55d45-4222-4692-834b-122f5d60f1141596756562809-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/7/d865afcc-1854-4a01-baab-95d6622656851596756562941-4.jpg'}]",Women,Olive,Flat_Search_Percent,(30% OFF),Embroidered Two-Piece Dress,Dresses,10999,7699,,False,,0,1,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/Capybara/Capybara-Women-Olive-Green-Embroidered-Two-Piece-Dress/12220350/buy
5,Dresses/MANGO/MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress/12088564/buy,False,,False,12088564,MANGO Women Red Solid Gathered Puffed Sleeves Sheath Dress,MANGO Women Red Solid Gathered Puffed Sleeves Sheath Dress,0,0,False,0,,0,MANGO,http://assets.myntassets.com/assets/images/12088564/2020/8/6/86b05256-481b-4437-9ded-d91aabc939391596710631130-MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress-7-1.jpg,0,0,42088870,4118,0,,[],"[{'skuId': 42088866, 'label': 'XS', 'inventory': 44, 'available': True}, {'skuId': 42088868, 'label': 'S', 'inventory': 102, 'available': True}, {'skuId': 42088870, 'label': 'M', 'inventory': 119, 'available': True}, {'skuId': 42088872, 'label': 'L', 'inventory': 81, 'available': True}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12088564/2020/8/6/86b05256-481b-4437-9ded-d91aabc939391596710631130-MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress-7-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12088564/2020/8/6/86b05256-481b-4437-9ded-d91aabc939391596710631130-MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress-7-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12088564/2020/8/6/e1b17b74-a1fe-4ce6-872a-6817c13ef57a1596710630951-MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress-7-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12088564/2020/8/6/20d9e159-0539-4c3a-b2c0-72263d663eb81596710630875-MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress-7-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12088564/2020/8/6/8d5a2f53-45cf-4f7d-aefb-4ae77e8df21e1596710631028-MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress-7-2.jpg'}]",Women,Red,,,Solid Puff Sleeve Sheath Dress,Dresses,4590,4590,,False,,0,,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/MANGO/MANGO-Women-Red-Solid-Gathered-Puffed-Sleeves-Sheath-Dress/12088564/buy
6,Dresses/UF/UF-Women-Navy-Blue--White-Printed-A-Line-Dress/12160358/buy,False,,False,12160358,U&F Women Navy Blue & White Printed A-Line Dress,U&F Women Navy Blue & White Printed A-Line Dress,0,0,False,0,,1207,U&F,http://assets.myntassets.com/assets/images/12160358/2020/8/7/bbf9ec61-5054-4800-8af6-f057f5b0ac0e1596770982532DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses1.jpg,0,0,42374270,1770,0,,[],"[{'skuId': 42374264, 'label': 'S', 'inventory': 100, 'available': True}, {'skuId': 42374266, 'label': 'M', 'inventory': 100, 'available': True}, {'skuId': 42374268, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 42374270, 'label': 'XL', 'inventory': 100, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12160358/2020/8/7/bbf9ec61-5054-4800-8af6-f057f5b0ac0e1596770982532DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12160358/2020/8/7/bbf9ec61-5054-4800-8af6-f057f5b0ac0e1596770982532DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12160358/2020/8/7/9ee33b4e-3c3e-40ea-a724-01c7398b805f1596770982846DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12160358/2020/8/7/31f7fc46-2250-4e9c-92fe-6fd13e9bf84c1596770982687DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12160358/2020/8/7/c0f8d937-fcc6-4f20-9623-c40f9e761c821596770982760DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12160358/2020/8/7/bbb4a7ba-6dae-40b3-87ef-4c09e7458f721596770982614DressesUFWomenDressesUFWomenDressesUFWomenTopsUFWomenDresses2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(71% OFF),Printed A-Line Dress,Dresses,1699,492,,False,,0,1,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/UF/UF-Women-Navy-Blue--White-Printed-A-Line-Dress/12160358/buy
7,Dresses/KASSUALLY/KASSUALLY-Women-Blue-Solid-Shirt-Dress/12212624/buy,False,,False,12212624,KASSUALLY Women Blue Solid Shirt Dress,KASSUALLY Women Blue Solid Shirt Dress,0,0,False,0,,1100,KASSUALLY,http://assets.myntassets.com/assets/images/productimage/2020/8/6/4ea77bde-2b5b-4597-afa0-81ca35b088001596706410434-1.jpg,0,0,42538214,6780,0,,[],"[{'skuId': 42538214, 'label': 'XS', 'inventory': 10, 'available': True}, {'skuId': 42538216, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 42538218, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42538220, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 42538222, 'label': 'XL', 'inventory': 10, 'available': True}, {'skuId': 42538224, 'label': 'XXL', 'inventory': 10, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/4ea77bde-2b5b-4597-afa0-81ca35b088001596706410434-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/4ea77bde-2b5b-4597-afa0-81ca35b088001596706410434-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/339d8267-02ce-4f34-8c14-9b260bc41f6a1596706410788-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/0441f8ac-2175-48d4-b29f-70b756dbc63c1596706410698-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/40f43ca3-0cd0-4b34-a6d4-985215b9fd7c1596706410562-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/478c8251-84ac-4901-9aa6-6261795383661596706410508-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/8/6/b82cf9bd-0d72-431e-9f04-2a8da91e3ee61596706410620-4.jpg'}]",Women,Blue,Flat_Search_Percent,(50% OFF),Solid Shirt Dress,Dresses,2199,1099,,False,,0,1,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/KASSUALLY/KASSUALLY-Women-Blue-Solid-Shirt-Dress/12212624/buy
8,Dresses/MANGO/MANGO-Women-Black-Solid-Pinafore-Dress/12088514/buy,False,,False,12088514,MANGO Women Black Solid Pinafore Dress,MANGO Women Black Solid Pinafore Dress,0,0,False,0,,0,MANGO,http://assets.myntassets.com/assets/images/12088514/2020/8/6/9f285701-01d6-4b23-badf-92656894e35c1596703865816-MANGO-Women-Black-Solid-Pinafore-Dress-8931596703864994-1.jpg,0,0,42088676,4118,0,,[],"[{'skuId': 42088662, 'label': 'XS', 'inventory': 27, 'available': True}, {'skuId': 42088666, 'label': 'S', 'inventory': 63, 'available': True}, {'skuId': 42088668, 'label': 'M', 'inventory': 74, 'available': True}, {'skuId': 42088674, 'label': 'L', 'inventory': 50, 'available': True}, {'skuId': 42088676, 'label': 'XL', 'inventory': 22, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12088514/2020/8/6/9f285701-01d6-4b23-badf-92656894e35c1596703865816-MANGO-Women-Black-Solid-Pinafore-Dress-8931596703864994-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12088514/2020/8/6/9f285701-01d6-4b23-badf-92656894e35c1596703865816-MANGO-Women-Black-Solid-Pinafore-Dress-8931596703864994-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12088514/2020/8/6/04ad6f79-300a-42d7-b132-d634a70b63151596703865661-MANGO-Women-Black-Solid-Pinafore-Dress-8931596703864994-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12088514/2020/8/6/f0b2272e-1b17-46cb-a131-b8b74fb107871596703865744-MANGO-Women-Black-Solid-Pinafore-Dress-8931596703864994-2.jpg'}]",Women,Black,,,Solid Pinafore Dress,Dresses,2990,2990,,False,,0,,,1596672000000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/MANGO/MANGO-Women-Black-Solid-Pinafore-Dress/12088514/buy
9,Dresses/DOROTHY-PERKINS/DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dress/12126060/buy,False,,False,12126060,DOROTHY PERKINS Women Black & White Floral Printed A-Line Dress,DOROTHY PERKINS Women Black & White Floral Printed A-Line Dress,0,0,False,0,,0,DOROTHY PERKINS,http://assets.myntassets.com/assets/images/12126060/2020/8/6/efefa23d-01f6-4492-951c-dccef029452d1596697034088-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-1.jpg,0,0,42237120,4028,0,,[],"[{'skuId': 42237118, 'label': 'XS', 'inventory': 4, 'available': True}, {'skuId': 42237120, 'label': 'S', 'inventory': 7, 'available': True}, {'skuId': 42237122, 'label': 'M', 'inventory': 4, 'available': True}, {'skuId': 42237124, 'label': 'L', 'inventory': 9, 'available': True}, {'skuId': 42237126, 'label': 'XL', 'inventory': 5, 'available': True}, {'skuId': 42237128, 'label': 'XXL', 'inventory': 4, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/efefa23d-01f6-4492-951c-dccef029452d1596697034088-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/efefa23d-01f6-4492-951c-dccef029452d1596697034088-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/ce3c6f31-4b81-4173-9eb0-d2bf146290ae1596697033287-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/11031c52-d4f5-44fe-9945-a02f72b3f28d1596697033444-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/9c163bc1-48e6-4621-8db8-17c771d9899b1596697033159-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/9b5c6730-eb76-4c95-895f-774a5b91c7781596697033760-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/436f707a-cc90-4470-8f25-fdcd651f82741596697033612-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12126060/2020/8/6/a22fcac0-d3a2-404d-a7a5-e2fe7b7cd2d31596697033895-DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dre-2.jpg'}]",Women,Black,,,Floral Printed A-Line Dress,Dresses,3590,3590,,False,,0,,,1596672000000,Winter,2020,False,,,0,,[],www.myntra.com/Dresses/DOROTHY-PERKINS/DOROTHY-PERKINS-Women-Black--White-Floral-Printed-A-Line-Dress/12126060/buy
