,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/Mast--Harbour/Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Dyed-Casual-Shirt/1352824/buy,False,,False,1352824,Mast & Harbour Men Dusty Pink Regular Fit Dyed Casual Shirt,Mast & Harbour Men Dusty Pink Regular Fit Dyed Casual Shirt,3.866242,157,True,0,,750,Mast & Harbour,http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743718-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-1.jpg,0,0,11411496,4028,0,,[],"[{'skuId': 11411487, 'label': '38', 'inventory': 190, 'available': True}, {'skuId': 11411490, 'label': '40', 'inventory': 167, 'available': True}, {'skuId': 11411493, 'label': '42', 'inventory': 4, 'available': True}, {'skuId': 11411496, 'label': '44', 'inventory': 1, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743718-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743718-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743626-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743672-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743650-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743694-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-2.jpg'}]",Men,Pink,Flat_Search_Percent,(50% OFF),Cotton Dyed Casual Shirt,Shirts,1499,749,,True,,0,1,,1479340800000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Dyed-Casual-Shirt/1352824/buy
1,Shirts/Mast--Harbour/Mast--Harbour-Men-Red--Blue-Checked-Casual-Shirt/2042528/buy,False,,False,2042528,Mast & Harbour Men Red & Blue Checked Casual Shirt,Mast & Harbour Men Red & Blue Checked Casual Shirt,4.205937,539,True,0,,665,Mast & Harbour,http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg,0,0,13945545,4028,0,,[],"[{'skuId': 13945545, 'label': '38', 'inventory': 131, 'available': True}, {'skuId': 13945546, 'label': '40', 'inventory': 130, 'available': True}, {'skuId': 13945547, 'label': '42', 'inventory': 12, 'available': True}, {'skuId': 13945548, 'label': '44', 'inventory': 7, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316667-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316823-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316846-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316798-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-4.jpg'}]",Men,Red,Flat_Search_Percent,(35% OFF),Men Casual Shirt,Shirts,1899,1234,,False,,0,1,,1506556800000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Red--Blue-Checked-Casual-Shirt/2042528/buy
2,Shirts/WROGN/WROGN-Men-Green-Slim-Fit-Solid-Casual-Shirt/1758578/buy,False,,False,1758578,WROGN Men Green Slim Fit Solid Casual Shirt,WROGN Men Green Slim Fit Solid Casual Shirt,4.245161,155,True,0,,945,WROGN,http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg,0,0,12898798,4214,0,,[],"[{'skuId': 12898797, 'label': '39', 'inventory': 224, 'available': True}, {'skuId': 12898798, 'label': '40', 'inventory': 332, 'available': True}, {'skuId': 12898799, 'label': '42', 'inventory': 169, 'available': True}, {'skuId': 12898800, 'label': '44', 'inventory': 48, 'available': True}, {'skuId': 37062294, 'label': '46', 'inventory': 43, 'available': True}]","39,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522717-WROGN-Men-Shirts-8521494569522516-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522769-WROGN-Men-Shirts-8521494569522516-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522794-WROGN-Men-Shirts-8521494569522516-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522745-WROGN-Men-Shirts-8521494569522516-4.jpg'}]",Men,Green,Flat_Search_Percent,(45% OFF),Men Slim Fit Casual Shirt,Shirts,2099,1154,,False,,0,1,,1494460800000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/WROGN/WROGN-Men-Green-Slim-Fit-Solid-Casual-Shirt/1758578/buy
3,Shirts/HIGHLANDER/Highlander-White-Slim-Fit-Casual-Shirt/1272502/buy,False,,False,1272502,Highlander White Slim Fit Casual Shirt,Highlander White Slim Fit Casual Shirt,4.1742067,1481,True,0,,530,HIGHLANDER,http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086440-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-1.jpg,0,0,10534970,4214,0,,[],"[{'skuId': 10534970, 'label': '39', 'inventory': 552, 'available': True}, {'skuId': 10534982, 'label': '40', 'inventory': 827, 'available': True}, {'skuId': 10534973, 'label': '42', 'inventory': 526, 'available': True}, {'skuId': 10534976, 'label': '44', 'inventory': 2050, 'available': True}, {'skuId': 10534979, 'label': '46', 'inventory': 0, 'available': False}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086440-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086440-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086369-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086408-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086391-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086423-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-2.jpg'}]",Men,White,Flat_Search_Percent,(53% OFF),Slim Casual Shirt,Shirts,999,469,,True,,0,1,,1461196800000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HIGHLANDER/Highlander-White-Slim-Fit-Casual-Shirt/1272502/buy
4,Shirts/HIGHLANDER/HIGHLANDER-Men-Navy--Brown-Slim-Fit-Checked-Casual-Shirt/1979305/buy,False,,False,1979305,HIGHLANDER Men Navy & Brown Slim Fit Checked Casual Shirt,HIGHLANDER Men Navy & Brown Slim Fit Checked Casual Shirt,3.9790106,1334,True,0,,420,HIGHLANDER,http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg,0,0,13717300,4214,0,,[],"[{'skuId': 13717299, 'label': '39', 'inventory': 62, 'available': True}, {'skuId': 13717300, 'label': '40', 'inventory': 52, 'available': True}, {'skuId': 13717317, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 13717342, 'label': '44', 'inventory': 172, 'available': True}]","39,40,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438538-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438567-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438553-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438584-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(42% OFF),Men Slim Fit Casual Shirt,Shirts,999,579,,False,,0,1,,1498694400000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HIGHLANDER/HIGHLANDER-Men-Navy--Brown-Slim-Fit-Checked-Casual-Shirt/1979305/buy
5,Shirts/Roadster/Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-Casual-Shirt/2353050/buy,False,,False,2353050,Roadster Time Travlr Men Maroon & Black Regular Fit Checked Casual Shirt,Roadster Time Travlr Men Maroon & Black Regular Fit Checked Casual Shirt,4.243148,1131,True,0,,0,Roadster,http://assets.myntassets.com/assets/images/2353050/2018/12/10/46543051-9149-4f04-8860-a1ccb24e456e1544421877619-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-1.jpg,0,0,15147384,4118,0,,[],"[{'skuId': 15147383, 'label': '38', 'inventory': 802, 'available': True}, {'skuId': 15147384, 'label': '40', 'inventory': 1249, 'available': True}, {'skuId': 15147385, 'label': '42', 'inventory': 618, 'available': True}, {'skuId': 15147386, 'label': '44', 'inventory': 0, 'available': False}]","38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2353050/2018/12/10/46543051-9149-4f04-8860-a1ccb24e456e1544421877619-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2353050/2018/12/10/46543051-9149-4f04-8860-a1ccb24e456e1544421877619-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2353050/2018/12/10/220be65d-dcfa-4690-8297-622910e2f2d11544421877534-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2353050/2018/12/10/25cba2cf-471a-486c-88ad-9707b72e74301544421877575-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2353050/2018/12/10/2fc7f7c6-7023-4ff8-b0e5-bb9fb754223c1544421877597-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2353050/2018/12/10/6002d154-c87a-4582-8167-0f5c2d42a01a1544421877553-Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-C-4.jpg'}]",Men,Maroon,Get 2 items for 1246,Get 2 items for 1246,Time Travlr Regular Fit Casual Shirt,Shirts,1299,1299,,False,,0,128,,1516838400000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Time-Travlr-Men-Maroon--Black-Regular-Fit-Checked-Casual-Shirt/2353050/buy
6,Shirts/HIGHLANDER/Highlander-Black-Slim-Fit-Casual-Shirt/1265392/buy,False,,False,1265392,Highlander Black Slim Fit Casual Shirt,Highlander Black Slim Fit Casual Shirt,4.2210107,1009,True,0,,530,HIGHLANDER,http://assets.myntassets.com/assets/images/1265392/2020/1/20/12fc0ced-84b7-4933-8cbc-5a7832c7686e1579504849580-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-1.jpg,0,0,10442714,4214,0,,[],"[{'skuId': 10442717, 'label': '39', 'inventory': 55, 'available': True}, {'skuId': 10442714, 'label': '40', 'inventory': 256, 'available': True}, {'skuId': 10442711, 'label': '42', 'inventory': 64, 'available': True}, {'skuId': 10442720, 'label': '44', 'inventory': 688, 'available': True}, {'skuId': 10442723, 'label': '46', 'inventory': 0, 'available': False}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1265392/2020/1/20/12fc0ced-84b7-4933-8cbc-5a7832c7686e1579504849580-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1265392/2020/1/20/12fc0ced-84b7-4933-8cbc-5a7832c7686e1579504849580-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1265392/2020/1/20/f14323d2-4084-456c-969d-d9680b37317c1579504849425-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1265392/2020/1/20/cad29591-a179-4e5a-a6c3-3705565043ae1579504849501-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1265392/2020/1/20/5bada7f2-6a35-4a72-a298-53170a30892b1579504849463-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1265392/2020/1/20/da2cd51d-52c1-4f6c-a193-1f088df00cb01579504849544-Highlander-Black-Slim-Fit-Casual-Shirt-2521579504847937-2.jpg'}]",Men,Black,Flat_Search_Percent,(53% OFF),Slim Fit Casual Shirt,Shirts,999,469,,False,,0,1,,1459382400000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HIGHLANDER/Highlander-Black-Slim-Fit-Casual-Shirt/1265392/buy
7,Shirts/Mast--Harbour/Mast--Harbour-Men-Pink-Slim-Fit-Solid-Casual-Shirt/2389862/buy,False,,False,2389862,Mast & Harbour Men Pink Slim Fit Solid Casual Shirt,Mast & Harbour Men Pink Slim Fit Solid Casual Shirt,3.9876542,81,True,0,,950,Mast & Harbour,http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287746-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-1.jpg,0,0,15294152,4028,0,,[],"[{'skuId': 15294152, 'label': '38', 'inventory': 177, 'available': True}, {'skuId': 15294153, 'label': '40', 'inventory': 211, 'available': True}, {'skuId': 15294154, 'label': '42', 'inventory': 131, 'available': True}, {'skuId': 15294155, 'label': '44', 'inventory': 59, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287746-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287746-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287663-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287710-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287732-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2389862/2018/4/19/11524137287684-Mast--Harbour-Men-Pink-Regular-Fit-Solid-Casual-Shirt-1991524137287562-4.jpg'}]",Men,Pink,Flat_Search_Percent,(50% OFF),Men Slim Fit Casual Shirt,Shirts,1899,949,,False,,0,1,,1524096000000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Pink-Slim-Fit-Solid-Casual-Shirt/2389862/buy
8,Shirts/Roadster/Roadster-Men-Blue-Regular-Fit-Faded-Casual-Denim-Shirt/1353004/buy,False,,False,1353004,Roadster Men Blue Regular Fit Faded Casual Denim Shirt,Roadster Men Blue Regular Fit Faded Casual Denim Shirt,4.1600494,806,True,0,,675,Roadster,http://assets.myntassets.com/assets/images/1353004/2018/9/18/a8acac3a-077a-400f-a1c7-519215a5265e1537251707732-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-1.jpg,0,0,11413866,4118,0,,[],"[{'skuId': 11413860, 'label': '38', 'inventory': 15, 'available': True}, {'skuId': 11413863, 'label': '40', 'inventory': 63, 'available': True}, {'skuId': 11413866, 'label': '42', 'inventory': 19, 'available': True}, {'skuId': 11413869, 'label': '44', 'inventory': 56, 'available': True}, {'skuId': 40259664, 'label': '46', 'inventory': 1, 'available': True}, {'skuId': 40259666, 'label': '48', 'inventory': 0, 'available': False}]","38,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/a8acac3a-077a-400f-a1c7-519215a5265e1537251707732-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/a8acac3a-077a-400f-a1c7-519215a5265e1537251707732-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/744050c0-c7c2-4c4c-930b-cca88ebb26261537251707546-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/046494d5-ffc9-44aa-8be5-1888422e6cec1537251707652-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/7346f923-527a-4c29-9468-7f02e2f8332f1537251707694-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/a244d74f-063b-4c7d-953e-5b7b3e4c28571537251707589-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-4.jpg'}]",Men,Blue,Flat_Search_Percent,(45% OFF),Regular Fit Casual Denim Shirt,Shirts,1499,824,,False,,0,1,,1472688000000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Blue-Regular-Fit-Faded-Casual-Denim-Shirt/1353004/buy
9,Shirts/HERENOW/HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt/2414313/buy,False,,False,2414313,HERE&NOW Men Red & Black Regular Fit Checked Casual Shirt,HERE&NOW Men Red & Black Regular Fit Checked Casual Shirt,4.1714287,840,True,0,,630,HERE&NOW,http://assets.myntassets.com/assets/images/2414313/2018/3/13/11520926368526-HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt-8881520926368447-1.jpg,0,0,15390938,4027,0,,[],"[{'skuId': 15390937, 'label': '38', 'inventory': 313, 'available': True}, {'skuId': 15390938, 'label': '40', 'inventory': 436, 'available': True}, {'skuId': 15390939, 'label': '42', 'inventory': 259, 'available': True}, {'skuId': 15390940, 'label': '44', 'inventory': 130, 'available': True}, {'skuId': 15390941, 'label': '46', 'inventory': 370, 'available': True}]","38,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2414313/2018/3/13/11520926368526-HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt-8881520926368447-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2414313/2018/3/13/11520926368526-HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt-8881520926368447-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2414313/2018/3/13/11520926368495-HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt-8881520926368447-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2414313/2018/3/13/11520926368483-HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt-8881520926368447-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2414313/2018/3/13/11520926368507-HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt-8881520926368447-2.jpg'}]",Men,Red,Flat_Search_Percent,(45% OFF),Men Regular Fit Casual Shirt,Shirts,1399,769,,False,,0,1,,1520467200000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HERENOW/HERENOW-Men-Red--Black-Regular-Fit-Checked-Casual-Shirt/2414313/buy
