,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/Roadster/Roadster-Men-Navy-Blue-Striped-Round-Neck-T-shirt/1673725/buy,False,,False,1673725,Roadster Men Navy Blue Striped Round Neck T-shirt,Roadster Men Navy Blue Striped Round Neck T-shirt,4.1334825,2682,True,0,,0,Roadster,http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944851-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-1.jpg,0,0,12587601,4118,0,,[],"[{'skuId': 12587598, 'label': 'S', 'inventory': 764, 'available': True}, {'skuId': 12587599, 'label': 'M', 'inventory': 520, 'available': True}, {'skuId': 12587600, 'label': 'L', 'inventory': 147, 'available': True}, {'skuId': 12587601, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944851-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944851-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944736-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944794-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944762-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944815-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-2.jpg'}]",Men,Navy Blue,Get 2 items for 646,Get 2 items for 646,Striped Round Neck Navy Blue T-shirt,Tshirts,699,699,,False,,0,128,,1487203200000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-Navy-Blue-Striped-Round-Neck-T-shirt/1673725/buy
1,Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt/1700944/buy,False,,False,1700944,HRX by Hrithik Roshan Men Yellow Printed Round Neck T-Shirt,HRX by Hrithik Roshan Men Yellow Printed Round Neck T-Shirt,4.2293806,5262,True,0,,280,HRX by Hrithik Roshan,http://assets.myntassets.com/assets/images/1700944/2019/6/8/972c9498-3a37-4d5d-976c-4493b4d5c0021559989322793-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg,0,0,12682520,4027,0,,[],"[{'skuId': 12682514, 'label': 'S', 'inventory': 686, 'available': True}, {'skuId': 12682516, 'label': 'M', 'inventory': 1251, 'available': True}, {'skuId': 12682518, 'label': 'L', 'inventory': 889, 'available': True}, {'skuId': 12682520, 'label': 'XL', 'inventory': 501, 'available': True}, {'skuId': 12682521, 'label': 'XXL', 'inventory': 3, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/972c9498-3a37-4d5d-976c-4493b4d5c0021559989322793-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/972c9498-3a37-4d5d-976c-4493b4d5c0021559989322793-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/6afd4244-8211-4d49-b708-1e92ff0d1bf11559989322708-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/ec064f55-1640-4bdb-92f2-b1b22cb190391559989322722-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/20153ade-f325-4613-a851-f79f8dc00c571559989322759-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/c3d336e4-8c86-4434-94b2-c9b28b6dd6471559989322777-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/67f8fc06-3131-4ae9-a869-2b485f0aca3c1559989322742-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--4.jpg'}]",Men,Yellow,Flat_Search_Percent,(40% OFF),Printed Round Neck T-Shirt,Tshirts,699,419,,True,,0,1,,1488412800000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt/1700944/buy
2,Tshirts/HERENOW/HERENOW-Men-Teal-Blue-Printed-Round-Neck-T-shirt/5508761/buy,False,,False,5508761,HERE&NOW Men Teal Blue Printed Round Neck T-shirt,HERE&NOW Men Teal Blue Printed Round Neck T-shirt,4.2003284,609,True,0,,320,HERE&NOW,http://assets.myntassets.com/assets/images/5508761/2018/4/30/11525068766496-HERENOW-Men-Teal-Printed-Round-Neck-T-shirt-2021525068766307-1.jpg,0,0,26479024,4027,0,,[],"[{'skuId': 26479024, 'label': 'S', 'inventory': 503, 'available': True}, {'skuId': 26479025, 'label': 'M', 'inventory': 427, 'available': True}, {'skuId': 26479026, 'label': 'L', 'inventory': 251, 'available': True}, {'skuId': 26479027, 'label': 'XL', 'inventory': 72, 'available': True}, {'skuId': 26479029, 'label': 'XXL', 'inventory': 35, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/5508761/2018/4/30/11525068766496-HERENOW-Men-Teal-Printed-Round-Neck-T-shirt-2021525068766307-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/5508761/2018/4/30/11525068766496-HERENOW-Men-Teal-Printed-Round-Neck-T-shirt-2021525068766307-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/5508761/2018/4/30/11525068766452-HERENOW-Men-Teal-Printed-Round-Neck-T-shirt-2021525068766307-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/5508761/2018/4/30/11525068766482-HERENOW-Men-Teal-Printed-Round-Neck-T-shirt-2021525068766307-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/5508761/2018/4/30/11525068766440-HERENOW-Men-Teal-Printed-Round-Neck-T-shirt-2021525068766307-4.jpg'}]",Men,Teal,Flat_Search_Percent,(40% OFF),Printed Round Neck T-shirt,Tshirts,799,479,,False,,0,1,,1524700800000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/HERENOW/HERENOW-Men-Teal-Blue-Printed-Round-Neck-T-shirt/5508761/buy
3,Tshirts/HM/-HM-Men-Black-Solid-Cotton-T-shirt/12125410/buy,False,,False,12125410,H&M Men Black Solid Cotton T-shirt,H&M Men Black Solid Cotton T-shirt,4.230769,26,True,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/7/22/8aa93d6d-77a2-40ff-8f65-36e6109188601595367882266-1.jpg,0,0,42234346,6771,0,,[],"[{'skuId': 42234346, 'label': 'XS', 'inventory': 249, 'available': True}, {'skuId': 42234348, 'label': 'S', 'inventory': 408, 'available': True}, {'skuId': 42234342, 'label': 'M', 'inventory': 480, 'available': True}, {'skuId': 42234350, 'label': 'L', 'inventory': 72, 'available': True}, {'skuId': 42234344, 'label': 'XL', 'inventory': 98, 'available': True}, {'skuId': 42234352, 'label': 'XXL', 'inventory': 5, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/8aa93d6d-77a2-40ff-8f65-36e6109188601595367882266-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/8aa93d6d-77a2-40ff-8f65-36e6109188601595367882266-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/a17f8e4f-2ddc-4e8d-81a9-94bf536723de1595367882377-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/4f797739-393a-480e-a17e-7ef729b448151595367882418-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/22/52077a58-caf2-4622-95e2-0107d1750e5f1595367882320-2.jpg'}]",Men,Black,,,Men Solid Cotton T-shirt,Tshirts,399,399,,False,,0,,,1595462400000,Winter,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Tshirts/HM/-HM-Men-Black-Solid-Cotton-T-shirt/12125410/buy
4,Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Pink-Solid-Polo-Collar-Slim-Fit-T-shirt/2471500/buy,False,,False,2471500,FIDO DIDO Men Pink Solid Polo Collar Slim Fit T-shirt,FIDO DIDO Men Pink Solid Polo Collar Slim Fit T-shirt,4.1082416,1820,True,0,,812,FIDO DIDO,http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg,0,0,15617365,7004,0,,[],"[{'skuId': 15617365, 'label': 'S', 'inventory': 93, 'available': True}, {'skuId': 15617367, 'label': 'M', 'inventory': 154, 'available': True}, {'skuId': 15617369, 'label': 'L', 'inventory': 147, 'available': True}, {'skuId': 15617376, 'label': 'XL', 'inventory': 355, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159757971-FIDO-DIDO-Men-Tshirts-9591518159757862-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758019-FIDO-DIDO-Men-Tshirts-9591518159757862-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159757994-FIDO-DIDO-Men-Tshirts-9591518159757862-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758046-FIDO-DIDO-Men-Tshirts-9591518159757862-2.jpg'}]",Men,Pink,Flat_Search_Percent,(56% OFF),Solid Polo Collar T-shirt,Tshirts,1449,637,,False,,0,1,,1518048000000,Summer,2017,False,,,0,,[],www.myntra.com/Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Pink-Solid-Polo-Collar-Slim-Fit-T-shirt/2471500/buy
5,Tshirts/Roadster/Roadster-Men-White-Brush-Printed-Round-Neck-T-shirt/1824369/buy,False,,False,1824369,Roadster Men White Brush Printed Round Neck T-shirt,Roadster Men White Brush Printed Round Neck T-shirt,4.196344,2735,True,0,,0,Roadster,http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166188-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-1.jpg,0,0,13138627,4118,0,,[],"[{'skuId': 13138625, 'label': 'S', 'inventory': 70, 'available': True}, {'skuId': 13138626, 'label': 'M', 'inventory': 218, 'available': True}, {'skuId': 13138627, 'label': 'L', 'inventory': 303, 'available': True}, {'skuId': 13138628, 'label': 'XL', 'inventory': 654, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166188-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166188-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166120-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166159-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166143-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1824369/2017/5/5/11493980166174-Roadster-Men-White-Printed-Round-Neck-T-shirt-4411493980165893-2.jpg'}]",Men,White,Get 2 items for 646,Get 2 items for 646,Brush Printed T-shirt,Tshirts,699,699,,False,,0,128,,1493856000000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-White-Brush-Printed-Round-Neck-T-shirt/1824369/buy
6,Tshirts/DILLINGER/DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt/7228316/buy,False,,False,7228316,DILLINGER Men Navy Blue Colourblocked Round Neck T-shirt,DILLINGER Men Navy Blue Colourblocked Round Neck T-shirt,4.1928935,2167,True,0,,450,DILLINGER,http://assets.myntassets.com/assets/images/7228316/2019/1/30/4d826b89-0119-4c89-8861-4a8cea8ed0691548844555754-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-1.jpg,0,0,31434102,706,0,,[],"[{'skuId': 31434100, 'label': 'S', 'inventory': 90, 'available': True}, {'skuId': 31434102, 'label': 'M', 'inventory': 158, 'available': True}, {'skuId': 31434103, 'label': 'L', 'inventory': 116, 'available': True}, {'skuId': 31434104, 'label': 'XL', 'inventory': 103, 'available': True}, {'skuId': 31434105, 'label': 'XXL', 'inventory': 127, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7228316/2019/1/30/4d826b89-0119-4c89-8861-4a8cea8ed0691548844555754-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7228316/2019/1/30/4d826b89-0119-4c89-8861-4a8cea8ed0691548844555754-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7228316/2019/1/30/fb4d19f3-85e1-45aa-a5d2-15658bb6a09a1548844555680-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7228316/2019/1/30/73a50a34-d4bf-43ce-951f-d876587ca0431548844555720-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7228316/2019/1/30/45d903f6-4214-48df-85a9-b2eaf2eaba6c1548844555702-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7228316/2019/1/30/a9ad7508-ade4-43fb-9308-93423508d4f51548844555738-DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt-161-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(50% OFF),Colourblocked Round Neck Navy Blue T-shirt,Tshirts,899,449,,False,,0,1,,1534982400000,Summer,2018,False,,,0,,[],www.myntra.com/Tshirts/DILLINGER/DILLINGER-Men-Navy-Blue-Colourblocked-Round-Neck-T-shirt/7228316/buy
7,Tshirts/Roadster/Roadster-Men-Pack-Of-6-White-Printed-Round-Neck-T-shirt/11609452/buy,False,,False,11609452,Roadster Men Pack Of 6 White Printed Round Neck T-shirt,Roadster Men Pack Of 6 White Printed Round Neck T-shirt,3.764706,17,True,0,,1500,Roadster,http://assets.myntassets.com/assets/images/11609452/2020/6/15/0f4eb28a-0396-4028-8137-960ee9596ee01592240467286-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-1.jpg,0,0,40344608,4118,0,,[],"[{'skuId': 40344606, 'label': 'S', 'inventory': 34, 'available': True}, {'skuId': 40344608, 'label': 'M', 'inventory': 86, 'available': True}, {'skuId': 40344610, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 40344614, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/0f4eb28a-0396-4028-8137-960ee9596ee01592240467286-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/0f4eb28a-0396-4028-8137-960ee9596ee01592240467286-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/05600094-f47d-4cbb-b26b-fd765a6ddaf51592240466818-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/782f1084-6f72-4330-81f9-97eb0c35f77b1592240466921-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/ef9ece58-3cee-4e7a-ad9f-3d47ce17bf091592240466729-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'image13', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/59cfacf0-611c-489d-8a58-80a02e1a05671592240466428-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-13.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/870aa3c7-235e-453a-b97a-c37af10a48861592240467136-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-3.jpg'}, {'view': 'image12', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/f0be732b-23d2-43d0-8b38-89c7cfb32bc41592240466499-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-12.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/9a88f62d-f548-4ab4-b461-3e62fe3d382c1592240467033-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/150ff087-fd48-40e1-b52e-897870106b3f1592240467208-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-2.jpg'}, {'view': 'image11', 'src': 'http://assets.myntassets.com/assets/images/11609452/2020/6/15/a88e46cc-25ae-4c15-9dac-2f76e8bb83031592240466630-Roadster-Men-White-Printed-Round-Neck-T-shirt-60215922404649-11.jpg'}]",Men,White,Flat_Search_Percent,(50% OFF),Pack Of 6 Round Neck T-shirt,Tshirts,2999,1499,,False,,0,1,,1591833600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-Pack-Of-6-White-Printed-Round-Neck-T-shirt/11609452/buy
8,Tshirts/Roadster/Roadster-Grey-Flock-Print-T-shirt-with-Suede-Shoulder-Patch/1301358/buy,False,,False,1301358,Roadster Grey Flock Print T-shirt with Suede Shoulder Patch,Roadster Grey Flock Print T-shirt with Suede Shoulder Patch,4.3704867,1911,True,0,,240,Roadster,http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524889-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-1.jpg,0,0,10856909,4118,0,,[],"[{'skuId': 10856903, 'label': 'S', 'inventory': 33, 'available': True}, {'skuId': 10856906, 'label': 'M', 'inventory': 32, 'available': True}, {'skuId': 10856909, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 10856912, 'label': 'XL', 'inventory': 36, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524889-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524889-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524783-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524841-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524866-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524812-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-4.jpg'}]",Men,Grey,Flat_Search_Percent,(30% OFF),T-shirt with Shoulder Patch,Tshirts,799,559,,False,,0,1,,1473897600000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Grey-Flock-Print-T-shirt-with-Suede-Shoulder-Patch/1301358/buy
9,Tshirts/Roadster/Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt/11744680/buy,False,,False,11744680,Roadster Men Charcoal Grey & Black Printed Round Neck T-shirt,Roadster Men Charcoal Grey & Black Printed Round Neck T-shirt,4.3686132,274,True,0,,300,Roadster,http://assets.myntassets.com/assets/images/11744680/2020/6/8/fd9c1a0e-a0ff-4a8f-be0e-0a6bdaf64fb31591591891271-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-1.jpg,0,0,40864416,4118,0,,[],"[{'skuId': 40864410, 'label': 'S', 'inventory': 2, 'available': True}, {'skuId': 40864414, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 40864416, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 40864418, 'label': 'XL', 'inventory': 1, 'available': True}]","S,M,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/fd9c1a0e-a0ff-4a8f-be0e-0a6bdaf64fb31591591891271-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/fd9c1a0e-a0ff-4a8f-be0e-0a6bdaf64fb31591591891271-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/5dd4a4a8-d70a-488e-9655-12a629ca62131591591890971-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/24e308ad-346e-4315-86e8-32139186035c1591591891139-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/f5de0819-1e58-46aa-949a-3cfa7496918a1591591891067-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/3a817001-aebb-4f66-ac53-28f5787a8b7a1591591891200-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-2.jpg'}]",Men,Charcoal,Flat_Search_Percent,(30% OFF),Printed Round Neck T-shirt,Tshirts,999,699,,False,,0,1,,1591833600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt/11744680/buy
