,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/Libas/Libas-Women-Black--Golden-Block-Print-Maxi-Dress/7719007/buy,False,,False,7719007,Libas Women Black & Golden Block Print Maxi Dress,Libas Women Black & Golden Block Print Maxi Dress,4.2911086,1642,True,0,,832,Libas,http://assets.myntassets.com/assets/images/7719007/2018/11/19/1cac68d7-2389-48c8-b6d0-0a16c7d4236b1542608837264-Libas-Women-Dresses-9261542608836986-1.jpg,0,0,32232171,6398,0,,[],"[{'skuId': 32232119, 'label': 'XS', 'inventory': 188, 'available': True}, {'skuId': 32232125, 'label': 'S', 'inventory': 271, 'available': True}, {'skuId': 32232138, 'label': 'M', 'inventory': 184, 'available': True}, {'skuId': 32232149, 'label': 'L', 'inventory': 197, 'available': True}, {'skuId': 32232159, 'label': 'XL', 'inventory': 308, 'available': True}, {'skuId': 32232171, 'label': 'XXL', 'inventory': 193, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7719007/2018/11/19/1cac68d7-2389-48c8-b6d0-0a16c7d4236b1542608837264-Libas-Women-Dresses-9261542608836986-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7719007/2018/11/19/1cac68d7-2389-48c8-b6d0-0a16c7d4236b1542608837264-Libas-Women-Dresses-9261542608836986-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7719007/2018/11/19/8b1c9e53-3dda-46c1-a454-994f2340c2e91542608837278-Libas-Women-Dresses-9261542608836986-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7719007/2018/11/19/3a8bc1fa-133b-49c3-901a-42d2e57086371542608837228-Libas-Women-Dresses-9261542608836986-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7719007/2018/11/19/5e4d68ce-575c-4a07-b0f9-2992539c710a1542608837215-Libas-Women-Dresses-9261542608836986-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7719007/2018/11/19/8434f694-ac26-4143-b404-f2cc6c2ada441542608837248-Libas-Women-Dresses-9261542608836986-2.jpg'}]",Women,Black,Flat_Search_Percent,(52% OFF),Women Block Print Maxi Dress,Dresses,1599,767,,False,,0,1,,1542240000000,Winter,2018,False,,,0,,[],www.myntra.com/Dresses/Libas/Libas-Women-Black--Golden-Block-Print-Maxi-Dress/7719007/buy
1,Dresses/Vishudh/Vishudh-Women-Black-Printed-Maxi-Dress/8085085/buy,False,,False,8085085,Vishudh Women Black Printed Maxi Dress,Vishudh Women Black Printed Maxi Dress,4.1457286,597,True,0,,1291,Vishudh,http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg,0,0,32605663,4214,0,,[],"[{'skuId': 32605655, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 32605663, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 32605664, 'label': 'L', 'inventory': 17, 'available': True}, {'skuId': 32605666, 'label': 'XL', 'inventory': 23, 'available': True}, {'skuId': 32605668, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/60c1a18c-7bd9-4091-bd8b-14b425f5ab291543921329376-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/6e58a033-0a8c-4dd9-bc20-136bb9c04d5e1543921329324-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/ee94d319-f55b-4e21-8375-3c9c11b8fc0a1543921329304-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/829fa00d-5bb1-4ce6-a642-b6766576fd301543921329354-4.jpg'}]",Women,Black,Flat_Search_Percent,(63% OFF),Women Printed Maxi Dress,Dresses,2049,758,,False,,0,1,,1543449600000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Black-Printed-Maxi-Dress/8085085/buy
2,Dresses/W/W-Women-Maroon--Golden-Embroidered-A-Line-Dress/10207461/buy,False,23:pla_1596777589296,True,10207461,W Women Maroon & Golden Embroidered A-Line Dress,W Women Maroon & Golden Embroidered A-Line Dress,3.9827585,58,True,0,,2800,W,http://assets.myntassets.com/assets/images/10207461/2019/11/18/a08e01c3-cfcc-4802-8d45-d128187b70be1574078516717-W-Women-Dresses-8581574078515263-1.jpg,0,0,34971621,4216,0,,[],"[{'skuId': 34971612, 'label': 'XS', 'inventory': 13, 'available': True}, {'skuId': 34971613, 'label': 'S', 'inventory': 96, 'available': True}, {'skuId': 34971614, 'label': 'M', 'inventory': 149, 'available': True}, {'skuId': 34971615, 'label': 'L', 'inventory': 8, 'available': True}, {'skuId': 34971617, 'label': 'XL', 'inventory': 79, 'available': True}, {'skuId': 34971619, 'label': 'XXL', 'inventory': 43, 'available': True}, {'skuId': 34971621, 'label': '3XL', 'inventory': 47, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/a08e01c3-cfcc-4802-8d45-d128187b70be1574078516717-W-Women-Dresses-8581574078515263-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/a08e01c3-cfcc-4802-8d45-d128187b70be1574078516717-W-Women-Dresses-8581574078515263-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/51638fcf-2396-43ee-a1ab-9cda703ba4821574078516348-W-Women-Dresses-8581574078515263-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/02e087c3-f2e5-484f-9c1e-0b8f43db55151574078516402-W-Women-Dresses-8581574078515263-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/dbe848ef-67ab-4f1c-af00-8034414269a91574078516551-W-Women-Dresses-8581574078515263-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/d7bba07e-ad7d-4867-b9ab-051b2964b3cb1574078516638-W-Women-Dresses-8581574078515263-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/ffbb8333-2af3-4475-aa99-1e203b8831af1574078516466-W-Women-Dresses-8581574078515263-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(40% OFF),Women Embroidered A-Line Dress,Dresses,6999,4199,,False,,0,1,,1573689600000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/W/W-Women-Maroon--Golden-Embroidered-A-Line-Dress/10207461/buy
3,Dresses/W/W-Women-Green--Peach-Coloured-Printed-Maxi-Dress/10207393/buy,False,23:pla_1596956284643,True,10207393,W Women Green & Peach-Coloured Printed Maxi Dress,W Women Green & Peach-Coloured Printed Maxi Dress,4.464286,56,True,0,,1800,W,http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg,0,0,34971483,4216,0,,[],"[{'skuId': 34971481, 'label': 'XS', 'inventory': 78, 'available': True}, {'skuId': 34971482, 'label': 'S', 'inventory': 72, 'available': True}, {'skuId': 34971483, 'label': 'M', 'inventory': 116, 'available': True}, {'skuId': 34971484, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 34971485, 'label': 'XL', 'inventory': 86, 'available': True}, {'skuId': 34971486, 'label': 'XXL', 'inventory': 26, 'available': True}, {'skuId': 34971487, 'label': '3XL', 'inventory': 3, 'available': True}]","XS,S,M,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/ae4a15ac-71bf-4a3c-9ab2-e8b82427bfb51574081689668-W-Women-Dresses-8151574081687164-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f3c0cf41-014e-425d-95b5-8686ccb031ac1574081689723-W-Women-Dresses-8151574081687164-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/071e0eaf-ea9e-4e27-9b9a-e2c4eedf12811574081689842-W-Women-Dresses-8151574081687164-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/a8585e13-b84f-49a5-b593-9271dbf4eeb81574081689900-W-Women-Dresses-8151574081687164-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/9cf02b3f-b08f-4456-b6dc-6bd696e900161574081689784-W-Women-Dresses-8151574081687164-4.jpg'}]",Women,Green,Flat_Search_Percent,(45% OFF),Women Printed Maxi Dress,Dresses,3999,2199,,False,,0,1,,1573689600000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/W/W-Women-Green--Peach-Coloured-Printed-Maxi-Dress/10207393/buy
4,Dresses/GERUA/GERUA-Women-Pink-Quirky-Print-Midi-A-Line-Dress/10178869/buy,False,,False,10178869,GERUA Women Pink Quirky Print Midi A-Line Dress,GERUA Women Pink Quirky Print Midi A-Line Dress,4.33935,277,True,0,,1240,GERUA,http://assets.myntassets.com/assets/images/10178869/2019/7/8/d4ed7f9d-1010-4b53-abd4-e50c7d6e2ccd1562578658164-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-1.jpg,0,0,34930909,3422,0,,[],"[{'skuId': 34930907, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 34930909, 'label': 'S', 'inventory': 86, 'available': True}, {'skuId': 34930912, 'label': 'M', 'inventory': 334, 'available': True}, {'skuId': 34930914, 'label': 'L', 'inventory': 255, 'available': True}, {'skuId': 34930917, 'label': 'XL', 'inventory': 353, 'available': True}, {'skuId': 34930918, 'label': 'XXL', 'inventory': 172, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10178869/2019/7/8/d4ed7f9d-1010-4b53-abd4-e50c7d6e2ccd1562578658164-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10178869/2019/7/8/d4ed7f9d-1010-4b53-abd4-e50c7d6e2ccd1562578658164-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10178869/2019/7/8/30aedbb9-9eb1-4971-99c9-ead64c8c10b11562578658066-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10178869/2019/7/8/af089cfe-6223-45c5-9645-119da075b1481562578658116-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10178869/2019/7/8/bdeb6b0a-5904-47ba-9ee8-52672a1e6ebe1562578658090-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10178869/2019/7/8/59185584-66fe-42e3-ac68-7aaf049894951562578658140-GERUA-Women-Pink--Maroon-A-Line-Dress-8821562578656729-2.jpg'}]",Women,Pink,Flat_Search_Percent,(62% OFF),Quirky Print Midi A-Line Dress,Dresses,1999,759,,False,,0,1,,1562198400000,Winter,2019,False,,,0,,[],www.myntra.com/Dresses/GERUA/GERUA-Women-Pink-Quirky-Print-Midi-A-Line-Dress/10178869/buy
5,Dresses/Anouk/Anouk-Women-Navy--White-Printed-Kurta-Dress/1786192/buy,False,,False,1786192,Anouk Women Navy & White Printed Kurta Dress,Anouk Women Navy & White Printed Kurta Dress,3.71063,508,True,0,,0,Anouk,http://assets.myntassets.com/assets/images/1786192/2019/10/1/d72078d0-168e-4c8b-85a2-0cd2c4a858711569924799182-Anouk-Women-Navy--White-Printed-Kurta-Dress-5351569924798010-1.jpg,0,0,12999871,4216,0,,[],"[{'skuId': 12999871, 'label': 'XS', 'inventory': 116, 'available': True}, {'skuId': 12999872, 'label': 'S', 'inventory': 404, 'available': True}, {'skuId': 12999873, 'label': 'M', 'inventory': 151, 'available': True}, {'skuId': 12999874, 'label': 'L', 'inventory': 164, 'available': True}, {'skuId': 12999875, 'label': 'XL', 'inventory': 90, 'available': True}, {'skuId': 12999876, 'label': 'XXL', 'inventory': 59, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1786192/2019/10/1/d72078d0-168e-4c8b-85a2-0cd2c4a858711569924799182-Anouk-Women-Navy--White-Printed-Kurta-Dress-5351569924798010-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1786192/2019/10/1/d72078d0-168e-4c8b-85a2-0cd2c4a858711569924799182-Anouk-Women-Navy--White-Printed-Kurta-Dress-5351569924798010-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1786192/2019/10/1/3cf4e51a-b109-40f3-8fc7-ba9d92fde1a51569924799123-Anouk-Women-Navy--White-Printed-Kurta-Dress-5351569924798010-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1786192/2019/10/1/1a24d356-8066-4021-9c50-5b3f8748f95b1569924799149-Anouk-Women-Navy--White-Printed-Kurta-Dress-5351569924798010-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1786192/2019/10/1/6505f7a2-43f5-4a8b-ad19-00f329e1efb01569924799097-Anouk-Women-Navy--White-Printed-Kurta-Dress-5351569924798010-4.jpg'}]",Women,Navy Blue,Get 2 items for 1046,Get 2 items for 1046,Printed Kurta Dress,Dresses,999,999,,False,,0,128,,1501718400000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Navy--White-Printed-Kurta-Dress/1786192/buy
6,Dresses/Vishudh/Vishudh-Women-Green-Solid-Layered-Maxi-Dress-with-Front-Open-Jacket/7427271/buy,False,,False,7427271,Vishudh Women Green Solid Layered Maxi Dress with Front Open Jacket,Vishudh Women Green Solid Layered Maxi Dress with Front Open Jacket,4.3157897,209,True,0,,2677,Vishudh,http://assets.myntassets.com/assets/images/7427271/2018/9/18/c9d13aeb-bdf8-4e81-8c85-ae6ebbcb1e8a1537255713136-Vishudh-Women-Dresses-411537255712888-1.jpg,0,0,31735698,4214,0,,[],"[{'skuId': 31735698, 'label': 'S', 'inventory': 84, 'available': True}, {'skuId': 31735700, 'label': 'M', 'inventory': 170, 'available': True}, {'skuId': 31735701, 'label': 'L', 'inventory': 101, 'available': True}, {'skuId': 31735702, 'label': 'XL', 'inventory': 93, 'available': True}, {'skuId': 31735704, 'label': 'XXL', 'inventory': 32, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/c9d13aeb-bdf8-4e81-8c85-ae6ebbcb1e8a1537255713136-Vishudh-Women-Dresses-411537255712888-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/c9d13aeb-bdf8-4e81-8c85-ae6ebbcb1e8a1537255713136-Vishudh-Women-Dresses-411537255712888-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/b1e0a537-98c7-4ca9-9c3b-685c957bf94a1537255713000-Vishudh-Women-Dresses-411537255712888-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/e513180b-6efc-4874-bd3d-df715df30d1d1537255713074-Vishudh-Women-Dresses-411537255712888-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/2ba190a5-22b5-43ad-848d-bc5c72cf93a11537255713103-Vishudh-Women-Dresses-411537255712888-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/49f188b0-6d61-4e18-9bbb-c128e952357c1537255713046-Vishudh-Women-Dresses-411537255712888-4.jpg'}]",Women,Green,Flat_Search_Percent,(63% OFF),Dress with Front Open Jacket,Dresses,4249,1572,,False,,0,1,,1536796800000,Winter,2018,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Green-Solid-Layered-Maxi-Dress-with-Front-Open-Jacket/7427271/buy
7,Dresses/Vishudh/Vishudh-Women-Gold-Toned-Solid-Maxi-Dress-with-Dupatta/7572950/buy,False,,False,7572950,Vishudh Women Gold-Toned Solid Maxi Dress with Dupatta,Vishudh Women Gold-Toned Solid Maxi Dress with Dupatta,4.1489363,141,True,0,,2145,Vishudh,http://assets.myntassets.com/assets/images/7572950/2018/10/17/24e95041-98ff-4a51-9842-fc824fa576031539757300374-Vishudh-Women-Dresses-2861539757298481-1.jpg,0,0,31981651,4214,0,,[],"[{'skuId': 31981640, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 31981647, 'label': 'M', 'inventory': 88, 'available': True}, {'skuId': 31981649, 'label': 'L', 'inventory': 68, 'available': True}, {'skuId': 31981651, 'label': 'XL', 'inventory': 28, 'available': True}, {'skuId': 31981653, 'label': 'XXL', 'inventory': 19, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/24e95041-98ff-4a51-9842-fc824fa576031539757300374-Vishudh-Women-Dresses-2861539757298481-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/24e95041-98ff-4a51-9842-fc824fa576031539757300374-Vishudh-Women-Dresses-2861539757298481-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/d328419a-ea61-473b-8d4c-d400080dbd891539757300293-Vishudh-Women-Dresses-2861539757298481-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/0533a2d3-37c8-4b3e-adf3-775f01bc55e61539757300306-Vishudh-Women-Dresses-2861539757298481-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/915717d6-b736-423b-97a9-f815307ef5b91539757300343-Vishudh-Women-Dresses-2861539757298481-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/00fd682f-ae34-46a8-8d98-c82329f0e0621539757300324-Vishudh-Women-Dresses-2861539757298481-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7572950/2018/10/17/a2981600-b97c-4a32-b7c3-12d4b1cb67ce1539757300357-Vishudh-Women-Dresses-2861539757298481-2.jpg'}]",Women,Gold,Flat_Search_Percent,(55% OFF),Women Solid Maxi Dress,Dresses,3899,1754,,False,,0,1,,1539216000000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Gold-Toned-Solid-Maxi-Dress-with-Dupatta/7572950/buy
8,Dresses/W/W-Women-Pink-Printed-Maxi-Dress/10207317/buy,False,23:pla_1596956284643,True,10207317,W Women Pink Printed Maxi Dress,W Women Pink Printed Maxi Dress,3.7857144,28,True,0,,3500,W,http://assets.myntassets.com/assets/images/10207317/2019/12/13/be830d51-203b-4ea6-9390-c4cd95fe2b181576225572070-W-Women-Dresses-1771576225569547-1.jpg,0,0,34971346,33,0,,[],"[{'skuId': 34971343, 'label': 'XS', 'inventory': 19, 'available': True}, {'skuId': 34971344, 'label': 'S', 'inventory': 3, 'available': True}, {'skuId': 34971345, 'label': 'M', 'inventory': 5, 'available': True}, {'skuId': 34971346, 'label': 'L', 'inventory': 5, 'available': True}, {'skuId': 34971347, 'label': 'XL', 'inventory': 13, 'available': True}, {'skuId': 34971348, 'label': 'XXL', 'inventory': 16, 'available': True}, {'skuId': 34971349, 'label': '3XL', 'inventory': 9, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/be830d51-203b-4ea6-9390-c4cd95fe2b181576225572070-W-Women-Dresses-1771576225569547-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/be830d51-203b-4ea6-9390-c4cd95fe2b181576225572070-W-Women-Dresses-1771576225569547-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/559a7c63-c022-4243-815b-c6a184d3978f1576225571841-W-Women-Dresses-1771576225569547-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/8e422f1b-afea-46d8-88d3-f3b2d0ec2d5e1576225571885-W-Women-Dresses-1771576225569547-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/e26da3ed-cf9f-410f-b505-f84c3c8842581576225571792-W-Women-Dresses-1771576225569547-7.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/0943306d-af13-461f-b3ca-8ac735e2afb41576225571978-W-Women-Dresses-1771576225569547-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/461d7967-6eed-4dbb-a37d-7af686e3b5651576225572023-W-Women-Dresses-1771576225569547-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10207317/2019/12/13/4f561e55-03a1-4a34-9411-48bc9018151c1576225571931-W-Women-Dresses-1771576225569547-4.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Women Printed Maxi Dress,Dresses,6999,3499,,False,,0,1,,1576108800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/W/W-Women-Pink-Printed-Maxi-Dress/10207317/buy
9,Dresses/Nayo/Nayo-Women-Black-Solid-Maxi-Dress/7723403/buy,False,,False,7723403,Nayo Women Black Solid Maxi Dress,Nayo Women Black Solid Maxi Dress,3.8674352,347,True,0,,1160,Nayo,http://assets.myntassets.com/assets/images/7723403/2018/11/12/b6938891-c168-444c-ab87-2ee2230af79f1542013784945-Nayo-Women-Dresses-5761542013784748-1.jpg,0,0,32240833,6153,0,,[],"[{'skuId': 32240845, 'label': 'S', 'inventory': 77, 'available': True}, {'skuId': 32240833, 'label': 'M', 'inventory': 1107, 'available': True}, {'skuId': 32240829, 'label': 'L', 'inventory': 1213, 'available': True}, {'skuId': 32240856, 'label': 'XL', 'inventory': 1134, 'available': True}, {'skuId': 32240866, 'label': 'XXL', 'inventory': 1171, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7723403/2018/11/12/b6938891-c168-444c-ab87-2ee2230af79f1542013784945-Nayo-Women-Dresses-5761542013784748-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7723403/2018/11/12/b6938891-c168-444c-ab87-2ee2230af79f1542013784945-Nayo-Women-Dresses-5761542013784748-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7723403/2018/11/12/3217ed0a-248d-4061-992d-33587e925e6b1542013784969-Nayo-Women-Dresses-5761542013784748-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7723403/2018/11/12/fc8beae1-140b-4a12-8738-28c0c71c496d1542013784910-Nayo-Women-Dresses-5761542013784748-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7723403/2018/11/12/178db41e-b816-4f58-97f4-c53d07853f3a1542013784926-Nayo-Women-Dresses-5761542013784748-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7723403/2018/11/12/5ab1392c-e68d-4b7a-afe9-894d50b7d8391542013784897-Nayo-Women-Dresses-5761542013784748-4.jpg'}]",Women,Black,Flat_Search_Percent,(58% OFF),Women Solid Maxi Dress,Dresses,1999,839,,False,,0,1,,1541635200000,Summer,2019,False,,,0,,[],www.myntra.com/Dresses/Nayo/Nayo-Women-Black-Solid-Maxi-Dress/7723403/buy
