,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Jumpsuit/Deewa/Deewa-Women-Mustard-Yellow--Blue-Printed-Cold-Shoulder-Basic-Jumpsuit/10579784/buy,False,,False,10579784,Deewa Women Mustard Yellow & Blue Printed Cold-Shoulder Basic Jumpsuit,Deewa Women Mustard Yellow & Blue Printed Cold-Shoulder Basic Jumpsuit,3.9351852,432,True,0,,935,Deewa,http://assets.myntassets.com/assets/images/10579784/2019/9/11/0b6e5e79-c94f-43f9-9802-af7ad454d1711568193468498-Deewa-Printed-Jumpsuit-1581568193467754-1.jpg,0,0,36263842,4942,0,,[],"[{'skuId': 36263842, 'label': 'XS', 'inventory': 232, 'available': True}, {'skuId': 36263844, 'label': 'S', 'inventory': 231, 'available': True}, {'skuId': 36263846, 'label': 'M', 'inventory': 220, 'available': True}, {'skuId': 36263848, 'label': 'L', 'inventory': 227, 'available': True}, {'skuId': 36263850, 'label': 'XL', 'inventory': 235, 'available': True}, {'skuId': 36263852, 'label': 'XXL', 'inventory': 241, 'available': True}, {'skuId': 36263854, 'label': '3XL', 'inventory': 246, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10579784/2019/9/11/0b6e5e79-c94f-43f9-9802-af7ad454d1711568193468498-Deewa-Printed-Jumpsuit-1581568193467754-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10579784/2019/9/11/0b6e5e79-c94f-43f9-9802-af7ad454d1711568193468498-Deewa-Printed-Jumpsuit-1581568193467754-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10579784/2019/9/11/10e0a246-a793-4f45-8462-567d0f5561131568193468366-Deewa-Printed-Jumpsuit-1581568193467754-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10579784/2019/9/11/458f601d-a183-49e7-a333-ef91493bd2d91568193468425-Deewa-Printed-Jumpsuit-1581568193467754-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10579784/2019/9/11/7d63d371-1e23-4a9c-8875-6a9e98f1f7991568193468392-Deewa-Printed-Jumpsuit-1581568193467754-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10579784/2019/9/11/4e08c013-1841-46fc-adde-0756dfee2aeb1568193468463-Deewa-Printed-Jumpsuit-1581568193467754-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(55% OFF),Cold-Shoulder Basic Jumpsuit,Jumpsuit,1699,764,,False,,0,1,,1568246400000,Summer,2019,False,,,0,,[],www.myntra.com/Jumpsuit/Deewa/Deewa-Women-Mustard-Yellow--Blue-Printed-Cold-Shoulder-Basic-Jumpsuit/10579784/buy
1,Jumpsuit/SASSAFRAS/SASSAFRAS-Black-Solid-Basic-Jumpsuit/1052265/buy,False,,False,1052265,SASSAFRAS Black Solid Basic Jumpsuit,SASSAFRAS Black Solid Basic Jumpsuit,3.7198067,414,True,0,,546,SASSAFRAS,http://assets.myntassets.com/assets/images/1052265/2019/4/15/2929010d-ca94-45a2-9c15-e12bd371a99c1555323191520-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-1.jpg,0,0,8163410,4028,0,,[],"[{'skuId': 8163410, 'label': 'S', 'inventory': 332, 'available': True}, {'skuId': 8163413, 'label': 'M', 'inventory': 450, 'available': True}, {'skuId': 8163416, 'label': 'L', 'inventory': 207, 'available': True}, {'skuId': 8163419, 'label': 'XL', 'inventory': 2, 'available': True}, {'skuId': 8163422, 'label': 'XXL', 'inventory': 165, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1052265/2019/4/15/2929010d-ca94-45a2-9c15-e12bd371a99c1555323191520-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1052265/2019/4/15/2929010d-ca94-45a2-9c15-e12bd371a99c1555323191520-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1052265/2019/4/15/d7fe1f54-3974-4795-97a2-98177add1c5e1555323191448-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1052265/2019/4/15/1d7e1bc7-70eb-4a1a-be01-6eb9079c0e661555323191481-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1052265/2019/4/15/01fab894-3afe-4b17-8b65-db0ff9f72c401555323191461-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1052265/2019/4/15/2e8f5644-2d89-456a-b58c-0ae61f6a2c031555323191501-SASSAFRAS-Black-Solid-Basic-Jumpsuit-3701555323190258-2.jpg'}]",Women,Black,Flat_Search_Percent,"42% OFF, Hurry*",Solid Basic Jumpsuit,Jumpsuit,1299,753,,False,,0,512,,1446076800000,Winter,2015,False,,,0,,[],www.myntra.com/Jumpsuit/SASSAFRAS/SASSAFRAS-Black-Solid-Basic-Jumpsuit/1052265/buy
2,Jumpsuit/Mayra/Mayra-Women-Multicoloured-Striped-Basic-Jumpsuit/10632026/buy,False,,False,10632026,Mayra Women Multicoloured Striped Basic Jumpsuit,Mayra Women Multicoloured Striped Basic Jumpsuit,3.865,200,True,0,,1297,Mayra,http://assets.myntassets.com/assets/images/productimage/2019/9/13/4ebe7e82-5ec9-4b2a-a99e-a5ff8c6fbf711568325172716-1.jpg,0,0,36456824,4848,0,,[],"[{'skuId': 36456822, 'label': 'S', 'inventory': 464, 'available': True}, {'skuId': 36456824, 'label': 'M', 'inventory': 467, 'available': True}, {'skuId': 36456826, 'label': 'L', 'inventory': 225, 'available': True}, {'skuId': 36456828, 'label': 'XL', 'inventory': 235, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/4ebe7e82-5ec9-4b2a-a99e-a5ff8c6fbf711568325172716-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/4ebe7e82-5ec9-4b2a-a99e-a5ff8c6fbf711568325172716-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/4eba3982-624e-4d0c-87c9-cfce74ed84711568325172841-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/cff0e371-c2a4-470e-8283-e723df085fae1568325172780-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/3cf14132-bb9b-4979-baa2-45624c2a614a1568325172748-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/53fe4179-365d-4023-9393-040292dd448a1568325172811-4.jpg'}]",Women,Multi,Flat_Search_Percent,(65% OFF),Striped Basic Jumpsuit,Jumpsuit,1995,698,,False,,0,1,,1568246400000,Fall,2019,False,,,0,,[],www.myntra.com/Jumpsuit/Mayra/Mayra-Women-Multicoloured-Striped-Basic-Jumpsuit/10632026/buy
3,Jumpsuit/RARE/RARE-Black--White-Checked-Culotte-Jumpsuit/7114908/buy,False,,False,7114908,RARE Black & White Checked Culotte Jumpsuit,RARE Black & White Checked Culotte Jumpsuit,4.0387096,155,True,0,,1134,RARE,http://assets.myntassets.com/assets/images/7114908/2018/8/9/6b6ba116-b104-4401-9fd0-7616273d29751533796834807-na-3661533796834385-1.jpg,0,0,31220225,3030,0,,[],"[{'skuId': 31220227, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 31220225, 'label': 'M', 'inventory': 57, 'available': True}, {'skuId': 31220224, 'label': 'L', 'inventory': 40, 'available': True}, {'skuId': 31220226, 'label': 'XL', 'inventory': 80, 'available': True}]","M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7114908/2018/8/9/6b6ba116-b104-4401-9fd0-7616273d29751533796834807-na-3661533796834385-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7114908/2018/8/9/6b6ba116-b104-4401-9fd0-7616273d29751533796834807-na-3661533796834385-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7114908/2018/8/9/66c2bc9f-193b-4753-a035-9e3f5bde835d1533796834523-na-3661533796834385-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7114908/2018/8/9/edc68ba1-ecb0-400a-b70e-a1ccd7927a451533796834675-na-3661533796834385-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7114908/2018/8/9/68ac16b6-c684-4caf-81e1-573fc5ffb0691533796834625-na-3661533796834385-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7114908/2018/8/9/63db9af4-441c-4032-8364-404020884e131533796834731-na-3661533796834385-2.jpg'}]",Women,Black,Flat_Search_Percent,(54% OFF),Checked Culotte Jumpsuit,Jumpsuit,2099,965,,False,,0,1,,1533772800000,Fall,2018,False,,,0,,[],www.myntra.com/Jumpsuit/RARE/RARE-Black--White-Checked-Culotte-Jumpsuit/7114908/buy
4,Jumpsuit/SASSAFRAS/SASSAFRAS-Women-Maroon-Solid-Basic-Jumpsuit/10308671/buy,False,,False,10308671,SASSAFRAS Women Maroon Solid Basic Jumpsuit,SASSAFRAS Women Maroon Solid Basic Jumpsuit,4.0242915,247,True,0,,630,SASSAFRAS,http://assets.myntassets.com/assets/images/10308671/2019/7/29/4276e20b-9a87-489e-9c49-95b67dc0b6c81564383574672-SASSAFRAS-Women-Jumpsuit-251564383573404-1.jpg,0,0,35180825,4028,0,,[],"[{'skuId': 35180825, 'label': 'XS', 'inventory': 262, 'available': True}, {'skuId': 35180833, 'label': 'S', 'inventory': 369, 'available': True}, {'skuId': 35180837, 'label': 'M', 'inventory': 317, 'available': True}, {'skuId': 35180839, 'label': 'L', 'inventory': 236, 'available': True}, {'skuId': 35180845, 'label': 'XL', 'inventory': 162, 'available': True}, {'skuId': 35180849, 'label': 'XXL', 'inventory': 124, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308671/2019/7/29/4276e20b-9a87-489e-9c49-95b67dc0b6c81564383574672-SASSAFRAS-Women-Jumpsuit-251564383573404-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308671/2019/7/29/4276e20b-9a87-489e-9c49-95b67dc0b6c81564383574672-SASSAFRAS-Women-Jumpsuit-251564383573404-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308671/2019/7/29/4b69ba59-954d-4908-8227-86ba40ffee8e1564383574590-SASSAFRAS-Women-Jumpsuit-251564383573404-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308671/2019/7/29/f8387a9f-0838-43a5-a023-51c62cf9676c1564383574618-SASSAFRAS-Women-Jumpsuit-251564383573404-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308671/2019/7/29/76cfe818-699b-4613-ae8b-f6da6c055f921564383574601-SASSAFRAS-Women-Jumpsuit-251564383573404-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308671/2019/7/29/a2442933-3c37-4aa4-856b-f2b5df64f4121564383574634-SASSAFRAS-Women-Jumpsuit-251564383573404-2.jpg'}]",Women,Maroon,Flat_Search_Percent,"42% OFF, Hurry*",Solid Basic Jumpsuit,Jumpsuit,1499,869,,False,,0,512,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Jumpsuit/SASSAFRAS/SASSAFRAS-Women-Maroon-Solid-Basic-Jumpsuit/10308671/buy
5,Jumpsuit/Tokyo-Talkies/Tokyo-Talkies-Women-Black-Solid-Basic-Jumpsuit/12033996/buy,False,23:pla_1596736847604,True,12033996,Tokyo Talkies Women Black Solid Basic Jumpsuit,Tokyo Talkies Women Black Solid Basic Jumpsuit,4.6666665,15,True,0,,1397,Tokyo Talkies,http://assets.myntassets.com/assets/images/productimage/2020/7/3/c743c894-e8d0-46ed-b8c8-fa36ee7faf2d1593731164070-1.jpg,0,0,41903876,4215,0,,[],"[{'skuId': 41903876, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 41903882, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 41903886, 'label': 'L', 'inventory': 44, 'available': True}, {'skuId': 41903888, 'label': 'XL', 'inventory': 15, 'available': True}]","M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/c743c894-e8d0-46ed-b8c8-fa36ee7faf2d1593731164070-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/c743c894-e8d0-46ed-b8c8-fa36ee7faf2d1593731164070-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/06bfa0f3-0531-44a8-957d-578f45dcc5c31593731164327-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/e66e21ef-91ca-47d6-8d61-410d17c307cc1593731164277-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/d0812af1-d87a-4b87-874c-77192a8f7ba91593731164174-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/a967c69b-477b-4ccc-8cc7-991ccb4382261593731164126-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/3/f3366733-e01a-457f-8af6-d1fb9e62fad81593731164225-4.jpg'}]",Women,Black,Flat_Search_Percent,(65% OFF),Solid Basic Jumpsuit,Jumpsuit,2149,752,,False,,0,1,,1593648000000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Tokyo-Talkies/Tokyo-Talkies-Women-Black-Solid-Basic-Jumpsuit/12033996/buy
6,Jumpsuit/Athena/Athena-Women-Pink-Solid-Basic-Jumpsuit/11634546/buy,False,,False,11634546,Athena Women Pink Solid Basic Jumpsuit,Athena Women Pink Solid Basic Jumpsuit,4.0588236,68,True,0,,1000,Athena,http://assets.myntassets.com/assets/images/productimage/2020/3/4/9a1f3827-ae2b-4806-8f8b-daa3839a35231583274718907-1.jpg,0,0,40443900,960,0,,[],"[{'skuId': 40443900, 'label': 'XS', 'inventory': 492, 'available': True}, {'skuId': 40443902, 'label': 'S', 'inventory': 495, 'available': True}, {'skuId': 40443904, 'label': 'M', 'inventory': 494, 'available': True}, {'skuId': 40443908, 'label': 'L', 'inventory': 498, 'available': True}, {'skuId': 40443910, 'label': 'XL', 'inventory': 500, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/9a1f3827-ae2b-4806-8f8b-daa3839a35231583274718907-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/9a1f3827-ae2b-4806-8f8b-daa3839a35231583274718907-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/0455e0b9-5e62-4be3-87bd-1921a0fb50921583274719098-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/cbd6a24b-f2ba-40b2-8461-fbb4dd233adf1583274719004-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/8b12ca31-a25a-4e80-b973-e9a1389fdef01583274719052-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/31e577d2-9cb9-4dad-ab36-446e1961bff51583274718958-2.jpg'}]",Women,Pink,Flat_Search_Percent,(40% OFF),Solid Basic Jumpsuit,Jumpsuit,2499,1499,,False,,0,1,,1583366400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Athena/Athena-Women-Pink-Solid-Basic-Jumpsuit/11634546/buy
7,Jumpsuit/Athena/Athena-Women-Burgundy-Solid-Basic-Jumpsuit/11634534/buy,False,,False,11634534,Athena Women Burgundy Solid Basic Jumpsuit,Athena Women Burgundy Solid Basic Jumpsuit,3.62,50,True,0,,1275,Athena,http://assets.myntassets.com/assets/images/productimage/2020/3/4/32f4dd36-5c5a-4bff-aedc-88816ee996b81583274664904-1.jpg,0,0,40443840,960,0,,[],"[{'skuId': 40443840, 'label': 'XS', 'inventory': 488, 'available': True}, {'skuId': 40443846, 'label': 'S', 'inventory': 487, 'available': True}, {'skuId': 40443848, 'label': 'M', 'inventory': 494, 'available': True}, {'skuId': 40443852, 'label': 'L', 'inventory': 493, 'available': True}, {'skuId': 40443860, 'label': 'XL', 'inventory': 499, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/32f4dd36-5c5a-4bff-aedc-88816ee996b81583274664904-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/32f4dd36-5c5a-4bff-aedc-88816ee996b81583274664904-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/e229a78d-682c-4ed7-a7e2-a557f6eb50ef1583274665101-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/d6a0e0ea-6366-4862-8336-8ec956c33cc91583274665002-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/85e4acf8-8c75-404e-ae17-aab78303e8211583274664954-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/4/5c1320d7-e638-43d3-b893-da5ff53de9df1583274665053-4.jpg'}]",Women,Burgundy,Flat_Search_Percent,(51% OFF),Solid Basic Jumpsuit,Jumpsuit,2499,1224,,False,,0,1,,1583366400000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Athena/Athena-Women-Burgundy-Solid-Basic-Jumpsuit/11634534/buy
8,Jumpsuit/Cottinfab/Cottinfab-Olive-Green-Solid-Cold-Shoulder-Jumpsuit/7846797/buy,False,,False,7846797,Cottinfab Olive Green Solid Cold-Shoulder Jumpsuit,Cottinfab Olive Green Solid Cold-Shoulder Jumpsuit,4.160714,112,True,0,,1230,Cottinfab,http://assets.myntassets.com/assets/images/7846797/2018/12/1/929ab325-b107-45e2-b559-ec82d3d79ca01543641157512-Cottinfab-Women-Jumpsuit-9471543641156708-1.jpg,0,0,32465213,808,0,,[],"[{'skuId': 32465194, 'label': 'S', 'inventory': 28, 'available': True}, {'skuId': 32465202, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 32465212, 'label': 'L', 'inventory': 57, 'available': True}, {'skuId': 32465213, 'label': 'XL', 'inventory': 30, 'available': True}, {'skuId': 32465216, 'label': 'XXL', 'inventory': 50, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7846797/2018/12/1/929ab325-b107-45e2-b559-ec82d3d79ca01543641157512-Cottinfab-Women-Jumpsuit-9471543641156708-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7846797/2018/12/1/929ab325-b107-45e2-b559-ec82d3d79ca01543641157512-Cottinfab-Women-Jumpsuit-9471543641156708-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7846797/2018/12/1/e497abc3-79ed-43b0-8614-928c755a84a91543640682698-Cottinfab-Women-Jumpsuit-441543640681869-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7846797/2018/12/1/e575a1df-a833-464b-a668-ca89252eff351543640682721-Cottinfab-Women-Jumpsuit-441543640681869-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7846797/2018/12/1/c27309d1-efd7-4293-a85d-139215a26b301543640682709-Cottinfab-Women-Jumpsuit-441543640681869-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7846797/2018/12/1/a1f45f32-d82c-4097-9681-2a8c9d0b09c21543640682733-Cottinfab-Women-Jumpsuit-441543640681869-2.jpg'}]",Women,Olive,Flat_Search_Percent,(60% OFF),Cold-Shoulder Jumpsuit,Jumpsuit,2049,819,,False,,0,1,,1543449600000,Summer,2018,False,,,0,,[],www.myntra.com/Jumpsuit/Cottinfab/Cottinfab-Olive-Green-Solid-Cold-Shoulder-Jumpsuit/7846797/buy
9,Jumpsuit/SASSAFRAS/SASSAFRAS-Women-Maroon-Solid-Basic-Jumpsuit/10308583/buy,False,,False,10308583,SASSAFRAS Women Maroon Solid Basic Jumpsuit,SASSAFRAS Women Maroon Solid Basic Jumpsuit,3.882096,229,True,0,,705,SASSAFRAS,http://assets.myntassets.com/assets/images/10308583/2019/7/29/8c2cb068-5deb-42bc-879d-194cfb7838801564395449672-SASSAFRAS-Women-Jumpsuit-1481564395448748-1.jpg,0,0,35180323,4028,0,,[],"[{'skuId': 35180319, 'label': 'XS', 'inventory': 174, 'available': True}, {'skuId': 35180323, 'label': 'S', 'inventory': 253, 'available': True}, {'skuId': 35180327, 'label': 'M', 'inventory': 182, 'available': True}, {'skuId': 35180333, 'label': 'L', 'inventory': 83, 'available': True}, {'skuId': 35180337, 'label': 'XL', 'inventory': 115, 'available': True}, {'skuId': 35180341, 'label': 'XXL', 'inventory': 88, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308583/2019/7/29/8c2cb068-5deb-42bc-879d-194cfb7838801564395449672-SASSAFRAS-Women-Jumpsuit-1481564395448748-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308583/2019/7/29/8c2cb068-5deb-42bc-879d-194cfb7838801564395449672-SASSAFRAS-Women-Jumpsuit-1481564395448748-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308583/2019/7/29/b4cfeff3-f787-4be3-97cc-d2b50cef25ad1564395449595-SASSAFRAS-Women-Jumpsuit-1481564395448748-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308583/2019/7/29/bfb36725-2c18-4f21-9a88-d28075721d351564395449625-SASSAFRAS-Women-Jumpsuit-1481564395448748-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308583/2019/7/29/c0fd65c9-b63d-4057-a1dd-d953eb38cd681564395449653-SASSAFRAS-Women-Jumpsuit-1481564395448748-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308583/2019/7/29/648b6f71-9487-4b2b-b1fa-ee6675f511551564395449610-SASSAFRAS-Women-Jumpsuit-1481564395448748-4.jpg'}]",Women,Maroon,Flat_Search_Percent,"47% OFF, Hurry*",Solid Basic Jumpsuit,Jumpsuit,1499,794,,False,,0,512,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Jumpsuit/SASSAFRAS/SASSAFRAS-Women-Maroon-Solid-Basic-Jumpsuit/10308583/buy
