,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Kurtis/Ira-Soleil/Ira-Soleil-Women-Black-Printed-Kurti/110269/buy,False,,False,110269,Ira Soleil Women Black Printed Kurti,Ira Soleil Women Black Printed Kurti,3.4012346,162,True,0,,278,Ira Soleil,http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg,0,0,501524,3395,0,,[],"[{'skuId': 501524, 'label': 'XS', 'inventory': 249, 'available': True}, {'skuId': 377107, 'label': 'S', 'inventory': 231, 'available': True}, {'skuId': 377109, 'label': 'M', 'inventory': 172, 'available': True}, {'skuId': 377110, 'label': 'L', 'inventory': 293, 'available': True}, {'skuId': 501526, 'label': 'XL', 'inventory': 265, 'available': True}, {'skuId': 501527, 'label': 'XXL', 'inventory': 99, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410925-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410945-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410978-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410996-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410960-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-4.jpg'}]",Women,Black,Flat_Search_Percent,(30% OFF),Printed Kurti,Kurtis,925,647,,False,,0,1,,1362614400000,Spring,2018,False,,,0,,[],www.myntra.com/Kurtis/Ira-Soleil/Ira-Soleil-Women-Black-Printed-Kurti/110269/buy
1,Tunics/Vishudh/Vishudh-Maroon-Printed-Tunic/9971481/buy,False,,False,9971481,Vishudh Maroon Printed Tunic,Vishudh Maroon Printed Tunic,4.1037736,106,True,0,,660,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/6/10/930ac966-5c02-48e0-a8e4-48401dbecbfc1560150442437-1.jpg,0,0,34639732,4214,0,,[],"[{'skuId': 34639732, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 34639733, 'label': 'M', 'inventory': 77, 'available': True}, {'skuId': 34639734, 'label': 'L', 'inventory': 66, 'available': True}, {'skuId': 34639735, 'label': 'XL', 'inventory': 26, 'available': True}, {'skuId': 34639736, 'label': 'XXL', 'inventory': 27, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/930ac966-5c02-48e0-a8e4-48401dbecbfc1560150442437-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/930ac966-5c02-48e0-a8e4-48401dbecbfc1560150442437-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/f819d6ec-639e-45e2-b439-2e01294450171560150442538-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/8c261a3b-d678-48d4-bcf0-1d4be8e452e41560150442487-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/385ef6e5-33bf-410b-80ed-04fe035340d61560150442459-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/35a35ebc-0021-4c44-99aa-150fbcbdbe031560150442512-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(55% OFF),Printed Tunic,Tunics,1199,539,,False,,0,1,,1559779200000,Summer,2019,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Maroon-Printed-Tunic/9971481/buy
2,Kurtis/Anubhutee/Anubhutee-Women-Black--Golden-Printed-Straight-Kurti/11535124/buy,False,,False,11535124,Anubhutee Women Black & Golden Printed Straight Kurti,Anubhutee Women Black & Golden Printed Straight Kurti,4.1616163,99,True,0,,320,Anubhutee,http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg,0,0,40120546,6872,0,,[],"[{'skuId': 40120544, 'label': 'S', 'inventory': 23, 'available': True}, {'skuId': 40120546, 'label': 'M', 'inventory': 57, 'available': True}, {'skuId': 40120548, 'label': 'L', 'inventory': 91, 'available': True}, {'skuId': 40120550, 'label': 'XL', 'inventory': 140, 'available': True}, {'skuId': 40120552, 'label': 'XXL', 'inventory': 152, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/9b0fea60-d3bb-4ace-b4d8-6d18f5e508601582796416648-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/d31ddfb2-dc12-4f62-af75-7cb09a6006881582796416737-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a72b3c6b-a097-49be-a326-ddb5eafa3f7c1582796416696-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/4af51f8a-c27e-4016-9361-682be5f305851582796416778-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-2.jpg'}]",Women,Black,Flat_Search_Percent,(32% OFF),Women Printed Straight Kurti,Kurtis,999,679,,False,,0,1,,1582761600000,Summer,2020,False,,,0,,[],www.myntra.com/Kurtis/Anubhutee/Anubhutee-Women-Black--Golden-Printed-Straight-Kurti/11535124/buy
3,Tunics/Rain--Rainbow/Rain--Rainbow-Blue--Orange-Printed-A-Line-Tunic/9035869/buy,False,,False,9035869,Rain & Rainbow Blue & Orange Printed A-Line Tunic,Rain & Rainbow Blue & Orange Printed A-Line Tunic,3.9894736,95,True,0,,239,Rain & Rainbow,http://assets.myntassets.com/assets/images/9035869/2019/3/22/a837344d-9e4f-4e41-9b5b-b1d4761608541553231052357-Rain--Rainbow-Women-Tunics-7381553231050679-1.jpg,0,0,33708292,646,0,,[],"[{'skuId': 33708291, 'label': 'S', 'inventory': 28, 'available': True}, {'skuId': 33708292, 'label': 'M', 'inventory': 51, 'available': True}, {'skuId': 33708293, 'label': 'L', 'inventory': 22, 'available': True}, {'skuId': 33708294, 'label': 'XL', 'inventory': 7, 'available': True}, {'skuId': 33708295, 'label': 'XXL', 'inventory': 94, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/a837344d-9e4f-4e41-9b5b-b1d4761608541553231052357-Rain--Rainbow-Women-Tunics-7381553231050679-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/a837344d-9e4f-4e41-9b5b-b1d4761608541553231052357-Rain--Rainbow-Women-Tunics-7381553231050679-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/06f10b44-2277-4e83-a4ef-5c4f4ce68d821553231052196-Rain--Rainbow-Women-Tunics-7381553231050679-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/88074179-f77a-4cb8-a886-5b60ec0d9d571553231052279-Rain--Rainbow-Women-Tunics-7381553231050679-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/c79d3ee6-b3d8-4ff7-bfb9-8de3166a71561553231052236-Rain--Rainbow-Women-Tunics-7381553231050679-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9035869/2019/3/22/d2aa0048-1cc8-4861-92af-93b246d782481553238627004-Rain--Rainbow-Blue--Orange-Printed-A-Line-Tunic-122155323862-2.jpg'}]",Women,Blue,Flat_Search_Percent,(20% OFF),Printed A-Line Tunic,Tunics,1195,956,,True,,0,1,,1553126400000,Spring,2019,False,,,0,,[],www.myntra.com/Tunics/Rain--Rainbow/Rain--Rainbow-Blue--Orange-Printed-A-Line-Tunic/9035869/buy
4,Tunics/Vishudh/Vishudh-Women-Black-Solid-Tunic/11425210/buy,False,,False,11425210,Vishudh Women Black Solid Tunic,Vishudh Women Black Solid Tunic,4.5,12,True,0,,825,Vishudh,http://assets.myntassets.com/assets/images/productimage/2020/1/29/f679e5dc-0211-43d3-8894-e1c6b2c2e21d1580259030226-1.jpg,0,0,39671898,4214,0,,[],"[{'skuId': 39671898, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 39671900, 'label': 'M', 'inventory': 66, 'available': True}, {'skuId': 39671904, 'label': 'L', 'inventory': 67, 'available': True}, {'skuId': 39671908, 'label': 'XL', 'inventory': 77, 'available': True}, {'skuId': 39671910, 'label': 'XXL', 'inventory': 36, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/f679e5dc-0211-43d3-8894-e1c6b2c2e21d1580259030226-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/f679e5dc-0211-43d3-8894-e1c6b2c2e21d1580259030226-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/cc4d1a8c-c393-4f58-a8db-62c153da4c7c1580259030456-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/807e3499-453d-47ca-833d-fcd5617c13bd1580259030342-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/cdb9315e-40da-4a04-b98d-6a9e3b29ee3b1580259030398-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/7fd78bff-bfc0-4e00-ac16-ba68e34902d51580259030287-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Solid Tunic,Tunics,1649,824,,False,,0,1,,1579737600000,Summer,2020,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Women-Black-Solid-Tunic/11425210/buy
5,Tunics/Vishudh/Vishudh-Orange--Pink-Printed-Tunic/9971489/buy,False,,False,9971489,Vishudh Orange & Pink Printed Tunic,Vishudh Orange & Pink Printed Tunic,3.9230769,91,True,0,,624,Vishudh,http://assets.myntassets.com/assets/images/9971489/2019/7/30/545a76f5-02dc-408f-a7bc-c50356004b131564477916524-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-1.jpg,0,0,34639755,4214,0,,[],"[{'skuId': 34639752, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 34639753, 'label': 'M', 'inventory': 18, 'available': True}, {'skuId': 34639754, 'label': 'L', 'inventory': 32, 'available': True}, {'skuId': 34639755, 'label': 'XL', 'inventory': 9, 'available': True}, {'skuId': 34639756, 'label': 'XXL', 'inventory': 5, 'available': True}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/545a76f5-02dc-408f-a7bc-c50356004b131564477916524-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/545a76f5-02dc-408f-a7bc-c50356004b131564477916524-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/517f34b2-07b9-46b5-a549-91b8f006e77d1564477916431-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/e9c8b2ff-aec6-48ba-944b-6db8c48034161564477916477-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/c7936a62-da6c-4362-bbb8-6a7c74a8c94e1564477916501-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/e4a42ac9-ce93-4d71-bb9e-d773739771d41564477916453-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-4.jpg'}]",Women,Orange,Flat_Search_Percent,(52% OFF),Printed Tunic,Tunics,1199,575,,False,,0,1,,1559779200000,Summer,2019,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Orange--Pink-Printed-Tunic/9971489/buy
6,Tunics/Vishudh/Vishudh-Blue--Red-Striped-Tunic/9971487/buy,False,,False,9971487,Vishudh Blue & Red Striped Tunic,Vishudh Blue & Red Striped Tunic,3.9822485,169,True,0,,660,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/6/10/9d03156b-21c8-4ca3-9454-30b12d3fcde21560150066586-1.jpg,0,0,34639748,4214,0,,[],"[{'skuId': 34639747, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 34639748, 'label': 'M', 'inventory': 24, 'available': True}, {'skuId': 34639749, 'label': 'L', 'inventory': 234, 'available': True}, {'skuId': 34639750, 'label': 'XL', 'inventory': 173, 'available': True}, {'skuId': 34639751, 'label': 'XXL', 'inventory': 184, 'available': True}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/9d03156b-21c8-4ca3-9454-30b12d3fcde21560150066586-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/9d03156b-21c8-4ca3-9454-30b12d3fcde21560150066586-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/3cf89557-2011-44c3-8774-7a2c33fafbdc1560150066721-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/4e348923-b307-4699-8422-2407bfdaa3621560150066662-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/73383592-4a94-4464-99fe-f6d4f12832ff1560150066618-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/10/9cb8def1-f0b6-4f46-88db-0fc001e93b4b1560150066693-4.jpg'}]",Women,Blue,Flat_Search_Percent,(55% OFF),Striped Tunic,Tunics,1199,539,,False,,0,1,,1559779200000,Summer,2019,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Blue--Red-Striped-Tunic/9971487/buy
7,Kurtis/Kvsfab/Kvsfab-Women-Brown-Solid-A-Line-Kurti/10980042/buy,False,,False,10980042,Kvsfab Women Brown Solid A-Line Kurti,Kvsfab Women Brown Solid A-Line Kurti,4.0625,32,True,0,,1044,Kvsfab,http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg,0,0,37849054,2054,0,,[],"[{'skuId': 37849054, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 37849058, 'label': 'M', 'inventory': 13, 'available': True}, {'skuId': 37849060, 'label': 'L', 'inventory': 8, 'available': True}, {'skuId': 37849062, 'label': 'XL', 'inventory': 24, 'available': True}, {'skuId': 37849064, 'label': 'XXL', 'inventory': 57, 'available': True}, {'skuId': 37849066, 'label': '3XL', 'inventory': 87, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/519e7c43-c22a-4265-9317-6292468487c61578650844962-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/04c45fc0-011c-41cf-9e08-63e2df84fabe1578650845013-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/d4c56eb5-9728-45bd-af62-53a4bc1d57641578650845119-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/a5bc25ca-16dd-4941-8dec-e925e0c12d6e1578650845171-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/2d15a713-e85a-4bd0-84bc-59ca8e9d82771578650845073-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-4.jpg'}]",Women,Brown,Flat_Search_Percent,(58% OFF),Women Solid A-Line Kurti,Kurtis,1799,755,,False,,0,1,,1573689600000,Winter,2019,False,,,0,,[],www.myntra.com/Kurtis/Kvsfab/Kvsfab-Women-Brown-Solid-A-Line-Kurti/10980042/buy
8,Tops/Taavi/Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top/11283058/buy,False,,False,11283058,Taavi Women Navy Blue & White Woven Legacy Striped Wrap Top,Taavi Women Navy Blue & White Woven Legacy Striped Wrap Top,4.4,10,True,0,,375,Taavi,http://assets.myntassets.com/assets/images/11283058/2020/2/13/d7af82d9-cff7-42d0-b740-eb278182a88f1581584684888-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-1.jpg,0,0,39065128,4036,0,,[],"[{'skuId': 39065128, 'label': 'XS', 'inventory': 1, 'available': True}, {'skuId': 39065130, 'label': 'S', 'inventory': 19, 'available': True}, {'skuId': 39065132, 'label': 'M', 'inventory': 23, 'available': True}, {'skuId': 39065134, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 39065136, 'label': 'XL', 'inventory': 1, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11283058/2020/2/13/d7af82d9-cff7-42d0-b740-eb278182a88f1581584684888-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11283058/2020/2/13/d7af82d9-cff7-42d0-b740-eb278182a88f1581584684888-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11283058/2020/2/13/64bf755f-f79e-4fda-9998-f8fbff1864301581584684750-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11283058/2020/2/13/e1bf56ec-7fb4-4fda-b3f4-a477af9ea9e11581584684822-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11283058/2020/2/13/99ff8e52-9577-45bb-8437-f6583dda29e51581584684785-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11283058/2020/2/13/66d6fdf8-fcdc-459f-b8a3-325829e612511581584684854-Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top-7-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(25% OFF),Woven Legacy Top,Tops,1499,1124,,False,,0,1,,1580342400000,Spring,2020,False,,,0,,[],www.myntra.com/Tops/Taavi/Taavi-Women-Navy-Blue--White-Woven-Legacy-Striped-Wrap-Top/11283058/buy
9,Kurtis/Libas/Libas-Women-Teal-Blue--White-Yoke-Design-Kurti/11568372/buy,False,,False,11568372,Libas Women Teal Blue & White Yoke Design Kurti,Libas Women Teal Blue & White Yoke Design Kurti,4.3,10,True,0,,350,Libas,http://assets.myntassets.com/assets/images/11568372/2020/3/4/84926e2c-0143-43de-a99e-f3080bfc6dc81583317965915-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-1.jpg,0,0,40253030,3422,0,,[],"[{'skuId': 40253024, 'label': 'XS', 'inventory': 20, 'available': True}, {'skuId': 40253026, 'label': 'S', 'inventory': 106, 'available': True}, {'skuId': 40253028, 'label': 'M', 'inventory': 163, 'available': True}, {'skuId': 40253030, 'label': 'L', 'inventory': 106, 'available': True}, {'skuId': 40253032, 'label': 'XL', 'inventory': 110, 'available': True}, {'skuId': 40253034, 'label': 'XXL', 'inventory': 33, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/84926e2c-0143-43de-a99e-f3080bfc6dc81583317965915-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/84926e2c-0143-43de-a99e-f3080bfc6dc81583317965915-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/5c285b5a-9d05-4cfc-8622-7fda565f6f7a1583317965706-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/c7dc3ae9-5d1f-4bdf-b0c0-8a8b964cca271583317965812-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/ac52ceca-93f1-433a-8ef6-a0a8b68dc4eb1583317965864-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11568372/2020/3/4/53caa38e-688f-4c4a-8466-8642ee3c1efe1583317965759-Libas-Women-Teal-Blue--White-Yoke-Design-Kurti-9081583317963-4.jpg'}]",Women,Teal,Flat_Search_Percent,(35% OFF),Women Yoke Design Kurti,Kurtis,999,649,,False,,0,1,,1582761600000,Spring,2020,False,,,0,,[],www.myntra.com/Kurtis/Libas/Libas-Women-Teal-Blue--White-Yoke-Design-Kurti/11568372/buy
