,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Sarees/Mitera/Mitera-Magenta-Silk-Blend-Woven-Design-Banarasi-Saree/10430798/buy,False,,False,10430798,Mitera Magenta Silk Blend Woven Design Banarasi Saree,Mitera Magenta Silk Blend Woven Design Banarasi Saree,3.777126,341,True,0,,3220,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg,0,0,35652114,2542,0,,[],"[{'skuId': 35652114, 'label': 'Onesize', 'inventory': 578, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/377767df-b98e-4326-9ac3-65a6443384451565465392479-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/bc06563a-c480-46aa-a8eb-49aaced6f5271565465392429-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/d70e99b6-2969-44aa-bd26-7636a69b82181565465392404-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/ce982a2e-2702-4da9-b382-6333a69591ba1565465392454-4.jpg'}]",Women,Magenta,Flat_Search_Percent,(70% OFF),Woven Design Banarasi Saree,Sarees,4599,1379,,False,,0,1,,1565222400000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Magenta-Silk-Blend-Woven-Design-Banarasi-Saree/10430798/buy
1,Sarees/Mitera/Mitera-Navy-Blue--Gold-Coloured-Silk-Blend-Woven-Design-Kanjeevaram-Saree/11076740/buy,False,,False,11076740,Mitera Navy Blue & Gold-Coloured Silk Blend Woven Design Kanjeevaram Saree,Mitera Navy Blue & Gold-Coloured Silk Blend Woven Design Kanjeevaram Saree,3.4424243,165,True,0,,4080,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg,0,0,38213046,8232,0,,[],"[{'skuId': 38213046, 'label': 'Onesize', 'inventory': 48, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/6570deb9-6ced-4ca0-a788-f2b288c778d41574893594141-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/82eaf56d-fcc9-4d3b-b0b6-0542d3ad6af51574893594050-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/54bc693d-b8e9-4bd1-bcee-f29918cbbe651574893594096-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/f88f1573-08f6-46b1-9336-bc52bebda69f1574893594006-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(68% OFF),Woven Design Kanjeevaram Saree,Sarees,5999,1919,,False,,0,1,,1574899200000,Summer,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Navy-Blue--Gold-Coloured-Silk-Blend-Woven-Design-Kanjeevaram-Saree/11076740/buy
2,Sarees/Mitera/Mitera-Navy-Blue-Silk-Blend-Solid-Banarasi-Saree/7715819/buy,False,,False,7715819,Mitera Navy Blue Silk Blend Solid Banarasi Saree,Mitera Navy Blue Silk Blend Solid Banarasi Saree,3.9512196,369,True,0,,2940,Mitera,http://assets.myntassets.com/assets/images/7715819/2018/10/30/73757f81-139d-4c17-81d1-6a4deb0ccd691540883613501-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-1.jpg,0,0,32223281,2542,0,,[],"[{'skuId': 32223281, 'label': 'Onesize', 'inventory': 19184, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/73757f81-139d-4c17-81d1-6a4deb0ccd691540883613501-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/73757f81-139d-4c17-81d1-6a4deb0ccd691540883613501-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/d089affb-5bfb-47a2-8e97-9993bee5eb751540883613378-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/3cb8d6d4-ec59-4a29-89cc-112665d1c59f1540883613427-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/018146ee-b5f5-464c-9031-4ef10d781ec01540883613401-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/51b40dca-4997-45e1-85ba-66f90f1db6a51540883613462-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(70% OFF),Solid Banarasi Saree,Sarees,4199,1259,,False,,0,1,,1540425600000,Spring,2018,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Navy-Blue-Silk-Blend-Solid-Banarasi-Saree/7715819/buy
3,Sarees/Mitera/Mitera-Navy-Blue--Gold-Toned-Silk-Blend-Woven-Design-Banarasi-Saree/11137110/buy,False,,False,11137110,Mitera Navy Blue & Gold-Toned Silk Blend Woven Design Banarasi Saree,Mitera Navy Blue & Gold-Toned Silk Blend Woven Design Banarasi Saree,3.40694,317,True,0,,2920,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/12/7/ac7066b7-686a-4a32-87bf-bfa5ca34c7611575674588023-1.jpg,0,0,38448240,2542,0,,[],"[{'skuId': 38448240, 'label': 'Onesize', 'inventory': 11438, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/ac7066b7-686a-4a32-87bf-bfa5ca34c7611575674588023-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/ac7066b7-686a-4a32-87bf-bfa5ca34c7611575674588023-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/37ff88d7-782a-4582-b4ea-ed60f75b17961575674588239-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/4e8c4f05-2f7c-4bc1-aa80-1233182b0e4b1575674588145-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/9b269e4a-b0c4-4035-acc2-12f523d23c8c1575674588193-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/b357faa0-e02e-4047-8e72-d2d34d6850ab1575674588088-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(73% OFF),Woven Design Banarasi Saree,Sarees,3999,1079,,False,,0,1,,1575504000000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Best_Price', 'value': 'Price may go up'}]",www.myntra.com/Sarees/Mitera/Mitera-Navy-Blue--Gold-Toned-Silk-Blend-Woven-Design-Banarasi-Saree/11137110/buy
4,Sarees/Mitera/Mitera-Green--Blue-Silk-Blend-Woven-Design-Banarasi-Saree/11414886/buy,False,,False,11414886,Mitera Green & Blue Silk Blend Woven Design Banarasi Saree,Mitera Green & Blue Silk Blend Woven Design Banarasi Saree,3.9612403,129,True,0,,1456,Mitera,http://assets.myntassets.com/assets/images/productimage/2020/1/28/bc785c5f-fb67-4257-abe8-9eb3e8e1b8911580170093461-1.jpg,0,0,39621254,2542,0,,[],"[{'skuId': 39621254, 'label': 'Onesize', 'inventory': 50172, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/bc785c5f-fb67-4257-abe8-9eb3e8e1b8911580170093461-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/bc785c5f-fb67-4257-abe8-9eb3e8e1b8911580170093461-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/76aff256-03b8-49d3-9b03-afc2aaa657641580170093740-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/5a0daced-0733-4d62-85df-cb678033dc261580170093598-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/06a9665e-3a07-4f9a-991a-270ddee688b01580170093671-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/ebb5445a-dbea-47f2-b29d-188f4d878dd21580170093522-2.jpg'}]",Women,Green,Flat_Search_Percent,(56% OFF),Woven Design Banarasi Saree,Sarees,2599,1143,,False,,0,1,,1579737600000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Green--Blue-Silk-Blend-Woven-Design-Banarasi-Saree/11414886/buy
5,Sarees/Saree-mall/Saree-mall-Sea-Green--Pink-Linen-Blend-Printed-Saree/10258133/buy,False,,False,10258133,Saree mall Sea Green & Pink Linen Blend Printed Saree,Saree mall Sea Green & Pink Linen Blend Printed Saree,4.060606,462,True,0,,1300,Saree mall,http://assets.myntassets.com/assets/images/10258133/2019/7/19/e8a827ca-9e03-40c3-9662-6bbeb7c7558e1563521133380-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-1.jpg,0,0,35060137,2542,0,,[],"[{'skuId': 35060137, 'label': 'Onesize', 'inventory': 26923, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/e8a827ca-9e03-40c3-9662-6bbeb7c7558e1563521133380-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/e8a827ca-9e03-40c3-9662-6bbeb7c7558e1563521133380-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/6b79f0d6-76fb-4239-a270-528d6d44a4491563526332974-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/8b67dad4-6053-40ac-996e-8a137cd341d91563521133265-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/48b42756-8685-4e68-8b00-f92ce863e6c41563521133323-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/1b424034-a8a1-4fe6-8c2b-5ae5151e4eb51563521133295-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/1b76da5e-9173-49ca-9c90-a54374b3c3191563526332993-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-2.jpg'}]",Women,Sea Green,Flat_Search_Percent,(65% OFF),Printed Saree,Sarees,1999,699,,False,,0,1,,1563408000000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Saree-mall/Saree-mall-Sea-Green--Pink-Linen-Blend-Printed-Saree/10258133/buy
6,Sarees/Mitera/Mitera-Mustard-Silk-Blend-Woven-Design-Banarasi-Saree/10700512/buy,False,,False,10700512,Mitera Mustard Silk Blend Woven Design Banarasi Saree,Mitera Mustard Silk Blend Woven Design Banarasi Saree,3.7434402,343,True,0,,2170,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/9/21/b7a40051-2ea0-44d0-805b-10761f4844dd1569013480119-1.jpg,0,0,36713422,2542,0,,[],"[{'skuId': 36713422, 'label': 'Onesize', 'inventory': 31605, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/b7a40051-2ea0-44d0-805b-10761f4844dd1569013480119-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/b7a40051-2ea0-44d0-805b-10761f4844dd1569013480119-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/4d2fb7ec-53f2-4ef4-8102-87d19dbcdfc91569013480247-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/e1b02c02-4003-45e0-8e7a-1b3c263f662a1569013480184-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/183664d1-6075-4279-a416-b299514bbcee1569013480215-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/f303288f-15d7-447b-89a6-2515c1de68161569013480151-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(70% OFF),Woven Design Banarasi Saree,Sarees,3099,929,,False,,0,1,,1568851200000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Best_Price', 'value': 'Price may go up'}]",www.myntra.com/Sarees/Mitera/Mitera-Mustard-Silk-Blend-Woven-Design-Banarasi-Saree/10700512/buy
7,Sarees/Shaily/Shaily-Maroon--Golden-Coloured-Woven-Design-Banarasi-Saree/7486225/buy,False,,False,7486225,Shaily Maroon & Golden-Coloured Woven Design Banarasi Saree,Shaily Maroon & Golden-Coloured Woven Design Banarasi Saree,3.7588236,170,True,0,,6150,Shaily,http://assets.myntassets.com/assets/images/7486225/2018/9/26/104aa520-5a96-42ed-9486-e4c4f78383d91537947355620-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-1.jpg,0,0,31847138,3766,0,,[],"[{'skuId': 31847138, 'label': 'Onesize', 'inventory': 107, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/104aa520-5a96-42ed-9486-e4c4f78383d91537947355620-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/104aa520-5a96-42ed-9486-e4c4f78383d91537947355620-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/f1af804c-a7b1-48d0-90da-fbc936d59b0c1537947355542-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/cdb27ad9-996c-4eb6-a2f1-7ae1aec5c72d1537947355579-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/fce6bb07-9c9b-4984-80ff-ea7848a0827b1537947355598-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/e645f954-a401-49c5-8ae4-7f3a26d227681537947355564-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(75% OFF),Woven Design Banarasi Saree,Sarees,8199,2049,,False,,0,1,,1537401600000,Fall,2018,False,,,0,,[],www.myntra.com/Sarees/Shaily/Shaily-Maroon--Golden-Coloured-Woven-Design-Banarasi-Saree/7486225/buy
8,Sarees/Mitera/Mitera-Peach-Coloured-Solid-Linen-Blend-Saree/10617102/buy,False,,False,10617102,Mitera Peach-Coloured Solid Linen Blend Saree,Mitera Peach-Coloured Solid Linen Blend Saree,4.0229883,87,True,0,,2400,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/9/11/0a5023de-f0ea-4a6c-86fb-6a85177094321568152145484-1.jpg,0,0,36396822,2542,0,,[],"[{'skuId': 36396822, 'label': 'Onesize', 'inventory': 862, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/11/0a5023de-f0ea-4a6c-86fb-6a85177094321568152145484-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/11/0a5023de-f0ea-4a6c-86fb-6a85177094321568152145484-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/11/321638d0-b30a-42ec-8089-1a2491bd3c551568152145617-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/11/d3e7c1ad-4bae-4ce6-a0ad-ad214aec3fd61568152145548-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/11/066bff8a-4927-40c5-8334-6709c47798b91568152145581-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/11/4ed562cb-5085-4f23-a082-da879688621b1568152145514-2.jpg'}]",Women,Peach,Flat_Search_Percent,(60% OFF),Solid Saree,Sarees,3999,1599,,False,,0,1,,1568246400000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Peach-Coloured-Solid-Linen-Blend-Saree/10617102/buy
9,Sarees/Tikhi-Imli/Tikhi-Imli-Red-Embellished-Poly-Georgette-Saree/11263964/buy,False,,False,11263964,Tikhi Imli Red Embellished Poly Georgette Saree,Tikhi Imli Red Embellished Poly Georgette Saree,3.857143,119,True,0,,1059,Tikhi Imli,http://assets.myntassets.com/assets/images/11263964/2020/1/28/032e26d0-f202-44a1-a038-ae95b31a8af61580212453991-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-1.jpg,0,0,38981866,8266,0,,[],"[{'skuId': 38981866, 'label': 'Onesize', 'inventory': 37, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/032e26d0-f202-44a1-a038-ae95b31a8af61580212453991-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/032e26d0-f202-44a1-a038-ae95b31a8af61580212453991-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/0e3c87dc-13a3-4e2e-9fac-10d0b7553e981580212453621-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/f9fbca87-3e88-4478-8c06-f0aae19fdbf71580212453689-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/1ad4939e-e41d-4ea1-804f-b929b6713a421580212453819-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/892b9887-9a93-4a83-8dd6-633c752c85f01580212453752-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11263964/2020/1/28/da3f9ca5-9c46-4fdb-8b0d-335328dc94791580212453896-Red-Poly-Georgette-Women-Saree-Comes-With-Mukaish-Embellishe-2.jpg'}]",Women,Red,Flat_Search_Percent,(53% OFF),Embellished Saree,Sarees,1998,939,,False,,0,1,,1579737600000,Winter,2020,False,,,0,,[],www.myntra.com/Sarees/Tikhi-Imli/Tikhi-Imli-Red-Embellished-Poly-Georgette-Saree/11263964/buy
