,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy,False,,False,9070277,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,4.3817973,1747,True,0,,715,SASSAFRAS,http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg,0,0,33754919,4028,0,,[],"[{'skuId': 33754916, 'label': 'XS', 'inventory': 419, 'available': True}, {'skuId': 33754919, 'label': 'S', 'inventory': 391, 'available': True}, {'skuId': 33754920, 'label': 'M', 'inventory': 418, 'available': True}, {'skuId': 33754923, 'label': 'L', 'inventory': 1, 'available': True}, {'skuId': 33754924, 'label': 'XL', 'inventory': 165, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/715bdaee-51b9-496f-8acf-9182ef9e572f1554109637773-SASSAFRAS-Women-Tops-3961554109636914-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/4b654b3b-5202-4301-9dcd-2dd914a444f91554109637805-SASSAFRAS-Women-Tops-3961554109636914-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/bf7f21ac-94b1-47c9-8825-aace628cfc811554109637827-SASSAFRAS-Women-Tops-3961554109636914-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/38a6eeb3-475e-47f3-9f5d-f6b5f654b9441554109637786-SASSAFRAS-Women-Tops-3961554109636914-4.jpg'}]",Women,Black,Flat_Search_Percent,(55% OFF),Solid A-Line Top,Tops,1299,584,,False,,0,1,,1553731200000,Spring,2019,False,,,0,,[],www.myntra.com/Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy
1,Tshirts/Roadster/Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt/1753417/buy,False,,False,1753417,Roadster Women Burgundy Solid Round Neck T-shirt,Roadster Women Burgundy Solid Round Neck T-shirt,4.0338984,118,True,0,,240,Roadster,http://assets.myntassets.com/assets/images/1753417/2019/5/11/4ad0280b-b5c0-4228-aac1-8fd8e75242be1557564034706-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-1.jpg,0,0,12879396,4118,0,,[],"[{'skuId': 12879394, 'label': 'S', 'inventory': 2310, 'available': True}, {'skuId': 12879395, 'label': 'M', 'inventory': 2015, 'available': True}, {'skuId': 12879396, 'label': 'L', 'inventory': 1357, 'available': True}, {'skuId': 12879397, 'label': 'XL', 'inventory': 1113, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1753417/2019/5/11/4ad0280b-b5c0-4228-aac1-8fd8e75242be1557564034706-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1753417/2019/5/11/4ad0280b-b5c0-4228-aac1-8fd8e75242be1557564034706-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1753417/2019/5/11/f6cb392b-cfb3-4313-97c9-967f0a9aa9551557564034622-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1753417/2019/5/11/121e7b6c-0476-46a1-b35d-227eb4e27fb81557564034658-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1753417/2019/5/11/3dbd76a1-6aca-45fc-9e1b-ecb1620bda741557564034636-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1753417/2019/5/11/367b7ba3-04db-4c0a-9024-3c6f1ec954ab1557564034684-Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt-27715575640-2.jpg'}]",Women,Burgundy,Flat_Search_Percent,(40% OFF),Solid Round Neck T-shirt,Tshirts,599,359,,False,,0,1,,1496880000000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-Burgundy-Solid-Round-Neck-T-shirt/1753417/buy
2,Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy,False,,False,8375271,Ives Women Olive Green Solid Shirt Style Top,Ives Women Olive Green Solid Shirt Style Top,3.982123,1790,True,0,,550,Ives,http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg,0,0,32904934,2182,0,,[],"[{'skuId': 32904931, 'label': 'S', 'inventory': 65, 'available': True}, {'skuId': 32904932, 'label': 'M', 'inventory': 132, 'available': True}, {'skuId': 32904933, 'label': 'L', 'inventory': 51, 'available': True}, {'skuId': 32904934, 'label': 'XL', 'inventory': 314, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/1f464d2a-9c64-43a6-a877-aeac3a317ef31546853353117-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/861a97a2-b569-482b-b8e4-41f0f7d562b41546853353140-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/51d8b738-7205-4fcc-8472-f653aa21fb561546853353127-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/5e0cdb25-c0de-45f7-bd69-dbfd9293d8b81546853353155-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-2.jpg'}]",Women,Olive,Flat_Search_Percent,(50% OFF),Solid Shirt Style Top,Tops,1099,549,,False,,0,1,,1546473600000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy
3,Tshirts/Roadster/Roadster-Women-Olive-Green-Solid-Boat-Neck-T-shirt/1753418/buy,False,,False,1753418,Roadster Women Olive Green Solid Boat Neck T-shirt,Roadster Women Olive Green Solid Boat Neck T-shirt,4.280924,1342,True,0,,240,Roadster,http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680176-Roadster-Women-Tshirts-7081497332679930-1.jpg,0,0,12879399,4118,0,,[],"[{'skuId': 12879398, 'label': 'S', 'inventory': 159, 'available': True}, {'skuId': 12879399, 'label': 'M', 'inventory': 101, 'available': True}, {'skuId': 12879400, 'label': 'L', 'inventory': 113, 'available': True}, {'skuId': 12879401, 'label': 'XL', 'inventory': 2259, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680176-Roadster-Women-Tshirts-7081497332679930-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680176-Roadster-Women-Tshirts-7081497332679930-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680094-Roadster-Women-Tshirts-7081497332679930-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680135-Roadster-Women-Tshirts-7081497332679930-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680156-Roadster-Women-Tshirts-7081497332679930-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1753418/2017/6/13/11497332680110-Roadster-Women-Tshirts-7081497332679930-4.jpg'}]",Women,Olive,Flat_Search_Percent,(40% OFF),Solid Boat Neck T-shirt,Tshirts,599,359,,False,,0,1,,1496880000000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-Olive-Green-Solid-Boat-Neck-T-shirt/1753418/buy
4,Tshirts/Roadster/Roadster-Women-White-Solid-Round-Neck-T-shirt/2355195/buy,False,,False,2355195,Roadster Women White Solid Round Neck T-shirt,Roadster Women White Solid Round Neck T-shirt,3.945614,570,True,0,,200,Roadster,http://assets.myntassets.com/assets/images/2355195/2019/3/14/b4a2b438-8183-4a60-8f43-b33b6fc98bff1552563548653-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-1.jpg,0,0,15156612,4118,0,,[],"[{'skuId': 15156612, 'label': 'S', 'inventory': 733, 'available': True}, {'skuId': 15156613, 'label': 'M', 'inventory': 664, 'available': True}, {'skuId': 15156614, 'label': 'L', 'inventory': 498, 'available': True}, {'skuId': 15156615, 'label': 'XL', 'inventory': 331, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2355195/2019/3/14/b4a2b438-8183-4a60-8f43-b33b6fc98bff1552563548653-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2355195/2019/3/14/b4a2b438-8183-4a60-8f43-b33b6fc98bff1552563548653-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2355195/2019/3/14/04c87ae2-65ef-4a07-a59d-10c182a4c1391552563548558-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2355195/2019/3/14/ca9734a0-079d-4bd6-b47b-479837247a2b1552563548600-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2355195/2019/3/14/67d19790-a08d-408c-bfc0-18e06b14519e1552563548624-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2355195/2019/3/14/0408bf47-690a-495b-92ea-f6d2a71d57191552563548583-Roadster-Women-White-Solid-Round-Neck-T-shirt-32115525635468-4.jpg'}]",Women,White,Flat_Search_Percent,(40% OFF),Solid Round Neck T-shirt,Tshirts,499,299,,False,,0,1,,1518652800000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-White-Solid-Round-Neck-T-shirt/2355195/buy
5,Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy,False,,False,8986017,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,3.85908,1696,True,0,,660,Harpa,http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg,0,0,33654132,609,0,,[],"[{'skuId': 33654132, 'label': 'S', 'inventory': 123, 'available': True}, {'skuId': 33654133, 'label': 'M', 'inventory': 245, 'available': True}, {'skuId': 33654134, 'label': 'L', 'inventory': 263, 'available': True}, {'skuId': 33654136, 'label': 'XL', 'inventory': 294, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/71e158b0-fdbb-49fc-ad5a-48c71e05e28e1552553406735-Harpa-Women-Tops-4791552553405672-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/b9944ff3-1e72-4a3e-a710-3fb716642a861552553406784-Harpa-Women-Tops-4791552553405672-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/5b05a91d-49b2-4558-8b24-128253b5a9e41552553406760-Harpa-Women-Tops-4791552553405672-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/bb019a96-e817-4f8c-b6f8-3c852811d1861552553406810-Harpa-Women-Tops-4791552553405672-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(55% OFF),Polka Dot Print Wrap Top,Tops,1199,539,,False,,0,1,,1552521600000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy
6,Tops/HM/HM-Women-Pink-Ribbed-Top/11719032/buy,False,,False,11719032,H&M Women Pink Ribbed Top,H&M Women Pink Ribbed Top,3.9748743,199,True,0,,210,H&M,http://assets.myntassets.com/assets/images/productimage/2020/3/18/79d3baf5-7f07-4796-a33b-c948d1c955bb1584484292151-1.jpg,0,0,40758374,6771,0,,[],"[{'skuId': 40758372, 'label': 'XS', 'inventory': 487, 'available': True}, {'skuId': 40758374, 'label': 'S', 'inventory': 593, 'available': True}, {'skuId': 40758376, 'label': 'M', 'inventory': 471, 'available': True}, {'skuId': 40758378, 'label': 'L', 'inventory': 523, 'available': True}, {'skuId': 40758380, 'label': 'XL', 'inventory': 0, 'available': False}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/79d3baf5-7f07-4796-a33b-c948d1c955bb1584484292151-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/79d3baf5-7f07-4796-a33b-c948d1c955bb1584484292151-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/2c791c64-2e3d-4267-9c98-b5731f398a951584484292231-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/44668df0-9702-4079-9191-18c30f03ed861584484292193-2.jpg'}]",Women,Pink,Flat_Search_Percent,(30% OFF),Women Ribbed Top,Tops,699,489,,False,,0,1,,1583971200000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/HM/HM-Women-Pink-Ribbed-Top/11719032/buy
7,Tops/Roadster/Roadster-Women-Maroon-Solid-Top/1753481/buy,False,,False,1753481,Roadster Women Maroon Solid Top,Roadster Women Maroon Solid Top,3.9282296,418,True,0,,240,Roadster,http://assets.myntassets.com/assets/images/1753481/2018/7/24/e8a0c271-3961-4c09-922b-9037973dcccd1532415358320-Roadster-Women-Maroon-Solid-Top-8331532415358148-1.jpg,0,0,12879652,4118,0,,[],"[{'skuId': 12879650, 'label': 'S', 'inventory': 580, 'available': True}, {'skuId': 12879651, 'label': 'M', 'inventory': 405, 'available': True}, {'skuId': 12879652, 'label': 'L', 'inventory': 221, 'available': True}, {'skuId': 12879653, 'label': 'XL', 'inventory': 191, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1753481/2018/7/24/e8a0c271-3961-4c09-922b-9037973dcccd1532415358320-Roadster-Women-Maroon-Solid-Top-8331532415358148-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1753481/2018/7/24/e8a0c271-3961-4c09-922b-9037973dcccd1532415358320-Roadster-Women-Maroon-Solid-Top-8331532415358148-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1753481/2018/7/24/8cd46711-ba22-49c0-bc71-b7bdb4b40e8c1532415358238-Roadster-Women-Maroon-Solid-Top-8331532415358148-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1753481/2018/7/24/e097667f-aa6d-44de-9846-a59708848a8f1532415358281-Roadster-Women-Maroon-Solid-Top-8331532415358148-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1753481/2018/7/24/5eb16abe-4fb2-4807-9bdd-fc3121791dc71532415358305-Roadster-Women-Maroon-Solid-Top-8331532415358148-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1753481/2018/7/24/f6f9b014-115c-4727-ad8d-7cad0572de6e1532415358257-Roadster-Women-Maroon-Solid-Top-8331532415358148-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(40% OFF),Solid Top,Tops,599,359,,False,,0,1,,1496880000000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Roadster/Roadster-Women-Maroon-Solid-Top/1753481/buy
8,Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy,False,,False,2506738,Pannkh Women Navy Blue Printed Top,Pannkh Women Navy Blue Printed Top,3.975733,989,True,0,,450,Pannkh,http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg,0,0,15755238,2031,0,,[],"[{'skuId': 15755236, 'label': 'XS', 'inventory': 7, 'available': True}, {'skuId': 15755240, 'label': 'S', 'inventory': 35, 'available': True}, {'skuId': 15755238, 'label': 'M', 'inventory': 104, 'available': True}, {'skuId': 15755234, 'label': 'L', 'inventory': 9, 'available': True}, {'skuId': 15755230, 'label': 'XL', 'inventory': 58, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/49e1417a-8696-471a-b1e3-0ccbb47b917a1531903512159-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/c0e43db5-8df9-492d-85dd-9775adcb9ac81531903512216-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/bd70e27a-21e3-4abc-bda7-f780296e493e1531903512255-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/9643a585-6d2c-4379-88d8-57777e0cf0321531903512192-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(45% OFF),Printed Top,Tops,999,549,,False,,0,1,,1518652800000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy
9,Tshirts/Roadster/Roadster-Women-Red-Solid-T-Shirt/8661651/buy,False,,False,8661651,Roadster Women Red Solid T-Shirt,Roadster Women Red Solid T-Shirt,4.111111,18,True,0,,160,Roadster,http://assets.myntassets.com/assets/images/8661651/2019/8/13/251d9b53-7360-442b-9e3f-5902b19dd2ce1565693537739-Roadster-Women-Red-Solid-T-Shirt-591565693537412-1.jpg,0,0,33277786,4118,0,,[],"[{'skuId': 33277786, 'label': 'S', 'inventory': 180, 'available': True}, {'skuId': 33277787, 'label': 'M', 'inventory': 91, 'available': True}, {'skuId': 33277788, 'label': 'L', 'inventory': 88, 'available': True}, {'skuId': 33277789, 'label': 'XL', 'inventory': 64, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8661651/2019/8/13/251d9b53-7360-442b-9e3f-5902b19dd2ce1565693537739-Roadster-Women-Red-Solid-T-Shirt-591565693537412-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8661651/2019/8/13/251d9b53-7360-442b-9e3f-5902b19dd2ce1565693537739-Roadster-Women-Red-Solid-T-Shirt-591565693537412-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8661651/2019/8/13/fb840be0-f87a-41d7-9459-244f2927e6311565670746964-Roadster-Women-Red-Solid-T-Shirt-9221565670745524-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8661651/2019/8/13/8ec2fed3-4569-4229-abc3-f12d1f5dc1211565670747018-Roadster-Women-Red-Solid-T-Shirt-9221565670745524-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8661651/2019/8/13/ee449e75-3752-4d23-8195-ce03647a26a11565670747051-Roadster-Women-Red-Solid-T-Shirt-9221565670745524-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8661651/2019/8/13/edddc34b-1f85-4f7c-8d72-e3bf4fc901511565670746990-Roadster-Women-Red-Solid-T-Shirt-9221565670745524-4.jpg'}]",Women,Red,Flat_Search_Percent,(40% OFF),Women Solid T-Shirt,Tshirts,399,239,,False,,0,1,,1565222400000,Spring,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-Red-Solid-T-Shirt/8661651/buy
